table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_dhs,field_dot,field_nasa,field_nsf,field_other
7082,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,47966,47966,0,0,0,0,0,0,0
7082,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,9784,780,33,1396,23,0,223,6926,403
7082,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,173320,155522,78,0,10903,0,75,0,6742
7082,r041,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,9593260,1379155,6967414,878803,95789,1600,58942,40,211517
7082,r042,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,861605,164,0,861420,0,0,0,0,21
7082,r043,All FFRDCs -> Industry-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Industry-administered FFRDCs,Idaho National Laboratory,3,503977,79649,391056,0,13210,416,3293,0,16353
7082,r044,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,1580263,279178,1262813,7445,21909,0,1989,0,6929
7082,r045,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,2950380,80032,2724200,8249,5294,0,52996,40,79569
7082,r046,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,3507607,917136,2424747,1689,53568,1184,664,0,108619
7082,r047,All FFRDCs -> Industry-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Industry-administered FFRDCs,Savannah River National Laboratory,3,189428,22996,164598,0,1808,0,0,0,26
