table_id,row_id,selected_industry_naics_code_and_company_size_full_path,selected_industry_naics_code_and_company_size_level_1,selected_industry_naics_code_and_company_size_level_2,selected_industry_naics_code_and_company_size_level_3,selected_industry_naics_code_and_company_size_level_4,selected_industry_naics_code_and_company_size_hierarchy_depth,field_totalb,field_used_for_domestic_r_da_totalb_c,field_used_for_domestic_r_da_land_acquisition,field_used_for_domestic_r_da_buildings_and_land_improvementd,field_used_for_domestic_r_da_equipment,field_used_for_domestic_r_da_capitalized_software,field_used_for_domestic_r_da_other_intellectual_property,field_used_for_domestic_r_da_all_other_and_undistributede
11768,r011,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Electrical equipment, appliance, and components, 335","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Electrical equipment, appliance, and components, 335",,3,"['6,676', 'i']","['675', '  ']","['*', '  ']","['44', 'i ']","['495', '  ']","['28', '  ']","['14', 'i ']","['94', '  ']"
11768,r012,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",,3,"['56,376', '  ']","['3,128', '  ']","['12', 'i ']","['542', '  ']","['1,892', '  ']","['245', '  ']","['253', 'i ']","['183', '  ']"
11768,r013,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Motor vehicles, bodies, trailers, and parts, 3361&#8211;63","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336","Motor vehicles, bodies, trailers, and parts, 3361&#8211;63",4,"['42,726', '  ']","['2,159', '&nbsp;']","['8', 'i ']","['339', '  ']","['1,218', '  ']","['193', '  ']","['250', 'i ']","['152', '  ']"
11768,r014,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Aerospace products and parts, 3364","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336","Aerospace products and parts, 3364",4,"['10,782', '  ']","['819', '  ']","['4', '  ']","['168', '  ']","['574', '  ']","['49', '  ']","['2', '  ']","['22', '  ']"
11768,r015,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Other 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",Other 336,4,"['2,868', '&nbsp;']","['150', '&nbsp;']","['0', 'i ']","['35', '  ']","['100', '  ']","['3', '  ']","['1', 'i ']","['9', '  ']"
11768,r016,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Manufacturing nec, other 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Manufacturing nec, other 31&#8211;33",,3,"['120,244', '&nbsp;']","['3,561', '&nbsp;']","['33', '&nbsp;']","['617', '&nbsp;']","['2,254', '&nbsp;']","['189', '&nbsp;']","['166', '&nbsp;']","['303', '&nbsp;']"
11768,r017,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,,2,"['559,428', '  ']","['12,353', '&nbsp;']","['55', 'i ']","['1,345', 'i ']","['7,515', '  ']","['1,277', 'i ']","['1,582', 'i ']","['578', '  ']"
11768,r018,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",,3,"['218,255', '  ']","['7,889', '  ']","['13', 'i ']","['765', 'i ']","['5,062', '  ']","['878', 'i ']","['886', 'i ']","['285', '  ']"
11768,r019,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Software publishers, 5112","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51","Software publishers, 5112",4,"['32,114', '  ']","['2,915', '  ']","['9', 'i ']","['67', 'i ']","['2,477', '  ']","['214', '  ']","['D', '  ']","['D', '  ']"
11768,r020,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Telecommunications, 517","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51","Telecommunications, 517",4,"['93,417', '  ']","['487', 'i ']","['0', '  ']","['61', 'i ']","['116', 'i ']","['309', 'i ']","['0', '  ']","['*', '  ']"
11768,r021,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Other 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",Other 51,4,"['92,724', '&nbsp;']","['4,487', '&nbsp;']","['4', 'i ']","['637', 'i ']","['2,469', '  ']","['355', '  ']","['D', '&nbsp;']","['D', '  ']"
11768,r022,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Finance and insurance, 52","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Finance and insurance, 52",,3,"['26,641', '  ']","['59', 'i ']","['0', '  ']","['6', '  ']","['39', '  ']","['5', 'i ']","['8', '  ']","['1', 'i ']"
11768,r023,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",,3,"['27,522', '  ']","['2,370', '  ']","['42', 'i ']","['479', '  ']","['1,311', '  ']","['216', 'i ']","['165', '  ']","['158', '  ']"
11768,r024,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Computer systems design and related services, 5415","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Computer systems design and related services, 5415",4,"['10,418', '  ']","['528', '  ']","['0', '  ']","['19', '  ']","['362', '  ']","['81', '  ']","['27', '  ']","['40', '  ']"
11768,r025,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Scientific research and development services, 5417","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Scientific research and development services, 5417",4,"['9,266', 'i ']","['1,423', '  ']","['41', 'i ']","['426', '  ']","['737', '  ']","['54', '  ']","['68', '  ']","['97', '  ']"
11768,r026,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Other 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",Other 54,4,"['7,838', '&nbsp;']","['419', '&nbsp;']","['1', 'i ']","['34', '&nbsp;']","['212', '  ']","['81', 'i ']","['70', '&nbsp;']","['21', '&nbsp;']"
11768,r027,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81",,3,"['287,010', '&nbsp;']","['2,035', '&nbsp;']","['0', '&nbsp;']","['95', '&nbsp;']","['1,103', '&nbsp;']","['178', '&nbsp;']","['523', '&nbsp;']","['134', '&nbsp;']"
11768,r028,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&nbsp;', '&nbsp;']"
11768,r029,Size of company (number of domestic employees) -> Small companies,Size of company (number of domestic employees),Small companies,,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&nbsp;', '&nbsp;']"
11768,r030,Size of company (number of domestic employees) -> Small companies -> 10–19<sup>f</sup>,Size of company (number of domestic employees),Small companies,10–19<sup>f</sup>,,3,"['1,349', 'i']","['204', 'i ']","['2', 'i ']","['26', '  ']","['122', 'i ']","['23', 'i ']","['13', '  ']","['17', '  ']"
11768,r031,Size of company (number of domestic employees) -> Small companies -> 20&#8211;49,Size of company (number of domestic employees),Small companies,20&#8211;49,,3,"['6,698', '  ']","['847', '  ']","['18', '  ']","['87', '  ']","['583', '  ']","['48', 'i ']","['50', '  ']","['62', '  ']"
11768,r032,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11768,r033,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,"['10,638', '  ']","['887', '  ']","['16', '  ']","['186', '  ']","['541', '  ']","['65', 'i ']","['27', 'i ']","['52', '  ']"
11768,r034,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,"['15,299', '  ']","['1,540', '  ']","['8', 'i ']","['268', '  ']","['949', '  ']","['125', '  ']","['110', '  ']","['80', '  ']"
11768,r035,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11768,r036,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,"['15,387', '  ']","['1,322', '  ']","['3', 'i ']","['262', '  ']","['724', '  ']","['132', '  ']","['123', '  ']","['78', '  ']"
11768,r037,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,"['27,577', '  ']","['1,729', '  ']","['22', '  ']","['234', '  ']","['974', '  ']","['178', '  ']","['115', '  ']","['206', '  ']"
11768,r038,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,"['91,332', '  ']","['4,944', '  ']","['40', '  ']","['878', '  ']","['2,933', 'i ']","['473', 'i ']","['325', '  ']","['296', '  ']"
11768,r039,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,"['85,689', '  ']","['3,152', '  ']","['5', 'i ']","['301', '  ']","['2,254', '  ']","['360', '  ']","['113', 'i ']","['119', '  ']"
11768,r040,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,"['204,664', '  ']","['7,313', '  ']","['26', '  ']","['1,226', '  ']","['4,286', '  ']","['429', '  ']","['999', '  ']","['346', '  ']"
11768,r041,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,"['410,906', '  ']","['14,131', 'i ']","['16', 'i ']","['1,666', 'i ']","['8,863', '  ']","['909', 'i ']","['1,850', 'i ']","['826', '  ']"
