table_id,row_id,ethnicity_race_and_citizenship_status_full_path,ethnicity_race_and_citizenship_status_level_1,ethnicity_race_and_citizenship_status_level_2,ethnicity_race_and_citizenship_status_level_3,ethnicity_race_and_citizenship_status_level_4,ethnicity_race_and_citizenship_status_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1745,r011,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,U.S. citizen or permanent resident,4,76,59,77,63,63,54,73,71,61,72
1745,r012,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Temporary visa holder<sup>a</sup>,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Temporary visa holder<sup>a</sup>,4,,6,,,,,,,,0
1745,r013,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Unknown citizenship,4,,0,,,,,,,,0
1745,r014,All doctorate recipients -> Not Hispanic or Latino -> Asian,All doctorate recipients,Not Hispanic or Latino,Asian,,3,4741,4662,4904,5117,5392,5465,5598,5510,5594,5907
1745,r015,All doctorate recipients -> Not Hispanic or Latino -> Asian -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Asian,U.S. citizen or permanent resident,4,1449,1518,1569,1631,1628,1638,1713,1650,1847,1742
1745,r016,All doctorate recipients -> Not Hispanic or Latino -> Asian -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Asian,Temporary visa holder,4,3283,3135,3320,3481,3753,3820,3874,3848,3733,4155
1745,r017,All doctorate recipients -> Not Hispanic or Latino -> Asian -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Asian,Unknown citizenship,4,9,9,15,5,11,7,11,12,14,10
1745,r018,All doctorate recipients -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Not Hispanic or Latino,Black or African American,,3,1552,1403,1396,1481,1554,1503,1660,1661,1749,1730
1745,r019,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Black or African American,U.S. citizen or permanent resident,4,1378,1242,1233,1314,1371,1351,1468,1495,1552,1530
1745,r020,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Black or African American,Temporary visa holder,4,162,152,156,166,182,148,187,161,183,197
1745,r021,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Black or African American,Unknown citizenship,4,12,9,7,1,1,4,5,5,14,3
1745,r022,All doctorate recipients -> Not Hispanic or Latino -> White,All doctorate recipients,Not Hispanic or Latino,White,,3,13058,12525,12572,12941,13263,13324,13519,13607,13403,13588
1745,r023,All doctorate recipients -> Not Hispanic or Latino -> White -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,White,U.S. citizen or permanent resident,4,11954,11496,11541,11842,12167,12240,12397,12466,12183,12333
1745,r024,All doctorate recipients -> Not Hispanic or Latino -> White -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,White,Temporary visa holder,4,1072,1001,1003,1072,1065,1065,1079,1120,1182,1235
1745,r025,All doctorate recipients -> Not Hispanic or Latino -> White -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,White,Unknown citizenship,4,32,28,28,27,31,19,43,21,38,20
1745,r026,All doctorate recipients -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Not Hispanic or Latino,More than one race,,3,370,418,399,484,497,488,535,605,593,656
1745,r027,All doctorate recipients -> Not Hispanic or Latino -> More than one race -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,More than one race,U.S. citizen or permanent resident,4,346,391,376,460,470,468,509,578,553,616
1745,r028,All doctorate recipients -> Not Hispanic or Latino -> More than one race -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,More than one race,Temporary visa holder,4,24,26,23,24,27,20,25,27,,40
1745,r029,All doctorate recipients -> Not Hispanic or Latino -> More than one race -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,More than one race,Unknown citizenship,4,0,1,0,0,0,0,1,0,,0
1745,r030,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,,3,238,205,191,202,204,162,167,192,320,333
1745,r031,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,U.S. citizen or permanent resident,4,160,133,112,145,131,110,97,123,201,156
1745,r032,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Temporary visa holder,4,,66,,,,,,,88,171
1745,r033,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Unknown citizenship,4,,6,,,,,,,31,6
1745,r034,All doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported,All doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,,3,1785,1891,1738,1721,1841,2259,2128,1761,1970,1352
1745,r035,All doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,U.S. citizen or permanent resident,4,428,461,325,258,354,292,266,345,402,240
1745,r036,All doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,Temporary visa holder,4,221,196,150,111,175,172,183,203,99,134
1745,r037,All doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,Unknown citizenship,4,1136,1234,1263,1352,1312,1795,1679,1213,1469,978
