table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_level_3,_b_total_b_hierarchy_depth,value
4576,r089,2007<sup>a</sup>,Total,Applied research,Percent,3,25.2
4576,r090,2007<sup>a</sup>,Total,Experimental development,Amount,3,4411
4576,r091,2007<sup>a</sup>,Total,Experimental development,Percent,3,31.9
4576,r092,2007<sup>a</sup>,Federally financed,All R&D expenditures,,2,13401
4576,r093,2007<sup>a</sup>,Federally financed,Basic research,Amount,3,5151
4576,r094,2007<sup>a</sup>,Federally financed,Basic research,Percent,3,38.4
4576,r095,2007<sup>a</sup>,Federally financed,Applied research,Amount,3,3314
4576,r096,2007<sup>a</sup>,Federally financed,Applied research,Percent,3,24.7
4576,r097,2007<sup>a</sup>,Federally financed,Experimental development,Amount,3,4319
4576,r098,2007<sup>a</sup>,Federally financed,Experimental development,Percent,3,32.2
4576,r099,2008,Total,All R&D expenditures,,2,15616
4576,r100,2008,Total,Basic research,Amount,3,5379
4576,r101,2008,Total,Basic research,Percent,3,34.4
4576,r102,2008,Total,Applied research,Amount,3,3992
4576,r103,2008,Total,Applied research,Percent,3,25.6
4576,r104,2008,Total,Experimental development,Amount,3,6245
4576,r105,2008,Total,Experimental development,Percent,3,40.0
4576,r106,2008,Federally financed,All R&D expenditures,,2,15177
4576,r107,2008,Federally financed,Basic research,Amount,3,5210
4576,r108,2008,Federally financed,Basic research,Percent,3,34.3
4576,r109,2008,Federally financed,Applied research,Amount,3,3825
4576,r110,2008,Federally financed,Applied research,Percent,3,25.2
4576,r111,2008,Federally financed,Experimental development,Amount,3,6143
4576,r112,2008,Federally financed,Experimental development,Percent,3,40.5
4576,r113,2009,Total,All R&D expenditures,,2,16390
4576,r114,2009,Total,Basic research,Amount,3,5871
4576,r115,2009,Total,Basic research,Percent,3,35.8
4576,r116,2009,Total,Applied research,Amount,3,4545
4576,r117,2009,Total,Applied research,Percent,3,27.7
4576,r118,2009,Total,Experimental development,Amount,3,5974
4576,r119,2009,Total,Experimental development,Percent,3,36.4
4576,r120,2009,Federally financed,All R&D expenditures,,2,15943
4576,r121,2009,Federally financed,Basic research,Amount,3,5714
4576,r122,2009,Federally financed,Basic research,Percent,3,35.8
4576,r123,2009,Federally financed,Applied research,Amount,3,4346
4576,r124,2009,Federally financed,Applied research,Percent,3,27.3
4576,r125,2009,Federally financed,Experimental development,Amount,3,5884
4576,r126,2009,Federally financed,Experimental development,Percent,3,36.9
4576,r127,2010,Total,All R&D expenditures,,2,18881
4576,r128,2010,Total,Basic research,Amount,3,6655
4576,r129,2010,Total,Basic research,Percent,3,35.2
4576,r130,2010,Total,Applied research,Amount,3,5191
4576,r131,2010,Total,Applied research,Percent,3,27.5
4576,r132,2010,Total,Experimental development,Amount,3,7034
4576,r133,2010,Total,Experimental development,Percent,3,37.3
4576,r134,2010,Federally financed,All R&D expenditures,,2,18454
4576,r135,2010,Federally financed,Basic research,Amount,3,6487
4576,r136,2010,Federally financed,Basic research,Percent,3,35.2
4576,r137,2010,Federally financed,Applied research,Amount,3,5031
4576,r138,2010,Federally financed,Applied research,Percent,3,27.3
4576,r139,2010,Federally financed,Experimental development,Amount,3,6935
4576,r140,2010,Federally financed,Experimental development,Percent,3,37.6
4576,r141,2011,Total,All R&D expenditures,,2,18671
4576,r142,2011,Total,Basic research,Amount,3,6582
4576,r143,2011,Total,Basic research,Percent,3,35.3
4576,r144,2011,Total,Applied research,Amount,3,5175
4576,r145,2011,Total,Applied research,Percent,3,27.7
4576,r146,2011,Total,Experimental development,Amount,3,6914
4576,r147,2011,Total,Experimental development,Percent,3,37.0
4576,r148,2011,Federally financed,All R&D expenditures,,2,18276
4576,r149,2011,Federally financed,Basic research,Amount,3,6439
4576,r150,2011,Federally financed,Basic research,Percent,3,35.2
4576,r151,2011,Federally financed,Applied research,Amount,3,5006
4576,r152,2011,Federally financed,Applied research,Percent,3,27.4
4576,r153,2011,Federally financed,Experimental development,Amount,3,6830
4576,r154,2011,Federally financed,Experimental development,Percent,3,37.4
4576,r155,2012,Total,All R&D expenditures,,2,18281
4576,r156,2012,Total,Basic research,Amount,3,6153
4576,r157,2012,Total,Basic research,Percent,3,33.7
4576,r158,2012,Total,Applied research,Amount,3,5382
4576,r159,2012,Total,Applied research,Percent,3,29.4
4576,r160,2012,Total,Experimental development,Amount,3,6746
4576,r161,2012,Total,Experimental development,Percent,3,36.9
4576,r162,2012,Federally financed,All R&D expenditures,,2,17875
4576,r163,2012,Federally financed,Basic research,Amount,3,6013
4576,r164,2012,Federally financed,Basic research,Percent,3,33.6
4576,r165,2012,Federally financed,Applied research,Amount,3,5209
4576,r166,2012,Federally financed,Applied research,Percent,3,29.1
4576,r167,2012,Federally financed,Experimental development,Amount,3,6653
4576,r168,2012,Federally financed,Experimental development,Percent,3,37.2
4576,r169,2013,Total,All R&D expenditures,,2,17667
4576,r170,2013,Total,Basic research,Amount,3,4186
4576,r171,2013,Total,Basic research,Percent,3,23.7
4576,r172,2013,Total,Applied research,Amount,3,6818
4576,r173,2013,Total,Applied research,Percent,3,38.6
4576,r174,2013,Total,Experimental development,Amount,3,6663
4576,r175,2013,Total,Experimental development,Percent,3,37.7
4576,r176,2013,Federally financed,All R&D expenditures,,2,17285
4576,r177,2013,Federally financed,Basic research,Amount,3,4081
4576,r178,2013,Federally financed,Basic research,Percent,3,23.6
4576,r179,2013,Federally financed,Applied research,Amount,3,6636
4576,r180,2013,Federally financed,Applied research,Percent,3,38.4
4576,r181,2013,Federally financed,Experimental development,Amount,3,6568
4576,r182,2013,Federally financed,Experimental development,Percent,3,38.0
4576,r183,2014,Total,All R&D expenditures,,2,17719
4576,r184,2014,Total,Basic research,Amount,3,4195
4576,r185,2014,Total,Basic research,Percent,3,23.7
4576,r186,2014,Total,Applied research,Amount,3,6839
4576,r187,2014,Total,Applied research,Percent,3,38.6
4576,r188,2014,Total,Experimental development,Amount,3,6684
4576,r189,2014,Total,Experimental development,Percent,3,37.7
4576,r190,2014,Federally financed,All R&D expenditures,,2,17331
4576,r191,2014,Federally financed,Basic research,Amount,3,4098
4576,r192,2014,Federally financed,Basic research,Percent,3,23.6
4576,r193,2014,Federally financed,Applied research,Amount,3,6648
4576,r194,2014,Federally financed,Applied research,Percent,3,38.4
4576,r195,2014,Federally financed,Experimental development,Amount,3,6585
4576,r196,2014,Federally financed,Experimental development,Percent,3,38.0
4576,r197,2015,Total,All R&D expenditures,,2,18458
4576,r198,2015,Total,Basic research,Amount,3,4094
4576,r199,2015,Total,Basic research,Percent,3,22.2
4576,r200,2015,Total,Applied research,Amount,3,7292
4576,r201,2015,Total,Applied research,Percent,3,39.5
4576,r202,2015,Total,Experimental development,Amount,3,7072
4576,r203,2015,Total,Experimental development,Percent,3,38.3
4576,r204,2015,Federally financed,All R&D expenditures,,2,18097
4576,r205,2015,Federally financed,Basic research,Amount,3,4012
4576,r206,2015,Federally financed,Basic research,Percent,3,22.2
4576,r207,2015,Federally financed,Applied research,Amount,3,7118
4576,r208,2015,Federally financed,Applied research,Percent,3,39.3
4576,r209,2015,Federally financed,Experimental development,Amount,3,6968
4576,r210,2015,Federally financed,Experimental development,Percent,3,38.5
4576,r211,2016,Total,All R&D expenditures,,2,19220
4576,r212,2016,Total,Basic research,Amount,3,4224
4576,r213,2016,Total,Basic research,Percent,3,22.0
4576,r214,2016,Total,Applied research,Amount,3,7527
4576,r215,2016,Total,Applied research,Percent,3,39.2
4576,r216,2016,Total,Experimental development,Amount,3,7468
4576,r217,2016,Total,Experimental development,Percent,3,38.9
4576,r218,2016,Federally financed,All R&D expenditures,,2,18856
4576,r219,2016,Federally financed,Basic research,Amount,3,4136
4576,r220,2016,Federally financed,Basic research,Percent,3,21.9
4576,r221,2016,Federally financed,Applied research,Amount,3,7373
4576,r222,2016,Federally financed,Applied research,Percent,3,39.1
4576,r223,2016,Federally financed,Experimental development,Amount,3,7347
4576,r224,2016,Federally financed,Experimental development,Percent,3,39.0
4576,r225,2017,Total,All R&D expenditures,,2,20038
4576,r226,2017,Total,Basic research,Amount,3,4111
4576,r227,2017,Total,Basic research,Percent,3,20.5
4576,r228,2017,Total,Applied research,Amount,3,7931
4576,r229,2017,Total,Applied research,Percent,3,39.6
4576,r230,2017,Total,Experimental development,Amount,3,7996
4576,r231,2017,Total,Experimental development,Percent,3,39.9
4576,r232,2017,Federally financed,All R&D expenditures,,2,19668
4576,r233,2017,Federally financed,Basic research,Amount,3,4039
4576,r234,2017,Federally financed,Basic research,Percent,3,20.5
4576,r235,2017,Federally financed,Applied research,Amount,3,7756
4576,r236,2017,Federally financed,Applied research,Percent,3,39.4
4576,r237,2017,Federally financed,Experimental development,Amount,3,7873
4576,r238,2017,Federally financed,Experimental development,Percent,3,40.0
4576,r239,2018,Total,All R&D expenditures,,2,21172
4576,r240,2018,Total,Basic research,Amount,3,4180
4576,r241,2018,Total,Basic research,Percent,3,19.7
4576,r242,2018,Total,Applied research,Amount,3,8391
4576,r243,2018,Total,Applied research,Percent,3,39.6
4576,r244,2018,Total,Experimental development,Amount,3,8600
4576,r245,2018,Total,Experimental development,Percent,3,40.6
4576,r246,2018,Federally financed,All R&D expenditures,,2,20770
4576,r247,2018,Federally financed,Basic research,Amount,3,4099
4576,r248,2018,Federally financed,Basic research,Percent,3,19.7
4576,r249,2018,Federally financed,Applied research,Amount,3,8205
4576,r250,2018,Federally financed,Applied research,Percent,3,39.5
4576,r251,2018,Federally financed,Experimental development,Amount,3,8466
4576,r252,2018,Federally financed,Experimental development,Percent,3,40.8
4576,r253,2019,Total,All R&D expenditures,,2,22738
4576,r254,2019,Total,Basic research,Amount,3,4536
4576,r255,2019,Total,Basic research,Percent,3,19.9
4576,r256,2019,Total,Applied research,Amount,3,9200
4576,r257,2019,Total,Applied research,Percent,3,40.5
4576,r258,2019,Total,Experimental development,Amount,3,9002
4576,r259,2019,Total,Experimental development,Percent,3,39.6
4576,r260,2019,Federally financed,All R&D expenditures,,2,22339
4576,r261,2019,Federally financed,Basic research,Amount,3,4455
4576,r262,2019,Federally financed,Basic research,Percent,3,19.9
4576,r263,2019,Federally financed,Applied research,Amount,3,9014
4576,r264,2019,Federally financed,Applied research,Percent,3,40.4
4576,r265,2019,Federally financed,Experimental development,Amount,3,8869
4576,r266,2019,Federally financed,Experimental development,Percent,3,39.7
4576,r267,2020,Total,All R&D expenditures,,2,23514
4576,r268,2020,Total,Basic research,Amount,3,4712
4576,r269,2020,Total,Basic research,Percent,3,20.0
4576,r270,2020,Total,Applied research,Amount,3,9433
4576,r271,2020,Total,Applied research,Percent,3,40.1
4576,r272,2020,Total,Experimental development,Amount,3,9369
4576,r273,2020,Total,Experimental development,Percent,3,39.8
4576,r274,2020,Federally financed,All R&D expenditures,,2,23134
4576,r275,2020,Federally financed,Basic research,Amount,3,4637
4576,r276,2020,Federally financed,Basic research,Percent,3,20.0
4576,r277,2020,Federally financed,Applied research,Amount,3,9257
4576,r278,2020,Federally financed,Applied research,Percent,3,40.0
4576,r279,2020,Federally financed,Experimental development,Amount,3,9239
4576,r280,2020,Federally financed,Experimental development,Percent,3,39.9
