table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_level_5,field_of_study_and_sex_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_tenured_median_salary,field_tenured_se,field_not_tenured_on_tenure_track_median_salary,field_not_tenured_on_tenure_track_se,field_not_tenured_not_on_tenure_track_median_salary,field_not_tenured_not_on_tenure_track_se,field_tenure_not_applicable_median_salary,field_tenure_not_applicable_se
9252,r038,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Male,,4,93000,2500,109000,2000,81000,2500,71000,5500,79000,3000
9252,r039,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Female,,4,80000,1000,105000,3500,73000,2500,62000,2500,62000,3000
9252,r040,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,,4,90000,5500,110000,6500,82000,8000,69000,2000,76000,8000
9252,r041,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,Male,5,96000,6000,109000,7000,80000,11500,69000,3000,89000,9000
9252,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,Female,5,87000,4500,115000,6000,84000,7500,68000,3500,64000,6500
9252,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",,4,84000,2000,100000,2500,72000,3500,62000,3500,66000,5000
9252,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Male,5,89000,2000,102000,5500,75000,3000,64000,7000,78000,5500
9252,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Female,5,75000,3000,95000,5500,65000,4000,57000,3500,58000,3000
9252,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",,4,90000,1000,109000,3000,79000,2500,71000,3000,75000,2500
9252,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Male,5,93000,3500,107000,3500,80000,3000,78000,4000,79000,4500
9252,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Female,5,83000,4000,110000,5000,75000,4500,62000,3000,72000,3500
9252,r049,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,,4,100000,2500,119000,6500,85000,6000,75000,6500,75000,3500
9252,r050,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,Male,5,100000,1500,118000,8500,89000,5000,77000,10000,78000,3500
9252,r051,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,Female,5,89000,5500,118000,10000,78000,1500,73000,7000,58000,7500
9252,r052,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,92000,2000,103000,2500,75000,1000,85000,3500,86000,3000
9252,r053,All fields -> Science -> Psychology -> Male,All fields,Science,Psychology,Male,,4,100000,1500,110000,3500,75000,2500,90000,13500,93000,8500
9252,r054,All fields -> Science -> Psychology -> Female,All fields,Science,Psychology,Female,,4,88000,1500,98000,2500,74000,1500,84000,2500,83000,3500
9252,r055,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,95000,500,105000,1500,80000,1000,70000,3000,84000,3000
9252,r056,All fields -> Science -> Social sciences -> Male,All fields,Science,Social sciences,Male,,4,100000,2000,109000,2500,84000,4000,68000,7500,95000,5500
9252,r057,All fields -> Science -> Social sciences -> Female,All fields,Science,Social sciences,Female,,4,86000,2000,98000,2500,78000,2500,70000,3000,75000,3500
9252,r058,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,,4,119000,3000,125000,5000,111000,7000,94000,10000,107000,10500
9252,r059,All fields -> Science -> Social sciences -> Economics -> Male,All fields,Science,Social sciences,Economics,Male,5,123000,6500,129000,3000,114000,6500,99000,8000,111000,14500
9252,r060,All fields -> Science -> Social sciences -> Economics -> Female,All fields,Science,Social sciences,Economics,Female,5,104000,3500,110000,7000,105000,6000,70000,11500,101000,9000
9252,r061,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,,4,95000,3000,105000,3500,75000,3000,75000,8000,104000,15000
9252,r062,All fields -> Science -> Social sciences -> Political science and government -> Male,All fields,Science,Social sciences,Political science and government,Male,5,99000,4000,105000,2500,75000,4500,64000,17500,107000,11500
9252,r063,All fields -> Science -> Social sciences -> Political science and government -> Female,All fields,Science,Social sciences,Political science and government,Female,5,88000,4000,100000,4500,75000,4500,77000,5500,85000,17500
9252,r064,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",,4,87000,2000,96000,4500,74000,3000,63000,4000,75000,5000
9252,r065,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies -> Male",All fields,Science,Social sciences,"Sociology, demography, and population studies",Male,5,93000,5500,105000,6500,69000,3500,62000,10000,85000,16000
9252,r066,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies -> Female",All fields,Science,Social sciences,"Sociology, demography, and population studies",Female,5,84000,2500,90000,3000,75000,5500,63000,3000,69000,4000
9252,r067,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,,4,85000,2000,97000,2500,74000,1000,65000,2000,75000,3000
9252,r068,All fields -> Science -> Social sciences -> Other social sciences -> Male,All fields,Science,Social sciences,Other social sciences,Male,5,90000,2000,100000,3000,75000,2000,64000,3500,84000,7000
9252,r069,All fields -> Science -> Social sciences -> Other social sciences -> Female,All fields,Science,Social sciences,Other social sciences,Female,5,82000,2500,93000,3000,74000,1000,66000,4500,72000,3500
9252,r070,All fields -> Engineering,All fields,Engineering,,,,2,108000,2000,129000,1500,90000,1500,80000,1500,89000,4000
9252,r071,All fields -> Engineering -> Male,All fields,Engineering,Male,,,3,109000,1500,129000,3000,92000,1500,80000,2500,96000,5500
9252,r072,All fields -> Engineering -> Female,All fields,Engineering,Female,,,3,97000,3000,130000,6500,87000,3000,74000,6000,71000,5500
9252,r073,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,107000,9500,124000,7500,99000,14000,87000,11000,94000,6000
9252,r074,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> Male",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",Male,,4,100000,8000,123000,11500,90000,13500,84000,13000,93000,5500
9252,r075,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> Female",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",Female,,4,124000,5500,123000,12500,S,S,0.05,0.05,,
9252,r076,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,106000,7500,132000,7500,103000,7500,75000,10500,60000,10000
9252,r077,All fields -> Engineering -> Chemical engineering -> Male,All fields,Engineering,Chemical engineering,Male,,4,119000,13000,136000,8000,105000,24000,67000,8500,57000,4500
9252,r078,All fields -> Engineering -> Chemical engineering -> Female,All fields,Engineering,Chemical engineering,Female,,4,85000,10500,123000,7000,,,,,70000,7000
9252,r079,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,105000,4500,122000,6500,87000,3500,79000,2000,92000,9000
9252,r080,All fields -> Engineering -> Civil engineering -> Male,All fields,Engineering,Civil engineering,Male,,4,106000,4500,119000,9500,89000,4500,79000,4500,90000,7500
9252,r081,All fields -> Engineering -> Civil engineering -> Female,All fields,Engineering,Civil engineering,Female,,4,105000,8500,126000,5000,84000,2000,50000,16500,106000,30000
9252,r082,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,,3,110000,6000,130000,4000,95000,3000,82000,5000,113000,15500
9252,r083,All fields -> Engineering -> Electrical and computer engineering -> Male,All fields,Engineering,Electrical and computer engineering,Male,,4,111000,6000,129000,6000,94000,3000,83000,5500,120000,13000
9252,r084,All fields -> Engineering -> Electrical and computer engineering -> Female,All fields,Engineering,Electrical and computer engineering,Female,,4,108000,8000,140000,9500,95000,22000,,,79000,6500
9252,r085,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,104000,5500,120000,2000,88000,2500,80000,5500,93000,8000
9252,r086,All fields -> Engineering -> Mechanical engineering -> Male,All fields,Engineering,Mechanical engineering,Male,,4,108000,5000,120000,1000,89000,2000,80000,6500,96000,11000
9252,r087,All fields -> Engineering -> Mechanical engineering -> Female,All fields,Engineering,Mechanical engineering,Female,,4,92000,4500,139000,18500,79000,13000,,,84000,20000
9252,r088,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,,3,100000,7000,138000,11000,94000,8000,69000,3500,66000,14000
9252,r089,All fields -> Engineering -> Metallurgical and materials engineering -> Male,All fields,Engineering,Metallurgical and materials engineering,Male,,4,107000,7500,139000,11000,92000,9000,66000,4000,73000,14500
9252,r090,All fields -> Engineering -> Metallurgical and materials engineering -> Female,All fields,Engineering,Metallurgical and materials engineering,Female,,4,84000,9500,119000,45000,,,,,50000,20000
9252,r091,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,105000,4000,141000,6500,90000,3000,85000,6500,85000,7000
9252,r092,All fields -> Engineering -> Other engineering -> Male,All fields,Engineering,Other engineering,Male,,4,111000,4000,140000,7500,91000,4000,88000,4500,92000,11000
9252,r093,All fields -> Engineering -> Other engineering -> Female,All fields,Engineering,Other engineering,Female,,4,94000,3000,142000,12000,90000,3000,68000,8500,65000,3500
9252,r094,All fields -> Health,All fields,Health,,,,2,97000,3000,114000,4000,85000,3000,88000,3000,90000,2500
9252,r095,All fields -> Health -> Male,All fields,Health,Male,,,3,100000,6000,127000,11000,83000,4000,90000,11000,89000,10500
9252,r096,All fields -> Health -> Female,All fields,Health,Female,,,3,94000,3000,109000,4000,85000,3000,87000,2500,90000,3000
