table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_fy_2020,field_fy_2021,field_fy_2022
12391,r037,All states -> Ohio,All states,Ohio,2,"['8,318', '  ']","['8,615', '  ']","['9,120', '  ']"
12391,r038,All states -> Oklahoma,All states,Oklahoma,2,"['687', '  ']","['648', '  ']","['702', '  ']"
12391,r039,All states -> Oregon,All states,Oregon,2,"['417', '  ']","['273', '  ']","['273', '  ']"
12391,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['4,868', '  ']","['3,291', '  ']","['3,306', '  ']"
12391,r041,All states -> Rhode Island,All states,Rhode Island,2,"['1,159', 'i ']","['1,786', '  ']","['2,049', '  ']"
12391,r042,All states -> South Carolina,All states,South Carolina,2,"['25', '  ']","['88', '  ']","['401', '  ']"
12391,r043,All states -> South Dakota,All states,South Dakota,2,"['11', '  ']","['0', '  ']","['143', '  ']"
12391,r044,All states -> Tennessee,All states,Tennessee,2,"['4,518', '  ']","['4,318', '  ']","['3,427', '  ']"
12391,r045,All states -> Texas,All states,Texas,2,"['5,553', '  ']","['7,354', '  ']","['5,418', '  ']"
12391,r046,All states -> Utah,All states,Utah,2,"['424', '  ']","['702', '  ']","['316', '  ']"
12391,r047,All states -> Vermont,All states,Vermont,2,"['39', '  ']","['120', '  ']","['1', '  ']"
12391,r048,All states -> Virginia,All states,Virginia,2,"['5,384', '  ']","['4,560', '  ']","['4,674', '  ']"
12391,r049,All states -> Washington,All states,Washington,2,"['8,602', '  ']","['7,123', '  ']","['8,092', '  ']"
12391,r050,All states -> West Virginia,All states,West Virginia,2,"['513', '  ']","['76', '  ']","['120', '  ']"
12391,r051,All states -> Wisconsin,All states,Wisconsin,2,"['631', '  ']","['2,309', '  ']","['1,919', '  ']"
12391,r052,All states -> Wyoming,All states,Wyoming,2,"['4', '  ']","['3', '  ']","['2', '  ']"
