table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_1993_number,field_1993_percent,field_1998_number,field_1998_percent,field_2003_number,field_2003_percent,field_2008_number,field_2008_percent,field_2013_number,field_2013_percent,field_2018_number,field_2018_percent,field_2023_number,field_2023_percent
11642,r029,All fields -> Science and engineering -> Engineering -> Materials and mining engineering,All fields,Science and engineering,Engineering,Materials and mining engineering,4,559,1.4,586,1.4,488,1.2,678,1.4,872,1.7,1018,1.8,1159,2.0
11642,r030,All fields -> Science and engineering -> Engineering -> Mechanical engineering,All fields,Science and engineering,Engineering,Mechanical engineering,4,902,2.3,936,2.2,752,1.8,1082,2.2,1336,2.5,1610,2.9,1653,2.9
11642,r031,"All fields -> Science and engineering -> Engineering -> Engineering, other",All fields,Science and engineering,Engineering,"Engineering, other",4,585,1.5,570,1.3,431,1.1,504,1.0,586,1.1,789,1.4,859,1.5
11642,r032,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,721,1.8,766,1.8,682,1.7,865,1.8,989,1.9,1185,2.2,1231,2.1
11642,r033,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological sciences,4,454,1.1,470,1.1,348,0.9,458,0.9,489,0.9,591,1.1,592,1.0
11642,r034,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",4,267,0.7,296,0.7,334,0.8,407,0.8,500,0.9,594,1.1,639,1.1
11642,r035,All fields -> Science and engineering -> Health sciences,All fields,Science and engineering,Health sciences,,3,1016,2.6,1285,3.0,1353,3.3,1689,3.5,2109,4.0,2473,4.5,2435,4.2
11642,r036,All fields -> Science and engineering -> Health sciences -> Nursing science ,All fields,Science and engineering,Health sciences,Nursing science ,4,373,0.9,399,0.9,413,1.0,504,1.0,510,1.0,584,1.1,554,1.0
11642,r037,All fields -> Science and engineering -> Health sciences -> Pharmaceutical sciences ,All fields,Science and engineering,Health sciences,Pharmaceutical sciences ,4,146,0.4,156,0.4,118,0.3,277,0.6,332,0.6,344,0.6,358,0.6
11642,r038,All fields -> Science and engineering -> Health sciences -> Public health,All fields,Science and engineering,Health sciences,Public health,4,191,0.5,208,0.5,259,0.6,298,0.6,501,1.0,702,1.3,682,1.2
11642,r039,"All fields -> Science and engineering -> Health sciences -> Health sciences, other ",All fields,Science and engineering,Health sciences,"Health sciences, other ",4,306,0.8,522,1.2,563,1.4,610,1.3,766,1.5,843,1.5,841,1.5
11642,r040,All fields -> Science and engineering -> Mathematics and statistics,All fields,Science and engineering,Mathematics and statistics,,3,1146,2.9,1177,2.8,993,2.4,1400,2.9,1817,3.4,2022,3.7,2167,3.7
11642,r041,All fields -> Science and engineering -> Mathematics and statistics -> Applied mathematics,All fields,Science and engineering,Mathematics and statistics,Applied mathematics,4,188,0.5,265,0.6,223,0.5,360,0.7,455,0.9,455,0.8,460,0.8
11642,r042,All fields -> Science and engineering -> Mathematics and statistics -> Mathematics ,All fields,Science and engineering,Mathematics and statistics,Mathematics ,4,366,0.9,405,0.9,322,0.8,507,1.0,641,1.2,524,1.0,231,0.4
11642,r043,All fields -> Science and engineering -> Mathematics and statistics -> Statistics,All fields,Science and engineering,Mathematics and statistics,Statistics,4,228,0.6,204,0.5,191,0.5,303,0.6,364,0.7,412,0.7,574,1.0
11642,r044,"All fields -> Science and engineering -> Mathematics and statistics -> Mathematics and statistics, other",All fields,Science and engineering,Mathematics and statistics,"Mathematics and statistics, other",4,364,0.9,303,0.7,257,0.6,230,0.5,357,0.7,631,1.1,902,1.6
11642,r045,All fields -> Science and engineering -> Physical sciences ,All fields,Science and engineering,Physical sciences ,,3,3681,9.2,3800,8.9,3289,8.1,4081,8.4,4595,8.7,5144,9.3,5460,9.4
11642,r046,All fields -> Science and engineering -> Physical sciences  -> Astronomy and astrophysics,All fields,Science and engineering,Physical sciences ,Astronomy and astrophysics,4,145,0.4,206,0.5,167,0.4,249,0.5,301,0.6,351,0.6,603,1.0
11642,r047,All fields -> Science and engineering -> Physical sciences  -> Chemistry,All fields,Science and engineering,Physical sciences ,Chemistry,4,2137,5.4,2216,5.2,2041,5.0,2246,4.6,2484,4.7,2807,5.1,3001,5.2
11642,r048,All fields -> Science and engineering -> Physical sciences  -> Physics,All fields,Science and engineering,Physical sciences ,Physics,4,1399,3.5,1378,3.2,1081,2.7,1586,3.3,1810,3.4,1986,3.6,1856,3.2
11642,r049,All fields -> Science and engineering -> Psychology,All fields,Science and engineering,Psychology,,3,3420,8.6,3673,8.6,3277,8.0,3357,6.9,3592,6.8,3821,6.9,3899,6.7
11642,r050,All fields -> Science and engineering -> Psychology -> Clinical psychology,All fields,Science and engineering,Psychology,Clinical psychology,4,1373,3.4,1344,3.2,1193,2.9,1142,2.3,1140,2.2,1260,2.3,1208,2.1
11642,r051,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,4,833,2.1,855,2.0,813,2.0,880,1.8,965,1.8,1003,1.8,1001,1.7
11642,r052,All fields -> Science and engineering -> Psychology -> Research and experimental psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,4,711,1.8,861,2.0,757,1.9,850,1.7,969,1.8,952,1.7,1003,1.7
11642,r053,"All fields -> Science and engineering -> Psychology -> Psychology, other ",All fields,Science and engineering,Psychology,"Psychology, other ",4,503,1.3,613,1.4,514,1.3,485,1.0,518,1.0,606,1.1,687,1.2
11642,r054,All fields -> Science and engineering -> Social sciences,All fields,Science and engineering,Social sciences,,3,3477,8.7,3760,8.8,3867,9.5,4326,8.9,5041,9.6,5054,9.2,5199,9.0
11642,r055,All fields -> Science and engineering -> Social sciences -> Anthropology,All fields,Science and engineering,Social sciences,Anthropology,4,342,0.9,425,1.0,472,1.2,483,1.0,550,1.0,424,0.8,389,0.7
11642,r056,All fields -> Science and engineering -> Social sciences -> Economics,All fields,Science and engineering,Social sciences,Economics,4,930,2.3,1001,2.3,932,2.3,1091,2.2,1183,2.2,1244,2.3,1290,2.2
11642,r057,All fields -> Science and engineering -> Social sciences -> Political science and government,All fields,Science and engineering,Social sciences,Political science and government,4,507,1.3,662,1.6,661,1.6,628,1.3,803,1.5,734,1.3,665,1.1
11642,r058,All fields -> Science and engineering -> Social sciences -> Public policy analysis,All fields,Science and engineering,Social sciences,Public policy analysis,4,98,0.2,96,0.2,145,0.4,196,0.4,348,0.7,323,0.6,299,0.5
11642,r059,"All fields -> Science and engineering -> Social sciences -> Sociology, demography, and population studies",All fields,Science and engineering,Social sciences,"Sociology, demography, and population studies",4,535,1.3,579,1.4,612,1.5,624,1.3,663,1.3,695,1.3,627,1.1
11642,r060,"All fields -> Science and engineering -> Social sciences -> Social sciences, other  ",All fields,Science and engineering,Social sciences,"Social sciences, other  ",4,1065,2.7,997,2.3,1045,2.6,1304,2.7,1494,2.8,1634,3.0,1929,3.3
11642,r061,All fields -> Non-science and engineering,All fields,Non-science and engineering,,,2,13314,33.5,14000,32.8,14003,34.4,14011,28.7,13619,25.8,12934,23.5,12329,21.3
11642,r062,All fields -> Non-science and engineering -> Business ,All fields,Non-science and engineering,Business ,,3,1281,3.2,1175,2.8,1036,2.5,1421,2.9,1551,2.9,1473,2.7,1560,2.7
11642,r063,All fields -> Non-science and engineering -> Education,All fields,Non-science and engineering,Education,,3,6689,16.8,6569,15.4,6651,16.3,6561,13.5,4934,9.4,4818,8.7,4562,7.9
11642,r064,All fields -> Non-science and engineering -> Education -> Education leadership and administration,All fields,Non-science and engineering,Education,Education leadership and administration,4,2123,5.3,2066,4.8,2362,5.8,2238,4.6,965,1.8,895,1.6,735,1.3
11642,r065,All fields -> Non-science and engineering -> Education -> Education research,All fields,Non-science and engineering,Education,Education research,4,2446,6.1,2584,6.1,2720,6.7,2640,5.4,2703,5.1,2500,4.5,2324,4.0
11642,r066,All fields -> Non-science and engineering -> Education -> Teacher education and teaching fields,All fields,Non-science and engineering,Education,Teacher education and teaching fields,4,1371,3.4,1296,3.0,956,2.3,1186,2.4,1001,1.9,1055,1.9,1020,1.8
11642,r067,"All fields -> Non-science and engineering -> Education -> Education, other ",All fields,Non-science and engineering,Education,"Education, other ",4,749,1.9,623,1.5,613,1.5,497,1.0,265,0.5,368,0.7,483,0.8
11642,r068,All fields -> Non-science and engineering -> Humanities and arts,All fields,Non-science and engineering,Humanities and arts,,3,4372,11.0,5308,12.4,5226,12.8,4688,9.6,5662,10.7,5139,9.3,4453,7.7
11642,r069,All fields -> Non-science and engineering -> Humanities and arts -> Letters,All fields,Non-science and engineering,Humanities and arts,Letters,4,1328,3.3,1599,3.8,1416,3.5,1420,2.9,1606,3.0,1439,2.6,1322,2.3
11642,r070,All fields -> Non-science and engineering -> Humanities and arts -> Foreign languages and literature,All fields,Non-science and engineering,Humanities and arts,Foreign languages and literature,4,575,1.4,643,1.5,623,1.5,627,1.3,701,1.3,617,1.1,440,0.8
11642,r071,All fields -> Non-science and engineering -> Humanities and arts -> History,All fields,Non-science and engineering,Humanities and arts,History,4,689,1.7,946,2.2,895,2.2,923,1.9,1095,2.1,948,1.7,763,1.3
11642,r072,All fields -> Non-science and engineering -> Humanities and arts -> Philosophy and religious studies,All fields,Non-science and engineering,Humanities and arts,Philosophy and religious studies,4,531,1.3,737,1.7,696,1.7,733,1.5,828,1.6,758,1.4,614,1.1
11642,r073,All fields -> Non-science and engineering -> Humanities and arts -> Music and performing arts,All fields,Non-science and engineering,Humanities and arts,Music and performing arts,4,704,1.8,788,1.8,959,2.4,423,0.9,591,1.1,486,0.9,471,0.8
11642,r074,"All fields -> Non-science and engineering -> Humanities and arts -> Humanities and arts, other",All fields,Non-science and engineering,Humanities and arts,"Humanities and arts, other",4,545,1.4,595,1.4,637,1.6,562,1.2,841,1.6,891,1.6,843,1.5
11642,r075,All fields -> Non-science and engineering -> Other non-science and engineering,All fields,Non-science and engineering,Other non-science and engineering,,3,972,2.4,948,2.2,1090,2.7,1341,2.7,1472,2.8,1504,2.7,1754,3.0
11642,r076,All fields -> Non-science and engineering -> Other non-science and engineering -> Communication,All fields,Non-science and engineering,Other non-science and engineering,Communication,4,321,0.8,373,0.9,415,1.0,557,1.1,645,1.2,630,1.1,631,1.1
11642,r077,All fields -> Non-science and engineering -> Other non-science and engineering -> Public administration and social services,All fields,Non-science and engineering,Other non-science and engineering,Public administration and social services,4,354,0.9,339,0.8,394,1.0,452,0.9,457,0.9,496,0.9,535,0.9
11642,r078,"All fields -> Non-science and engineering -> Other non-science and engineering -> Non-science and engineering, other",All fields,Non-science and engineering,Other non-science and engineering,"Non-science and engineering, other",4,297,0.7,236,0.6,281,0.7,332,0.7,370,0.7,378,0.7,588,1.0
