table_id,row_id,employment_sector_and_field_of_study_full_path,employment_sector_and_field_of_study_level_1,employment_sector_and_field_of_study_level_2,employment_sector_and_field_of_study_level_3,employment_sector_and_field_of_study_level_4,employment_sector_and_field_of_study_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_male_median_salary,field_male_se,field_female_median_salary,field_female_se
8145,r052,All sectors -> Federal government -> Science,All sectors,Federal government,Science,,3,130000,500,135000,2500,120000,1000
8145,r053,"All sectors -> Federal government -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Federal government,Science,"Biological, agricultural, and environmental life sciences",4,125000,2000,129000,1500,120000,4000
8145,r054,All sectors -> Federal government -> Science -> Computer and information sciences,All sectors,Federal government,Science,Computer and information sciences,4,150000,10000,149000,13000,151000,17000
8145,r055,All sectors -> Federal government -> Science -> Mathematics and statistics,All sectors,Federal government,Science,Mathematics and statistics,4,135000,8000,134000,7500,155000,24500
8145,r056,"All sectors -> Federal government -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Federal government,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,142000,5000,149000,3000,125000,6000
8145,r057,All sectors -> Federal government -> Science -> Psychology,All sectors,Federal government,Science,Psychology,4,118000,3000,123000,4500,115000,2500
8145,r058,All sectors -> Federal government -> Science -> Social sciences,All sectors,Federal government,Science,Social sciences,4,143000,4500,148000,7000,140000,4000
8145,r059,All sectors -> Federal government -> Engineering,All sectors,Federal government,Engineering,,3,139000,2000,140000,3500,130000,7000
8145,r060,All sectors -> Federal government -> Health,All sectors,Federal government,Health,,3,139000,5500,136000,8000,139000,6500
8145,r061,All sectors -> State or local government,All sectors,State or local government,,,2,105000,3000,107000,4000,99000,1500
8145,r062,All sectors -> State or local government -> Science,All sectors,State or local government,Science,,3,100000,4000,105000,3500,99000,2500
8145,r063,"All sectors -> State or local government -> Science -> Biological, agricultural, and environmental life sciences",All sectors,State or local government,Science,"Biological, agricultural, and environmental life sciences",4,95000,4500,100000,10000,92000,3000
8145,r064,All sectors -> State or local government -> Science -> Computer and information sciences,All sectors,State or local government,Science,Computer and information sciences,4,147000,10000,148000,18000,117000,27500
8145,r065,All sectors -> State or local government -> Science -> Mathematics and statistics,All sectors,State or local government,Science,Mathematics and statistics,4,111000,11500,112000,20500,S,S
8145,r066,"All sectors -> State or local government -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,State or local government,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,106000,8500,115000,16500,94000,9500
8145,r067,All sectors -> State or local government -> Science -> Psychology,All sectors,State or local government,Science,Psychology,4,104000,3000,102000,6000,109000,3000
8145,r068,All sectors -> State or local government -> Science -> Social sciences,All sectors,State or local government,Science,Social sciences,4,94000,4000,99000,7000,88000,5500
8145,r069,All sectors -> State or local government -> Engineering,All sectors,State or local government,Engineering,,3,110000,10500,113000,11000,101000,12500
8145,r070,All sectors -> State or local government -> Health,All sectors,State or local government,Health,,3,115000,8500,133000,25000,107000,10000
8145,r071,All sectors -> Self-employed<sup>d</sup>,All sectors,Self-employed<sup>d</sup>,,,2,109000,9500,116000,8000,100000,11500
8145,r072,All sectors -> Self-employed<sup>d</sup> -> Science,All sectors,Self-employed<sup>d</sup>,Science,,3,118000,10000,119000,8000,100000,12000
8145,r073,"All sectors -> Self-employed<sup>d</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Self-employed<sup>d</sup>,Science,"Biological, agricultural, and environmental life sciences",4,88000,13500,100000,20000,70000,21500
8145,r074,All sectors -> Self-employed<sup>d</sup> -> Science -> Computer and information sciences,All sectors,Self-employed<sup>d</sup>,Science,Computer and information sciences,4,S,S,S,S,,
8145,r075,All sectors -> Self-employed<sup>d</sup> -> Science -> Mathematics and statistics,All sectors,Self-employed<sup>d</sup>,Science,Mathematics and statistics,4,143000,32000,142000,36000,,
8145,r076,"All sectors -> Self-employed<sup>d</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Self-employed<sup>d</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,94000,33500,75000,36500,128000,19000
8145,r077,All sectors -> Self-employed<sup>d</sup> -> Science -> Psychology,All sectors,Self-employed<sup>d</sup>,Science,Psychology,4,121000,5000,136000,11000,116000,9000
8145,r078,All sectors -> Self-employed<sup>d</sup> -> Science -> Social sciences,All sectors,Self-employed<sup>d</sup>,Science,Social sciences,4,79000,18000,106000,13000,49000,16500
8145,r079,All sectors -> Self-employed<sup>d</sup> -> Engineering,All sectors,Self-employed<sup>d</sup>,Engineering,,3,96000,4500,97000,5000,S,S
8145,r080,All sectors -> Self-employed<sup>d</sup> -> Health,All sectors,Self-employed<sup>d</sup>,Health,,3,93000,24000,S,S,110000,23500
8145,r081,All sectors -> Other sector<sup>e</sup>,All sectors,Other sector<sup>e</sup>,,,2,140000,7000,145000,6000,123000,7500
8145,r082,All sectors -> Other sector<sup>e</sup> -> Science,All sectors,Other sector<sup>e</sup>,Science,,3,130000,8500,145000,17000,122000,10500
8145,r083,"All sectors -> Other sector<sup>e</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Other sector<sup>e</sup>,Science,"Biological, agricultural, and environmental life sciences",4,98000,14000,89000,37000,98000,12500
8145,r084,All sectors -> Other sector<sup>e</sup> -> Science -> Computer and information sciences,All sectors,Other sector<sup>e</sup>,Science,Computer and information sciences,4,S,S,S,S,,
8145,r085,All sectors -> Other sector<sup>e</sup> -> Science -> Mathematics and statistics,All sectors,Other sector<sup>e</sup>,Science,Mathematics and statistics,4,155000,62500,,,,
8145,r086,"All sectors -> Other sector<sup>e</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Other sector<sup>e</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,121000,8000,114000,15500,121000,8500
8145,r087,All sectors -> Other sector<sup>e</sup> -> Science -> Psychology,All sectors,Other sector<sup>e</sup>,Science,Psychology,4,96000,19500,100000,14500,83000,35500
8145,r088,All sectors -> Other sector<sup>e</sup> -> Science -> Social sciences,All sectors,Other sector<sup>e</sup>,Science,Social sciences,4,175000,22500,197000,23000,150000,13000
8145,r089,All sectors -> Other sector<sup>e</sup> -> Engineering,All sectors,Other sector<sup>e</sup>,Engineering,,3,148000,5500,148000,6000,167000,53000
8145,r090,All sectors -> Other sector<sup>e</sup> -> Health,All sectors,Other sector<sup>e</sup>,Health,,3,115000,12500,118000,20500,104000,15500
