table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_hierarchy_depth,field_total,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
1766,r014,"Cumulative debt -> $90,001 or more",Cumulative debt,"$90,001 or more",,2,"['4,902', '9.7']","['933', '7.9']","['197', '3.3']","['108', '2.9']","['1,471', '18.4']","['285', '3.0']","['918', '20.9']","['610', '13.2']","['380', '14.9']"
1766,r015,Cumulative debt -> Total,Cumulative debt,Total,,2,"['50,377', '100.0']","['11,869', '100.0']","['5,907', '100.0']","['3,697', '100.0']","['7,975', '100.0']","['9,352', '100.0']","['4,389', '100.0']","['4,637', '100.0']","['2,551', '100.0']"
1766,r016,Cumulative debt -> Graduate debt,Cumulative debt,Graduate debt,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
1766,r017,Cumulative debt -> Graduate debt -> Mean,Cumulative debt,Graduate debt,Mean,3,"['$14,126', '']","['$11,676', '']","['$4,780', '']","['$5,515', '']","['$24,936', '']","['$5,322', '']","['$29,149', '']","['$19,776', '']","['$21,980', '']"
1766,r018,Cumulative debt -> Graduate debt -> ,Cumulative debt,Graduate debt,,3,"['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']"
1766,r019,Cumulative debt -> Graduate debt -> No debt,Cumulative debt,Graduate debt,No debt,3,"['33,877', '67.6']","['8,402', '71.2']","['4,826', '82.2']","['3,049', '82.9']","['4,173', '52.6']","['7,494', '80.6']","['1,956', '44.8']","['2,554', '55.3']","['1,423', '56.1']"
1766,r020,"Cumulative debt -> Graduate debt -> $10,000 or less",Cumulative debt,Graduate debt,"$10,000 or less",3,"['3,839', '7.7']","['879', '7.5']","['446', '7.6']","['215', '5.8']","['613', '7.7']","['715', '7.7']","['340', '7.8']","['457', '9.9']","['174', '6.9']"
1766,r021,"Cumulative debt -> Graduate debt -> $10,001&#8211;$20,000",Cumulative debt,Graduate debt,"$10,001&#8211;$20,000",3,"['2,170', '4.3']","['457', '3.9']","['181', '3.1']","['106', '2.9']","['421', '5.3']","['313', '3.4']","['255', '5.8']","['303', '6.6']","['134', '5.3']"
1766,r022,"Cumulative debt -> Graduate debt -> $20,001&#8211;$30,000",Cumulative debt,Graduate debt,"$20,001&#8211;$30,000",3,"['1,557', '3.1']","['360', '3.1']","['88', '1.5']","['65', '1.8']","['316', '4.0']","['205', '2.2']","['225', '5.2']","['180', '3.9']","['118', '4.7']"
1766,r023,"Cumulative debt -> Graduate debt -> $30,001&#8211;$40,000",Cumulative debt,Graduate debt,"$30,001&#8211;$40,000",3,"['1,188', '2.4']","['255', '2.2']","['72', '1.2']","['47', '1.3']","['260', '3.3']","['120', '1.3']","['188', '4.3']","['157', '3.4']","['89', '3.5']"
1766,r024,"Cumulative debt -> Graduate debt -> $40,001&#8211;$50,000",Cumulative debt,Graduate debt,"$40,001&#8211;$50,000",3,"['1,026', '2.0']","['243', '2.1']","['50', '0.9']","['33', '0.9']","['236', '3.0']","['94', '1.0']","['175', '4.0']","['120', '2.6']","['75', '3.0']"
1766,r025,"Cumulative debt -> Graduate debt -> $50,001&#8211;$60,000",Cumulative debt,Graduate debt,"$50,001&#8211;$60,000",3,"['929', '1.9']","['185', '1.6']","['49', '0.8']","['33', '0.9']","['226', '2.8']","['77', '0.8']","['154', '3.5']","['131', '2.8']","['74', '2.9']"
1766,r026,"Cumulative debt -> Graduate debt -> $60,001&#8211;$70,000",Cumulative debt,Graduate debt,"$60,001&#8211;$70,000",3,"['762', '1.5']","['154', '1.3']","['30', '0.5']","['26', '0.7']","['196', '2.5']","['51', '0.5']","['152', '3.5']","['103', '2.2']","['50', '2.0']"
1766,r027,"Cumulative debt -> Graduate debt -> $70,001&#8211;$80,000",Cumulative debt,Graduate debt,"$70,001&#8211;$80,000",3,"['649', '1.3']","['139', '1.2']","['32', '0.5']","['19', '0.5']","['173', '2.2']","['42', '0.5']","['118', '2.7']","['82', '1.8']","['44', '1.7']"
1766,r028,"Cumulative debt -> Graduate debt -> $80,001&#8211;$90,000",Cumulative debt,Graduate debt,"$80,001&#8211;$90,000",3,"['931', '1.9']","['175', '1.5']","['29', '0.5']","['23', '0.6']","['263', '3.3']","['63', '0.7']","['176', '4.0']","['117', '2.5']","['85', '3.4']"
1766,r029,"Cumulative debt -> Graduate debt -> $90,001 or more",Cumulative debt,Graduate debt,"$90,001 or more",3,"['3,166', '6.3']","['549', '4.7']","['70', '1.2']","['63', '1.7']","['1,056', '13.3']","['122', '1.3']","['626', '14.3']","['411', '8.9']","['269', '10.6']"
1766,r030,Cumulative debt -> Graduate debt -> Total,Cumulative debt,Graduate debt,Total,3,"['50,094', '100.0']","['11,798', '100.0']","['5,873', '100.0']","['3,679', '100.0']","['7,933', '100.0']","['9,296', '100.0']","['4,365', '100.0']","['4,615', '100.0']","['2,535', '100.0']"
1766,r031,Cumulative debt -> Undergraduate debt,Cumulative debt,Undergraduate debt,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
1766,r032,Cumulative debt -> Undergraduate debt -> Mean,Cumulative debt,Undergraduate debt,Mean,3,"['$8,219', '']","['$9,032', '']","['$7,620', '']","['$4,140', '']","['$10,173', '']","['$4,784', '']","['$12,249', '']","['$9,519', '']","['$8,927', '']"
1766,r033,Cumulative debt -> Undergraduate debt -> ,Cumulative debt,Undergraduate debt,,3,"['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']"
1766,r034,Cumulative debt -> Undergraduate debt -> No debt,Cumulative debt,Undergraduate debt,No debt,3,"['36,211', '72.0']","['8,144', '68.7']","['4,308', '73.0']","['3,093', '83.8']","['5,293', '66.5']","['7,660', '82.0']","['2,798', '63.9']","['3,062', '66.1']","['1,853', '72.8']"
1766,r035,"Cumulative debt -> Undergraduate debt -> $10,000 or less",Cumulative debt,Undergraduate debt,"$10,000 or less",3,"['3,466', '6.9']","['893', '7.5']","['366', '6.2']","['163', '4.4']","['615', '7.7']","['522', '5.6']","['352', '8.0']","['388', '8.4']","['167', '6.6']"
1766,r036,"Cumulative debt -> Undergraduate debt -> $10,001&#8211;$20,000",Cumulative debt,Undergraduate debt,"$10,001&#8211;$20,000",3,"['3,028', '6.0']","['821', '6.9']","['366', '6.2']","['146', '4.0']","['563', '7.1']","['352', '3.8']","['292', '6.7']","['368', '7.9']","['120', '4.7']"
1766,r037,"Cumulative debt -> Undergraduate debt -> $20,001&#8211;$30,000",Cumulative debt,Undergraduate debt,"$20,001&#8211;$30,000",3,"['2,400', '4.8']","['664', '5.6']","['284', '4.8']","['107', '2.9']","['464', '5.8']","['254', '2.7']","['250', '5.7']","['274', '5.9']","['103', '4.0']"
1766,r038,"Cumulative debt -> Undergraduate debt -> $30,001&#8211;$40,000",Cumulative debt,Undergraduate debt,"$30,001&#8211;$40,000",3,"['1,657', '3.3']","['440', '3.7']","['216', '3.7']","['70', '1.9']","['323', '4.1']","['179', '1.9']","['166', '3.8']","['171', '3.7']","['92', '3.6']"
1766,r039,"Cumulative debt -> Undergraduate debt -> $40,001&#8211;$50,000",Cumulative debt,Undergraduate debt,"$40,001&#8211;$50,000",3,"['1,035', '2.1']","['258', '2.2']","['119', '2.0']","['30', '0.8']","['217', '2.7']","['112', '1.2']","['134', '3.1']","['106', '2.3']","['59', '2.3']"
1766,r040,"Cumulative debt -> Undergraduate debt -> $50,001&#8211;$60,000",Cumulative debt,Undergraduate debt,"$50,001&#8211;$60,000",3,"['700', '1.4']","['173', '1.5']","['75', '1.3']","['31', '0.8']","['122', '1.5']","['89', '1.0']","['91', '2.1']","['82', '1.8']","['37', '1.5']"
1766,r041,"Cumulative debt -> Undergraduate debt -> $60,001&#8211;$70,000",Cumulative debt,Undergraduate debt,"$60,001&#8211;$70,000",3,"['474', '0.9']","['124', '1.0']","['42', '0.7']","['24', '0.6']","['74', '0.9']","['43', '0.5']","['78', '1.8']","['63', '1.4']","['26', '1.0']"
1766,r042,"Cumulative debt -> Undergraduate debt -> $70,001&#8211;$80,000",Cumulative debt,Undergraduate debt,"$70,001&#8211;$80,000",3,"['339', '0.7']","['99', '0.8']","['36', '0.6']","['7', '0.2']","['77', '1.0']","['30', '0.3']","['50', '1.1']","['26', '0.6']","['14', '0.6']"
1766,r043,"Cumulative debt -> Undergraduate debt -> $80,001&#8211;$90,000",Cumulative debt,Undergraduate debt,"$80,001&#8211;$90,000",3,"['313', '0.6']","['76', '0.6']","['29', '0.5']","['7', '0.2']","['73', '0.9']","['30', '0.3']","['54', '1.2']","['27', '0.6']","['17', '0.7']"
1766,r044,"Cumulative debt -> Undergraduate debt -> $90,001 or more",Cumulative debt,Undergraduate debt,"$90,001 or more",3,"['682', '1.4']","['160', '1.3']","['59', '1.0']","['15', '0.4']","['140', '1.8']","['70', '0.7']","['116', '2.6']","['65', '1.4']","['57', '2.2']"
1766,r045,Cumulative debt -> Undergraduate debt -> Total,Cumulative debt,Undergraduate debt,Total,3,"['50,305', '100.0']","['11,852', '100.0']","['5,900', '100.0']","['3,693', '100.0']","['7,961', '100.0']","['9,341', '100.0']","['4,381', '100.0']","['4,632', '100.0']","['2,545', '100.0']"
