table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2022_actuala,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10426,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,6340,6696,7669,5.6,14.5
10426,r024,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,5976,3293,2827,-44.9,-14.2
10426,r025,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,2848,2996,3305,5.2,10.3
10426,r026,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,3000,2893,2990,-3.6,3.4
10426,r027,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,2274,1940,2136,-14.7,10.1
10426,r028,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,1588,1622,1644,2.1,1.4
10426,r029,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,679,654,657,-3.7,0.5
10426,r030,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,701,466,442,-33.5,-5.2
10426,r031,R&D and R&D plant -> R&D -> International affairs,R&D and R&D plant,R&D,International affairs,3,173,168,168,-2.9,0.0
10426,r032,R&D and R&D plant -> R&D -> Income security,R&D and R&D plant,R&D,Income security,3,90,90,100,0.0,11.1
10426,r033,R&D and R&D plant -> R&D -> Medicare,R&D and R&D plant,R&D,Medicare,3,20,20,0,0.0,-100.0
10426,r034,R&D and R&D plant -> R&D -> Community and regional development,R&D and R&D plant,R&D,Community and regional development,3,8,8,8,0.0,0.0
10426,r035,R&D and R&D plant -> R&D plant,R&D and R&D plant,R&D plant,,2,6570,6908,6674,5.1,-3.4
10426,r036,R&D and R&D plant -> R&D plant -> National defense,R&D and R&D plant,R&D plant,National defense,3,1442,1630,1880,13.0,15.3
10426,r037,R&D and R&D plant -> R&D plant -> Health,R&D and R&D plant,R&D plant,Health,3,301,422,392,40.2,-7.1
10426,r038,R&D and R&D plant -> R&D plant -> General science and basic research,R&D and R&D plant,R&D plant,General science and basic research,3,3143,2061,2262,-34.4,9.7
10426,r039,"R&D and R&D plant -> R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,R&D plant,"Space flight, research, and supporting activities",3,100,108,40,8.0,-63.0
10426,r040,R&D and R&D plant -> R&D plant -> Energy,R&D and R&D plant,R&D plant,Energy,3,774,1747,1095,125.7,-37.3
10426,r041,R&D and R&D plant -> R&D plant -> Commerce and housing credit,R&D and R&D plant,R&D plant,Commerce and housing credit,3,114,167,305,46.5,82.6
10426,r042,R&D and R&D plant -> R&D plant -> Natural resources and environment,R&D and R&D plant,R&D plant,Natural resources and environment,3,307,325,320,5.8,-1.5
10426,r043,R&D and R&D plant -> R&D plant -> Agriculture,R&D and R&D plant,R&D plant,Agriculture,3,295,314,226,6.4,-28.0
10426,r044,R&D and R&D plant -> R&D plant -> Transportation,R&D and R&D plant,R&D plant,Transportation,3,40,46,42,15.0,-8.7
10426,r045,R&D and R&D plant -> R&D plant -> Veterans benefits and services,R&D and R&D plant,R&D plant,Veterans benefits and services,3,0,0,0,-,-
10426,r046,"R&D and R&D plant -> R&D plant -> Education, training, employment, and social services",R&D and R&D plant,R&D plant,"Education, training, employment, and social services",3,40,33,33,-17.5,0.0
10426,r047,R&D and R&D plant -> R&D plant -> Administration of justice,R&D and R&D plant,R&D plant,Administration of justice,3,13,55,79,323.1,43.6
10426,r048,R&D and R&D plant -> R&D plant -> International affairs,R&D and R&D plant,R&D plant,International affairs,3,0,0,0,-,-
10426,r049,R&D and R&D plant -> R&D plant -> Income security,R&D and R&D plant,R&D plant,Income security,3,0,0,0,-,-
10426,r050,R&D and R&D plant -> R&D plant -> Medicare,R&D and R&D plant,R&D plant,Medicare,3,0,0,0,-,-
10426,r051,R&D and R&D plant -> R&D plant -> Community and regional development,R&D and R&D plant,R&D plant,Community and regional development,3,0,0,0,-,-
