table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_experimental_development_number,field_research_and_development_experimental_development_se,field_computer_applications_number,field_computer_applications_se,field_design_number,field_design_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
8230,r034,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, sociology",All occupations,Science occupations,Social scientists,"Postsecondary teachers, sociology",4,7950,425,2000,275,1600,225,400,100,,,,,,,450,125,,,5300,375,100,50
8230,r035,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, other social sciences",All occupations,Science occupations,Social scientists,"Postsecondary teachers, other social sciences",4,15550,500,3300,275,1600,200,1650,200,S,S,,,,,1100,150,50,50,10750,475,300,75
8230,r036,"All occupations -> Science occupations -> Social scientists -> Sociologists, anthropologists",All occupations,Science occupations,Social scientists,"Sociologists, anthropologists",4,3800,300,2450,250,400,125,1900,225,150,50,,,50,25,700,150,200,100,50,50,300,75
8230,r037,All occupations -> Science occupations -> Social scientists -> Other social scientists,All occupations,Science occupations,Social scientists,Other social scientists,4,9400,475,5650,375,500,100,4650,300,450,100,150,50,150,50,1600,175,650,125,250,100,1000,200
8230,r038,All occupations -> Engineering occupations,All occupations,Engineering occupations,,,2,122800,1575,62900,1300,7500,475,28850,975,26550,850,4700,375,13750,650,18000,825,2450,275,14850,525,6150,475
8230,r039,"All occupations -> Engineering occupations -> Aerospace, aeronautical, astronautical engineers",All occupations,Engineering occupations,"Aerospace, aeronautical, astronautical engineers",,3,7100,425,3350,325,250,125,1700,200,1400,225,550,125,950,150,1700,250,S,S,S,S,300,100
8230,r040,All occupations -> Engineering occupations -> Chemical engineers,All occupations,Engineering occupations,Chemical engineers,,3,8800,475,5550,400,400,125,2600,275,2500,325,200,100,900,200,1300,225,200,75,,,600,150
8230,r041,"All occupations -> Engineering occupations -> Civil, architectural, sanitary engineers",All occupations,Engineering occupations,"Civil, architectural, sanitary engineers",,3,7400,425,2050,275,150,75,1350,225,600,175,300,100,2050,250,1650,250,750,175,200,100,450,150
8230,r042,All occupations -> Engineering occupations -> Electrical engineers,All occupations,Engineering occupations,Electrical engineers,,3,26950,850,16200,625,600,175,5750,425,9900,550,1700,250,3700,375,3400,350,350,150,200,75,1400,225
8230,r043,All occupations -> Engineering occupations -> Industrial engineers,All occupations,Engineering occupations,Industrial engineers,,3,1450,200,550,125,S,S,250,75,250,75,,,150,100,250,75,100,50,150,75,200,100
8230,r044,All occupations -> Engineering occupations -> Mechanical engineers,All occupations,Engineering occupations,Mechanical engineers,,3,14250,625,7650,500,450,125,3550,400,3650,350,900,225,2750,325,2050,275,150,75,400,125,350,100
8230,r045,"All occupations -> Engineering occupations -> Postsecondary teachers, engineering",All occupations,Engineering occupations,"Postsecondary teachers, engineering",,3,26100,750,10250,575,4300,375,5700,450,250,75,S,S,,,1850,225,S,S,13400,525,400,150
8230,r046,All occupations -> Engineering occupations -> Other engineers,All occupations,Engineering occupations,Other engineers,,3,30750,825,17350,750,1250,175,8000,475,8050,475,950,175,3050,300,5850,425,800,150,300,75,2500,275
8230,r047,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,2,100450,1525,24400,800,4600,425,14900,625,4900,400,3700,400,1500,225,26900,825,23350,800,17950,700,2700,250
8230,r048,"All occupations -> S&E-related occupations -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations,"Health occupations, except postsecondary teachers and managers",,3,30750,850,4800,350,900,175,3400,300,500,125,100,50,350,125,3600,250,19600,675,1050,200,1200,200
8230,r049,"All occupations -> S&E-related occupations -> Postsecondary teachers, health and related science",All occupations,S&E-related occupations,"Postsecondary teachers, health and related science",,3,24000,825,7750,500,1950,300,5600,350,200,100,,,,,2200,200,2200,275,11550,550,250,75
8230,r050,"All occupations -> S&E-related occupations -> S&E managers, including health",All occupations,S&E-related occupations,"S&E managers, including health",,3,30550,950,7350,550,1350,200,3700,375,2350,325,900,175,650,175,19500,775,1400,275,,,700,150
8230,r051,All occupations -> S&E-related occupations -> S&E precollege teachers,All occupations,S&E-related occupations,S&E precollege teachers,,3,5300,325,,,,,,,,,,,,,150,75,,,5050,325,S,S
8230,r052,All occupations -> S&E-related occupations -> S&E technicians/ technologists,All occupations,S&E-related occupations,S&E technicians/ technologists,,3,9100,600,4250,400,400,150,2100,275,1750,250,2600,325,350,100,1200,175,50,25,200,75,500,150
8230,r053,All occupations -> S&E-related occupations -> Other S&E-related occupations,All occupations,S&E-related occupations,Other S&E-related occupations,,3,800,150,200,75,,,S,S,S,S,100,50,150,75,250,100,100,50,,,,
8230,r054,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,146600,1825,22850,850,3550,350,11550,600,7800,450,1850,250,1900,275,70100,1350,19800,650,17050,600,13050,650
8230,r055,"All occupations -> Non-S&E occupations -> Arts, humanities-related occupations",All occupations,Non-S&E occupations,"Arts, humanities-related occupations",,3,9150,500,2200,250,300,75,850,200,1050,175,S,S,S,S,1550,225,3150,275,150,75,1850,275
8230,r056,All occupations -> Non-S&E occupations -> Management-related occupations,All occupations,Non-S&E occupations,Management-related occupations,,3,29100,975,3650,325,250,100,1900,250,1500,200,500,125,700,125,17200,775,3650,300,300,100,3100,275
8230,r057,All occupations -> Non-S&E occupations -> Non-S&E managers,All occupations,Non-S&E occupations,Non-S&E managers,,3,60150,1350,11150,625,1150,250,5800,450,4150,325,950,200,750,175,39800,1075,3250,325,600,125,3650,375
8230,r058,All occupations -> Non-S&E occupations -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations,Non-S&E postsecondary teachers,,3,17250,575,3600,300,1650,250,1850,200,150,75,,,,,1250,150,200,75,11700,450,450,100
8230,r059,All occupations -> Non-S&E occupations -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations,Non-S&E precollege/ other teachers,,3,3700,350,50,25,,,,,50,25,,,,,300,125,100,50,3100,325,100,50
8230,r060,"All occupations -> Non-S&E occupations -> Sales, marketing occupations",All occupations,Non-S&E occupations,"Sales, marketing occupations",,3,8550,525,850,175,,,350,100,400,125,100,75,100,50,6250,450,500,150,250,125,550,125
8230,r061,All occupations -> Non-S&E occupations -> Social service-related occupations,All occupations,Non-S&E occupations,Social service-related occupations,,3,6000,350,350,75,,,150,75,150,50,,,,,1100,150,3100,250,600,150,850,175
8230,r062,All occupations -> Non-S&E occupations -> Other non-S&E occupations,All occupations,Non-S&E occupations,Other non-S&E occupations,,3,12750,575,1050,175,100,50,650,125,350,100,100,50,150,75,2700,275,5850,425,350,100,2500,300
