table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_increased_subject_matter_knowledge,field_conducted_own_independent_research,field_published_papers,field_presented_papers_at_a_professional_conference,field_taught_courses,field_provided_clinical_or_professional_services,field_supervised_others,field_wrote_grant_proposals,field_worked_in_interdisciplinary_research_environments,field_collaborated_or_networked_with_colleagues,field_developed_marketable_products
3831,r011,Number of early career doctorates for whom the item was applicable (denominator) -> Position type<sup>a</sup> -> Other positions,Number of early career doctorates for whom the item was applicable (denominator),Position type<sup>a</sup>,Other positions,,3,86.9,64.2,56.7,69.8,73.7,69.6,86.8,55.1,69.9,87.2,46.7
3831,r012,Number of early career doctorates for whom the item was applicable (denominator) -> Employment setting,Number of early career doctorates for whom the item was applicable (denominator),Employment setting,,,2,,,,,,,,,,,
3831,r013,Number of early career doctorates for whom the item was applicable (denominator) -> Employment setting -> Academic institution<sup>b</sup>,Number of early career doctorates for whom the item was applicable (denominator),Employment setting,Academic institution<sup>b</sup>,,3,87.0,77.0,73.1,80.7,85.2,57.7,80.0,65.2,71.1,76.7,41.2
3831,r014,Number of early career doctorates for whom the item was applicable (denominator) -> Employment setting -> Academic institution<sup>b</sup> -> Very high research activity university,Number of early career doctorates for whom the item was applicable (denominator),Employment setting,Academic institution<sup>b</sup>,Very high research activity university,4,89.4,82.5,76.4,83.1,76.6,55.4,80.1,69.7,79.1,80.3,43.6
3831,r015,Number of early career doctorates for whom the item was applicable (denominator) -> Employment setting -> Academic institution<sup>b</sup> -> High research activity university,Number of early career doctorates for whom the item was applicable (denominator),Employment setting,Academic institution<sup>b</sup>,High research activity university,4,85.9,75.4,72.5,80.1,90.3,57.3,80.5,64.9,65.6,73.4,39.1
3831,r016,Number of early career doctorates for whom the item was applicable (denominator) -> Employment setting -> Academic institution<sup>b</sup> -> Other college or university,Number of early career doctorates for whom the item was applicable (denominator),Employment setting,Academic institution<sup>b</sup>,Other college or university,4,84.5,70.8,69.3,78.0,92.6,60.2,79.8,59.4,63.1,73.6,39.0
3831,r017,Number of early career doctorates for whom the item was applicable (denominator) -> Employment setting -> FFRDC,Number of early career doctorates for whom the item was applicable (denominator),Employment setting,FFRDC,,3,92.9,81.5,79.2,83.0,44.1,47.8,74.9,65.4,90.8,90.1,51.9
3831,r018,Number of early career doctorates for whom the item was applicable (denominator) -> Position tenure,Number of early career doctorates for whom the item was applicable (denominator),Position tenure,,,2,,,,,,,,,,,
3831,r019,Number of early career doctorates for whom the item was applicable (denominator) -> Position tenure -> 1 year or less,Number of early career doctorates for whom the item was applicable (denominator),Position tenure,1 year or less,,3,86.2,73.1,71.5,76.8,89.1,56.7,77.3,59.8,67.9,75.7,44.1
3831,r020,Number of early career doctorates for whom the item was applicable (denominator) -> Position tenure -> More than 1 year but less than 5 years,Number of early career doctorates for whom the item was applicable (denominator),Position tenure,More than 1 year but less than 5 years,,3,87.5,78.7,73.2,81.0,78.9,56.1,78.9,65.8,74.4,77.4,43.0
3831,r021,Number of early career doctorates for whom the item was applicable (denominator) -> Position tenure -> 5 years or more,Number of early career doctorates for whom the item was applicable (denominator),Position tenure,5 years or more,,3,87.1,75.9,74.7,82.3,91.7,60.4,82.8,66.4,68.9,77.6,38.0
3831,r022,Number of early career doctorates for whom the item was applicable (denominator) -> First-position status,Number of early career doctorates for whom the item was applicable (denominator),First-position status,,,2,,,,,,,,,,,
3831,r023,Number of early career doctorates for whom the item was applicable (denominator) -> First-position status -> First position held after doctoral award,Number of early career doctorates for whom the item was applicable (denominator),First-position status,First position held after doctoral award,,3,87.8,78.1,73.1,80.4,82.0,56.0,78.5,62.0,71.8,78.1,41.0
3831,r024,Number of early career doctorates for whom the item was applicable (denominator) -> First-position status -> Not the first position,Number of early career doctorates for whom the item was applicable (denominator),First-position status,Not the first position,,3,86.7,76.4,73.6,81.2,86.0,58.8,81.0,68.0,72.3,76.5,42.5
3831,r025,Number of early career doctorates for whom the item was applicable (denominator) -> Position related to doctoral degree,Number of early career doctorates for whom the item was applicable (denominator),Position related to doctoral degree,,,2,,,,,,,,,,,
3831,r026,Number of early career doctorates for whom the item was applicable (denominator) -> Position related to doctoral degree -> Closely,Number of early career doctorates for whom the item was applicable (denominator),Position related to doctoral degree,Closely,,3,88.2,80.0,76.6,83.9,86.8,58.8,81.2,67.4,72.8,77.9,42.6
3831,r027,Number of early career doctorates for whom the item was applicable (denominator) -> Position related to doctoral degree -> Somewhat,Number of early career doctorates for whom the item was applicable (denominator),Position related to doctoral degree,Somewhat,,3,84.5,66.9,61.3,70.0,74.0,52.0,75.4,57.5,69.7,75.1,38.9
3831,r028,Number of early career doctorates for whom the item was applicable (denominator) -> Position related to doctoral degree -> Not at all,Number of early career doctorates for whom the item was applicable (denominator),Position related to doctoral degree,Not at all,,3,76.2,56.6,53.9,55.0,68.9,55.4,70.0,44.6,64.0,73.2,40.6
3831,r029,Number of early career doctorates for whom the item was applicable (denominator) -> Hours worked per week,Number of early career doctorates for whom the item was applicable (denominator),Hours worked per week,,,2,,,,,,,,,,,
3831,r030,Number of early career doctorates for whom the item was applicable (denominator) -> Hours worked per week -> Less than 35 hours,Number of early career doctorates for whom the item was applicable (denominator),Hours worked per week,Less than 35 hours,,3,88.6,64.4,59.1,63.6,90.6,53.9,69.7,42.6,55.6,71.5,36.1
3831,r031,Number of early career doctorates for whom the item was applicable (denominator) -> Hours worked per week -> 35&#8211;44 hours,Number of early career doctorates for whom the item was applicable (denominator),Hours worked per week,35&#8211;44 hours,,3,87.6,78.6,74.0,80.8,80.3,57.0,77.8,63.7,74.7,80.0,44.9
3831,r032,Number of early career doctorates for whom the item was applicable (denominator) -> Hours worked per week -> 45&#8211;54 hours,Number of early career doctorates for whom the item was applicable (denominator),Hours worked per week,45&#8211;54 hours,,3,88.9,79.7,75.7,83.6,84.3,57.9,80.7,66.0,73.8,78.3,39.2
3831,r033,Number of early career doctorates for whom the item was applicable (denominator) -> Hours worked per week -> 55 hours or more,Number of early career doctorates for whom the item was applicable (denominator),Hours worked per week,55 hours or more,,3,84.3,75.4,73.3,81.4,85.8,58.5,83.7,70.6,70.2,74.2,42.9
