table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field__,field_united_states,field__,field_nebraska,field__,field_nevada,field__,field_new_hampshire,field__,field_new_jersey,field__,field_new_mexico,field__,field_new_york,field__,field_north_carolina,field__,field_north_dakota,field__,field_ohio,field__,field_oklahoma,field__,field_oregon,field__,field_pennsylvania,field__,field_rhode_island,field__,field_south_carolina,field__,field_south_dakota,field__,field_tennessee,field__,field_texas,field__,field_utah,field__,field_vermont,field__,field_virginia,field__,field_washington,field__,field_west_virginia,field__,field_wisconsin,field__,field_wyoming,field__,field_undistributedb
9670,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,240,,2559,,20,,0.05,e ,2,,87,,1,e ,195,,18,,0.05,e ,247,,14,,6,,208,,2,,12,,31,,249,i ,181,,15,,0,,115,,16,,11,,36,,0.05,,9
9670,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,120,,"1,291 - 1,320",i ,0.05,e ,0 - 3,,0 - 10,r,11,,0,,40,i ,8,,0,,310,,0 - 6,r ,7,,108,,0 - 5,,3,,0,,7,,294,,0 - 6,r ,0.05,e ,14,,4,,29,,4,,0,,0 - 47
9670,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,100,,915 - 946,,2,,0.05,e ,0.05,e ,15 - 223,,0.05,e ,4,,179 - 387,,0.05,,37,,0.05,e ,2,,2,e ,0,,0.05,,1,,1,i ,8,,0.05,e ,0.05,e ,6,,8,,0.05,e ,38,,0,,6
9670,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,1110,,88524,,67,i ,18,i ,54,,11192,,14,,3585,,1640,,5,,702,,3,,54,i ,7619,,240,,235,i ,1,,62,,678,,431,,13,,285,i ,1720,,290,i ,445,,1,,0 - 164
9670,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,290,,2531,,2,,0.05,e ,0.05,e ,260,i ,0.05,e ,212,i ,27,,0,,1203,,1,,2,,10,,0 - 5,i ,2,i ,0.05,e ,5,,46,,1,e ,4,,1,e ,2,,1,e ,9,,0,,0 - 26
9670,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259",300,,"1,242 - 1,252",,1,r ,0 - 3,i ,0 - 10,,0 - 207,,0.05,e ,8,,0 - 207,,0,,207,,0 - 6,i ,11,,138,,0.05,,16,,4,,6,,24,,0 - 6,,0.05,e ,6,,1,,0.05,e ,15,,0.05,e ,0 - 193
9670,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,880,,2961,,12,,1,e ,15,,21,,0 - 51,i ,106,,103,,0.05,e ,350,,52,,3,e ,168,,13,,47,,4,,25,,122,,4,,0.05,e ,21,,11,i ,6,,152,,1,,0 - 51
9670,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,340,,1503,,1,e ,1,e ,1,e ,31,,0 - 36,e ,948,,35,,0.05,e ,37,i ,2,e ,4,,35,,0.05,e ,7,,0.05,e ,5,e ,13,e ,1,e ,2,r ,6,,5,,1,e ,13,,0.05,e ,0 - 36
9670,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,250,,887 - 890,,0.05,e ,0.05,e ,8,,4,,0 - 37,,8,,9,,0.05,e ,27,,1,,22,,128,,1,,2,,2,,8,,339,,1,,1,i ,2,,2,i ,1,,31,,0.05,e ,0 - 37
9670,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,2160,,3879,,14,,16,r ,59,,327,,12,,125,,82,,5,e ,243,,24,e ,43,,139,e ,7,e ,57,,4,e ,54,,334,,22,e ,2,e ,28,e ,36,e ,6,e ,219,,2,,54
9670,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,2090,,16726,,79,,40,,61,,157,i ,7,,605,,432,,147,,456,,243,,734,,336,,36,,215,,26,,106,,1676,,66,,11,,110,,141,,5,e ,739,,9,,39
9670,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,140,,"1,799 - 1,807",,60,,1,,0.05,,2,,0.05,e ,4,,34,,55,,72,,0 - 110,,2,i ,0 - 110,,0,,3,,5,,4,,6,,7,,0,,0.05,e ,21,,0,,65,i ,0.05,e ,0 - 39
9670,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,50,,5182,,0,,1,,0.05,,50,i ,0,,98,i ,0,,0,,0.05,e ,0,,578,,14,i ,0,,0,,0,,0,,469,i ,0,,0,,0,,0,,0,,0,,0,,1
9670,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,80,,"1,239 - 1,246",,0.05,,3,,1,,0.05,,0,,337,,13,,1,,56,,4,,1,,20,,2,,132,,0.05,,1,,23,i ,0.05,e ,0,,55,,17,,0.05,,284,,2,,0 - 24
9670,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,1830,,8499,,19,,35,,59,,105,i ,7,,166,,385,,91,,327,,128 - 240,,153,,191 - 304,,34,,80,,21,,102,,1178,,59,,11,,55,,103,,5,e ,390,,7,,0 - 39
9670,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,2040,,94211,,19,,53,,622,,810,,"769 - 1,037",,1681,,2052,,4,,652,,73,,7302,,865,,74,,132,,66,,140,,7210,,390,,167,,326,,1414,,6,,228,,6,,0 - 242
9670,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,270,,11339,,6,,22,,99,,371,,14,,407,i ,771,,1,,91,,15,,72,,174,,6,,33,,2,,55,,650,,105,,3,,173,,193,,2,,24,,0 - 4,,0 - 32
9670,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,610,,45516,,6,,8,,152,,166,i ,"109 - 1,024",,355,,721,i ,0.05,,109,i ,0 - 24,e ,6776,,264,,34,,50,,29,,17,,3546,,49,,134,,19,,287,,0 - 5,e ,29,,0 - 4,e ,0 - 242
9670,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,940,,10014,,4,,3,,258,,208,,0 - 545,,339,,180,,1,,387,,36,,206,,295,,0 - 36,e ,38,,32,,47,,337,i ,140,,21,,84,,187,,0 - 5,e ,133,,3,,0 - 242
9670,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517",180,,2837,,0 - 4,,0 - 3,i ,103,,11,,0 - 19,,81,,6,,0,,57,,2,,4,,86,,0 - 19,e ,6,,0 - 19,e ,37,,8,,82,,2,r ,6,,61,,0,,7,i ,0.05,,0 - 19
9670,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,180,,2109,,1,,1,,136,,61,,0 - 545,,65,,0 - 175,,0,,53,,25,,0 - 203,,33,,0 - 36,e ,0.05,,0.05,,0.05,,51,,2,,0.05,,47,,29,,0 - 5,,0 - 127,,0.05,e ,0 - 242
9670,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,600,,5068,,0 - 4,,0 - 3,,18,,136,,0 - 545,,194,,0 - 175,,1,,277,,9,,0 - 203,,176,,0 - 36,e ,33,,12 - 33,,10,,279,i ,57,,19,,31,,97,,0 - 5,e ,0 - 127,,3,,0 - 242
9670,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,240,,27342,,3,i ,20,,113,i ,65,,0 - 311,i ,579,i ,380,,1,i ,65,i ,0 - 24,i ,248,,132,,0 - 36,i ,11,i ,2,i ,21,i ,2676,i ,96,,8,,50,,747,,0 - 5,i ,42,,0 - 4,,0 - 242
9670,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,570,,5007,,1,e ,2,e ,8,,196,,0.05,e ,109,,158,,0.05,e ,142,,15,,104,,298,,9,,26,,0.05,e ,27,,155,,1,e ,1,e ,17,,163,,1,e ,552,,26,,5
9670,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,1080,,34405,,24,i ,12,,17,,86,i ,41,,327,,248,i ,3,,743,,36,,389,,263,,11,i ,94,,7,,107,,1432,i ,200,i ,8,,468,i ,1335,,8,i ,295,,0 - 5,e ,1 - 48
9670,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,530,,22754,,3,,2,,4,,2,,1,,125,,220,i ,0 - 4,,329,,9,,322,,80,,0 - 12,e ,71,,1,,77,,215,,38,,0.05,e ,32,,156,,0.05,e ,125,,0.05,e ,0 - 46
9670,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,320,,9900,,20,i ,10,,12,i ,71,i ,41,,200,i ,15,,0 - 4,,404,,26,,65,,117,,0 - 12,i ,8,,0 - 7,,19,,1197,i ,158,i ,8,,148,i ,1174,,7,i ,20,,0 - 5,e ,0 - 46
9670,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,300,,9293,,20,i ,10,,12,i ,70,i ,40,,196,i ,15,,0 - 4,,395,,23,,0 - 66,,113,,0 - 12,i ,7,,0 - 7,,15,,1154,i ,158,i ,8,,133,i ,"991 - 1,175",,7,i ,20,,0 - 5,e ,0 - 46
9670,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419",30,,608,,0,,0.05,i ,0,,1,,1,,3,,1,i ,0,,8,,3,,0 - 66,,3,,0,,1,,0,,4,,44,,0,,0.05,,15,,0 - 182,,0,,0,,0,,0
9670,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,20,r ,20 - 24,,0,,0,,0,,0,,0,,0,,0 - 7,i ,0,,0 - 7,i ,0,,0,,0 - 7,e ,0,,0.05,e ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0 - 7
9670,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,220,,"1,726 - 1,731",,1,e ,1,,1,e ,12,,0,,3,e ,5 - 14,i ,0,,2 - 12,,1,r ,2,e ,58 - 68,i ,0 - 12,e ,14,i ,0 - 7,,11,i ,20,,4,,0.05,e ,288,i ,6,e ,0.05,e ,150,,0,,2
9670,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,220,,423,,0.05,e ,0.05,e ,0.05,e ,1,i ,0.05,e ,2,,26,,0.05,e ,10,,0.05,e ,5,,7,,0.05,e ,0.05,e ,0.05,e ,15,,6,,22,,3,,10,,2,,0.05,e ,9,,0.05,e ,0 - 28
9670,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,1400,,20822,,8,,121,i ,72,,464,,0 - 35,e ,330,i ,243,,0.05,e ,331,,11,,210,,523,,221,,13,,2,e ,211,i ,335,,453,,8,,54,,495,,1,e ,416,,0 - 5,e ,0 - 35
9670,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,780,,18204,,1,e ,3,,15,,420,,0 - 25,e ,224,i ,216,,0.05,e ,296,,9,,22,,479,,21,,9,,1,e ,202,i ,266,,297,,3,r ,37,,297,,0.05,e ,380,,0,,0 - 25
9670,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,620,,2618,,7,,118,i ,57,,45,,0 - 32,e ,106,,27,,0.05,e ,35,,2,e ,187,,45,,201,,4,e ,1,e ,8,,69,i ,156,i ,5,,17,,198,,0.05,e ,36,,0 - 5,e ,0 - 32
9670,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",14890,,240138,,693,,483,i ,513,,5636,,241,,15190,,4007,,155,,1840,,356,,2001,,3531,,66,,437,,59,,698,,10880,,2091,,201,i ,4524,,42138,,67,,1987,,41,,337
9670,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,170,i ,"1,077 - 1,151",,0.05,e ,0 - 82,i ,0.05,e ,0.05,e ,19,r ,0.05,e ,0 - 82,,16,i ,0 - 82,e ,77,i ,0.05,e ,20,i ,0.05,e ,0.05,e ,0 - 10,i ,0.05,e ,753,,6,,0.05,e ,0 - 82,e ,1,e ,0 - 17,i ,11,i ,0 - 12,i ,0 - 82
9670,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,40,,"133 - 17,961",,0,,0,,0 - 10,,0 - 363,,0,,0 - 637,,0,,0 - 22,,0 - 169,,0,,0.05,,0 - 60,,0,,0,,0,,0,,0 - 508,,0 - 45,,0,,"0 - 1,322",,"0 - 13,910",i ,0 - 17,,0 - 147,,0 - 12,,0.05
9670,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,1720,,"1,661 - 1,770",i ,9,,11,,3,e ,47,e ,1,e ,82,i ,45,i ,0 - 22,i ,74,i ,6,e ,21,i ,41,e ,2,e ,33,i ,7,,83,i ,153,i ,8,e ,1,e ,24,i ,27,,1,e ,39,i ,0 - 12,e ,0 - 155
9670,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,180,,"5,931 - 24,034",i ,0.05,e ,0 - 212,i ,9,i ,0 - 363,i ,1,i ,0 - 637,i ,36,i ,1,i ,0 - 169,i ,1,i ,0 - 402,i ,95,i ,1,i ,0 - 40,i ,1,i ,8,i ,672,i ,55,,0.05,e ,"0 - 1,322",i ,"0 - 13,910",i ,2,i ,0 - 147,i ,0.05,e ,1
9670,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,80,,"7,198 - 7,200",,9,,6,,1,e ,18,,2,,286,i ,17,,1,e ,35,,3,e ,15,,293,i ,0.05,e ,3,,0.05,e ,102,,1060,,5,,0.05,e ,19,r ,1098,,1,,16,,1,,0 - 155
9670,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,3380,,146488,,521,,149,,314,,2682,,100,,9149,,2347,,82,,658,,177,,1266,,1626,,32,,193,,22,,346,i ,4074,,1618,,56,,1411,,25943,,8,,1210,,20,,99
9670,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,1410,,38521,,28,,43,,149,,343,,15,,843,,1133,,76,,398,,21,,523,,464,,16,,33,,12,,42,,1119,,470,,31,,378,,16237,,3,,951,,10,r ,15
9670,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,60,,81,,0.05,e ,0.05,e ,1,i ,1,,0.05,e ,3,,2,i ,0.05,e ,2,i ,0.05,i ,3,i ,2,,0.05,i ,0.05,e ,0.05,e ,1,i ,4,,0.05,e ,0.05,i ,0.05,e ,1,,0.05,e ,3,,0.05,e ,4
9670,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,1350,,38441,,28,,43,,149,,341,,15,,840,,1131,,76,,396,,20,,520,,462,,15,,33,,12,,41,,1115,,470,,31,,377,,16236,,3,,947,,10,r ,11
9670,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,160,,"3,736 - 3,805",,1,e ,3,,4,,1527,,0 - 86,,298,,59,,0 - 5,e ,6,,3,,5,,7,,0 - 5,,0 - 58,,1,e ,5,,60,,7,,0 - 7,,66,,346,,0 - 3,,16,,0 - 9,e ,0 - 85
9670,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,1660,,44585,,409,,57,,126,,412,,0 - 86,,2288,,938,,3,,168,,138,,492,,431,,13,,104,,5,,231,i ,1674,,862,,20,,682,,2273,,4,,203,,3,,0 - 85
9670,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,180,,"59,577 - 59,647",,84,,46,,34,,401,,0 - 86,,5720,,217,,0 - 5,,86,,14,,246,,724,,0 - 5,,0 - 58,i ,4,,68,,1221,,279,,0 - 7,,285,,7087,,0 - 3,,40,,0 - 9,,0 - 85
9670,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,530,r ,20902,,43,,64,,13,,1106,,1,e ,2643,,532,,1,e ,462,,37,,30,,380,,4,,68,,2,e ,17,,1134,,114,,2,,616,,156,,1,e ,308,,1,e ,3
9670,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,50,,"2,095 - 2,097",,0 - 34,,0 - 212,,0.05,e ,1,,1,,216,i ,8,,0.05,e ,10,,0.05,e ,0 - 402,,3,,0.05,e ,0.05,e ,0.05,e ,1,,10,,7,,0.05,e ,0 - 484,,0 - 484,,0.05,e ,0.05,e ,0.05,e ,2
9670,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,10,,5 - 8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0 - 3
9670,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,40,,"2,087 - 2,091",,0 - 34,,0 - 212,,0.05,e ,1,,1,,216,i ,8,,0.05,e ,10,,0.05,e ,0 - 402,,3,,0.05,e ,0.05,e ,0.05,e ,1,,10,,7,,0.05,e ,0 - 484,,0 - 484,,0.05,e ,0.05,e ,0.05,e ,0 - 3
9670,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,6290,,32083,,74,,44,,167,,1408,i ,109,,2085,,923,,36,,430,,38,e ,266,,1003,,21,,103,,20,,110,,2501,,233,,140,i ,1123,,1000,,40,,247,,10,,80
9670,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,1260,,2553,,6,,10,,22,,71,,7,,90,,67,,3,e ,43,,8,e ,95,,102,,6,,13,e ,13,i ,30,,231,,23,,89,i ,101,,75,,3,e ,38,,2,e ,34
9670,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,3220,,17188,,11,e ,24,,56,i ,402,,20,,1681,,660,,25,,235,,18,e ,99,,182,,7,e ,50,,5,,39,e ,1723,,61,,44,,707,,551,,9,e ,153,i ,7,,25
9670,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,1020,,6123,,34,,2,,82,,166,,79,,94,,135,,6,,86,,4,,58,,567,,4,i ,23,,2,,4,,110,,62,,1,,128,,243,,26,,10,,1,i ,10
9670,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,60,,154,,0.05,e ,0.05,e ,0.05,e ,0.05,e ,3,,14,,0.05,e ,0,,5,,0.05,e ,3,i ,0.05,e ,0.05,e ,0.05,e ,2,,0.05,e ,15,,0.05,e ,1,,4,,53,i ,0.05,e ,0.05,e ,0,,0
