table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_projected_worldwide_r_d_cost_paid_for_by_company,field_projected_worldwide_r_d_cost_paid_for_by_others,field_projected_domestic_r_d_cost_paid_for_by_company_total,field_projected_domestic_r_d_cost_paid_for_by_company_purchased_and_collaborative_r_d,field_projected_domestic_r_d_cost_paid_for_by_company_r_d_performed_by_the_company,field_projected_domestic_r_d_cost_paid_for_by_others_total,field_projected_domestic_r_d_cost_paid_for_by_others_u_s_government,field_projected_domestic_r_d_cost_paid_for_by_others_non_u_s_government_sources,field_projected_foreign_r_d_cost_paid_for_by_the_company
2759,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,828', 'i ']","['25', '  ']","['1,569', 'i ']","['13', '  ']","['1,556', 'i ']","['25', '  ']","['2', '  ']","['24', '  ']","['259', 'i ']"
2759,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['923', '  ']","['21', 'i ']","['767', '  ']","['20', '  ']","['746', '  ']","['20', 'i ']","['4', 'i ']","['16', 'i ']","['156', 'i ']"
2759,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,502', '  ']","['78', 'i ']","['2,310', '  ']","['39', '  ']","['2,271', '  ']","['69', 'i ']","['2', 'i ']","['67', 'i ']","['192', '  ']"
2759,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['17,982', '  ']","['1,261', '  ']","['13,378', '  ']","['343', '  ']","['13,034', '  ']","['1,154', '  ']","['188', '  ']","['967', '  ']","['4,604', '  ']"
2759,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['3,190', '  ']","['10', '  ']","['2,021', '  ']","['52', '  ']","['1,969', '  ']","['8', '  ']","['1', '  ']","['8', '  ']","['1,169', '  ']"
2759,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['4,500', '  ']","['686', '  ']","['3,526', '  ']","['2', '  ']","['3,524', '  ']","['674', '  ']","['2', '  ']","['671', '  ']","['975', '  ']"
2759,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['3,426', '  ']","['176', '  ']","['2,448', '  ']","['74', 'i ']","['2,374', '  ']","['160', '  ']","['134', '  ']","['26', '  ']","['978', '  ']"
2759,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['6,865', '  ']","['388', 'i ']","['5,383', '  ']","['215', '  ']","['5,167', '  ']","['312', '  ']","['51', '  ']","['261', '  ']","['1,483', '  ']"
2759,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['110,085', '  ']","['11,632', '  ']","['80,608', '  ']","['1,941', '  ']","['78,668', 'i ']","['10,510', '  ']","['5,663', '  ']","['4,847', '  ']","['29,477', 'i ']"
2759,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['16,598', '  ']","['1,700', 'i ']","['13,052', '  ']","['818', '  ']","['12,233', '  ']","['1,517', 'i ']","['855', 'i ']","['662', 'i ']","['3,547', '  ']"
2759,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['45,298', 'i ']","['2,505', '  ']","['30,518', 'i ']","['470', '  ']","['30,048', 'i ']","['2,287', '  ']","['77', '  ']","['2,210', '  ']","['14,780', 'i ']"
2759,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['16,329', '  ']","['7,208', '  ']","['11,928', '  ']","['400', '  ']","['11,529', '  ']","['6,516', '  ']","['4,624', '  ']","['1,892', 'i ']","['4,401', 'i ']"
2759,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['4,672', 'i ']","['181', '  ']","['3,399', '  ']","['86', '  ']","['3,313', '  ']","['178', '  ']","['1', 'i ']","['177', '  ']","['1,273', 'i ']"
2759,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['4,876', 'i ']","['6,724', '  ']","['3,758', 'i ']","['207', '  ']","['3,551', 'i ']","['6,084', '  ']","['4,504', '  ']","['1,579', 'i ']","['1,119', 'i ']"
2759,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['6,781', '  ']","['303', '  ']","['4,771', '  ']","['106', '  ']","['4,665', '  ']","['255', '  ']","['120', '  ']","['135', '  ']","['2,009', '  ']"
2759,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['31,860', '  ']","['220', '  ']","['25,110', '  ']","['253', 'i ']","['24,858', 'i ']","['190', '  ']","['107', 'i ']","['83', '  ']","['6,749', 'i ']"
2759,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['6,418', '  ']","['319', '  ']","['4,602', '  ']","['125', '  ']","['4,477', '  ']","['179', '  ']","['48', '  ']","['131', '  ']","['1,816', 'i ']"
2759,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['44,545', '  ']","['22,540', 'i ']","['37,496', '  ']","['3,705', '  ']","['33,791', '  ']","['20,066', '  ']","['16,313', 'i ']","['3,753', '  ']","['7,049', '  ']"
2759,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['30,210', '  ']","['3,091', '  ']","['23,822', '  ']","['2,934', '  ']","['20,888', '  ']","['2,644', '  ']","['66 - 1,151', '  ']","['1,493 - 2,577', '  ']","['6,388', '  ']"
2759,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['12,316', '  ']","['18,335', 'i ']","['11,851', '  ']","['735', '  ']","['11,116', '  ']","['16,338', 'i ']","['15,162', 'i ']","['1,177', '  ']","['465', '  ']"
2759,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['11,714', '  ']","['17,365', 'i ']","['11,249', '  ']","['575', '  ']","['10,674', '  ']","['15,368', 'i ']","['14,224', 'i ']","['1,145', '  ']","['465', '  ']"
2759,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['602', '  ']","['970', 'i ']","['601', '  ']","['159', '  ']","['442', '  ']","['970', 'i ']","['938', 'i ']","['32', 'i ']","['1', '  ']"
2759,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['4', '  ']","['2', '  ']","['4', '  ']","['0', '  ']","['4', '  ']","['2', '  ']","['2', '  ']","['* ', '  ']","['0', '  ']"
2759,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,015', '  ']","['1,112', '  ']","['1,819', '  ']","['37', '  ']","['1,782', '  ']","['1,082', '  ']","['0 - 1,083', '  ']","['0 - 1,083', '  ']","['196', '  ']"
2759,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['404', '  ']","['8', 'i ']","['379', '  ']","['10', 'i ']","['368', '  ']","['6', 'i ']","['3', 'i ']","['3', '  ']","['25', '  ']"
2759,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['21,434', '  ']","['458', '  ']","['17,962', '  ']","['1,044', '  ']","['16,918', '  ']","['380', '  ']","['62', '  ']","['319', '  ']","['3,472', '  ']"
2759,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['18,179', '  ']","['290', '  ']","['15,146', '  ']","['895', '  ']","['14,251', '  ']","['219', '  ']","['48', '  ']","['171', '  ']","['3,033', '  ']"
2759,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['3,255', '  ']","['169', '  ']","['2,817', '  ']","['150', 'i ']","['2,667', '  ']","['161', '  ']","['13', '  ']","['148', '  ']","['438', '  ']"
2759,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['199,837', '  ']","['34,974', '  ']","['168,627', '  ']","['4,026', '  ']","['164,601', '  ']","['25,717', '  ']","['6,356', '  ']","['19,360', '  ']","['31,210', 'i ']"
2759,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['2,184', '  ']","['181', 'i ']","['1,934', '  ']","['193', 'i ']","['1,740', 'i ']","['179', 'i ']","['0', '  ']","['179', 'i ']","['250', '  ']"
2759,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['453', '  ']","['97', 'i ']","['446', '  ']","['211', '  ']","['235', '  ']","['96', 'i ']","['42', '  ']","['54', 'i ']","['7', '  ']"
2759,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,290', 'i ']","['31', 'i ']","['1,139', 'i ']","['91', 'i ']","['1,048', 'i ']","['29', 'i ']","['0', '  ']","['29', 'i ']","['151', 'i ']"
2759,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['6 - 21,485', 'i ']","['121', '  ']","['6 - 16,746', 'i ']","['7', 'i ']","['0 - 16,739', 'i ']","['121', '  ']","['121', '  ']","['0', '  ']","['0 - 4,744', 'i ']"
2759,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['1,282', '  ']","['8', '  ']","['1,227', '  ']","['24', '  ']","['1,204', '  ']","['8', '  ']","['4', '  ']","['4', '  ']","['55', '  ']"
2759,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['130,594', '  ']","['992', '  ']","['110,831', '  ']","['2,139', '  ']","['108,692', '  ']","['913', '  ']","['79', '  ']","['834', '  ']","['19,763', '  ']"
2759,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['44,112', '  ']","['574', '  ']","['36,415', '  ']","['1,126', '  ']","['35,289', '  ']","['515', '  ']","['67', '  ']","['449', '  ']","['7,697', '  ']"
2759,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['167', 'i ']","['1', 'i ']","['149', 'i ']","['4', '  ']","['145', 'i ']","['* ', 'i ']","['* ', 'i ']","['* ', 'i ']","['18', 'i ']"
2759,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['43,945', '  ']","['574', '  ']","['36,266', '  ']","['1,122', '  ']","['35,145', '  ']","['515', '  ']","['67', '  ']","['448', '  ']","['7,679', '  ']"
2759,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['3,919', '  ']","['77', '  ']","['3,798', '  ']","['372', 'i ']","['3,427', '  ']","['75', '  ']","['6', '  ']","['69', '  ']","['120', '  ']"
2759,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['31,332', '  ']","['214', '  ']","['26,088', '  ']","['228', 'i ']","['25,860', '  ']","['199', 'i ']","['5', '  ']","['194', 'i ']","['5,244', '  ']"
2759,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['51,231', 'i ']","['126', '  ']","['44,530', 'i ']","['413', '  ']","['44,116', 'i ']","['123', '  ']","['1', 'i ']","['123', '  ']","['6,701', 'i ']"
2759,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['9,603', 'i ']","['41', '  ']","['8,474', 'i ']","['420', 'i ']","['8,054', 'i ']","['40', 'i ']","['0', '  ']","['40', 'i ']","['1,129', '  ']"
2759,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['1,429', '  ']","['0', '  ']","['1,365', '  ']","['12', '  ']","['1,353', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['64', '  ']"
2759,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['10', '  ']","['0', '  ']","['10', '  ']","['10', '  ']","['* ', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2759,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['1,419', '  ']","['0', '  ']","['1,355', '  ']","['2', '  ']","['1,353', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['64', '  ']"
2759,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['29,647', 'i ']","['33,267', '  ']","['24,646', 'i ']","['685', '  ']","['23,961', 'i ']","['24,096', '  ']","['6,104', '  ']","['17,992', '  ']","['5,000', 'i ']"
2759,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['2,499', '  ']","['2,412', '  ']","['2,475', '  ']","['127', '  ']","['2,348', '  ']","['1,940', 'i ']","['1,137', 'i ']","['804', 'i ']","['25', '  ']"
2759,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['18,603', 'i ']","['2,439', '  ']","['14,345', 'i ']","['160', 'i ']","['14,185', 'i ']","['2,314', '  ']","['480', '  ']","['1,833', '  ']","['4,258', 'i ']"
2759,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['3,394', '  ']","['27,511', '  ']","['3,202', '  ']","['315', '  ']","['2,887', '  ']","['19,003', '  ']","['4,081', '  ']","['14,922', '  ']","['192', '  ']"
2759,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['1,140', '  ']","['8,266', '  ']","['1,028 - 1,037', '  ']","['97 - 105', '  ']","['931', '  ']","['5,262 - 5,954', '  ']","['0 - 667', '  ']","['4,596 - 5,288', '  ']","['103 - 111', '  ']"
2759,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['2,226', '  ']","['18,556', '  ']","['2,144', '  ']","['211', '  ']","['1,933', '  ']","['13,050', '  ']","['3,415', '  ']","['9,635', '  ']","['82', '  ']"
2759,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['28', '  ']","['689', 'i ']","['22 - 29', '  ']","['0 - 6', '  ']","['23', '  ']","['0 - 690', '  ']","['0 - 667', 'i ']","['0 - 690', 'i ']","['0 - 6', 'i ']"
2759,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['5,150', '  ']","['906', '  ']","['4,625', '  ']","['83', '  ']","['4,542', '  ']","['838', '  ']","['405', '  ']","['433', '  ']","['525', 'i ']"
2759,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['1,765', 'i ']","['125', 'i ']","['1,714', 'i ']","['135', 'i ']","['1,579', 'i ']","['125', 'i ']","['5', '  ']","['120', 'i ']","['52', '  ']"
2759,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['109 - 21,588', '  ']","['111', '  ']","['109 - 16,849', '  ']","['110', '  ']","['0 - 16,739', 'i ']","['110', '  ']","['2', '  ']","['109', '  ']","['0 - 4,744', '  ']"
2759,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['558,974', '  ']","['88,631', '  ']","['452,151', '  ']","['43,137', '  ']","['409,013', '  ']","['71,163', '  ']","['28,899', '  ']","['42,264', '  ']","['106,823', '  ']"
2759,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2759,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['4,401', '  ']","['1,194', '  ']","['4,074', '  ']","['530', '  ']","['3,544', '  ']","['1,106', '  ']","['557', '  ']","['549', '  ']","['327', '  ']"
2759,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['14,307', '  ']","['2,186', '  ']","['13,173', '  ']","['2,152', '  ']","['11,020', '  ']","['1,816', '  ']","['839', '  ']","['976', '  ']","['1,135', '  ']"
2759,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2759,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['15,290', '  ']","['2,266', '  ']","['14,116', '  ']","['1,664', '  ']","['12,453', '  ']","['2,019', '  ']","['703', '  ']","['1,316', '  ']","['1,174', '  ']"
2759,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['20,447', '  ']","['4,928', '  ']","['18,377', '  ']","['2,074', '  ']","['16,303', '  ']","['4,435', '  ']","['1,636', '  ']","['2,799', '  ']","['2,070', '  ']"
