table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_occupations_total_number,field_science_occupations_total_se,field_science_occupations_biological_agricultural_and_other_life_scientist_number,field_science_occupations_biological_agricultural_and_other_life_scientist_se,field_science_occupations_computer_and_information_scientist_number,field_science_occupations_computer_and_information_scientist_se,field_science_occupations_mathematical_scientist_number,field_science_occupations_mathematical_scientist_se,field_science_occupations_physical_scientist_number,field_science_occupations_physical_scientist_se,field_science_occupations_psychologist_number,field_science_occupations_psychologist_se,field_science_occupations_social_scientist_number,field_science_occupations_social_scientist_se,field_engineering_occupations_number,field_engineering_occupations_se,field_s_e_related_occupations_number,field_s_e_related_occupations_se,field_non_s_e_occupations_number,field_non_s_e_occupations_se
3722,r020,Doctorate recipient -> Age -> 60&#8211;64,Doctorate recipient,Age,60&#8211;64,,3,88300,1400,48150,1125,15000,725,5250,375,3400,300,9550,475,8300,425,6650,425,10450,475,11400,575,18300,725
3722,r021,Doctorate recipient -> Age -> 65&#8211;75,Doctorate recipient,Age,65&#8211;75,,3,112350,1625,62600,1275,15200,700,4300,325,4000,300,10500,475,17650,700,11000,550,10200,600,11900,550,27700,875
3722,r022,Doctorate recipient -> Citizenship,Doctorate recipient,Citizenship,,,2,,,,,,,,,,,,,,,,,,,,,,
3722,r023,Doctorate recipient -> Citizenship -> U.S. citizen,Doctorate recipient,Citizenship,U.S. citizen,,3,732750,2000,418050,2275,132250,1425,44800,875,30800,775,72350,1100,75700,975,62150,1025,90550,1350,83500,1400,140700,1600
3722,r024,Doctorate recipient -> Citizenship -> U.S. citizen -> Native-born,Doctorate recipient,Citizenship,U.S. citizen,Native-born,4,555150,1575,330150,2000,105400,1275,26000,650,20250,575,57950,975,68850,975,51700,800,52850,1050,62300,1125,109900,1375
3722,r025,Doctorate recipient -> Citizenship -> U.S. citizen -> Naturalized,Doctorate recipient,Citizenship,U.S. citizen,Naturalized,4,177600,1675,87900,1450,26850,775,18800,625,10550,550,14400,550,6850,450,10500,575,37650,900,21200,800,30850,875
3722,r026,Doctorate recipient -> Citizenship -> Non-U.S. citizen,Doctorate recipient,Citizenship,Non-U.S. citizen,,3,124450,1600,74700,1500,24400,775,18200,725,10600,475,12200,675,1950,250,7350,450,30100,900,8850,475,10800,650
3722,r027,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Permanent resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Permanent resident,4,87200,1475,50800,1225,15600,650,12500,625,7050,425,8900,550,1550,225,5150,375,21100,800,6750,375,8550,575
3722,r028,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Temporary resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Temporary resident,4,37300,900,23950,750,8800,450,5700,375,3550,300,3300,325,400,125,2200,250,9050,475,2100,275,2250,250
3722,r029,Doctorate recipient -> Years since doctorate,Doctorate recipient,Years since doctorate,,,2,,,,,,,,,,,,,,,,,,,,,,
3722,r030,Doctorate recipient -> Years since doctorate -> &#8804; 5,Doctorate recipient,Years since doctorate,&#8804; 5,,3,142500,625,90100,900,31200,650,14300,500,9100,325,13350,500,10250,375,11950,400,23750,675,13150,475,15450,575
3722,r031,Doctorate recipient -> Years since doctorate -> 6&#8211;10,Doctorate recipient,Years since doctorate,6&#8211;10,,3,154750,1025,92650,1125,31400,750,14200,600,8350,375,14750,475,11250,475,12700,525,24700,750,17300,650,20100,600
3722,r032,Doctorate recipient -> Years since doctorate -> 11&#8211;15,Doctorate recipient,Years since doctorate,11&#8211;15,,3,127000,1150,72550,1125,24200,725,9050,450,6750,400,11800,500,10750,450,9950,475,18750,650,14100,475,21600,700
3722,r033,Doctorate recipient -> Years since doctorate -> 16&#8211;20,Doctorate recipient,Years since doctorate,16&#8211;20,,3,108700,825,60950,800,18700,525,6650,425,4600,350,10650,450,10050,525,10300,450,13350,500,13300,550,21100,700
3722,r034,Doctorate recipient -> Years since doctorate -> 21&#8211;25,Doctorate recipient,Years since doctorate,21&#8211;25,,3,104250,825,54250,900,16050,550,7650,425,3850,325,9350,425,9300,475,8000,475,14850,550,12650,575,22500,750
3722,r035,Doctorate recipient -> Years since doctorate -> > 25,Doctorate recipient,Years since doctorate,> 25,,3,220000,1575,122200,1575,35050,950,11200,575,8700,425,24650,750,26000,775,16550,600,25150,800,21850,825,50800,1200
3722,r036,Doctorate recipient -> Place of birth,Doctorate recipient,Place of birth,,,2,,,,,,,,,,,,,,,,,,,,,,
3722,r037,Doctorate recipient -> Place of birth -> United States,Doctorate recipient,Place of birth,United States,,3,544400,1525,323750,2000,103600,1250,25450,675,19850,575,56450,950,68000,975,50450,800,51850,1000,61250,1100,107550,1325
3722,r038,Doctorate recipient -> Place of birth -> Asia,Doctorate recipient,Place of birth,Asia,,3,217650,1500,113300,1550,38100,875,29350,850,14850,550,17600,725,4200,325,9200,500,54450,1150,21800,850,28150,850
3722,r039,Doctorate recipient -> Place of birth -> Europe<sup>d</sup>,Doctorate recipient,Place of birth,Europe<sup>d</sup>,,3,46050,900,28150,750,6900,350,4650,375,3650,300,5850,375,2450,300,4600,350,6350,400,4350,350,7200,475
3722,r040,Doctorate recipient -> Place of birth -> North America<sup>e</sup>,Doctorate recipient,Place of birth,North America<sup>e</sup>,,3,8200,400,4950,375,1200,200,450,125,550,125,800,125,850,200,1150,200,750,150,900,150,1600,200
3722,r041,Doctorate recipient -> Place of birth -> Central America<sup>f</sup>,Doctorate recipient,Place of birth,Central America<sup>f</sup>,,3,5800,325,3350,275,1100,125,350,125,300,75,650,125,300,75,650,125,950,125,550,100,900,125
3722,r042,Doctorate recipient -> Place of birth -> Caribbean,Doctorate recipient,Place of birth,Caribbean,,3,4000,250,2450,225,550,100,200,75,150,50,400,100,700,150,400,100,350,100,400,75,800,100
3722,r043,Doctorate recipient -> Place of birth -> South America,Doctorate recipient,Place of birth,South America,,3,11750,475,6650,350,2500,200,650,100,750,125,1150,150,450,100,1150,150,2100,200,900,100,2050,250
3722,r044,Doctorate recipient -> Place of birth -> Africa,Doctorate recipient,Place of birth,Africa,,3,13950,475,7100,350,2000,200,1100,175,850,100,1300,175,400,100,1500,150,2650,275,1700,200,2550,250
3722,r045,Doctorate recipient -> Place of birth -> Oceania,Doctorate recipient,Place of birth,Oceania,,3,1850,225,1150,200,350,100,,,150,75,250,100,100,50,200,75,300,100,150,75,250,75
3722,r046,Doctorate recipient -> Place of birth -> Unknown,Doctorate recipient,Place of birth,Unknown,,3,3550,400,1900,300,350,125,700,200,300,150,,,150,100,200,100,900,225,350,125,450,150
