table_id,row_id,_b_debt_level_and_field_b_full_path,_b_debt_level_and_field_b_level_1,_b_debt_level_and_field_b_level_2,_b_debt_level_and_field_b_level_3,_b_debt_level_and_field_b_level_4,_b_debt_level_and_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
4676,r024,"All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,"$10,001&#8211;$30,000",4,866,882,983,880,860,947,881,840,736,724,701
4676,r025,"All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,"$30,001 or more",4,2258,2328,2398,2501,2535,2601,2539,2415,2407,2449,2260
4676,r026,All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering,All doctorate recipients,Life sciences<sup>a</sup>,Engineering,,3,6989,7363,7747,7964,8445,8827,8549,8854,9289,9429,9655
4676,r027,All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Engineering,No debt,4,5347,5654,5907,5981,6426,6787,6555,7034,7488,7573,7881
4676,r028,"All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Engineering,"$10,000 or less",4,581,635,692,706,746,774,759,679,716,639,635
4676,r029,"All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Engineering,"$10,001&#8211;$30,000",4,528,504,549,615,617,613,568,520,516,577,494
4676,r030,"All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Engineering,"$30,001 or more",4,533,570,599,662,656,653,667,621,569,640,645
4676,r031,All doctorate recipients -> Life sciences<sup>a</sup> -> Education,All doctorate recipients,Life sciences<sup>a</sup>,Education,,3,4766,4255,4397,4300,4079,4490,4621,4300,4356,4204,4269
4676,r032,All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Education,No debt,4,2445,2152,2115,1898,1725,1942,2038,1893,1952,1979,2005
4676,r033,"All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Education,"$10,000 or less",4,365,312,373,361,347,396,369,340,339,267,292
4676,r034,"All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Education,"$10,001&#8211;$30,000",4,556,542,534,574,502,555,557,483,480,422,432
4676,r035,"All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Education,"$30,001 or more",4,1400,1249,1375,1467,1505,1597,1657,1584,1585,1536,1540
4676,r036,All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts,All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,,3,4577,4808,5059,4974,4771,4939,4953,4735,4614,4507,4376
4676,r037,All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,No debt,4,2383,2459,2451,2431,2325,2437,2551,2544,2550,2564,2515
4676,r038,"All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,"$10,000 or less",4,434,477,539,525,450,543,466,444,457,402,357
4676,r039,"All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,"$10,001&#8211;$30,000",4,569,657,671,667,629,633,611,509,483,476,429
4676,r040,"All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,"$30,001 or more",4,1191,1215,1398,1351,1367,1326,1325,1238,1124,1065,1075
4676,r041,All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup>,All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,,3,2420,2420,2416,2624,2554,2609,2609,2676,2531,2617,2592
4676,r042,All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,No debt,4,1314,1309,1268,1345,1291,1366,1362,1444,1419,1496,1507
4676,r043,"All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,"$10,000 or less",4,167,172,198,195,188,184,202,171,174,170,178
4676,r044,"All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,"$10,001&#8211;$30,000",4,271,289,263,295,276,274,267,254,251,254,209
4676,r045,"All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,"$30,001 or more",4,668,650,687,789,799,785,778,807,687,697,698
