table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_level_4,_b_field_and_citizenship_status_b_hierarchy_depth,field_1978,field_1983,field_1988,field_1993,field_1998,field_2003,field_2008,field_2013,field_2018,field_2023
11645,r039,All fields -> Science and engineering -> Physical sciences  -> Temporary visa holder,All fields,Science and engineering,Physical sciences ,Temporary visa holder,4,400,540,873,1261,1193,1216,1734,1742,1981,2076
11645,r040,All fields -> Science and engineering -> Physical sciences  -> Unknown citizenship,All fields,Science and engineering,Physical sciences ,Unknown citizenship,4,44,72,204,103,163,120,209,260,155,208
11645,r041,All fields -> Science and engineering -> Psychology,All fields,Science and engineering,Psychology,,3,3055,3346,3074,3420,3673,3277,3357,3592,3821,3899
11645,r042,All fields -> Science and engineering -> Psychology -> U.S. citizen or permanent resident,All fields,Science and engineering,Psychology,U.S. citizen or permanent resident,4,2862,3116,2730,3161,3275,2867,2892,3067,3309,3249
11645,r043,All fields -> Science and engineering -> Psychology -> Temporary visa holder,All fields,Science and engineering,Psychology,Temporary visa holder,4,61,81,85,150,168,196,249,282,284,366
11645,r044,All fields -> Science and engineering -> Psychology -> Unknown citizenship,All fields,Science and engineering,Psychology,Unknown citizenship,4,132,149,259,109,230,214,216,243,228,284
11645,r045,All fields -> Science and engineering -> Social sciences,All fields,Science and engineering,Social sciences,,3,3265,3025,2965,3477,3760,3867,4326,5041,5054,5199
11645,r046,All fields -> Science and engineering -> Social sciences -> U.S. citizen or permanent resident,All fields,Science and engineering,Social sciences,U.S. citizen or permanent resident,4,2706,2353,2026,2351,2651,2554,2734,3439,3382,3189
11645,r047,All fields -> Science and engineering -> Social sciences -> Temporary visa holder,All fields,Science and engineering,Social sciences,Temporary visa holder,4,486,545,690,1029,941,1123,1377,1361,1484,1769
11645,r048,All fields -> Science and engineering -> Social sciences -> Unknown citizenship,All fields,Science and engineering,Social sciences,Unknown citizenship,4,73,127,249,97,168,190,215,241,188,241
11645,r049,All fields -> Non-science and engineering,All fields,Non-science and engineering,,,2,12898,12150,11800,13314,14000,14003,14011,13619,12934,12329
11645,r050,All fields -> Non-science and engineering -> U.S. citizen or permanent resident,All fields,Non-science and engineering,U.S. citizen or permanent resident,,3,11809,10735,9811,11325,11866,11303,10937,10461,9913,8944
11645,r051,All fields -> Non-science and engineering -> Temporary visa holder,All fields,Non-science and engineering,Temporary visa holder,,3,819,1023,1163,1632,1449,1903,2208,2230,2378,2625
11645,r052,All fields -> Non-science and engineering -> Unknown citizenship,All fields,Non-science and engineering,Unknown citizenship,,3,270,392,826,357,685,797,866,928,643,760
11645,r053,All fields -> Non-science and engineering -> Business ,All fields,Non-science and engineering,Business ,,3,713,750,1033,1281,1175,1036,1421,1551,1473,1560
11645,r054,All fields -> Non-science and engineering -> Business  -> U.S. citizen or permanent resident,All fields,Non-science and engineering,Business ,U.S. citizen or permanent resident,4,572,578,694,843,853,615,703,831,740,681
11645,r055,All fields -> Non-science and engineering -> Business  -> Temporary visa holder,All fields,Non-science and engineering,Business ,Temporary visa holder,4,131,151,258,394,268,356,619,600,642,770
11645,r056,All fields -> Non-science and engineering -> Business  -> Unknown citizenship,All fields,Non-science and engineering,Business ,Unknown citizenship,4,10,21,81,44,54,65,99,120,91,109
11645,r057,All fields -> Non-science and engineering -> Education,All fields,Non-science and engineering,Education,,3,7194,7174,6361,6689,6569,6651,6561,4934,4818,4562
11645,r058,All fields -> Non-science and engineering -> Education -> U.S. citizen or permanent resident,All fields,Non-science and engineering,Education,U.S. citizen or permanent resident,4,6635,6408,5478,5969,5748,5650,5584,4118,4025,3755
11645,r059,All fields -> Non-science and engineering -> Education -> Temporary visa holder,All fields,Non-science and engineering,Education,Temporary visa holder,4,414,563,485,554,487,588,567,515,611,546
11645,r060,All fields -> Non-science and engineering -> Education -> Unknown citizenship,All fields,Non-science and engineering,Education,Unknown citizenship,4,145,203,398,166,334,413,410,301,182,261
11645,r061,All fields -> Non-science and engineering -> Humanities and arts,All fields,Non-science and engineering,Humanities and arts,,3,4176,3451,3548,4372,5308,5226,4688,5662,5139,4453
11645,r062,All fields -> Non-science and engineering -> Humanities and arts -> U.S. citizen or permanent resident,All fields,Non-science and engineering,Humanities and arts,U.S. citizen or permanent resident,4,3910,3094,2998,3752,4497,4297,3706,4493,4145,3333
11645,r063,All fields -> Non-science and engineering -> Humanities and arts -> Temporary visa holder,All fields,Non-science and engineering,Humanities and arts,Temporary visa holder,4,174,229,309,506,556,694,715,770,739,849
11645,r064,All fields -> Non-science and engineering -> Humanities and arts -> Unknown citizenship,All fields,Non-science and engineering,Humanities and arts,Unknown citizenship,4,92,128,241,114,255,235,267,399,255,271
11645,r065,All fields -> Non-science and engineering -> Other non-science and engineering,All fields,Non-science and engineering,Other non-science and engineering,,3,815,775,858,972,948,1090,1341,1472,1504,1754
11645,r066,All fields -> Non-science and engineering -> Other non-science and engineering -> U.S. citizen or permanent resident,All fields,Non-science and engineering,Other non-science and engineering,U.S. citizen or permanent resident,4,692,655,641,761,768,741,944,1019,1003,1175
11645,r067,All fields -> Non-science and engineering -> Other non-science and engineering -> Temporary visa holder,All fields,Non-science and engineering,Other non-science and engineering,Temporary visa holder,4,100,80,111,178,138,265,307,345,386,460
11645,r068,All fields -> Non-science and engineering -> Other non-science and engineering -> Unknown citizenship,All fields,Non-science and engineering,Other non-science and engineering,Unknown citizenship,4,23,40,106,33,42,84,90,108,115,119
