table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_worldwide,field_domestic,field_foreign
1394,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['213,569', '  ']","['140,087', '  ']","['73,482', '&nbsp;']"
1394,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['709,702', '  ']","['574,326', '  ']","['135,376', '&nbsp;']"
1394,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['63,845', '  ']","['63,455', '  ']","['390', '&nbsp;']"
1394,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['245,224', '  ']","['152,650', '  ']","['92,573', '&nbsp;']"
1394,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['136,497', '  ']","['130,676', '  ']","['5,821', '&nbsp;']"
1394,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['38,176', '  ']","['36,861', '  ']","['1,316', '&nbsp;']"
1394,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['85,120', '  ']","['68,070', '  ']","['17,050', '&nbsp;']"
1394,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['30,600', '  ']","['30,261', '  ']","['339', '&nbsp;']"
1394,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['14,871', '  ']","['11,110', '  ']","['3,761', '&nbsp;']"
1394,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['D', '  ']","['33,497', 'i ']","['D', '&nbsp;']"
1394,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['9,525', '  ']","['6,294', 'i ']","['3,231', 'i']"
1394,r060,"All business activities -> Military armored vehicles, tanks, and tank components manufacturing",All business activities,"Military armored vehicles, tanks, and tank components manufacturing",2,33692,"['4,263', '  ']","['4,185', '  ']","['78', '&nbsp;']"
1394,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['14,472', '  ']","['11,977', '  ']","['2,496', '&nbsp;']"
1394,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['45,372', '  ']","['38,473', '  ']","['6,898', '&nbsp;']"
1394,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['239,051', '  ']","['162,044', '  ']","['77,007', '&nbsp;']"
1394,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['131,768', '  ']","['86,242', '  ']","['45,526', 'i']"
1394,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['224,331', '  ']","['196,996', '  ']","['27,336', '&nbsp;']"
1394,r066,"All business activities -> Merchant wholesalers, nondurable goods",All business activities,"Merchant wholesalers, nondurable goods",2,42400,"['513,889', '  ']","['360,816', '  ']","['153,073', '&nbsp;']"
1394,r067,All business activities -> Wholesale electronic markets and agents and brokers (business to business),All business activities,Wholesale electronic markets and agents and brokers (business to business),2,42500,"['60,202', '  ']","['59,657', '  ']","['544', '&nbsp;']"
1394,r068,All business activities -> Retail trade (except electronic shopping and electronic auctions),All business activities,Retail trade (except electronic shopping and electronic auctions),2,44000,"['292,344', '  ']","['275,053', '  ']","['17,291', '&nbsp;']"
1394,r069,All business activities -> Electronic shopping and electronic auctions,All business activities,Electronic shopping and electronic auctions,2,45411,"['D', '  ']","['110,618', '  ']","['D', '&nbsp;']"
1394,r070,All business activities -> Transportation,All business activities,Transportation,2,48000,"['126,059', '  ']","['108,956', '  ']","['17,103', '&nbsp;']"
1394,r071,"All business activities -> Couriers, messengers, and express delivery services",All business activities,"Couriers, messengers, and express delivery services",2,49200,"['187,345', '  ']","['141,429', '  ']","['45,916', '&nbsp;']"
1394,r072,All business activities -> Warehousing and storage,All business activities,Warehousing and storage,2,49300,"['4,652', '  ']","['3,359', '  ']","['1,294', '&nbsp;']"
1394,r073,"All business activities -> Newspaper, periodical, book, and directory publishers (except Internet)",All business activities,"Newspaper, periodical, book, and directory publishers (except Internet)",2,51110,"['8,704', '  ']","['7,262', '  ']","['1,441', '&nbsp;']"
1394,r074,All business activities -> Software publishers (except Internet),All business activities,Software publishers (except Internet),2,51120,"['256,714', '  ']","['155,325', '  ']","['101,389', '&nbsp;']"
1394,r075,All business activities -> Motion picture and sound recording (except Internet),All business activities,Motion picture and sound recording (except Internet),2,51200,"['9,353', '  ']","['6,863', '  ']","['2,490', '&nbsp;']"
1394,r076,All business activities -> Broadcasting (except Internet),All business activities,Broadcasting (except Internet),2,51500,"['84,899', '  ']","['70,184', '  ']","['14,715', '&nbsp;']"
1394,r077,All business activities -> Wired telecommunications carriers,All business activities,Wired telecommunications carriers,2,51710,"['181,904', '  ']","['179,239', '  ']","['2,665', '&nbsp;']"
1394,r078,All business activities -> Wireless telecommunications carriers (except satellite),All business activities,Wireless telecommunications carriers (except satellite),2,51720,"['172,416', '  ']","['172,357', '  ']","['59', '&nbsp;']"
1394,r079,All business activities -> Satellite telecommunications,All business activities,Satellite telecommunications,2,51740,"['61,927', '  ']","['61,622', '  ']","['305', '&nbsp;']"
1394,r080,All business activities -> Other telecommunications (not listed elsewhere),All business activities,Other telecommunications (not listed elsewhere),2,51790,"['8,524', '  ']","['7,685', '  ']","['840', '&nbsp;']"
1394,r081,"All business activities -> Data processing, hosting, and related services",All business activities,"Data processing, hosting, and related services",2,51800,"['76,310', '  ']","['59,466', '  ']","['16,844', '&nbsp;']"
1394,r082,All business activities -> Cloud computing applications and Internet-based software services,All business activities,Cloud computing applications and Internet-based software services,2,51801,"['56,784', '  ']","['44,095', '  ']","['12,689', '&nbsp;']"
1394,r083,"All business activities -> Other information services, including Internet publishing, broadcasting, and Web search portals",All business activities,"Other information services, including Internet publishing, broadcasting, and Web search portals",2,51910,"['112,825', '  ']","['75,034', '  ']","['37,791', '&nbsp;']"
1394,r084,All business activities -> Finance: banking and credit intermediation,All business activities,Finance: banking and credit intermediation,2,52200,"['401,295', '  ']","['343,070', '  ']","['58,225', '&nbsp;']"
1394,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['72,115', '  ']","['55,068', '  ']","['17,046', '&nbsp;']"
1394,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['372,903', '  ']","['353,842', '  ']","['19,060', 'i']"
1394,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['9,311', '  ']","['9,253', '  ']","['57', '&nbsp;']"
1394,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['19,067', '  ']","['12,368', '  ']","['6,699', '&nbsp;']"
1394,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['1,468', '  ']","['1,386', '  ']","['82', '&nbsp;']"
1394,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['19,511', '  ']","['16,696', '  ']","['2,815', '&nbsp;']"
1394,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['105,993', '  ']","['79,090', '  ']","['26,903', '&nbsp;']"
1394,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['706', '  ']","['638', '  ']","['68', '&nbsp;']"
1394,r093,All business activities -> Computer systems design and related services,All business activities,Computer systems design and related services,2,54150,"['249,595', '  ']","['175,987', '  ']","['73,608', '&nbsp;']"
1394,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['63,141', '  ']","['55,607', '  ']","['7,534', '&nbsp;']"
1394,r095,All business activities -> Research and development services in social sciences and humanities,All business activities,Research and development services in social sciences and humanities,2,54172,"['1,131', '  ']","['1,124', '  ']","['7', '&nbsp;']"
1394,r096,All business activities -> Research and development services in biotechnology,All business activities,Research and development services in biotechnology,2,54173,"['9,090', '  ']","['6,614', '  ']","['2,476', 'i']"
1394,r097,"All business activities -> Research and development services in physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in physical, engineering, and life sciences (except biotechnology)",2,54174,"['37,987', '  ']","['30,731', '  ']","['7,255', '&nbsp;']"
1394,r098,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['D', '  ']","['44,671', '  ']","['D', '&nbsp;']"
1394,r099,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['13,888', '  ']","['12,355', '  ']","['1,533', '&nbsp;']"
1394,r100,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['11,794', 'i ']","['11,173', 'i ']","['622', '&nbsp;']"
1394,r101,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['55,675', '  ']","['27,537', '  ']","['28,138', '&nbsp;']"
1394,r102,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['27,493', '  ']","['25,585', '  ']","['1,908', '&nbsp;']"
1394,r103,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['40,574', '  ']","['40,574', '  ']","['0', '&nbsp;']"
1394,r104,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['27,294', 'i ']","['25,398', 'i ']","['1,896', 'i']"
1394,r105,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['5,226', '  ']","['5,226', '  ']","['0', '&nbsp;']"
1394,r106,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['32,896', '  ']","['32,609', '  ']","['287', '&nbsp;']"
1394,r107,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['77', '  ']","['77', '  ']","['0', '&nbsp;']"
1394,r108,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['20,639', '  ']","['17,723', '  ']","['2,916', '&nbsp;']"
1394,r109,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['66,954', '  ']","['32,457', '  ']","['34,497', '&nbsp;']"
1394,r110,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['238,452', '  ']","['173,754', '  ']","['64,699', '&nbsp;']"
1394,r111,All business activities -> Less: intersegment eliminations,All business activities,Less: intersegment eliminations,2,–,"['227,524', '  ']","['130,160', '  ']","['97,364', '&nbsp;']"
1394,r112,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['0', '  ']","['0', '  ']","['0', '&nbsp;']"
