table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5543,r011,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Telecommunications and Information Administration,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Telecommunications and Information Administration,,,4,8,12,12,50.0,0.0
5543,r012,R&D and R&D plant -> Other advancement of commerce (376) -> Postal Service,R&D and R&D plant,Other advancement of commerce (376),Postal Service,,,,3,18,20,20,11.1,0.0
5543,r013,R&D and R&D plant -> Other advancement of commerce (376) -> Small Business Administration,R&D and R&D plant,Other advancement of commerce (376),Small Business Administration,,,,3,8,0,0,-100.0,-
5543,r014,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,850,1003,1116,18.0,11.3
5543,r015,R&D and R&D plant -> R&D -> Other advancement of commerce (376),R&D and R&D plant,R&D,Other advancement of commerce (376),,,,3,,,,,
5543,r016,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,,,4,858,1015,1128,18.3,11.1
5543,r017,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> Census Bureau,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,Census Bureau,,5,153,138,130,-9.8,-5.8
5543,r018,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>a</sup>,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>a</sup>,,5,663,833,958,25.6,15.0
5543,r019,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>a</sup> -> Construction of research facilities,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>a</sup>,Construction of research facilities,6,0,0,0,-,-
5543,r020,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>a</sup> -> Industrial technology services,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>a</sup>,Industrial technology services,6,21,159,162,657.1,1.9
5543,r021,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology<sup>a</sup> -> Scientific and technical research and services,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology<sup>a</sup>,Scientific and technical research and services,6,642,674,796,5.0,18.1
5543,r022,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,,5,8,12,8,50.0,-33.3
5543,r023,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,6,8,12,8,50.0,-33.3
5543,r024,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Telecommunications and Information Administration,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Telecommunications and Information Administration,,5,8,12,12,50.0,0.0
5543,r025,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Postal Service,R&D and R&D plant,R&D,Other advancement of commerce (376),Postal Service,,,4,18,20,20,11.1,0.0
5543,r026,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Small Business Administration,R&D and R&D plant,R&D,Other advancement of commerce (376),Small Business Administration,,,4,8,0,0,-100.0,-
