table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_number_of_workers_increased,field_number_of_workers_decreased,field_number_of_workers_did_not_change,field_skill_level_of_workers_increased,field_skill_level_of_workers_decreased,field_skill_level_of_workers_did_not_change,field_stem_skills_of_workers_increased,field_stem_skills_of_workers_decreased,field_stem_skills_of_workers_did_not_change,field_stem_skills_of_workers_did_not_employ
5739,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['    407 ', '&nbsp;']","['    33.4 ', '&nbsp;']","['    1.7 ', '&nbsp;']","['    64.9 ', '&nbsp;']","['    54.9 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    45.1 ', '&nbsp;']","['    56.5 ', '&nbsp;']","['D', '&nbsp;']","['    38.1 ', '&nbsp;']","['    4.7 ', 'r']"
5739,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['    170 ', '&nbsp;']","['    11.2 ', 'r']","['D', '&nbsp;']","['    80.6 ', '&nbsp;']","['    25.3 ', '&nbsp;']","['D', '&nbsp;']","['    73.5 ', '&nbsp;']","['    12.4 ', '&nbsp;']","['D', '&nbsp;']","['    42.4 ', 'r']","['    43.5 ', 'r']"
5739,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['    521 ', '&nbsp;']","['    33.8 ', '&nbsp;']","['D', '&nbsp;']","['    65.1 ', '&nbsp;']","['    52.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    48.0 ', '&nbsp;']","['    59.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    31.2 ', '&nbsp;']","['    9.8 ', 'r']"
5739,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['    180 ', '&nbsp;']","['    48.6 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    51.4 ', '&nbsp;']","['    59.8 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    40.2 ', '&nbsp;']","['    53.6 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    36.9 ', '&nbsp;']","['    9.5 ', 'r']"
5739,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['    780 ', '&nbsp;']","['    24.4 ', '&nbsp;']","['    20.6 ', '&nbsp;']","['    55.0 ', '&nbsp;']","['    40.8 ', '&nbsp;']","['D', '&nbsp;']","['    48.1 ', '&nbsp;']","['    35.8 ', '&nbsp;']","['D', '&nbsp;']","['    38.3 ', '&nbsp;']","['    19.6 ', '&nbsp;']"
5739,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['    295 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    100.0 ', '&nbsp;']","['    33.2 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    66.8 ', '&nbsp;']","['    33.2 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5739,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets <br>  (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets <br>  (except copyrighted works),,4,533,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5739,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['    295 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    100.0 ', '&nbsp;']","['    33.2 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    66.8 ', '&nbsp;']","['    33.2 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5739,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['    8,045 ', '&nbsp;']","['    22.8 ', '&nbsp;']","['    1.9 ', 'r']","['    75.3 ', '&nbsp;']","['    48.9 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    50.9 ', '&nbsp;']","['    46.6 ', '&nbsp;']","['    0.1 ', 'r']","['    40.3 ', '&nbsp;']","['    13.1 ', '&nbsp;']"
5739,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['    425 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    86.4 ', '&nbsp;']","['    32.8 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    67.2 ', '&nbsp;']","['    15.8 ', 'r']","['    0.0 ', '&nbsp;']","['    28.0 ', 'r']","['    56.2 ', 'r']"
5739,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['    449 ', '&nbsp;']","['    17.8 ', 'r']","['D', '&nbsp;']","['    81.5 ', '&nbsp;']","['    27.5 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    72.5 ', '&nbsp;']","['    27.4 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    45.0 ', '&nbsp;']","['    27.6 ', 'r']"
5739,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['    598 ', '&nbsp;']","['    27.6 ', 'r']","['D', '&nbsp;']","['    70.9 ', '&nbsp;']","['    43.1 ', '&nbsp;']","['D', '&nbsp;']","['    55.5 ', '&nbsp;']","['    43.3 ', '&nbsp;']","['D', '&nbsp;']","['    48.0 ', '&nbsp;']","['    8.7 ', 'r']"
5739,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['    148 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    100.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    73.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5739,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['    4,470 ', '&nbsp;']","['    22.7 ', '&nbsp;']","['    1.6 ', 'r']","['    75.7 ', '&nbsp;']","['    51.3 ', '&nbsp;']","['    0.1 ', 'r']","['    48.6 ', '&nbsp;']","['    48.8 ', '&nbsp;']","['D', '&nbsp;']","['    43.5 ', '&nbsp;']","['    7.5 ', '&nbsp;']"
5739,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['    1,184 ', '&nbsp;']","['    32.7 ', '&nbsp;']","['D', '&nbsp;']","['    66.9 ', '&nbsp;']","['    53.7 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    46.3 ', '&nbsp;']","['    55.5 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    36.7 ', '&nbsp;']","['    7.8 ', '&nbsp;']"
5739,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['    274 ', '&nbsp;']","['    47.8 ', '&nbsp;']","['D', '&nbsp;']","['    51.1 ', '&nbsp;']","['    62.2 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    37.8 ', '&nbsp;']","['    65.2 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    28.6 ', '&nbsp;']","['    6.2 ', 'r']"
5739,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['    182 ', '&nbsp;']","['    7.7 ', '&nbsp;']","['D', '&nbsp;']","['    92.3 ', '&nbsp;']","['    29.7 ', '&nbsp;']","['D', '&nbsp;']","['    68.1 ', '&nbsp;']","['    16.5 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    51.6 ', '&nbsp;']","['    31.9 ', '&nbsp;']"
5739,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['    320 ', '&nbsp;']","['    12.5 ', 'r']","['    0.0 ', '&nbsp;']","['    87.5 ', '&nbsp;']","['    73.5 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    26.5 ', 'r']","['    67.1 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    12.5 ', 'r']","['    20.4 ', 'r']"
5739,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5739,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['    959 ', '&nbsp;']","['    19.2 ', '&nbsp;']","['    13.5 ', 'r']","['    67.3 ', '&nbsp;']","['    47.7 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    52.3 ', '&nbsp;']","['    54.6 ', '&nbsp;']","['D', '&nbsp;']","['    31.7 ', '&nbsp;']","['D', '&nbsp;']"
5739,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['    88 ', 'r']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    97.7 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    100.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    100.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5739,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['    1,570 ', '&nbsp;']","['    26.6 ', '&nbsp;']","['D', '&nbsp;']","['    69.8 ', '&nbsp;']","['    35.7 ', '&nbsp;']","['D', '&nbsp;']","['    60.8 ', '&nbsp;']","['    27.7 ', '&nbsp;']","['D', '&nbsp;']","['    41.8 ', '&nbsp;']","['    24.3 ', '&nbsp;']"
5739,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['    1,570 ', '&nbsp;']","['    26.6 ', '&nbsp;']","['D', '&nbsp;']","['    69.8 ', '&nbsp;']","['    35.7 ', '&nbsp;']","['D', '&nbsp;']","['    60.8 ', '&nbsp;']","['    27.7 ', '&nbsp;']","['D', '&nbsp;']","['    41.8 ', '&nbsp;']","['    24.3 ', '&nbsp;']"
5739,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5739,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5739,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['    749 ', '&nbsp;']","['    27.9 ', '&nbsp;']","['D', '&nbsp;']","['    56.6 ', '&nbsp;']","['    34.8 ', '&nbsp;']","['D', '&nbsp;']","['    49.8 ', '&nbsp;']","['    34.8 ', '&nbsp;']","['D', '&nbsp;']","['    15.0 ', 'r']","['    42.7 ', '&nbsp;']"
5739,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['    637 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    92.5 ', '&nbsp;']","['    45.5 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    54.5 ', '&nbsp;']","['    25.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    39.9 ', '&nbsp;']","['    35.2 ', '&nbsp;']"
