table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_number_of_workers_increased,field_number_of_workers_decreased,field_number_of_workers_did_not_change,field_skill_level_of_workers_increased,field_skill_level_of_workers_decreased,field_skill_level_of_workers_did_not_change,field_stem_skills_of_workers_increased,field_stem_skills_of_workers_decreased,field_stem_skills_of_workers_did_not_change,field_stem_skills_of_workers_did_not_employ
5739,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['    6 ', 'r']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']"
5739,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['    18,959 ', '&nbsp;']","['    22.7 ', '&nbsp;']","['    4.0 ', '&nbsp;']","['    73.3 ', '&nbsp;']","['    44.1 ', '&nbsp;']","['    2.1 ', '&nbsp;']","['    53.8 ', '&nbsp;']","['    39.2 ', '&nbsp;']","['    1.9 ', '&nbsp;']","['    40.8 ', '&nbsp;']","['    18.2 ', '&nbsp;']"
5739,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5739,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']"
5739,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['    5 ', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5739,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['    1,146 ', '&nbsp;']","['    32.5 ', '&nbsp;']","['D', '&nbsp;']","['    63.5 ', '&nbsp;']","['    47.8 ', '&nbsp;']","['D', '&nbsp;']","['    48.3 ', '&nbsp;']","['    45.5 ', '&nbsp;']","['D', '&nbsp;']","['    32.6 ', '&nbsp;']","['    18.1 ', '&nbsp;']"
5739,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['    1,322 ', '&nbsp;']","['    11.3 ', '&nbsp;']","['    3.6 ', 'r']","['    85.1 ', '&nbsp;']","['    30.3 ', '&nbsp;']","['D', '&nbsp;']","['    68.2 ', '&nbsp;']","['    18.2 ', '&nbsp;']","['D', '&nbsp;']","['    62.9 ', '&nbsp;']","['    18.8 ', '&nbsp;']"
5739,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['    1,818 ', '&nbsp;']","['    21.7 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    78.3 ', '&nbsp;']","['    40.2 ', '&nbsp;']","['D', '&nbsp;']","['    56.9 ', '&nbsp;']","['    23.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    51.2 ', '&nbsp;']","['    25.8 ', '&nbsp;']"
5739,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['    92 ', 'r']","['    31.5 ', '&nbsp;']","['D', '&nbsp;']","['    45.7 ', 'r']","['    55.4 ', '&nbsp;']","['D', '&nbsp;']","['    43.5 ', '&nbsp;']","['    29.7 ', 'r']","['    0.0 ', '&nbsp;']","['    30.8 ', '&nbsp;']","['    39.6 ', 'r']"
5739,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['    1,301 ', '&nbsp;']","['    32.7 ', '&nbsp;']","['    2.5 ', 'r']","['    64.8 ', '&nbsp;']","['    50.5 ', '&nbsp;']","['D', '&nbsp;']","['    49.3 ', '&nbsp;']","['    51.0 ', '&nbsp;']","['D', '&nbsp;']","['    35.6 ', '&nbsp;']","['    13.0 ', '&nbsp;']"
5739,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['    428 ', '&nbsp;']","['    33.4 ', '&nbsp;']","['    2.8 ', 'r']","['    63.8 ', '&nbsp;']","['    55.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    45.0 ', '&nbsp;']","['    55.4 ', '&nbsp;']","['D', '&nbsp;']","['    37.6 ', '&nbsp;']","['    6.5 ', 'r']"
5739,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['    22 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    50.0 ', 'r']","['    54.5 ', 'r']","['    0.0 ', '&nbsp;']","['    45.5 ', 'r']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']","['    31.8 ', 'r']"
