table_id,row_id,student_grade_and_characteristic_full_path,student_grade_and_characteristic_level_1,student_grade_and_characteristic_level_2,student_grade_and_characteristic_level_3,student_grade_and_characteristic_hierarchy_depth,field_1990,field_1992,field_1996,field_2000,field_2003,field_2005,field_2007,field_2009,field_2011,field_2013,field_2015,field_2017,field_2019,field_2022
9442,r015,All students in grade 4 -> Student disability status<sup>e</sup>,All students in grade 4,Student disability status<sup>e</sup>,,2,,,,,,,,,,,,,,
9442,r016,All students in grade 4 -> Student disability status<sup>e</sup> -> Identified as student with a disability,All students in grade 4,Student disability status<sup>e</sup>,Identified as student with a disability,3,NA,NA,5,6,13,16,19,19,17,18,16,16,17,16
9442,r017,All students in grade 4 -> Student disability status<sup>e</sup> -> Not identified as student with a disability,All students in grade 4,Student disability status<sup>e</sup>,Not identified as student with a disability,3,NA,NA,22,25,35,39,42,42,43,45,44,44,45,40
9442,r018,All students in grade 4 -> English language learner status<sup>e</sup>,All students in grade 4,English language learner status<sup>e</sup>,,2,,,,,,,,,,,,,,
9442,r019,All students in grade 4 -> English language learner status<sup>e</sup> -> English language learner,All students in grade 4,English language learner status<sup>e</sup>,English language learner,3,NA,NA,4,4,9,11,13,12,14,14,14,14,16,14
9442,r020,All students in grade 4 -> English language learner status<sup>e</sup> -> Not English language learner,All students in grade 4,English language learner status<sup>e</sup>,Not English language learner,3,NA,NA,22,25,35,39,42,42,44,45,43,43,44,40
9442,r021,All students in grade 4 -> U.S. region,All students in grade 4,U.S. region,,2,,,,,,,,,,,,,,
9442,r022,All students in grade 4 -> U.S. region -> Midwest,All students in grade 4,U.S. region,Midwest,3,NA,NA,NA,s,36,39,43,43,43,45,43,43,43,40
9442,r023,All students in grade 4 -> U.S. region -> Northeast,All students in grade 4,U.S. region,Northeast,3,NA,NA,NA,s,37,41,47,46,46,45,43,43,44,36
9442,r024,All students in grade 4 -> U.S. region -> South,All students in grade 4,U.S. region,South,3,NA,NA,NA,s,31,35,37,37,38,41,40,40,41,36
9442,r025,All students in grade 4 -> U.S. region -> West,All students in grade 4,U.S. region,West,3,NA,NA,NA,s,28,32,34,34,38,38,35,35,37,33
9442,r026,All students in grade 4 -> School location ,All students in grade 4,School location ,,2,,,,,,,,,,,,,,
9442,r027,All students in grade 4 -> School location  -> City,All students in grade 4,School location ,City,3,NA,NA,NA,NA,NA,NA,34,34,35,36,36,35,36,31
9442,r028,All students in grade 4 -> School location  -> Rural,All students in grade 4,School location ,Rural,3,NA,NA,NA,NA,NA,NA,39,39,43,44,40,40,40,37
9442,r029,All students in grade 4 -> School location  -> Suburb,All students in grade 4,School location ,Suburb,3,NA,NA,NA,NA,NA,NA,45,45,45,46,44,45,46,41
9442,r030,All students in grade 4 -> School location  -> Town,All students in grade 4,School location ,Town,3,NA,NA,NA,NA,NA,NA,37,35,35,40,36,36,37,32
9442,r031,All students in grade 8,All students in grade 8,,,1,15,21,23,26,29,30,32,34,35,35,33,34,34,26
9442,r032,All students in grade 8 -> Sex,All students in grade 8,Sex,,2,,,,,,,,,,,,,,
9442,r033,All students in grade 8 -> Sex -> Female,All students in grade 8,Sex,Female,3,14,21,22,24,27,28,30,32,34,35,33,33,33,25
9442,r034,All students in grade 8 -> Sex -> Male,All students in grade 8,Sex,Male,3,17,21,25,27,30,31,34,36,36,36,34,35,34,28
9442,r035,All students in grade 8 -> Race or ethnicity<sup>a</sup>,All students in grade 8,Race or ethnicity<sup>a</sup>,,2,,,,,,,,,,,,,,
9442,r036,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> American Indian or Alaska Native,All students in grade 8,Race or ethnicity<sup>a</sup>,American Indian or Alaska Native,3,s,s,s,10,15,14,16,18,17,21,20,18,15,13
9442,r037,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> Asian or Pacific Islander,All students in grade 8,Race or ethnicity<sup>a</sup>,Asian or Pacific Islander,3,29,43,s,41,43,47,50,54,55,60,59,62,62,56
9442,r038,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> Black,All students in grade 8,Race or ethnicity<sup>a</sup>,Black,3,5,2,4,5,7,9,11,12,13,14,13,13,14,9
9442,r039,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> Hispanic<sup>b</sup>,All students in grade 8,Race or ethnicity<sup>a</sup>,Hispanic<sup>b</sup>,3,7,7,8,8,12,13,15,17,20,21,19,20,20,14
9442,r040,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> Two or more races<sup>c</sup>,All students in grade 8,Race or ethnicity<sup>a</sup>,Two or more races<sup>c</sup>,3,s,11,s,22,29,30,35,37,39,38,36,37,38,28
9442,r041,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> White,All students in grade 8,Race or ethnicity<sup>a</sup>,White,3,18,26,30,34,37,39,42,44,44,45,43,44,44,35
9442,r042,All students in grade 8 -> Parents' highest education level<sup>f</sup>,All students in grade 8,Parents' highest education level<sup>f</sup>,,2,,,,,,,,,,,,,,
9442,r043,All students in grade 8 -> Parents' highest education level<sup>f</sup> -> Did not finish high school,All students in grade 8,Parents' highest education level<sup>f</sup>,Did not finish high school,3,3,6,7,8,9,11,12,14,15,16,14,16,15,11
9442,r044,All students in grade 8 -> Parents' highest education level<sup>f</sup> -> Graduated from high school,All students in grade 8,Parents' highest education level<sup>f</sup>,Graduated from high school,3,9,10,13,15,17,17,19,19,20,19,17,17,17,12
9442,r045,All students in grade 8 -> Parents' highest education level<sup>f</sup> -> Some education after high school,All students in grade 8,Parents' highest education level<sup>f</sup>,Some education after high school,3,16,20,26,25,28,28,32,32,33,33,30,30,29,20
9442,r046,All students in grade 8 -> Parents' highest education level<sup>f</sup> -> Graduated from college,All students in grade 8,Parents' highest education level<sup>f</sup>,Graduated from college,3,24,33,34,38,40,42,44,47,47,48,46,46,45,38
9442,r047,All students in grade 8 -> Parents' highest education level<sup>f</sup> -> Unknown,All students in grade 8,Parents' highest education level<sup>f</sup>,Unknown,3,5,9,10,10,12,13,15,16,16,17,16,17,17,13
9442,r048,All students in grade 8 -> Socioeconomic status<sup>d </sup>,All students in grade 8,Socioeconomic status<sup>d </sup>,,2,,,,,,,,,,,,,,
9442,r049,All students in grade 8 -> Socioeconomic status<sup>d </sup> -> Eligible for free or reduced-price lunch,All students in grade 8,Socioeconomic status<sup>d </sup>,Eligible for free or reduced-price lunch,3,NA,NA,8,9,12,13,15,17,19,20,18,18,18,13
9442,r050,All students in grade 8 -> Socioeconomic status<sup>d </sup> -> Not eligible for free or reduced-price lunch,All students in grade 8,Socioeconomic status<sup>d </sup>,Not eligible for free or reduced-price lunch,3,NA,NA,28,34,37,39,42,45,47,49,48,48,48,38
9442,r051,All students in grade 8 -> Student disability status<sup>e</sup>,All students in grade 8,Student disability status<sup>e</sup>,,2,,,,,,,,,,,,,,
9442,r052,All students in grade 8 -> Student disability status<sup>e</sup> -> Identified as student with a disability,All students in grade 8,Student disability status<sup>e</sup>,Identified as student with a disability,3,NA,NA,3,4,6,7,8,9,9,9,8,9,9,7
9442,r053,All students in grade 8 -> Student disability status<sup>e</sup> -> Not identified as student with a disability,All students in grade 8,Student disability status<sup>e</sup>,Not identified as student with a disability,3,NA,NA,25,27,31,32,34,37,38,39,37,38,38,30
9442,r054,All students in grade 8 -> English language learner status<sup>e</sup>,All students in grade 8,English language learner status<sup>e</sup>,,2,,,,,,,,,,,,,,
9442,r055,All students in grade 8 -> English language learner status<sup>e</sup> -> English language learner,All students in grade 8,English language learner status<sup>e</sup>,English language learner,3,NA,NA,1,2,5,6,7,5,5,5,6,6,5,4
9442,r056,All students in grade 8 -> English language learner status<sup>e</sup> -> Not English language learner,All students in grade 8,English language learner status<sup>e</sup>,Not English language learner,3,NA,NA,24,26,30,31,34,35,36,37,35,36,36,29
9442,r057,All students in grade 8 -> U.S. region,All students in grade 8,U.S. region,,2,,,,,,,,,,,,,,
9442,r058,All students in grade 8 -> U.S. region -> Midwest,All students in grade 8,U.S. region,Midwest,3,NA,NA,NA,s,33,33,35,38,37,39,36,37,37,29
9442,r059,All students in grade 8 -> U.S. region -> Northeast,All students in grade 8,U.S. region,Northeast,3,NA,NA,NA,s,33,34,38,40,39,42,39,39,39,31
9442,r060,All students in grade 8 -> U.S. region -> South,All students in grade 8,U.S. region,South,3,NA,NA,NA,s,25,27,30,32,33,33,30,31,31,24
9442,r061,All students in grade 8 -> U.S. region -> West,All students in grade 8,U.S. region,West,3,NA,NA,NA,s,26,27,29,29,31,32,32,33,32,25
9442,r062,All students in grade 8 -> School location ,All students in grade 8,School location ,,2,,,,,,,,,,,,,,
9442,r063,All students in grade 8 -> School location  -> City,All students in grade 8,School location ,City,3,NA,NA,NA,NA,NA,NA,27,30,30,31,30,31,30,24
9442,r064,All students in grade 8 -> School location  -> Rural,All students in grade 8,School location ,Rural,3,NA,NA,NA,NA,NA,NA,32,34,36,36,32,33,33,25
9442,r065,All students in grade 8 -> School location  -> Suburb,All students in grade 8,School location ,Suburb,3,NA,NA,NA,NA,NA,NA,38,38,38,40,37,39,38,31
9442,r066,All students in grade 8 -> School location  -> Town,All students in grade 8,School location ,Town,3,NA,NA,NA,NA,NA,NA,29,29,32,32,28,29,28,21
