table_id,row_id,occupation_and_age_years_full_path,occupation_and_age_years_level_1,occupation_and_age_years_level_2,occupation_and_age_years_level_3,occupation_and_age_years_level_4,occupation_and_age_years_level_5,occupation_and_age_years_hierarchy_depth,field_total,field_without_disability,field_with_disability
3303,r020,"All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 50&#8211;75",All occupations,S&E occupations<sup>a</sup>,Science occupations,"Biological, agricultural, and other life scientist",50&#8211;75,5,98000,98000,95000
3303,r021,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer and information scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer and information scientist,,4,100000,101000,98000
3303,r022,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer and information scientist -> 29 and younger,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer and information scientist,29 and younger,5,75000,78000,65000
3303,r023,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer and information scientist -> 30&#8211;39,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer and information scientist,30&#8211;39,5,100000,100000,86000
3303,r024,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer and information scientist -> 40&#8211;49,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer and information scientist,40&#8211;49,5,111000,111000,113000
3303,r025,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer and information scientist -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer and information scientist,50&#8211;75,5,110000,110000,106000
3303,r026,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,,4,83000,84000,70000
3303,r027,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist -> 29 and younger,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,29 and younger,5,67000,68000,60000
3303,r028,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist -> 30&#8211;39,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,30&#8211;39,5,78000,78000,79000
3303,r029,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist -> 40&#8211;49,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,40&#8211;49,5,92000,90000,146000
3303,r030,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,50&#8211;75,5,102000,102000,79000
3303,r031,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,,4,72000,73000,60000
3303,r032,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist -> 29 and younger,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,29 and younger,5,38000,36000,S
3303,r033,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist -> 30&#8211;39,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,30&#8211;39,5,68000,68000,78000
3303,r034,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist -> 40&#8211;49,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,40&#8211;49,5,90000,93000,80000
3303,r035,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,50&#8211;75,5,107000,107000,81000
3303,r036,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,,4,72000,72000,68000
3303,r037,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist -> 29 and younger,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,29 and younger,5,46000,46000,S
3303,r038,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist -> 30&#8211;39,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,30&#8211;39,5,69000,70000,59000
3303,r039,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist -> 40&#8211;49,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,40&#8211;49,5,78000,79000,60000
3303,r040,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,50&#8211;75,5,95000,95000,88000
3303,r041,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,,4,78000,79000,70000
3303,r042,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> 29 and younger,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,29 and younger,5,49000,48000,S
3303,r043,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> 30&#8211;39,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,30&#8211;39,5,73000,74000,68000
3303,r044,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> 40&#8211;49,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,40&#8211;49,5,80000,79000,117000
3303,r045,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,50&#8211;75,5,103000,104000,92000
3303,r046,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,,,3,100000,100000,100000
3303,r047,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> 29 and younger,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,29 and younger,,4,74000,74000,73000
3303,r048,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> 30&#8211;39,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,30&#8211;39,,4,96000,97000,84000
3303,r049,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> 40&#8211;49,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,40&#8211;49,,4,112000,114000,91000
3303,r050,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> 50&#8211;75,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,50&#8211;75,,4,120000,120000,119000
3303,r051,All occupations -> S&E-related occupations<sup>b</sup>,All occupations,S&E-related occupations<sup>b</sup>,,,,2,80000,80000,80000
3303,r052,All occupations -> S&E-related occupations<sup>b</sup> -> 29 and younger,All occupations,S&E-related occupations<sup>b</sup>,29 and younger,,,3,55000,55000,60000
3303,r053,All occupations -> S&E-related occupations<sup>b</sup> -> 30&#8211;39,All occupations,S&E-related occupations<sup>b</sup>,30&#8211;39,,,3,75000,75000,59000
3303,r054,All occupations -> S&E-related occupations<sup>b</sup> -> 40&#8211;49,All occupations,S&E-related occupations<sup>b</sup>,40&#8211;49,,,3,95000,95000,92000
3303,r055,All occupations -> S&E-related occupations<sup>b</sup> -> 50&#8211;75,All occupations,S&E-related occupations<sup>b</sup>,50&#8211;75,,,3,96000,99000,85000
3303,r056,All occupations -> Non-S&E occupations<sup>c</sup>,All occupations,Non-S&E occupations<sup>c</sup>,,,,2,72000,72000,68000
3303,r057,All occupations -> Non-S&E occupations<sup>c</sup> -> 29 and younger,All occupations,Non-S&E occupations<sup>c</sup>,29 and younger,,,3,45000,45000,43000
3303,r058,All occupations -> Non-S&E occupations<sup>c</sup> -> 30&#8211;39,All occupations,Non-S&E occupations<sup>c</sup>,30&#8211;39,,,3,68000,69000,55000
3303,r059,All occupations -> Non-S&E occupations<sup>c</sup> -> 40&#8211;49,All occupations,Non-S&E occupations<sup>c</sup>,40&#8211;49,,,3,85000,85000,80000
3303,r060,All occupations -> Non-S&E occupations<sup>c</sup> -> 50&#8211;75,All occupations,Non-S&E occupations<sup>c</sup>,50&#8211;75,,,3,85000,87000,79000
