table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5462,r020,United States -> Louisiana,United States,Louisiana,2,657569,667523,653885,632537,627547,609102,630012,633514,687619,728488,737195
5462,r021,United States -> Maine,United States,Maine,2,118832,129236,118589,103373,120628,98607,97680,120471,126229,141775,141242
5462,r022,United States -> Maryland,United States,Maryland,2,3094055,3366663,3308014,3376440,3514719,3704962,3744025,3967074,4112572,4555760,4660788
5462,r023,United States -> Massachusetts,United States,Massachusetts,2,2628804,2806845,3010696,3246125,3218358,3406239,3521012,3631981,3717256,3986389,4036262
5462,r024,United States -> Michigan,United States,Michigan,2,1903476,2029656,2076947,2134096,2115363,2202000,2320601,2497196,2604342,2712101,2694168
5462,r025,United States -> Minnesota,United States,Minnesota,2,802840,866304,840731,869824,885306,882516,912843,917633,951455,1011132,1037129
5462,r026,United States -> Mississippi,United States,Mississippi,2,418235,431365,437775,385916,378750,381383,412153,437120,438422,493183,475626
5462,r027,United States -> Missouri,United States,Missouri,2,964192,984357,1055960,1028703,1014509,1046359,1112509,1146069,1213421,1318262,1383261
5462,r028,United States -> Montana,United States,Montana,2,195619,182326,184754,175054,172201,171530,184756,216170,214221,250102,262328
5462,r029,United States -> Nebraska,United States,Nebraska,2,383260,393395,419164,419565,428017,435767,447703,478198,498045,534272,545367
5462,r030,United States -> Nevada,United States,Nevada,2,170989,160254,149323,147079,146056,148339,172933,185836,221608,241651,252741
5462,r031,United States -> New Hampshire,United States,New Hampshire,2,298650,341848,349891,335518,337909,336857,361834,413173,422319,442652,432458
5462,r032,United States -> New Jersey,United States,New Jersey,2,1022690,1091890,1060469,1120119,1081018,1048622,1067318,1137993,1231456,1227813,1302242
5462,r033,United States -> New Mexico,United States,New Mexico,2,407429,400121,390548,390745,400180,377543,352296,358025,361605,357866,368423
5462,r034,United States -> New York,United States,New York,2,4782174,5105083,5157872,5327470,5450410,5449862,5817824,6048744,6271932,6714700,6779528
5462,r035,United States -> North Carolina,United States,North Carolina,2,2422947,2603702,2618572,2669329,2741270,2744906,2847296,2991666,3104305,3275092,3257648
5462,r036,United States -> North Dakota,United States,North Dakota,2,202626,209430,213666,212705,215551,212524,221251,241188,240568,246564,251914
5462,r037,United States -> Ohio,United States,Ohio,2,1963559,2107830,2017370,2048353,2043780,2017358,2055047,2164145,2249451,2382832,2396135
5462,r038,United States -> Oklahoma,United States,Oklahoma,2,383110,418373,412978,384729,391926,392480,428939,440486,455130,472673,538006
5462,r039,United States -> Oregon,United States,Oregon,2,663378,701228,680956,667974,670105,679739,701813,731137,771348,812126,846674
5462,r040,United States -> Pennsylvania,United States,Pennsylvania,2,3026823,3201566,3125789,3237847,3210166,3249295,3710218,3948483,4162865,4397493,4562156
5462,r041,United States -> Rhode Island,United States,Rhode Island,2,287708,330272,335689,320663,379144,376956,330514,304898,341552,357966,364094
5462,r042,United States -> South Carolina,United States,South Carolina,2,616972,576881,563599,567300,565820,571747,605162,617864,618354,615442,653027
5462,r043,United States -> South Dakota,United States,South Dakota,2,126562,132295,123383,113284,100343,97179,102269,108230,111203,113692,105707
5462,r044,United States -> Tennessee,United States,Tennessee,2,879994,952398,968317,973486,1079491,1022308,1037952,1133255,1209155,1244917,1297620
5462,r045,United States -> Texas,United States,Texas,2,4220820,4427560,4413601,4585482,4658686,4794484,4994430,5192867,5312828,5600114,6186572
5462,r046,United States -> Utah,United States,Utah,2,551607,614316,608199,673095,674070,715106,537012,540493,784478,862465,912369
5462,r047,United States -> Vermont,United States,Vermont,2,132519,136623,119802,120178,113711,118957,119665,121257,131483,138530,181505
5462,r048,United States -> Virginia,United States,Virginia,2,1134387,1300258,1283852,1323095,1287075,1302589,1356482,1436045,1540781,1665152,1766317
5462,r049,United States -> Washington,United States,Washington,2,1304992,1438349,1376467,1402118,1399577,1431158,1525348,1578678,1654786,1674824,1690536
5462,r050,United States -> West Virginia,United States,West Virginia,2,178435,195952,189225,184992,184291,187867,188571,198131,200660,202161,206447
5462,r051,United States -> Wisconsin,United States,Wisconsin,2,1230932,1338580,1330338,1278050,1272075,1227739,1336139,1402060,1439560,1559088,1639447
5462,r052,United States -> Wyoming,United States,Wyoming,2,53957,55320,63812,63149,48736,54928,108552,121927,112857,79928,91738
5462,r053,United States -> American Samoa,United States,American Samoa,2,ne,ne,ne,ne,ne,1337,793,ne,ne,860,ne
5462,r054,United States -> Guam,United States,Guam,2,5555,5477,5975,5873,6790,5919,7351,8803,11053,12001,12674
5462,r055,United States -> Puerto Rico,United States,Puerto Rico,2,114982,152435,141188,123784,117258,121299,116936,108032,98665,113669,105413
5462,r056,United States -> Virgin Islands,United States,Virgin Islands,2,31272,21373,24543,18374,14732,19456,21215,12031,11853,11668,13622
