table_id,row_id,_b_field_and_carnegie_category_b_full_path,_b_field_and_carnegie_category_b_level_1,_b_field_and_carnegie_category_b_level_2,_b_field_and_carnegie_category_b_level_3,_b_field_and_carnegie_category_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
4755,r013,All doctorate recipients -> Physical sciences and earth sciences -> Doctoral: High research,All doctorate recipients,Physical sciences and earth sciences,Doctoral: High research,3,510,586,590,635,744,701,745,701,727,766,759
4755,r014,All doctorate recipients -> Physical sciences and earth sciences -> Doctoral/ Professional,All doctorate recipients,Physical sciences and earth sciences,Doctoral/ Professional,3,2,2,8,2,7,5,6,5,7,4,10
4755,r015,All doctorate recipients -> Physical sciences and earth sciences -> Other universities,All doctorate recipients,Physical sciences and earth sciences,Other universities,3,48,64,64,65,51,57,67,53,71,71,64
4755,r016,All doctorate recipients -> Mathematics and computer sciences,All doctorate recipients,Mathematics and computer sciences,,2,3223,3273,3496,3660,3862,3818,3954,3842,4022,4231,4392
4755,r017,All doctorate recipients -> Mathematics and computer sciences -> Doctoral: Very high research,All doctorate recipients,Mathematics and computer sciences,Doctoral: Very high research,3,2818,2882,3060,3175,3346,3316,3365,3259,3469,3618,3726
4755,r018,All doctorate recipients -> Mathematics and computer sciences -> Doctoral: High research,All doctorate recipients,Mathematics and computer sciences,Doctoral: High research,3,365,348,390,438,472,442,536,519,491,559,601
4755,r019,All doctorate recipients -> Mathematics and computer sciences -> Doctoral/ Professional,All doctorate recipients,Mathematics and computer sciences,Doctoral/ Professional,3,25,27,25,20,26,37,29,37,43,24,34
4755,r020,All doctorate recipients -> Mathematics and computer sciences -> Other universities,All doctorate recipients,Mathematics and computer sciences,Other universities,3,15,16,21,27,18,23,24,27,19,30,31
4755,r021,All doctorate recipients -> Psychology and social sciences ,All doctorate recipients,Psychology and social sciences ,,2,7882,8220,8498,8580,8748,9073,9037,9034,8877,9043,8946
4755,r022,All doctorate recipients -> Psychology and social sciences  -> Doctoral: Very high research,All doctorate recipients,Psychology and social sciences ,Doctoral: Very high research,3,5932,6182,6365,6413,6367,6664,6603,6612,6511,6535,6452
4755,r023,All doctorate recipients -> Psychology and social sciences  -> Doctoral: High research,All doctorate recipients,Psychology and social sciences ,Doctoral: High research,3,1133,1230,1242,1275,1383,1423,1409,1474,1330,1379,1349
4755,r024,All doctorate recipients -> Psychology and social sciences  -> Doctoral/ Professional,All doctorate recipients,Psychology and social sciences ,Doctoral/ Professional,3,493,510,582,591,708,666,694,664,733,764,779
4755,r025,All doctorate recipients -> Psychology and social sciences  -> Other universities,All doctorate recipients,Psychology and social sciences ,Other universities,3,324,298,309,301,290,320,331,284,303,365,366
4755,r026,All doctorate recipients -> Engineering,All doctorate recipients,Engineering,,2,7578,8032,8469,9000,9626,9875,9459,9776,10165,10298,10476
4755,r027,All doctorate recipients -> Engineering -> Doctoral: Very high research,All doctorate recipients,Engineering,Doctoral: Very high research,3,6768,7152,7531,7930,8546,8604,8230,8521,8746,8893,8991
4755,r028,All doctorate recipients -> Engineering -> Doctoral: High research,All doctorate recipients,Engineering,Doctoral: High research,3,745,771,845,967,996,1176,1140,1135,1294,1279,1360
4755,r029,All doctorate recipients -> Engineering -> Doctoral/ Professional,All doctorate recipients,Engineering,Doctoral/ Professional,3,16,27,22,20,27,27,27,38,33,30,25
4755,r030,All doctorate recipients -> Engineering -> Other universities,All doctorate recipients,Engineering,Other universities,3,49,82,71,83,57,68,62,82,92,96,100
4755,r031,All doctorate recipients -> Education,All doctorate recipients,Education,,2,5287,4670,4802,4934,4789,5098,5146,4826,4818,4633,4716
4755,r032,All doctorate recipients -> Education -> Doctoral: Very high research,All doctorate recipients,Education,Doctoral: Very high research,3,3283,3269,3372,3406,3274,3334,3339,3129,3128,2998,3020
4755,r033,All doctorate recipients -> Education -> Doctoral: High research,All doctorate recipients,Education,Doctoral: High research,3,1336,986,1043,1098,1093,1291,1277,1299,1214,1198,1194
4755,r034,All doctorate recipients -> Education -> Doctoral/ Professional,All doctorate recipients,Education,Doctoral/ Professional,3,505,305,282,306,339,374,420,325,373,345,396
4755,r035,All doctorate recipients -> Education -> Other universities,All doctorate recipients,Education,Other universities,3,163,110,105,124,83,99,110,73,103,92,106
4755,r036,All doctorate recipients -> Humanities and arts,All doctorate recipients,Humanities and arts,,2,5015,5225,5561,5715,5524,5594,5482,5286,5139,5051,4939
4755,r037,All doctorate recipients -> Humanities and arts -> Doctoral: Very high research,All doctorate recipients,Humanities and arts,Doctoral: Very high research,3,4147,4327,4554,4774,4596,4628,4480,4329,4215,4143,3987
4755,r038,All doctorate recipients -> Humanities and arts -> Doctoral: High research,All doctorate recipients,Humanities and arts,Doctoral: High research,3,487,529,569,520,535,549,615,550,526,498,517
4755,r039,All doctorate recipients -> Humanities and arts -> Doctoral/ Professional,All doctorate recipients,Humanities and arts,Doctoral/ Professional,3,98,101,152,123,117,108,132,115,109,104,111
4755,r040,All doctorate recipients -> Humanities and arts -> Other universities,All doctorate recipients,Humanities and arts,Other universities,3,283,268,286,298,276,309,255,292,289,306,324
4755,r041,All doctorate recipients -> Other<sup>b</sup>,All doctorate recipients,Other<sup>b</sup>,,2,2729,2683,2734,3023,3043,3019,2941,3152,2978,3026,3006
4755,r042,All doctorate recipients -> Other<sup>b</sup> -> Doctoral: Very high research,All doctorate recipients,Other<sup>b</sup>,Doctoral: Very high research,3,2165,2145,2212,2406,2350,2370,2282,2337,2212,2244,2201
4755,r043,All doctorate recipients -> Other<sup>b</sup> -> Doctoral: High research,All doctorate recipients,Other<sup>b</sup>,Doctoral: High research,3,331,349,299,344,389,352,368,433,406,403,423
4755,r044,All doctorate recipients -> Other<sup>b</sup> -> Doctoral/ Professional,All doctorate recipients,Other<sup>b</sup>,Doctoral/ Professional,3,178,154,165,217,256,239,224,329,301,313,318
4755,r045,All doctorate recipients -> Other<sup>b</sup> -> Other universities,All doctorate recipients,Other<sup>b</sup>,Other universities,3,55,35,58,56,48,58,67,53,59,66,64
