table_id,row_id,employer_location_full_path,employer_location_level_1,employer_location_level_2,employer_location_level_3,employer_location_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_occupations_total_number,field_science_occupations_total_se,field_science_occupations_biological_agricultural_and_other_life_scientists_number,field_science_occupations_biological_agricultural_and_other_life_scientists_se,field_science_occupations_computer_and_information_scientists_number,field_science_occupations_computer_and_information_scientists_se,field_science_occupations_mathematical_scientists_number,field_science_occupations_mathematical_scientists_se,field_science_occupations_physical_scientists_number,field_science_occupations_physical_scientists_se,field_science_occupations_psychologists_number,field_science_occupations_psychologists_se,field_science_occupations_social_scientists_number,field_science_occupations_social_scientists_se,field_engineering_occupations_number,field_engineering_occupations_se,field_s_e_related_occupations_number,field_s_e_related_occupations_se,field_non_s_e_occupations_number,field_non_s_e_occupations_se
8231,r049,All locations -> Mountain -> Colorado,All locations,Mountain,Colorado,3,18550,650,11150,550,3100,300,1050,150,700,150,2750,225,2050,300,1500,200,2250,250,2500,325,2650,250
8231,r050,All locations -> Mountain -> Idaho,All locations,Mountain,Idaho,3,3250,325,1600,200,600,125,50,50,100,50,450,125,150,75,200,75,800,150,400,125,450,125
8231,r051,All locations -> Mountain -> Montana,All locations,Mountain,Montana,3,2900,300,1850,250,900,150,,,S,S,350,125,200,75,250,75,250,100,350,75,450,125
8231,r052,All locations -> Mountain -> Nevada,All locations,Mountain,Nevada,3,3150,325,2000,250,600,150,150,75,100,50,450,125,400,125,350,100,250,75,400,125,500,125
8231,r053,All locations -> Mountain -> New Mexico,All locations,Mountain,New Mexico,3,8800,500,4500,325,950,175,450,150,350,100,1800,200,600,150,350,150,2600,300,800,200,900,150
8231,r054,All locations -> Mountain -> Utah,All locations,Mountain,Utah,3,9000,525,5200,375,1600,250,700,175,450,125,900,150,850,150,700,175,1300,250,900,150,1550,225
8231,r055,All locations -> Mountain -> Wyoming,All locations,Mountain,Wyoming,3,1000,200,800,175,150,50,,,,,300,125,200,100,150,75,,,50,25,150,75
8231,r056,All locations -> Pacific,All locations,Pacific,,2,193000,2200,107300,1825,31500,875,26250,800,7450,475,15950,700,15250,675,10900,525,34950,1075,21000,875,29700,1000
8231,r057,All locations -> Pacific -> Alaska,All locations,Pacific,Alaska,3,1500,225,1000,175,400,100,,,S,S,250,75,S,S,100,50,150,75,150,75,150,75
8231,r058,All locations -> Pacific -> California,All locations,Pacific,California,3,145600,1875,79850,1525,23200,800,20150,700,5250,375,12250,600,11100,600,7900,475,26400,1000,16050,725,23250,875
8231,r059,All locations -> Pacific -> Hawaii,All locations,Pacific,Hawaii,3,3050,325,2050,250,500,100,S,S,100,50,350,75,400,150,550,125,400,150,200,50,450,125
8231,r060,All locations -> Pacific -> Oregon,All locations,Pacific,Oregon,3,15300,550,7500,450,2500,275,1350,200,500,150,1000,175,1250,200,900,125,4450,325,1500,225,1850,225
8231,r061,All locations -> Pacific -> Washington,All locations,Pacific,Washington,3,27550,1025,16950,725,4950,375,4600,400,1450,225,2100,275,2400,300,1450,200,3550,350,3050,350,4000,350
8231,r062,All locations -> Puerto Rico,All locations,Puerto Rico,,2,2700,275,1600,200,500,100,S,S,50,25,250,75,500,125,150,75,400,125,100,50,600,150
8231,r063,All locations -> U.S. territories and other areas,All locations,U.S. territories and other areas,,2,3950,325,1800,225,550,125,200,75,150,75,300,100,150,75,450,150,650,175,400,150,1100,225
