table_id,row_id,time_period,_b_gerd_b_level_1,_b_gerd_b_level_2,_b_gerd_b_level_3,_b_gerd_b_level_4,_b_gerd_b_hierarchy_depth,value
10978,r112,Chile (2020),GDP,Current PPP dollars,2021a,,3,481.37
10978,r113,Chile (2020), GERD-to-GDP ratio (%),1990,,,2,NA
10978,r114,Chile (2020), GERD-to-GDP ratio (%),2000,,,2,NA
10978,r115,Chile (2020), GERD-to-GDP ratio (%),2010,,,2,0.33
10978,r116,Chile (2020), GERD-to-GDP ratio (%),2021a,,,2,0.33
10978,r117,Chile (2020),Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,NA
10978,r118,Chile (2020),Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,NA
10978,r119,Chile (2020),Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,4.7
10978,r120,Chile (2020),Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,NA
10978,r121,Chile (2020),Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,NA
10978,r122,Chile (2020),Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,2.2
10978,r123,Chile (2020),Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,8.9
10978,r124,Chile (2020),Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,7.8
10978,r125,Chile (2020),Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,4.6
10978,r126,Colombia (2020),GERD,Current PPP dollars,1990,,3,NA
10978,r127,Colombia (2020),GERD,Current PPP dollars,2000,,3,0.37
10978,r128,Colombia (2020),GERD,Current PPP dollars,2010,,3,0.93
10978,r129,Colombia (2020),GERD,Current PPP dollars,2021a,,3,2.23
10978,r130,Colombia (2020),GERD,Constant (2015) PPP dollars,1990,,3,NA
10978,r131,Colombia (2020),GERD,Constant (2015) PPP dollars,2000,,3,0.47
10978,r132,Colombia (2020),GERD,Constant (2015) PPP dollars,2010,,3,0.96
10978,r133,Colombia (2020),GERD,Constant (2015) PPP dollars,2021a,,3,1.84
10978,r134,Colombia (2020),GDP,Current PPP dollars,1990,,3,165.52
10978,r135,Colombia (2020),GDP,Current PPP dollars,2000,,3,262.51
10978,r136,Colombia (2020),GDP,Current PPP dollars,2010,,3,480.53
10978,r137,Colombia (2020),GDP,Current PPP dollars,2021a,,3,769.21
10978,r138,Colombia (2020), GERD-to-GDP ratio (%),1990,,,2,NA
10978,r139,Colombia (2020), GERD-to-GDP ratio (%),2000,,,2,0.14
10978,r140,Colombia (2020), GERD-to-GDP ratio (%),2010,,,2,0.19
10978,r141,Colombia (2020), GERD-to-GDP ratio (%),2021a,,,2,0.29
10978,r142,Colombia (2020),Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,NA
10978,r143,Colombia (2020),Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,9.7
10978,r144,Colombia (2020),Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,9.1
10978,r145,Colombia (2020),Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,NA
10978,r146,Colombia (2020),Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,7.5
10978,r147,Colombia (2020),Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,6.7
10978,r148,Colombia (2020),Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,4.7
10978,r149,Colombia (2020),Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,6.2
10978,r150,Colombia (2020),Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,4.8
10978,r151,Costa Rica,GERD,Current PPP dollars,1990,,3,NA
10978,r152,Costa Rica,GERD,Current PPP dollars,2000,,3,NA
10978,r153,Costa Rica,GERD,Current PPP dollars,2010,,3,NA
10978,r154,Costa Rica,GERD,Current PPP dollars,2021a,,3,0.32
10978,r155,Costa Rica,GERD,Constant (2015) PPP dollars,1990,,3,NA
10978,r156,Costa Rica,GERD,Constant (2015) PPP dollars,2000,,3,NA
10978,r157,Costa Rica,GERD,Constant (2015) PPP dollars,2010,,3,NA
10978,r158,Costa Rica,GERD,Constant (2015) PPP dollars,2021a,,3,0.28
10978,r159,Costa Rica,GDP,Current PPP dollars,1990,,3,NA
10978,r160,Costa Rica,GDP,Current PPP dollars,2000,,3,31.92
10978,r161,Costa Rica,GDP,Current PPP dollars,2010,,3,60.59
10978,r162,Costa Rica,GDP,Current PPP dollars,2021a,,3,116.7
10978,r163,Costa Rica, GERD-to-GDP ratio (%),1990,,,2,NA
10978,r164,Costa Rica, GERD-to-GDP ratio (%),2000,,,2,NA
10978,r165,Costa Rica, GERD-to-GDP ratio (%),2010,,,2,NA
10978,r166,Costa Rica, GERD-to-GDP ratio (%),2021a,,,2,0.28
10978,r167,Costa Rica,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,NA
10978,r168,Costa Rica,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,NA
10978,r169,Costa Rica,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,NA
10978,r170,Costa Rica,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,NA
10978,r171,Costa Rica,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,NA
10978,r172,Costa Rica,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,NA
10978,r173,Costa Rica,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,NA
10978,r174,Costa Rica,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,6.6
10978,r175,Costa Rica,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,6.1
10978,r176,Czechia,GERD,Current PPP dollars,1990,,3,NA
10978,r177,Czechia,GERD,Current PPP dollars,2000,,3,1.85
10978,r178,Czechia,GERD,Current PPP dollars,2010,,3,3.87
10978,r179,Czechia,GERD,Current PPP dollars,2021a,,3,9.57
10978,r180,Czechia,GERD,Constant (2015) PPP dollars,1990,,3,NA
10978,r181,Czechia,GERD,Constant (2015) PPP dollars,2000,,3,2.66
10978,r182,Czechia,GERD,Constant (2015) PPP dollars,2010,,3,4.36
10978,r183,Czechia,GERD,Constant (2015) PPP dollars,2021a,,3,8.01
10978,r184,Czechia,GDP,Current PPP dollars,1990,,3,131.49
10978,r185,Czechia,GDP,Current PPP dollars,2000,,3,166.53
10978,r186,Czechia,GDP,Current PPP dollars,2010,,3,292.03
10978,r187,Czechia,GDP,Current PPP dollars,2021a,,3,479.38
10978,r188,Czechia, GERD-to-GDP ratio (%),1990,,,2,NA
10978,r189,Czechia, GERD-to-GDP ratio (%),2000,,,2,1.11
10978,r190,Czechia, GERD-to-GDP ratio (%),2010,,,2,1.33
10978,r191,Czechia, GERD-to-GDP ratio (%),2021a,,,2,2.0
10978,r192,Czechia,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,NA
10978,r193,Czechia,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,7.7
10978,r194,Czechia,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,8.6
10978,r195,Czechia,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,NA
10978,r196,Czechia,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,5.0
10978,r197,Czechia,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,5.7
10978,r198,Czechia,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,2.4
10978,r199,Czechia,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,5.8
10978,r200,Czechia,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,4.6
10978,r201,Denmark,GERD,Current PPP dollars,1990,,3,1.42
10978,r202,Denmark,GERD,Current PPP dollars,2000,,3,NA
10978,r203,Denmark,GERD,Current PPP dollars,2010,,3,6.96
10978,r204,Denmark,GERD,Current PPP dollars,2021a,,3,10.69
10978,r205,Denmark,GERD,Constant (2015) PPP dollars,1990,,3,2.83
10978,r206,Denmark,GERD,Constant (2015) PPP dollars,2000,,3,NA
10978,r207,Denmark,GERD,Constant (2015) PPP dollars,2010,,3,7.63
10978,r208,Denmark,GERD,Constant (2015) PPP dollars,2021a,,3,8.82
10978,r209,Denmark,GDP,Current PPP dollars,1990,,3,93.79
10978,r210,Denmark,GDP,Current PPP dollars,2000,,3,153.05
10978,r211,Denmark,GDP,Current PPP dollars,2010,,3,238.56
10978,r212,Denmark,GDP,Current PPP dollars,2021a,,3,387.05
10978,r213,Denmark, GERD-to-GDP ratio (%),1990,,,2,1.52
10978,r214,Denmark, GERD-to-GDP ratio (%),2000,,,2,NA
10978,r215,Denmark, GERD-to-GDP ratio (%),2010,,,2,2.92
10978,r216,Denmark, GERD-to-GDP ratio (%),2021a,,,2,2.76
10978,r217,Denmark,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,NA
10978,r218,Denmark,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,NA
10978,r219,Denmark,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,4.0
10978,r220,Denmark,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,NA
10978,r221,Denmark,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,NA
10978,r222,Denmark,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,1.3
10978,r223,Denmark,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,5.0
10978,r224,Denmark,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,4.5
10978,r225,Denmark,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,4.5
10978,r226,Estonia,GERD,Current PPP dollars,1990,,3,NA
10978,r227,Estonia,GERD,Current PPP dollars,2000,,3,0.08
10978,r228,Estonia,GERD,Current PPP dollars,2010,,3,0.45
10978,r229,Estonia,GERD,Current PPP dollars,2021a,,3,1.01
10978,r230,Estonia,GERD,Constant (2015) PPP dollars,1990,,3,NA
10978,r231,Estonia,GERD,Constant (2015) PPP dollars,2000,,3,0.14
10978,r232,Estonia,GERD,Constant (2015) PPP dollars,2010,,3,0.51
10978,r233,Estonia,GERD,Constant (2015) PPP dollars,2021a,,3,0.85
10978,r234,Estonia,GDP,Current PPP dollars,1990,,3,NA
10978,r235,Estonia,GDP,Current PPP dollars,2000,,3,13.16
10978,r236,Estonia,GDP,Current PPP dollars,2010,,3,28.78
10978,r237,Estonia,GDP,Current PPP dollars,2021a,,3,57.86
10978,r238,Estonia, GERD-to-GDP ratio (%),1990,,,2,NA
10978,r239,Estonia, GERD-to-GDP ratio (%),2000,,,2,0.6
10978,r240,Estonia, GERD-to-GDP ratio (%),2010,,,2,1.58
10978,r241,Estonia, GERD-to-GDP ratio (%),2021a,,,2,1.75
10978,r242,Estonia,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,NA
10978,r243,Estonia,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,19.1
10978,r244,Estonia,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,7.6
10978,r245,Estonia,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,NA
10978,r246,Estonia,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,13.9
10978,r247,Estonia,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,4.7
10978,r248,Estonia,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,NA
10978,r249,Estonia,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,8.1
10978,r250,Estonia,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,6.6
10978,r251,Finland,GERD,Current PPP dollars,1990,,3,1.65
10978,r252,Finland,GERD,Current PPP dollars,2000,,3,4.49
10978,r253,Finland,GERD,Current PPP dollars,2010,,3,7.74
10978,r254,Finland,GERD,Current PPP dollars,2021a,,3,9.06
10978,r255,Finland,GERD,Constant (2015) PPP dollars,1990,,3,2.82
10978,r256,Finland,GERD,Constant (2015) PPP dollars,2000,,3,6.31
10978,r257,Finland,GERD,Constant (2015) PPP dollars,2010,,3,8.6
10978,r258,Finland,GERD,Constant (2015) PPP dollars,2021a,,3,7.61
10978,r259,Finland,GDP,Current PPP dollars,1990,,3,90.49
10978,r260,Finland,GDP,Current PPP dollars,2000,,3,138.67
10978,r261,Finland,GDP,Current PPP dollars,2010,,3,208.93
10978,r262,Finland,GDP,Current PPP dollars,2021a,,3,303.52
10978,r263,Finland, GERD-to-GDP ratio (%),1990,,,2,1.82
10978,r264,Finland, GERD-to-GDP ratio (%),2000,,,2,3.24
10978,r265,Finland, GERD-to-GDP ratio (%),2010,,,2,3.71
10978,r266,Finland, GERD-to-GDP ratio (%),2021a,,,2,2.99
10978,r267,Finland,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,10.6
10978,r268,Finland,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,5.6
10978,r269,Finland,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,1.4
10978,r270,Finland,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,8.4
10978,r271,Finland,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,3.1
10978,r272,Finland,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,-1.1
10978,r273,Finland,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,4.4
10978,r274,Finland,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,4.2
10978,r275,Finland,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,3.5
10978,r276,France,GERD,Current PPP dollars,1990,,3,23.38
10978,r277,France,GERD,Current PPP dollars,2000,,3,33.28
10978,r278,France,GERD,Current PPP dollars,2010,,3,50.86
10978,r279,France,GERD,Current PPP dollars,2021a,,3,77.22
10978,r280,France,GERD,Constant (2015) PPP dollars,1990,,3,42.1
10978,r281,France,GERD,Constant (2015) PPP dollars,2000,,3,47.75
10978,r282,France,GERD,Constant (2015) PPP dollars,2010,,3,56.27
10978,r283,France,GERD,Constant (2015) PPP dollars,2021a,,3,63.75
10978,r284,France,GDP,Current PPP dollars,1990,,3,1027.98
10978,r285,France,GDP,Current PPP dollars,2000,,3,1589.55
10978,r286,France,GDP,Current PPP dollars,2010,,3,2334.56
10978,r287,France,GDP,Current PPP dollars,2021a,,3,3479.87
10978,r288,France, GERD-to-GDP ratio (%),1990,,,2,2.27
10978,r289,France, GERD-to-GDP ratio (%),2000,,,2,2.09
10978,r290,France, GERD-to-GDP ratio (%),2010,,,2,2.18
10978,r291,France, GERD-to-GDP ratio (%),2021a,,,2,2.22
10978,r292,France,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,3.6
10978,r293,France,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,4.3
10978,r294,France,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,3.9
10978,r295,France,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,1.3
10978,r296,France,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,1.7
10978,r297,France,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2010–21a,4,1.1
10978,r298,France,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,1990–2000,4,4.5
10978,r299,France,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2000–10,4,3.9
10978,r300,France,Longer-term growth rates,GDP compound annual growth rate,Current PPP dollars,2010–21a,4,3.7
10978,r301,Germany,GERD,Current PPP dollars,1990,,3,35.97
10978,r302,Germany,GERD,Current PPP dollars,2000,,3,53.9
10978,r303,Germany,GERD,Current PPP dollars,2010,,3,86.97
10978,r304,Germany,GERD,Current PPP dollars,2021a,,3,153.72
10978,r305,Germany,GERD,Constant (2015) PPP dollars,1990,,3,63.12
10978,r306,Germany,GERD,Constant (2015) PPP dollars,2000,,3,79.15
10978,r307,Germany,GERD,Constant (2015) PPP dollars,2010,,3,97.65
10978,r308,Germany,GERD,Constant (2015) PPP dollars,2021a,,3,129.35
10978,r309,Germany,GDP,Current PPP dollars,1990,,3,1380.32
10978,r310,Germany,GDP,Current PPP dollars,2000,,3,2236.5
10978,r311,Germany,GDP,Current PPP dollars,2010,,3,3185.27
10978,r312,Germany,GDP,Current PPP dollars,2021a,,3,4913.17
10978,r313,Germany, GERD-to-GDP ratio (%),1990,,,2,2.61
10978,r314,Germany, GERD-to-GDP ratio (%),2000,,,2,2.41
10978,r315,Germany, GERD-to-GDP ratio (%),2010,,,2,2.73
10978,r316,Germany, GERD-to-GDP ratio (%),2021a,,,2,3.13
10978,r317,Germany,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,1990–2000,4,4.1
10978,r318,Germany,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2000–10,4,4.9
10978,r319,Germany,Longer-term growth rates,GERD compound annual growth rate,Current PPP dollars,2010–21a,4,5.3
10978,r320,Germany,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,1990–2000,4,2.3
10978,r321,Germany,Longer-term growth rates,GERD compound annual growth rate,Constant (2015) PPP dollars,2000–10,4,2.1
