table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_bycompany,field_paid_for_byothers,field_research_basic_and_applied_total,field_research_basic_and_applied_paid_for_bycompany,field_research_basic_and_applied_paid_for_byothers,field_development_total,field_development_paid_for_bycompany,field_development_paid_for_byothers
1389,r014,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,3,54,"['20,080', '  ']","['11,663', '  ']","['8,417', '  ']","['5,719', 'i ']","['2,983', 'i ']","['2,736', 'i ']","['14,360', 'i ']","['8,680', '  ']","['5,681', 'i']"
1389,r015,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,4,5417,"['8,155', '  ']","['333', '  ']","['7,822', '  ']","['2,398', 'i ']","['138', 'i ']","['2,261', 'i ']","['5,756', 'i ']","['195', '  ']","['5,561', 'i']"
1389,r016,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",4,other 54,"['11,925', '  ']","['11,330', '  ']","['595', '  ']","['3,321', 'i ']","['2,845', 'i ']","['476', '  ']","['8,604', '  ']","['8,485', '  ']","['120', ' ']"
1389,r017,Foreign R&D performance,Foreign R&D performance,,,,1,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
1389,r018,All industries,All industries,,,,1,"21–23, 31–33, 42–81","['77,146', '  ']","['70,326', '  ']","['6,820', '  ']","['17,430', '  ']","['15,569', '  ']","['1,861', 'i ']","['59,716', '  ']","['54,757', '  ']","['4,959', 'i']"
1389,r019,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,2,31–33,"['52,689', '  ']","['51,421', '  ']","['1,268', '  ']","['12,910', '  ']","['12,685', '  ']","['225', '  ']","['39,779', '  ']","['38,736', '  ']","['1,042', ' ']"
1389,r020,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,3,325,"['12,313', '  ']","['12,146', '  ']","['167', '  ']","['3,944', '  ']","['3,898', '  ']","['47', '  ']","['8,369', '  ']","['8,248', '  ']","['120', ' ']"
1389,r021,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['9,914', '  ']","['9,768', '  ']","['146', '  ']","['2,984', '  ']","['2,952', '  ']","['32', '  ']","['6,930', '  ']","['6,816', '  ']","['114', ' ']"
1389,r022,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,4,other 325,"['2,399', '  ']","['2,378', '  ']","['21', '  ']","['960', 'i ']","['946', 'i ']","['14', '  ']","['1,439', '  ']","['1,432', '  ']","['7', ' ']"
1389,r023,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,3,334,"['20,791', '  ']","['20,530', '  ']","['261', '  ']","['5,830', 'i ']","['5,734', 'i ']","['96', '  ']","['14,961', 'i ']","['14,796', 'i ']","['165', ' ']"
1389,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,4,3344,"['10,304', '  ']","['10,278', '  ']","['26', '  ']","['2,118', 'i ']","['2,114', 'i ']","['4', '  ']","['8,186', 'i ']","['8,164', 'i ']","['22', ' ']"
1389,r025,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['10,487', '  ']","['10,252', '  ']","['235', '  ']","['3,712', 'i ']","['3,620', 'i ']","['91', '  ']","['6,775', '  ']","['6,632', '  ']","['143', ' ']"
1389,r026,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,2,"21–23, 42–81","['24,457', '  ']","['18,905', '  ']","['5,552', '  ']","['4,520', 'i ']","['2,884', 'i ']","['1,636', 'i ']","['19,937', '  ']","['16,021', '  ']","['3,917', 'i']"
1389,r027,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,3,51,"['13,384', '  ']","['13,355', '  ']","['29', '  ']","['1,805', '  ']","['1,800', '  ']","['5', '  ']","['11,580', '  ']","['11,556', '  ']","['24', ' ']"
1389,r028,All industries -> Nonmanufacturing industries -> Information -> Software publishers,All industries,Nonmanufacturing industries,Information,Software publishers,4,5112,"['8,693', '  ']","['8,682', '  ']","['12', '  ']","['1,392', '  ']","['1,392', '  ']","['0', '  ']","['7,301', '  ']","['7,289', '  ']","['12', ' ']"
1389,r029,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,4,other 51,"['4,691', '  ']","['4,674', '  ']","['17', '  ']","['412', 'i ']","['408', 'i ']","['5', '  ']","['4,278', 'i ']","['4,266', 'i ']","['12', ' ']"
1389,r030,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,3,54,"['9,176', '  ']","['3,690', '  ']","['5,486', '  ']","['2,446', 'i ']","['829', 'i ']","['1,617', 'i ']","['6,730', 'i ']","['2,862', '  ']","['3,868', 'i']"
1389,r031,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,4,5417,"['5,412', '  ']","['64', '  ']","['5,348', '  ']","['1,545', 'i ']","['16', '  ']","['1,528', 'i ']","['3,867', 'i ']","['47', '  ']","['3,820', 'i']"
1389,r032,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",4,other 54,"['3,764', '  ']","['3,627', '  ']","['138', '  ']","['901', 'i ']","['812', 'i ']","['89', 'i ']","['2,863', '  ']","['2,814', '  ']","['49', ' ']"
