table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
6629,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['4,656', '&nbsp;']"
6629,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['3,198', '&nbsp;']"
6629,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['5,370', '&nbsp;']"
6629,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['6,455', '&nbsp;']"
6629,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['21,793', '&nbsp;']"
6629,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['154 - 5,017', '&nbsp;']"
6629,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['9,439', '&nbsp;']"
6629,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['5,404', '&nbsp;']"
6629,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['1,474', '&nbsp;']"
6629,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['1,347', '&nbsp;']"
6629,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['1,140', '&nbsp;']"
6629,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['210 - 5,073', '&nbsp;']"
6629,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['182 - 5,045', '&nbsp;']"
6629,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['437', '&nbsp;']"
6629,r060,"All business activities -> Military armored vehicle, tank, and tank components manufacturing",All business activities,"Military armored vehicle, tank, and tank components manufacturing",2,33692,"['381', '&nbsp;']"
6629,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['496', '&nbsp;']"
6629,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['517', '&nbsp;']"
6629,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['18,875', '&nbsp;']"
6629,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['3,117', '&nbsp;']"
6629,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['727', '&nbsp;']"
6629,r066,"All business activities -> Merchant wholesalers, nondurable goods",All business activities,"Merchant wholesalers, nondurable goods",2,42400,"['1,029', '&nbsp;']"
6629,r067,All business activities -> Wholesale electronic markets and agents and brokers (business to business),All business activities,Wholesale electronic markets and agents and brokers (business to business),2,42500,"['32 - 4,895', 'i']"
6629,r068,All business activities -> Retail trade (except electronic shopping and electronic auctions),All business activities,Retail trade (except electronic shopping and electronic auctions),2,44000,"['279 - 5,142', '&nbsp;']"
6629,r069,All business activities -> Electronic shopping and electronic auctions,All business activities,Electronic shopping and electronic auctions,2,45411,"['0 - 15,636', 'i']"
6629,r070,All business activities -> Transportation,All business activities,Transportation,2,48000,"['9,072', '&nbsp;']"
6629,r071,"All business activities -> Couriers, messengers, and express delivery services",All business activities,"Couriers, messengers, and express delivery services",2,49200,"['290', '&nbsp;']"
6629,r072,All business activities -> Warehousing and storage,All business activities,Warehousing and storage,2,49300,"['162', 'i']"
6629,r073,"All business activities -> Newspaper, periodical, book, and directory publishers (except Internet)",All business activities,"Newspaper, periodical, book, and directory publishers (except Internet)",2,51110,"['88', '&nbsp;']"
6629,r074,All business activities -> Software publishers (except Internet),All business activities,Software publishers (except Internet),2,51120,"['31,585', '&nbsp;']"
6629,r075,All business activities -> Motion picture and sound recording (except Internet),All business activities,Motion picture and sound recording (except Internet),2,51200,"['52 - 4,915', '&nbsp;']"
6629,r076,All business activities -> Broadcasting (except Internet),All business activities,Broadcasting (except Internet),2,51500,"['500', '&nbsp;']"
6629,r077,All business activities -> Wired telecommunications carriers,All business activities,Wired telecommunications carriers,2,51710,"['428', '&nbsp;']"
6629,r078,All business activities -> Wireless telecommunications carriers (except satellite),All business activities,Wireless telecommunications carriers (except satellite),2,51720,"['2,641', '&nbsp;']"
6629,r079,All business activities -> Satellite telecommunications,All business activities,Satellite telecommunications,2,51740,"['486', '&nbsp;']"
6629,r080,All business activities -> Other telecommunications (not listed elsewhere),All business activities,Other telecommunications (not listed elsewhere),2,51790,"['610', '&nbsp;']"
6629,r081,"All business activities -> Data processing, hosting, and related services",All business activities,"Data processing, hosting, and related services",2,51800,"['10,108', '&nbsp;']"
6629,r082,All business activities -> Cloud computing applications and Internet-based software services,All business activities,Cloud computing applications and Internet-based software services,2,51801,"['33,022', '&nbsp;']"
6629,r083,"All business activities -> Other information services, including Internet publishing, broadcasting, and Web search portals",All business activities,"Other information services, including Internet publishing, broadcasting, and Web search portals",2,51910,"['53,120', '&nbsp;']"
6629,r084,All business activities -> Finance: banking and credit intermediation,All business activities,Finance: banking and credit intermediation,2,52200,"['5,718', '&nbsp;']"
6629,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['1,654', '&nbsp;']"
6629,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['2,607', '&nbsp;']"
6629,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['398', '&nbsp;']"
6629,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['1,067', '&nbsp;']"
6629,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['71', '&nbsp;']"
6629,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['2,117', '&nbsp;']"
6629,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['2,720', '&nbsp;']"
6629,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['111 - 4,974', '&nbsp;']"
6629,r093,All business activities -> Computer systems design and related services,All business activities,Computer systems design and related services,2,54150,"['22,598', '&nbsp;']"
6629,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['2,004', '&nbsp;']"
6629,r095,All business activities -> Research and development services in social sciences and humanities,All business activities,Research and development services in social sciences and humanities,2,54172,"['28', '&nbsp;']"
6629,r096,All business activities -> Research and development services in biotechnology,All business activities,Research and development services in biotechnology,2,54173,"['1,151', '&nbsp;']"
6629,r097,"All business activities -> Research and development services in physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in physical, engineering, and life sciences (except biotechnology)",2,54174,"['2,885', '&nbsp;']"
6629,r098,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['1,261', 'i']"
6629,r099,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['1,264', '&nbsp;']"
6629,r100,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['0 - 15,636', '&nbsp;']"
6629,r101,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['3,576', '&nbsp;']"
6629,r102,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['16 - 4,879', '&nbsp;']"
6629,r103,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['196', '&nbsp;']"
6629,r104,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['2,104', '&nbsp;']"
6629,r105,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['146 - 5,009', '&nbsp;']"
6629,r106,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['0 - 15,636', '&nbsp;']"
6629,r107,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['0 - 15,636', '&nbsp;']"
6629,r108,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['479', '&nbsp;']"
6629,r109,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['79 - 4,942', '&nbsp;']"
6629,r110,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['514', '&nbsp;']"
6629,r111,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['0', '&nbsp;']"
