table_id,row_id,field_sex_race_ethnicity_and_disability_status_full_path,field_sex_race_ethnicity_and_disability_status_level_1,field_sex_race_ethnicity_and_disability_status_level_2,field_sex_race_ethnicity_and_disability_status_level_3,field_sex_race_ethnicity_and_disability_status_level_4,field_sex_race_ethnicity_and_disability_status_hierarchy_depth,field_all_recipients,field_total,field_employed_full_time,field_employed_part_time,field_employed_postdoc,field_unemployed_seeking_work,field_unemployed_not_seeking_work,field_median_salary_for_full_time_employeda_
3328,r027,All SEH fields -> Science -> Computer and information sciences -> Male,All SEH fields,Science,Computer and information sciences,Male,4,3100,3100,2800,100,200,,,120000
3328,r028,All SEH fields -> Science -> Computer and information sciences -> White,All SEH fields,Science,Computer and information sciences,White,4,1400,1400,1300,,100,,,113000
3328,r029,All SEH fields -> Science -> Computer and information sciences -> Asian<sup>b</sup>,All SEH fields,Science,Computer and information sciences,Asian<sup>b</sup>,4,2050,2000,1800,,S,,,129000
3328,r030,All SEH fields -> Science -> Computer and information sciences -> Underrepresented minority<sup>c</sup>,All SEH fields,Science,Computer and information sciences,Underrepresented minority<sup>c</sup>,4,250,200,200,,,,,107000
3328,r031,All SEH fields -> Science -> Computer and information sciences -> Without disability,All SEH fields,Science,Computer and information sciences,Without disability,4,3600,3550,3200,100,250,,,120000
3328,r032,All SEH fields -> Science -> Computer and information sciences -> With disability,All SEH fields,Science,Computer and information sciences,With disability,4,200,200,200,,,,,80000
3328,r033,All SEH fields -> Science -> Mathematical sciences,All SEH fields,Science,Mathematical sciences,,3,3200,3100,2450,100,550,,,80000
3328,r034,All SEH fields -> Science -> Mathematical sciences -> Female,All SEH fields,Science,Mathematical sciences,Female,4,1050,950,850,50,100,,,95000
3328,r035,All SEH fields -> Science -> Mathematical sciences -> Male,All SEH fields,Science,Mathematical sciences,Male,4,2150,2150,1600,S,500,,,79000
3328,r036,All SEH fields -> Science -> Mathematical sciences -> White,All SEH fields,Science,Mathematical sciences,White,4,1450,1400,1100,100,200,,,73000
3328,r037,All SEH fields -> Science -> Mathematical sciences -> Asian<sup>b</sup>,All SEH fields,Science,Mathematical sciences,Asian<sup>b</sup>,4,1400,1400,1050,,300,,,96000
3328,r038,All SEH fields -> Science -> Mathematical sciences -> Underrepresented minority<sup>c</sup>,All SEH fields,Science,Mathematical sciences,Underrepresented minority<sup>c</sup>,4,250,250,200,,50,,,82000
3328,r039,All SEH fields -> Science -> Mathematical sciences -> Without disability,All SEH fields,Science,Mathematical sciences,Without disability,4,3000,2900,2250,100,550,,,80000
3328,r040,All SEH fields -> Science -> Mathematical sciences -> With disability,All SEH fields,Science,Mathematical sciences,With disability,4,200,200,150,,,,,80000
3328,r041,All SEH fields -> Science -> Physical and related sciences,All SEH fields,Science,Physical and related sciences,,3,10500,10150,7150,250,2800,200,150,79000
3328,r042,All SEH fields -> Science -> Physical and related sciences -> Female,All SEH fields,Science,Physical and related sciences,Female,4,3300,3050,2150,100,800,150,100,75000
3328,r043,All SEH fields -> Science -> Physical and related sciences -> Male,All SEH fields,Science,Physical and related sciences,Male,4,7200,7100,5000,150,2000,,,80000
3328,r044,All SEH fields -> Science -> Physical and related sciences -> White,All SEH fields,Science,Physical and related sciences,White,4,5550,5400,4050,100,1200,50,100,80000
3328,r045,All SEH fields -> Science -> Physical and related sciences -> Asian<sup>b</sup>,All SEH fields,Science,Physical and related sciences,Asian<sup>b</sup>,4,3850,3700,2400,,1250,100,,79000
3328,r046,All SEH fields -> Science -> Physical and related sciences -> Underrepresented minority<sup>c</sup>,All SEH fields,Science,Physical and related sciences,Underrepresented minority<sup>c</sup>,4,900,850,550,S,250,,,70000
3328,r047,All SEH fields -> Science -> Physical and related sciences -> Without disability,All SEH fields,Science,Physical and related sciences,Without disability,4,9800,9500,6600,250,2650,150,100,80000
3328,r048,All SEH fields -> Science -> Physical and related sciences -> With disability,All SEH fields,Science,Physical and related sciences,With disability,4,700,650,500,,150,,,72000
3328,r049,All SEH fields -> Science -> Psychology,All SEH fields,Science,Psychology,,3,7650,7450,6100,750,600,50,150,81000
3328,r050,All SEH fields -> Science -> Psychology -> Female,All SEH fields,Science,Psychology,Female,4,5600,5400,4350,600,400,,150,81000
3328,r051,All SEH fields -> Science -> Psychology -> Male,All SEH fields,Science,Psychology,Male,4,2100,2000,1700,150,200,,,80000
3328,r052,All SEH fields -> Science -> Psychology -> White,All SEH fields,Science,Psychology,White,4,5150,5050,4200,400,400,,S,80000
3328,r053,All SEH fields -> Science -> Psychology -> Asian<sup>b</sup>,All SEH fields,Science,Psychology,Asian<sup>b</sup>,4,850,800,500,200,,,,75000
3328,r054,All SEH fields -> Science -> Psychology -> Underrepresented minority<sup>c</sup>,All SEH fields,Science,Psychology,Underrepresented minority<sup>c</sup>,4,1400,1300,1100,100,100,S,,78000
3328,r055,All SEH fields -> Science -> Psychology -> Without disability,All SEH fields,Science,Psychology,Without disability,4,7200,6950,5700,700,550,S,150,82000
3328,r056,All SEH fields -> Science -> Psychology -> With disability,All SEH fields,Science,Psychology,With disability,4,500,450,350,,100,,,65000
3328,r057,All SEH fields -> Science -> Social and related sciences,All SEH fields,Science,Social and related sciences,,3,8450,8050,7050,550,400,300,150,78000
3328,r058,All SEH fields -> Science -> Social and related sciences -> Female,All SEH fields,Science,Social and related sciences,Female,4,4300,4050,3450,350,300,200,100,71000
3328,r059,All SEH fields -> Science -> Social and related sciences -> Male,All SEH fields,Science,Social and related sciences,Male,4,4150,4000,3650,200,100,100,50,90000
3328,r060,All SEH fields -> Science -> Social and related sciences -> White,All SEH fields,Science,Social and related sciences,White,4,5250,5050,4400,350,300,100,100,75000
3328,r061,All SEH fields -> Science -> Social and related sciences -> Asian<sup>b</sup>,All SEH fields,Science,Social and related sciences,Asian<sup>b</sup>,4,1650,1450,1350,50,,150,,92000
3328,r062,All SEH fields -> Science -> Social and related sciences -> Underrepresented minority<sup>c</sup>,All SEH fields,Science,Social and related sciences,Underrepresented minority<sup>c</sup>,4,1450,1400,1200,100,50,50,S,75000
3328,r063,All SEH fields -> Science -> Social and related sciences -> Without disability,All SEH fields,Science,Social and related sciences,Without disability,4,8050,7600,6700,550,400,250,150,79000
3328,r064,All SEH fields -> Science -> Social and related sciences -> With disability,All SEH fields,Science,Social and related sciences,With disability,4,450,400,350,50,,,,69000
3328,r065,All SEH fields -> Engineering,All SEH fields,Engineering,,,2,17400,16800,14350,350,2100,300,300,100000
3328,r066,All SEH fields -> Engineering -> Female,All SEH fields,Engineering,Female,,3,4300,4100,3450,150,500,S,150,94000
3328,r067,All SEH fields -> Engineering -> Male,All SEH fields,Engineering,Male,,3,13100,12650,10850,150,1600,250,150,102000
3328,r068,All SEH fields -> Engineering -> White,All SEH fields,Engineering,White,,3,7400,7050,6150,150,750,200,150,97000
3328,r069,All SEH fields -> Engineering -> Asian<sup>b</sup>,All SEH fields,Engineering,Asian<sup>b</sup>,,3,8350,8150,6900,100,1150,S,100,103000
3328,r070,All SEH fields -> Engineering -> Underrepresented minority<sup>c</sup>,All SEH fields,Engineering,Underrepresented minority<sup>c</sup>,,3,1400,1300,1050,50,200,,S,99000
3328,r071,All SEH fields -> Engineering -> Without disability,All SEH fields,Engineering,Without disability,,3,16500,15900,13550,350,2000,300,300,100000
3328,r072,All SEH fields -> Engineering -> With disability,All SEH fields,Engineering,With disability,,3,900,900,750,,S,,,94000
3328,r073,All SEH fields -> Health,All SEH fields,Health,,,2,4750,4600,3550,450,600,50,100,80000
3328,r074,All SEH fields -> Health -> Female,All SEH fields,Health,Female,,3,3200,3050,2400,350,300,50,100,81000
3328,r075,All SEH fields -> Health -> Male,All SEH fields,Health,Male,,3,1550,1550,1150,100,300,,,75000
3328,r076,All SEH fields -> Health -> White,All SEH fields,Health,White,,3,2650,2550,2100,250,200,,50,83000
3328,r077,All SEH fields -> Health -> Asian<sup>b</sup>,All SEH fields,Health,Asian<sup>b</sup>,,3,1200,1150,750,100,350,,,70000
3328,r078,All SEH fields -> Health -> Underrepresented minority<sup>c</sup>,All SEH fields,Health,Underrepresented minority<sup>c</sup>,,3,850,800,650,100,50,50,,78000
3328,r079,All SEH fields -> Health -> Without disability,All SEH fields,Health,Without disability,,3,4350,4200,3200,400,600,50,100,80000
3328,r080,All SEH fields -> Health -> With disability,All SEH fields,Health,With disability,,3,400,350,350,,,,,76000
