table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_level_5,agency_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10262,r050,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,159079,43037,0,0,0,5318,0,0,60931,49794
10262,r051,All agencies -> Departments -> Department of Homeland Security -> Transportation Security Administration,All agencies,Departments,Department of Homeland Security,Transportation Security Administration,,4,1000,0,0,0,0,0,0,0,0,1000
10262,r052,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,668110,0,355837,258857,0,0,0,16498,36918,0
10262,r053,All agencies -> Departments -> Department of the Interior -> Bureau of Indian Affairs,All agencies,Departments,Department of the Interior,Bureau of Indian Affairs,,4,5000,0,0,5000,0,0,0,0,0,0
10262,r054,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,9143,0,0,9143,0,0,0,0,0,0
10262,r055,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,62582,0,62582,0,0,0,0,0,0,0
10262,r056,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,18000,0,0,0,0,0,0,0,18000,0
10262,r057,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,18918,0,0,0,0,0,0,0,18918,0
10262,r058,All agencies -> Departments -> Department of the Interior -> Fish and Wildlife Service,All agencies,Departments,Department of the Interior,Fish and Wildlife Service,,4,32650,0,0,32650,0,0,0,0,0,0
10262,r059,All agencies -> Departments -> Department of the Interior -> Geological Survey,All agencies,Departments,Department of the Interior,Geological Survey,,4,494595,0,293255,201340,0,0,0,0,0,0
10262,r060,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,27222,0,0,10724,0,0,0,16498,0,0
10262,r061,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,70562,2046,452,3234,377,5924,0,49796,4836,3897
10262,r062,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,0.05,0,0,0,0,0,0,0.05,0,0
10262,r063,All agencies -> Departments -> Department of Justice -> Federal Bureau of Investigation,All agencies,Departments,Department of Justice,Federal Bureau of Investigation,,4,3698,0,0,0,0,0,0,0,0,3698
10262,r064,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,66863,2046,452,3234,377,5924,0,49795,4836,200
10262,r065,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,3493,0,0,0,0,0,0,3493,0,0
10262,r066,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,1301,0,0,0,0,0,0,1301,0,0
10262,r067,All agencies -> Departments -> Department of Labor -> Occupational Safety and Health Administration,All agencies,Departments,Department of Labor,Occupational Safety and Health Administration,,4,2192,0,0,0,0,0,0,2192,0,0
10262,r068,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,40000,0,0,38000,0,0,0,2000,0,0
10262,r069,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,820890,17317,15813,21460,5075,11451,18059,17943,707272,6499
10262,r070,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,266866,13112,15706,7949,5075,0,17696,0,206334,993
10262,r071,All agencies -> Departments -> Department of Transportation -> Federal Highway Administration,All agencies,Departments,Department of Transportation,Federal Highway Administration,,4,373484,0,0,0,0,0,0,0,373484,0
10262,r072,All agencies -> Departments -> Department of Transportation -> Federal Motor Carrier Safety Administration,All agencies,Departments,Department of Transportation,Federal Motor Carrier Safety Administration,,4,11451,0,0,0,0,11451,0,0,0,0
10262,r073,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,35039,0,108,0,0,0,0,0,34931,0
10262,r074,All agencies -> Departments -> Department of Transportation -> Federal Transit Administration,All agencies,Departments,Department of Transportation,Federal Transit Administration,,4,42045,0,0,0,0,0,363,5463,30731,5488
10262,r075,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,65559,4205,0,13511,0,0,0,12480,35363,0
10262,r076,All agencies -> Departments -> Department of Transportation -> Office of the Secretary of Transportation,All agencies,Departments,Department of Transportation,Office of the Secretary of Transportation,,4,11714,0,0,0,0,0,0,0,11696,0.05
10262,r077,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,14733,0,0,0,0,0,0,0,14733,0
10262,r078,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,41289,0,0,0,0,41289,0,0,0,0
10262,r079,All agencies -> Departments -> Department of the Treasury -> Bureau of Engraving and Printing,All agencies,Departments,Department of the Treasury,Bureau of Engraving and Printing,,4,41271,0,0,0,0,41271,0,0,0,0
10262,r080,All agencies -> Departments -> Department of the Treasury -> Mint,All agencies,Departments,Department of the Treasury,Mint,,4,0.05,0,0,0,0,0.05,0,0,0,0
10262,r081,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,936176,0,0,936176,0,0,0,0,0,0
10262,r082,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,,,,,
10262,r083,All agencies -> Other agencies -> Administrative Office of the U.S. Courts,All agencies,Other agencies,Administrative Office of the U.S. Courts,,,3,4362,4362,0,0,0,0,0,0,0,0
10262,r084,All agencies -> Other agencies -> Agency for Global Media,All agencies,Other agencies,Agency for Global Media,,,3,4597,0,0,0,0,0,0,4597,0,0
10262,r085,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,51211,0,0,43631,0,0,0,4331,0,3250
10262,r086,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,,,3,650,0,0,0,0,0,0,650,0,0
10262,r087,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,,,3,391,0,0,0,0,0,0,0,391,0
10262,r088,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,403334,5524,166238,159342,3067,9630,0,2330,57202,0.05
10262,r089,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,,3,8094,0,0,0,0,0,0,8094,0,0
10262,r090,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,,3,550,0,0,0,0,550,0,0,0,0
10262,r091,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,2697919,0,2082,0,0,0,0,0,820462,1875375
10262,r092,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,934101,172101,15783,6272,446,20760,0.05,2716,340157,375858
10262,r093,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,,,3,76714,0.05,0,0,0,0,0,0,76694,0
10262,r094,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,,,3,460331,0,0,460331,0,0,0,0,0,0
10262,r095,All agencies -> Other agencies -> Postal Service,All agencies,Other agencies,Postal Service,,,3,15435,0,0,0,0,0,0,0,15435,0
10262,r096,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,,,3,105392,0,0,0,0,0,0,105392,0,0
10262,r097,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,,,3,9179,0,0,0,0,0,0,0,9179,0
