table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_r_d,field_covid_19_r_d,field_all_other_r_d
6466,r013,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,734.9,10.7,724.1
6466,r014,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,768.1,0.0,768.1
6466,r015,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7.7,0.0,7.7
6466,r016,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,111.1,0.1,111.0
6466,r017,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,66695.0,1434.2,65260.8
6466,r018,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,3664.3,126.5,3537.8
6466,r019,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,2870.4,840.7,2029.7
6466,r020,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,11683.2,349.6,11333.5
6466,r021,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,10786.4,0.0,10786.4
6466,r022,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,19113.8,0.6,19113.2
6466,r023,All agencies -> Departments -> Department of Defense -> U.S. Space Force,All agencies,Departments,Department of Defense,U.S. Space Force,,4,4385.7,6.4,4379.3
6466,r024,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,14191.2,110.4,14080.9
6466,r025,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,240.1,0.0,240.1
6466,r026,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,13453.0,61.9,13391.1
6466,r027,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,438.0,1.0,437.0
6466,r028,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,139.8,0.0,139.8
6466,r029,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,2096.2,0.0,2096.2
6466,r030,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,22.2,0.4,21.8
6466,r031,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,679.3,0.0,679.3
6466,r032,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,3983.7,0.0,3983.7
6466,r033,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,2298.1,0.0,2298.1
6466,r034,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,1387.4,0.0,1387.4
6466,r035,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,298.1,0.0,298.1
6466,r036,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,573.2,0.0,573.2
6466,r037,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,50.7,0.0,50.7
6466,r038,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,5470.0,60.6,5409.4
6466,r039,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,60005.7,21513.8,38491.9
6466,r040,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,1.6,0.0,1.6
6466,r041,All agencies -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies,Departments,Department of Health and Human Services,Administration for Community Living,,4,90.4,0.0,90.4
6466,r042,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,338.0,0.0,338.0
6466,r043,All agencies -> Departments -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Departments,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,,4,9.6,0.0,9.6
6466,r044,All agencies -> Departments -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Departments,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,,4,15666.4,15437.3,229.1
6466,r045,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,496.8,93.2,403.6
6466,r046,All agencies -> Departments -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Departments,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,4,223.6,0.0,223.6
6466,r047,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,464.0,0.0,464.0
6466,r048,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,34.9,0.0,34.9
6466,r049,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,42664.0,5983.3,36680.7
6466,r050,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,16.5,0.0,16.5
6466,r051,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,16.5,0.0,16.5
6466,r052,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,507.5,8.0,499.5
6466,r053,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,37.5,0.0,37.5
6466,r054,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,7.7,0.0,7.7
6466,r055,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,421.8,8.0,413.8
6466,r056,All agencies -> Departments -> Department of Homeland Security -> Transportation Security Administration,All agencies,Departments,Department of Homeland Security,Transportation Security Administration,,4,22.9,0.0,22.9
6466,r057,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,,4,4.9,0.0,4.9
6466,r058,All agencies -> Departments -> Department of Homeland Security -> U.S. Secret Service,All agencies,Departments,Department of Homeland Security,U.S. Secret Service,,4,12.7,0.0,12.7
6466,r059,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,837.2,0.0,837.2
6466,r060,All agencies -> Departments -> Department of the Interior -> Bureau of Indian Affairs,All agencies,Departments,Department of the Interior,Bureau of Indian Affairs,,4,0.05,0.0,0.05
6466,r061,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,20.8,0.0,20.8
6466,r062,"All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management, Regulation and Enforcement",All agencies,Departments,Department of the Interior,"Bureau of Ocean Energy Management, Regulation and Enforcement",,4,72.9,0.0,72.9
6466,r063,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,27.5,0.0,27.5
6466,r064,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,7.9,0.0,7.9
6466,r065,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,10.2,0.0,10.2
6466,r066,All agencies -> Departments -> Department of the Interior -> Office of Surface Mining Reclamation and Enforcement,All agencies,Departments,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,,4,0.6,0.0,0.6
6466,r067,All agencies -> Departments -> Department of the Interior -> U.S. Fish and Wildlife Service,All agencies,Departments,Department of the Interior,U.S. Fish and Wildlife Service,,4,32.6,0.0,32.6
6466,r068,All agencies -> Departments -> Department of the Interior -> U.S. Geological Survey,All agencies,Departments,Department of the Interior,U.S. Geological Survey,,4,664.8,0.0,664.8
6466,r069,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,96.4,0.1,96.3
6466,r070,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,8.1,0.0,8.1
6466,r071,All agencies -> Departments -> Department of Justice -> Federal Bureau of Investigation,All agencies,Departments,Department of Justice,Federal Bureau of Investigation,,4,4.7,0.0,4.7
6466,r072,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,83.6,0.1,83.4
6466,r073,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,4.7,0.0,4.7
6466,r074,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,2.7,0.0,2.7
6466,r075,All agencies -> Departments -> Department of Labor -> Occupational Safety and Health Administration,All agencies,Departments,Department of Labor,Occupational Safety and Health Administration,,4,2.0,0.0,2.0
6466,r076,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,40.0,0.0,40.0
6466,r077,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,1184.2,0.0,1184.2
6466,r078,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,431.9,0.0,431.9
6466,r079,All agencies -> Departments -> Department of Transportation -> Federal Highway Administration,All agencies,Departments,Department of Transportation,Federal Highway Administration,,4,512.2,0.0,512.2
6466,r080,All agencies -> Departments -> Department of Transportation -> Federal Motor Carrier Safety Administration,All agencies,Departments,Department of Transportation,Federal Motor Carrier Safety Administration,,4,8.9,0.0,8.9
6466,r081,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,46.4,0.0,46.4
6466,r082,All agencies -> Departments -> Department of Transportation -> Federal Transit Administration,All agencies,Departments,Department of Transportation,Federal Transit Administration,,4,40.2,0.0,40.2
6466,r083,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,68.9,0.0,68.9
6466,r084,All agencies -> Departments -> Department of Transportation -> Office of the Secretary of Transportation,All agencies,Departments,Department of Transportation,Office of the Secretary of Transportation,,4,34.4,0.0,34.4
6466,r085,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,41.4,0.0,41.4
6466,r086,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,60.6,0.0,60.6
6466,r087,All agencies -> Departments -> Department of the Treasury -> Bureau of Engraving and Printing,All agencies,Departments,Department of the Treasury,Bureau of Engraving and Printing,,4,60.4,0.0,60.4
6466,r088,All agencies -> Departments -> Department of the Treasury -> U.S. Mint,All agencies,Departments,Department of the Treasury,U.S. Mint,,4,0.2,0.0,0.2
6466,r089,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,1565.1,4.5,1560.6
6466,r090,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,
6466,r091,All agencies -> Other agencies -> Administrative Office of the U.S. Courts,All agencies,Other agencies,Administrative Office of the U.S. Courts,,,3,5.0,0.0,5.0
6466,r092,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,194.3,3.6,190.8
6466,r093,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,,,3,0.7,0.0,0.7
6466,r094,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,,,3,0.4,0.0,0.4
6466,r095,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,488.5,1.5,487.0
6466,r096,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,,,3,1.8,0.0,1.8
6466,r097,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,,3,6.0,0.0,6.0
6466,r098,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,,3,2.8,0.0,2.8
6466,r099,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,10537.8,14.2,10523.6
6466,r100,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,6351.2,191.6,6159.6
6466,r101,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,,,3,69.2,0.0,69.2
6466,r102,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,,,3,469.7,0.0,469.7
6466,r103,All agencies -> Other agencies -> RESTORE Act Centers of Excellence Research Grants Program,All agencies,Other agencies,RESTORE Act Centers of Excellence Research Grants Program,,,3,9.2,0.0,9.2
6466,r104,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,209.8,0.0,209.8
6466,r105,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,,,3,69.7,0.0,69.7
6466,r106,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,,,3,8.4,0.0,8.4
6466,r107,All agencies -> Other agencies -> U.S. Agency for Global Media,All agencies,Other agencies,U.S. Agency for Global Media,,,3,4.8,0.0,4.8
6466,r108,All agencies -> Other agencies -> U.S. Postal Service,All agencies,Other agencies,U.S. Postal Service,,,3,18.2,0.0,18.2
