table_id,row_id,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_full_path,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_1,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_2,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_3,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_4,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_hierarchy_depth,field_age_years_75_and_younger,field_age_years_younger_than_35,field_age_years_35_44,field_age_years_45_54,field_age_years_55_75
1274,r038,Total -> Not Hispanic or Latino -> Black or African American,Total,Not Hispanic or Latino,Black or African American,,3,873000,254000,257000,177000,184000
1274,r039,Total -> Not Hispanic or Latino -> Black or African American -> Computer applications,Total,Not Hispanic or Latino,Black or African American,Computer applications,4,123000,24000,24000,37000,38000
1274,r040,Total -> Not Hispanic or Latino -> Black or African American -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,Black or African American,Management or administration<sup>a</sup>,4,552000,160000,171000,119000,102000
1274,r041,Total -> Not Hispanic or Latino -> Black or African American -> Research and development,Total,Not Hispanic or Latino,Black or African American,Research and development,4,240000,82000,77000,43000,38000
1274,r042,Total -> Not Hispanic or Latino -> Black or African American -> Teaching,Total,Not Hispanic or Latino,Black or African American,Teaching,4,89000,19000,22000,10000,38000
1274,r043,Total -> Not Hispanic or Latino -> Black or African American -> Other,Total,Not Hispanic or Latino,Black or African American,Other,4,337000,91000,91000,76000,79000
1274,r044,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,3,33000,5000,12000,13000,4000
1274,r045,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Computer applications,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Computer applications,4,3000,S,S,,
1274,r046,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Management or administration<sup>a</sup>,4,20000,2000,6000,9000,S
1274,r047,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Research and development,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Research and development,4,9000,S,5000,S,0.05
1274,r048,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Teaching,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Teaching,4,5000,,,S,
1274,r049,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Other,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Other,4,12000,1000,6000,4000,
1274,r050,Total -> Not Hispanic or Latino -> White,Total,Not Hispanic or Latino,White,,3,9903000,2690000,2236000,2332000,2644000
1274,r051,Total -> Not Hispanic or Latino -> White -> Computer applications,Total,Not Hispanic or Latino,White,Computer applications,4,1371000,399000,349000,340000,282000
1274,r052,Total -> Not Hispanic or Latino -> White -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,White,Management or administration<sup>a</sup>,4,6463000,1527000,1478000,1702000,1756000
1274,r053,Total -> Not Hispanic or Latino -> White -> Research and development,Total,Not Hispanic or Latino,White,Research and development,4,2906000,957000,675000,610000,665000
1274,r054,Total -> Not Hispanic or Latino -> White -> Teaching,Total,Not Hispanic or Latino,White,Teaching,4,570000,146000,142000,116000,166000
1274,r055,Total -> Not Hispanic or Latino -> White -> Other,Total,Not Hispanic or Latino,White,Other,4,3955000,1174000,858000,826000,1097000
1274,r056,Total -> Not Hispanic or Latino -> More than one race,Total,Not Hispanic or Latino,More than one race,,3,241000,120000,55000,36000,29000
1274,r057,Total -> Not Hispanic or Latino -> More than one race -> Computer applications,Total,Not Hispanic or Latino,More than one race,Computer applications,4,28000,18000,5000,3000,2000
1274,r058,Total -> Not Hispanic or Latino -> More than one race -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,More than one race,Management or administration<sup>a</sup>,4,155000,91000,28000,24000,13000
1274,r059,Total -> Not Hispanic or Latino -> More than one race -> Research and development,Total,Not Hispanic or Latino,More than one race,Research and development,4,73000,32000,20000,13000,7000
1274,r060,Total -> Not Hispanic or Latino -> More than one race -> Teaching,Total,Not Hispanic or Latino,More than one race,Teaching,4,16000,S,S,,
1274,r061,Total -> Not Hispanic or Latino -> More than one race -> Other,Total,Not Hispanic or Latino,More than one race,Other,4,90000,35000,31000,8000,15000
1274,r062,Total -> Without disability,Total,Without disability,,,2,13065000,3940000,3458000,2898000,2769000
1274,r063,Total -> Without disability -> Computer applications,Total,Without disability,Computer applications,,3,2241000,742000,691000,484000,324000
1274,r064,Total -> Without disability -> Management or administration<sup>a</sup>,Total,Without disability,Management or administration<sup>a</sup>,,3,8275000,2244000,2207000,2022000,1803000
1274,r065,Total -> Without disability -> Research and development,Total,Without disability,Research and development,,3,4002000,1417000,1087000,805000,693000
1274,r066,Total -> Without disability -> Teaching,Total,Without disability,Teaching,,3,753000,214000,203000,147000,189000
1274,r067,Total -> Without disability -> Other,Total,Without disability,Other,,3,4991000,1569000,1254000,1017000,1151000
1274,r068,Total -> With disability,Total,With disability,,,2,1475000,270000,227000,413000,564000
1274,r069,Total -> With disability -> Computer applications,Total,With disability,Computer applications,,3,218000,70000,28000,57000,63000
1274,r070,Total -> With disability -> Management or administration<sup>a</sup>,Total,With disability,Management or administration<sup>a</sup>,,3,973000,165000,143000,302000,363000
1274,r071,Total -> With disability -> Research and development,Total,With disability,Research and development,,3,395000,73000,76000,106000,140000
1274,r072,Total -> With disability -> Teaching,Total,With disability,Teaching,,3,100000,9000,S,32000,50000
1274,r073,Total -> With disability -> Other,Total,With disability,Other,,3,517000,86000,76000,129000,226000
