table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_full_professor_number,field_full_professor_se,field_associate_professor_number,field_associate_professor_se,field_assistant_professor_number,field_assistant_professor_se,field_instructor_or_lecturer_number,field_instructor_or_lecturer_se,field_all_other_faculty_number,field_all_other_faculty_se,field_rank_not_applicable_number,field_rank_not_applicable_se
8198,r014,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,10600,375,2250,200,3000,275,2900,225,600,100,50,25,1850,200
8198,r015,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Not Hispanic or Latino<sup>b</sup>,White,,4,192150,1925,69700,1300,42600,1050,33650,900,13200,575,1000,200,31950,875
8198,r016,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,4700,300,950,175,1100,175,1150,150,250,75,,,1250,175
8198,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,95500,1375,26400,825,18850,700,18000,625,5800,450,550,150,25950,825
8198,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Hispanic or Latino<sup>a</sup>,,4,4850,275,850,100,850,100,1250,125,300,75,,,1550,175
8198,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
8198,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,150,50,,,50,25,S,S,,,,,50,25
8198,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Asian,5,20600,850,3550,300,4050,450,4100,350,1050,225,200,75,7700,525
8198,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Black or African American,5,2800,225,500,100,650,125,800,125,150,50,,,700,125
8198,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,White,5,65500,1200,21200,725,12850,675,11500,525,4200,375,300,125,15450,600
8198,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,1600,200,300,125,400,150,350,75,50,25,,,550,75
8198,r025,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,3,11850,450,4100,350,2950,275,3200,275,600,150,,,1050,150
8198,r026,All fields -> Science -> Computer and information sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Computer and information sciences,Hispanic or Latino<sup>a</sup>,,4,400,75,150,50,100,50,150,50,50,25,,,50,25
8198,r027,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
8198,r028,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,,,,,
8198,r029,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,4300,350,1500,225,1100,200,1250,200,100,50,,,400,125
8198,r030,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,350,100,0.05,0.05,150,75,200,50,,,,,,
8198,r031,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,White,5,6500,375,2250,275,1550,200,1600,200,450,150,,,600,100
8198,r032,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,250,125,S,S,S,S,S,S,,,,,,
8198,r033,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,20250,625,8150,375,4600,375,4600,350,1500,200,S,S,1250,175
8198,r034,All fields -> Science -> Mathematics and statistics -> Hispanic or Latino<sup>a</sup>,All fields,Science,Mathematics and statistics,Hispanic or Latino<sup>a</sup>,,4,1000,100,300,75,200,50,250,50,200,75,,,50,25
8198,r035,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
8198,r036,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,,,,,
8198,r037,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Asian,5,4950,375,1850,250,1100,175,1400,250,200,75,,,400,125
8198,r038,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,600,100,100,25,100,50,300,100,S,S,,,0.05,0.05
8198,r039,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,White,5,13500,550,5900,300,3150,300,2600,275,1000,150,,,750,150
8198,r040,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,200,50,50,25,,,100,50,0.05,0.05,,,,
8198,r041,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,45900,1025,15500,600,8950,450,7150,375,2950,275,200,100,11100,475
8198,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Hispanic or Latino<sup>a</sup>,,4,1650,150,500,100,300,75,350,75,150,50,,,300,75
8198,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
8198,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,,,,,
8198,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Asian,5,10200,625,2750,350,1550,250,1550,250,550,125,,,3800,350
8198,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Black or African American,5,1100,150,200,50,300,75,200,50,100,50,,,250,100
8198,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,White,5,32150,850,11900,575,6600,350,4900,325,2100,225,150,75,6450,325
8198,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,750,150,100,50,150,50,100,50,50,25,,,300,125
8198,r049,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,38700,800,13400,600,9100,475,7750,450,2250,250,200,75,6050,400
8198,r050,All fields -> Science -> Psychology -> Hispanic or Latino<sup>a</sup>,All fields,Science,Psychology,Hispanic or Latino<sup>a</sup>,,4,2450,225,550,100,600,125,700,125,100,50,,,450,100
8198,r051,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
8198,r052,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,50,25,,,,,,,,,,,,
8198,r053,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Asian,5,2900,250,1050,175,650,150,500,125,150,75,,,600,125
8198,r054,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,2200,225,450,75,550,175,550,100,100,50,,,500,150
8198,r055,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,White,5,30150,700,11050,550,7100,400,5700,400,1800,225,150,75,4300,300
8198,r056,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,950,150,200,75,150,50,300,100,,,,,250,75
8198,r057,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,60250,950,21650,650,15900,525,11900,475,4550,325,300,100,6000,425
8198,r058,All fields -> Science -> Social sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Social sciences,Hispanic or Latino<sup>a</sup>,,4,3750,250,1150,125,800,100,1150,175,300,75,,,350,75
8198,r059,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
8198,r060,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,250,75,S,S,100,50,50,25,,,,,,
8198,r061,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,7500,450,1950,200,2150,250,2150,250,500,150,,,750,125
8198,r062,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,3500,225,900,125,1200,150,850,150,100,50,,,400,100
8198,r063,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,White,5,44350,850,17400,600,11400,450,7350,375,3600,300,250,100,4350,375
8198,r064,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,950,125,150,50,300,75,300,75,50,25,,,100,50
8198,r065,All fields -> Engineering,All fields,Engineering,,,,2,46850,1150,17250,750,10250,500,9650,550,1800,225,50,50,7900,450
8198,r066,All fields -> Engineering -> Hispanic or Latino<sup>a</sup>,All fields,Engineering,Hispanic or Latino<sup>a</sup>,,,3,2300,175,850,125,500,75,450,75,150,50,,,350,75
8198,r067,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,,,,,
8198,r068,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,50,50,S,S,,,,,,,,,,
8198,r069,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Asian,,4,16100,700,5750,450,3250,350,3500,325,300,125,,,3250,325
8198,r070,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,1500,150,500,100,350,75,350,75,100,50,,,250,75
8198,r071,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,White,,4,26200,850,9850,600,6000,400,5300,400,1200,200,S,S,3800,300
8198,r072,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,700,150,200,125,150,50,100,50,0.05,0.05,,,200,75
8198,r073,All fields -> Health,All fields,Health,,,,2,21600,600,5800,350,6050,375,6300,325,750,125,,,2700,200
8198,r074,All fields -> Health -> Hispanic or Latino<sup>a</sup>,All fields,Health,Hispanic or Latino<sup>a</sup>,,,3,900,100,200,75,200,50,350,75,100,50,,,100,50
8198,r075,All fields -> Health -> Not Hispanic or Latino<sup>b</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,,,,,
8198,r076,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Health,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,50,50,,,,,,,,,,,,
8198,r077,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Asian,,4,3250,300,800,150,750,150,1050,175,,,,,600,100
8198,r078,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,1600,150,200,50,400,75,700,125,S,S,,,250,50
8198,r079,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Health,Not Hispanic or Latino<sup>b</sup>,White,,4,15400,525,4500,350,4650,350,4000,275,550,125,,,1650,150
8198,r080,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,450,100,100,75,100,50,100,50,S,S,,,100,50
