table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others
6591,r014,Total -> Asia and Pacific -> Australia,Total,Asia and Pacific,Australia,3,"['2,032', '&nbsp;']","['1,873', '&nbsp;']","['159', 'i']"
6591,r015,Total -> Asia and Pacific -> China,Total,Asia and Pacific,China,3,"['8,195', '&nbsp;']","['7,666', '&nbsp;']","['528', '&nbsp;']"
6591,r016,Total -> Asia and Pacific -> Hong Kong,Total,Asia and Pacific,Hong Kong,3,"['396', '&nbsp;']","['375', '&nbsp;']","['21', 'i']"
6591,r017,Total -> Asia and Pacific -> India,Total,Asia and Pacific,India,3,"['9,846', '&nbsp;']","['9,484', '&nbsp;']","['362', 'i']"
6591,r018,Total -> Asia and Pacific -> Indonesia,Total,Asia and Pacific,Indonesia,3,"['24', '&nbsp;']","['23', '&nbsp;']","['1', 'i']"
6591,r019,Total -> Asia and Pacific -> Japan,Total,Asia and Pacific,Japan,3,"['4,090', '&nbsp;']","['3,461', '&nbsp;']","['629', 'i']"
6591,r020,Total -> Asia and Pacific -> Malaysia,Total,Asia and Pacific,Malaysia,3,"['838', '&nbsp;']","['827', '&nbsp;']","['11', 'i']"
6591,r021,Total -> Asia and Pacific -> New Zealand,Total,Asia and Pacific,New Zealand,3,"['274', '&nbsp;']","['239', '&nbsp;']","['35', '&nbsp;']"
6591,r022,Total -> Asia and Pacific -> Singapore,Total,Asia and Pacific,Singapore,3,"['2,376', '&nbsp;']","['2,187', '&nbsp;']","['189', 'i']"
6591,r023,Total -> Asia and Pacific -> South Korea,Total,Asia and Pacific,South Korea,3,"['1,451', '&nbsp;']","['1,308', '&nbsp;']","['143', 'i']"
6591,r024,Total -> Asia and Pacific -> Taiwan,Total,Asia and Pacific,Taiwan,3,"['1,775', '&nbsp;']","['1,677', '&nbsp;']","['98', '&nbsp;']"
6591,r025,Total -> Asia and Pacific -> Thailand,Total,Asia and Pacific,Thailand,3,"['380', '&nbsp;']","['355', '&nbsp;']","['25', 'i']"
6591,r026,Total -> Asia and Pacific -> Other Asian or Pacific locations,Total,Asia and Pacific,Other Asian or Pacific locations,3,"['780', '&nbsp;']","['751', '&nbsp;']","['29', 'i']"
6591,r027,Total -> Europe,Total,Europe,,2,"['48,764', '&nbsp;']","['43,111', '&nbsp;']","['5,652', 'i']"
6591,r028,Total -> Europe -> Austria,Total,Europe,Austria,3,"['651', 'i']","['595', 'i']","['56', 'i']"
6591,r029,Total -> Europe -> Belgium,Total,Europe,Belgium,3,"['2,324', '&nbsp;']","['2,150', '&nbsp;']","['174', 'i']"
6591,r030,Total -> Europe -> Czechia,Total,Europe,Czechia,3,"['527', '&nbsp;']","['464', '&nbsp;']","['62', 'i']"
6591,r031,Total -> Europe -> Denmark,Total,Europe,Denmark,3,"['593', '&nbsp;']","['551', '&nbsp;']","['42', 'i']"
6591,r032,Total -> Europe -> Finland,Total,Europe,Finland,3,"['600', '&nbsp;']","['564', '&nbsp;']","['35', '&nbsp;']"
6591,r033,Total -> Europe -> France,Total,Europe,France,3,"['3,313', '&nbsp;']","['2,831', '&nbsp;']","['481', '&nbsp;']"
6591,r034,Total -> Europe -> Germany,Total,Europe,Germany,3,"['8,879', '&nbsp;']","['8,399', '&nbsp;']","['480', 'i']"
6591,r035,Total -> Europe -> Hungary,Total,Europe,Hungary,3,"['246', '&nbsp;']","['163', '&nbsp;']","['84', 'i']"
6591,r036,Total -> Europe -> Ireland,Total,Europe,Ireland,3,"['4,207', '&nbsp;']","['4,071', '&nbsp;']","['135', '&nbsp;']"
6591,r037,Total -> Europe -> Italy,Total,Europe,Italy,3,"['1,611', '&nbsp;']","['1,382', '&nbsp;']","['229', '&nbsp;']"
6591,r038,Total -> Europe -> Luxembourg,Total,Europe,Luxembourg,3,"['274', '&nbsp;']","['269', '&nbsp;']","['5', '&nbsp;']"
6591,r039,Total -> Europe -> Netherlands,Total,Europe,Netherlands,3,"['2,108', '&nbsp;']","['1,832', '&nbsp;']","['276', 'i']"
6591,r040,Total -> Europe -> Norway,Total,Europe,Norway,3,"['363', '&nbsp;']","['354', '&nbsp;']","['9', '&nbsp;']"
6591,r041,Total -> Europe -> Poland,Total,Europe,Poland,3,"['958', '&nbsp;']","['800', '&nbsp;']","['159', 'i']"
6591,r042,Total -> Europe -> Russia,Total,Europe,Russia,3,"['492', '&nbsp;']","['364', '&nbsp;']","['128', 'i']"
6591,r043,Total -> Europe -> Spain,Total,Europe,Spain,3,"['1,033', '&nbsp;']","['843', '&nbsp;']","['190', 'i']"
6591,r044,Total -> Europe -> Sweden,Total,Europe,Sweden,3,"['1,247', '&nbsp;']","['1,185', '&nbsp;']","['62', 'i']"
6591,r045,Total -> Europe -> Switzerland,Total,Europe,Switzerland,3,"['4,536', '&nbsp;']","['4,025', '&nbsp;']","['512', '&nbsp;']"
6591,r046,Total -> Europe -> Turkey,Total,Europe,Turkey,3,"['159', '&nbsp;']","['136', '&nbsp;']","['23', 'i']"
6591,r047,Total -> Europe -> United Kingdom,Total,Europe,United Kingdom,3,"['11,797', '&nbsp;']","['9,545', '&nbsp;']","['2,252', 'i']"
6591,r048,Total -> Europe -> Other European locations,Total,Europe,Other European locations,3,"['2,847', '&nbsp;']","['2,588', '&nbsp;']","['259', 'i']"
6591,r049,Total -> Middle East,Total,Middle East,,2,"['6,342', '&nbsp;']","['6,231', '&nbsp;']","['112', 'i']"
6591,r050,Total -> Middle East -> Israel,Total,Middle East,Israel,3,"['5,974', '&nbsp;']","['5,870', '&nbsp;']","['104', 'i']"
6591,r051,Total -> Middle East -> Other Middle Eastern locations,Total,Middle East,Other Middle Eastern locations,3,"['369', 'i']","['361', 'i']","['8', 'i']"
6591,r052,Total -> Undistributed,Total,Undistributed,,2,"['3,720', 'i']","['2,441', 'i']","['1,279', 'i']"
