table_id,row_id,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_sex_female,field_sex_male,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_disability_status_without_disability,field_disability_status_with_disability
1194,r032,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,10000,7000,3000,,,,1000,,8000,,9000,
1194,r033,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,42000,18000,S,1000,,1000,S,,32000,0.05,40000,1000
1194,r034,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Federal government,S&E occupations<sup>b</sup>,Engineering occupations,,4,115000,22000,93000,9000,,10000,5000,,86000,4000,105000,10000
1194,r035,All sectors -> Federal government -> S&E-related occupations<sup>c</sup>,All sectors,Federal government,S&E-related occupations<sup>c</sup>,,,3,314000,141000,173000,31000,S,43000,46000,,180000,6000,275000,39000
1194,r036,All sectors -> Federal government -> Non-S&E occupations,All sectors,Federal government,Non-S&E occupations,,,3,558000,260000,298000,56000,S,47000,79000,S,355000,19000,493000,65000
1194,r037,All sectors -> Nonprofit,All sectors,Nonprofit,,,,2,3226000,2201000,1026000,251000,8000,326000,297000,7000,2270000,67000,2969000,257000
1194,r038,All sectors -> Nonprofit -> S&E occupations<sup>b</sup>,All sectors,Nonprofit,S&E occupations<sup>b</sup>,,,3,360000,154000,206000,29000,,49000,15000,,262000,4000,337000,23000
1194,r039,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,,4,328000,148000,180000,24000,,46000,14000,,240000,4000,308000,20000
1194,r040,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,5,62000,30000,32000,4000,,14000,S,,43000,,60000,3000
1194,r041,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,197000,74000,123000,13000,,26000,10000,,145000,3000,183000,14000
1194,r042,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,S,S,3000,,,1000,,,S,0.05,S,S
1194,r043,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,7000,3000,4000,,,1000,,,5000,,6000,1000
1194,r044,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,17000,11000,6000,5000,,1000,,,11000,,16000,
1194,r045,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,28000,15000,12000,2000,,2000,2000,,22000,0.05,27000,1000
1194,r046,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Engineering occupations,,4,32000,6000,26000,5000,,3000,S,,22000,,28000,4000
1194,r047,All sectors -> Nonprofit -> S&E-related occupations<sup>c</sup>,All sectors,Nonprofit,S&E-related occupations<sup>c</sup>,,,3,1656000,1205000,451000,106000,S,192000,155000,5000,1154000,40000,1550000,106000
1194,r048,All sectors -> Nonprofit -> Non-S&E occupations,All sectors,Nonprofit,Non-S&E occupations,,,3,1210000,842000,368000,115000,4000,86000,127000,2000,853000,23000,1083000,127000
1194,r049,All sectors -> Self-employed,All sectors,Self-employed,,,,2,1652000,777000,875000,142000,5000,137000,68000,1000,1274000,25000,1414000,238000
1194,r050,All sectors -> Self-employed -> S&E occupations<sup>b</sup>,All sectors,Self-employed,S&E occupations<sup>b</sup>,,,3,211000,80000,131000,17000,,22000,5000,,160000,7000,187000,24000
1194,r051,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,,4,169000,76000,93000,15000,,18000,4000,,125000,7000,151000,18000
1194,r052,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,5,8000,3000,5000,,,,,,6000,,7000,1000
1194,r053,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,89000,27000,62000,10000,,13000,,,58000,6000,81000,9000
1194,r054,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,S,1000,S,,,,,,S,,S,
1194,r055,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,7000,1000,5000,,,S,,,4000,,6000,
1194,r056,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,46000,35000,11000,3000,,1000,,,40000,,42000,5000
1194,r057,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,11000,S,3000,,,,,,9000,S,10000,S
1194,r058,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Self-employed,S&E occupations<sup>b</sup>,Engineering occupations,,4,42000,4000,37000,2000,,3000,,,35000,0.05,36000,5000
1194,r059,All sectors -> Self-employed -> S&E-related occupations<sup>c</sup>,All sectors,Self-employed,S&E-related occupations<sup>c</sup>,,,3,371000,209000,162000,44000,,33000,14000,,273000,5000,320000,51000
1194,r060,All sectors -> Self-employed -> Non-S&E occupations,All sectors,Self-employed,Non-S&E occupations,,,3,1071000,488000,583000,81000,3000,82000,50000,1000,841000,13000,907000,163000
1194,r061,All sectors -> State or local government,All sectors,State or local government,,,,2,1614000,804000,809000,198000,6000,157000,214000,8000,994000,37000,1440000,174000
1194,r062,All sectors -> State or local government -> S&E occupations<sup>b</sup>,All sectors,State or local government,S&E occupations<sup>b</sup>,,,3,370000,134000,235000,47000,1000,52000,41000,2000,220000,8000,331000,39000
1194,r063,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,,4,267000,113000,154000,34000,1000,37000,35000,S,152000,6000,245000,22000
1194,r064,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,5,43000,20000,23000,2000,,5000,S,,31000,S,40000,3000
1194,r065,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,122000,46000,76000,11000,,27000,20000,,62000,S,112000,10000
1194,r066,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,23000,3000,21000,0.05,,1000,,,S,,23000,S
1194,r067,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,35000,15000,19000,5000,,3000,2000,,23000,1000,29000,5000
1194,r068,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,9000,7000,2000,4000,,,1000,,4000,,8000,
1194,r069,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,35000,22000,13000,S,,S,S,,19000,S,32000,S
1194,r070,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,State or local government,S&E occupations<sup>b</sup>,Engineering occupations,,4,103000,21000,82000,13000,,14000,6000,,68000,2000,87000,16000
1194,r071,All sectors -> State or local government -> S&E-related occupations<sup>c</sup>,All sectors,State or local government,S&E-related occupations<sup>c</sup>,,,3,330000,205000,125000,45000,S,41000,35000,S,195000,8000,304000,26000
1194,r072,All sectors -> State or local government -> Non-S&E occupations,All sectors,State or local government,Non-S&E occupations,,,3,914000,465000,449000,107000,2000,64000,138000,3000,579000,21000,805000,109000
1194,r073,All sectors -> Universities and 4-year colleges<sup>d</sup>,All sectors,Universities and 4-year colleges<sup>d</sup>,,,,2,2168000,1166000,1002000,147000,13000,371000,124000,12000,1462000,40000,1961000,208000
1194,r074,All sectors -> Universities and 4-year colleges<sup>d</sup> -> S&E occupations<sup>b</sup>,All sectors,Universities and 4-year colleges<sup>d</sup>,S&E occupations<sup>b</sup>,,,3,880000,364000,516000,55000,S,198000,44000,S,565000,14000,793000,87000
1194,r075,All sectors -> Universities and 4-year colleges<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Universities and 4-year colleges<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations,,4,764000,339000,425000,49000,S,157000,41000,S,501000,12000,690000,74000
1194,r076,All sectors -> Universities and 4-year colleges<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,All sectors,Universities and 4-year colleges<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,5,222000,109000,113000,15000,,59000,6000,,138000,3000,206000,16000
1194,r077,All sectors -> Universities and 4-year colleges<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Universities and 4-year colleges<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,150000,41000,110000,13000,,36000,7000,,92000,2000,136000,15000
1194,r078,All sectors -> Universities and 4-year colleges<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Universities and 4-year colleges<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,61000,27000,34000,2000,,16000,2000,,40000,1000,57000,4000
1194,r079,All sectors -> Universities and 4-year colleges<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Universities and 4-year colleges<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,109000,29000,81000,4000,,27000,2000,,73000,S,99000,11000
1194,r080,All sectors -> Universities and 4-year colleges<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Universities and 4-year colleges<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,67000,43000,25000,4000,,7000,3000,,51000,S,59000,8000
1194,r081,All sectors -> Universities and 4-year colleges<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Universities and 4-year colleges<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,154000,91000,63000,11000,,12000,22000,,107000,2000,134000,20000
1194,r082,All sectors -> Universities and 4-year colleges<sup>d</sup> -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Universities and 4-year colleges<sup>d</sup>,S&E occupations<sup>b</sup>,Engineering occupations,,4,116000,25000,91000,6000,,41000,3000,,63000,2000,103000,14000
1194,r083,All sectors -> Universities and 4-year colleges<sup>d</sup> -> S&E-related occupations<sup>c</sup>,All sectors,Universities and 4-year colleges<sup>d</sup>,S&E-related occupations<sup>c</sup>,,,3,595000,370000,225000,45000,,106000,20000,S,406000,11000,557000,38000
1194,r084,All sectors -> Universities and 4-year colleges<sup>d</sup> -> Non-S&E occupations,All sectors,Universities and 4-year colleges<sup>d</sup>,Non-S&E occupations,,,3,694000,433000,261000,47000,S,67000,61000,S,492000,14000,611000,83000
1194,r085,All sectors -> Other educational institutions,All sectors,Other educational institutions,,,,2,2785000,1901000,884000,282000,6000,151000,262000,2000,2032000,51000,2475000,310000
1194,r086,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup>,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,,,3,216000,110000,106000,17000,S,19000,12000,,163000,2000,194000,22000
1194,r087,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,,4,210000,110000,100000,17000,S,18000,11000,,159000,2000,188000,22000
1194,r088,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,5,19000,12000,7000,2000,,S,,,16000,,16000,3000
1194,r089,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,51000,24000,27000,3000,,8000,3000,,34000,1000,44000,7000
1194,r090,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,38000,18000,20000,S,,6000,1000,,30000,,33000,4000
1194,r091,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,26000,2000,24000,1000,,,,,24000,,26000,
1194,r092,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,57000,44000,13000,S,,2000,4000,,41000,1000,52000,5000
1194,r093,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,20000,10000,10000,S,,1000,3000,,15000,,17000,3000
1194,r094,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Engineering occupations,,4,6000,,6000,,,1000,,,4000,,6000,
1194,r095,All sectors -> Other educational institutions -> S&E-related occupations<sup>c</sup>,All sectors,Other educational institutions,S&E-related occupations<sup>c</sup>,,,3,1165000,731000,434000,93000,1000,40000,87000,1000,919000,24000,1039000,126000
1194,r096,All sectors -> Other educational institutions -> Non-S&E occupations,All sectors,Other educational institutions,Non-S&E occupations,,,3,1405000,1060000,345000,173000,2000,91000,162000,S,950000,25000,1243000,162000
