table_id,row_id,major_field_and_sex_full_path,major_field_and_sex_level_1,major_field_and_sex_level_2,major_field_and_sex_level_3,major_field_and_sex_level_4,major_field_and_sex_level_5,major_field_and_sex_hierarchy_depth,field_all_definite_plans_number_,field_all_definite_plans,field_plans_to_stay_in_the_united_states_all_u_s_plans,field_plans_to_stay_in_the_united_states_academic_employment,field_plans_to_stay_in_the_united_states_industry_employment,field_plans_to_stay_in_the_united_states_postdoctoral_study,field_plans_to_stay_in_the_united_states_othera,field_plans_to_go_abroad,field_location_unknown
3290,r011,All doctorate recipients<sup>b</sup> -> S&E -> Science<sup>c</sup>  -> Psychology,All doctorate recipients<sup>b</sup>,S&E,Science<sup>c</sup> ,Psychology,,4,2414,100.0,98.47,15.91,11.68,57.62,13.26,1.53,0.0
3290,r012,All doctorate recipients<sup>b</sup> -> S&E -> Science<sup>c</sup>  -> Social sciences,All doctorate recipients<sup>b</sup>,S&E,Science<sup>c</sup> ,Social sciences,,4,2299,100.0,94.26,42.11,10.79,21.27,20.1,5.7,0.05
3290,r013,All doctorate recipients<sup>b</sup> -> S&E -> Engineering ,All doctorate recipients<sup>b</sup>,S&E,Engineering ,,,3,2733,100.0,96.96,9.73,43.32,29.09,14.82,3.0,0.05
3290,r014,All doctorate recipients<sup>b</sup> -> Female ,All doctorate recipients<sup>b</sup>,Female ,,,,2,,,,,,,,,
3290,r015,All doctorate recipients<sup>b</sup> -> Female  -> S&E,All doctorate recipients<sup>b</sup>,Female ,S&E,,,3,8056,100.0,96.88,21.19,17.02,45.28,13.39,3.1,0.05
3290,r016,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science<sup>c</sup> ,All doctorate recipients<sup>b</sup>,Female ,S&E,Science<sup>c</sup> ,,4,7376,100.0,96.92,22.03,15.02,46.53,13.34,3.06,0.05
3290,r017,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science<sup>c</sup>  -> Agricultural sciences and natural resources,All doctorate recipients<sup>b</sup>,Female ,S&E,Science<sup>c</sup> ,Agricultural sciences and natural resources,5,251,100.0,,25.1,,36.65,13.55,,0.0
3290,r018,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science<sup>c</sup>  -> Biological and biomedical sciences,All doctorate recipients<sup>b</sup>,Female ,S&E,Science<sup>c</sup> ,Biological and biomedical sciences,5,2075,100.0,97.06,11.23,16.48,61.98,7.37,2.94,0.0
3290,r019,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science<sup>c</sup>  -> Computer and information sciences,All doctorate recipients<sup>b</sup>,Female ,S&E,Science<sup>c</sup> ,Computer and information sciences,5,151,100.0,92.72,32.45,25.17,17.88,17.22,7.28,0.0
3290,r020,"All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science<sup>c</sup>  -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>b</sup>,Female ,S&E,Science<sup>c</sup> ,"Geosciences, atmospheric sciences, and ocean sciences",5,263,100.0,94.68,13.31,13.69,47.15,20.53,5.32,0.0
3290,r021,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science<sup>c</sup>  -> Health sciences<sup>d</sup>,All doctorate recipients<sup>b</sup>,Female ,S&E,Science<sup>c</sup> ,Health sciences<sup>d</sup>,5,887,100.0,,36.75,,27.28,22.32,,0.11
3290,r022,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science<sup>c</sup>  -> Mathematics and statistics,All doctorate recipients<sup>b</sup>,Female ,S&E,Science<sup>c</sup> ,Mathematics and statistics,5,190,100.0,93.68,31.58,20.53,33.68,7.89,6.32,0.0
3290,r023,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science<sup>c</sup>  -> Physical sciences and earth sciences,All doctorate recipients<sup>b</sup>,Female ,S&E,Science<sup>c</sup> ,Physical sciences and earth sciences,5,879,100.0,95.79,12.51,26.62,46.42,10.24,4.21,0.0
3290,r024,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science<sup>c</sup>  -> Psychology,All doctorate recipients<sup>b</sup>,Female ,S&E,Science<sup>c</sup> ,Psychology,5,1730,100.0,98.84,14.86,10.87,60.0,13.12,1.16,0.0
3290,r025,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science<sup>c</sup>  -> Social sciences,All doctorate recipients<sup>b</sup>,Female ,S&E,Science<sup>c</sup> ,Social sciences,5,1213,100.0,94.56,43.45,8.57,22.67,19.87,5.44,0.0
3290,r026,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Engineering,All doctorate recipients<sup>b</sup>,Female ,S&E,Engineering,,4,680,100.0,96.47,12.06,38.68,31.76,13.97,3.53,0.0
3290,r027,All doctorate recipients<sup>b</sup> -> Male,All doctorate recipients<sup>b</sup>,Male,,,,2,,,,,,,,,
3290,r028,All doctorate recipients<sup>b</sup> -> Male -> S&E,All doctorate recipients<sup>b</sup>,Male,S&E,,,3,8911,100.0,95.78,15.76,27.42,40.75,11.86,4.19,0.05
3290,r029,All doctorate recipients<sup>b</sup> -> Male -> S&E -> Science<sup>c</sup> ,All doctorate recipients<sup>b</sup>,Male,S&E,Science<sup>c</sup> ,,4,6858,100.0,95.38,17.79,22.19,44.5,10.89,4.59,0.05
3290,r030,All doctorate recipients<sup>b</sup> -> Male -> S&E -> Science<sup>c</sup>  -> Agricultural sciences and natural resources,All doctorate recipients<sup>b</sup>,Male,S&E,Science<sup>c</sup> ,Agricultural sciences and natural resources,5,257,100.0,,20.23,,35.41,16.34,,0.39
3290,r031,All doctorate recipients<sup>b</sup> -> Male -> S&E -> Science<sup>c</sup>  -> Biological and biomedical sciences,All doctorate recipients<sup>b</sup>,Male,S&E,Science<sup>c</sup> ,Biological and biomedical sciences,5,1913,100.0,97.02,7.95,17.62,65.34,6.12,2.98,0.0
3290,r032,All doctorate recipients<sup>b</sup> -> Male -> S&E -> Science<sup>c</sup>  -> Computer and information sciences,All doctorate recipients<sup>b</sup>,Male,S&E,Science<sup>c</sup> ,Computer and information sciences,5,429,100.0,97.2,19.58,48.72,17.48,11.42,2.8,0.0
3290,r033,"All doctorate recipients<sup>b</sup> -> Male -> S&E -> Science<sup>c</sup>  -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>b</sup>,Male,S&E,Science<sup>c</sup> ,"Geosciences, atmospheric sciences, and ocean sciences",5,281,100.0,90.75,11.39,15.66,48.04,15.66,9.25,0.0
3290,r034,All doctorate recipients<sup>b</sup> -> Male -> S&E -> Science<sup>c</sup>  -> Health sciences<sup>d</sup>,All doctorate recipients<sup>b</sup>,Male,S&E,Science<sup>c</sup> ,Health sciences<sup>d</sup>,5,376,100.0,,34.04,,35.37,16.22,,0.0
3290,r035,All doctorate recipients<sup>b</sup> -> Male -> S&E -> Science<sup>c</sup>  -> Mathematics and statistics,All doctorate recipients<sup>b</sup>,Male,S&E,Science<sup>c</sup> ,Mathematics and statistics,5,481,100.0,90.23,24.12,25.16,32.64,8.32,9.77,0.0
3290,r036,All doctorate recipients<sup>b</sup> -> Male -> S&E -> Science<sup>c</sup>  -> Physical sciences and earth sciences,All doctorate recipients<sup>b</sup>,Male,S&E,Science<sup>c</sup> ,Physical sciences and earth sciences,5,1632,100.0,93.57,7.35,30.88,47.73,7.6,6.43,0.0
3290,r037,All doctorate recipients<sup>b</sup> -> Male -> S&E -> Science<sup>c</sup>  -> Psychology,All doctorate recipients<sup>b</sup>,Male,S&E,Science<sup>c</sup> ,Psychology,5,684,100.0,97.51,18.57,13.74,51.61,13.6,2.49,0.0
3290,r038,All doctorate recipients<sup>b</sup> -> Male -> S&E -> Science<sup>c</sup>  -> Social sciences,All doctorate recipients<sup>b</sup>,Male,S&E,Science<sup>c</sup> ,Social sciences,5,1086,100.0,93.92,40.61,13.26,19.71,20.35,5.99,0.09
3290,r039,All doctorate recipients<sup>b</sup> -> Male -> S&E -> Engineering,All doctorate recipients<sup>b</sup>,Male,S&E,Engineering,,4,2053,100.0,97.13,8.96,44.86,28.2,15.1,2.83,0.05
