table_id,row_id,organization_and_program_by_fy_2023_rank_order_full_path,organization_and_program_by_fy_2023_rank_order_level_1,organization_and_program_by_fy_2023_rank_order_level_2,organization_and_program_by_fy_2023_rank_order_level_3,organization_and_program_by_fy_2023_rank_order_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12581,r014,R&D and R&D plant -> National Eye Institute,R&D and R&D plant,National Eye Institute,,2,896,896,898,0.0,0.2
12581,r015,R&D and R&D plant -> National Institute of Environmental Health Sciences,R&D and R&D plant,National Institute of Environmental Health Sciences,,2,997,997,1000,0.0,0.3
12581,r016,R&D and R&D plant -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,R&D and R&D plant,National Institute of Arthritis and Musculoskeletal and Skin Diseases,,2,687,685,689,-0.3,0.6
12581,r017,R&D and R&D plant -> National Human Genome Research Institute,R&D and R&D plant,National Human Genome Research Institute,,2,660,663,663,0.5,0.0
12581,r018,R&D and R&D plant -> National Institute on Alcohol Abuse and Alcoholism,R&D and R&D plant,National Institute on Alcohol Abuse and Alcoholism,,2,596,595,598,-0.2,0.5
12581,r019,R&D and R&D plant -> National Institute on Deafness and Other Communication Disorders,R&D and R&D plant,National Institute on Deafness and Other Communication Disorders,,2,534,534,535,0.0,0.2
12581,r020,R&D and R&D plant -> National Institute of Dental and Craniofacial Research,R&D and R&D plant,National Institute of Dental and Craniofacial Research,,2,520,520,521,0.0,0.2
12581,r021,R&D and R&D plant -> National Library of Medicine,R&D and R&D plant,National Library of Medicine,,2,495,497,526,0.4,5.8
12581,r022,R&D and R&D plant -> National Institute on Minority Health and Health Disparities,R&D and R&D plant,National Institute on Minority Health and Health Disparities,,2,525,524,527,-0.2,0.6
12581,r023,R&D and R&D plant -> National Institute of Biomedical Imaging and Bioengineering,R&D and R&D plant,National Institute of Biomedical Imaging and Bioengineering,,2,440,440,442,0.0,0.5
12581,r024,R&D and R&D plant -> National Institute of Nursing Research,R&D and R&D plant,National Institute of Nursing Research,,2,197,197,198,0.0,0.5
12581,r025,R&D and R&D plant -> National Center for Complementary and Integrative Health,R&D and R&D plant,National Center for Complementary and Integrative Health,,2,170,170,171,0.0,0.6
12581,r026,R&D and R&D plant -> John E. Fogarty International Center,R&D and R&D plant,John E. Fogarty International Center,,2,95,95,95,0.0,0.0
12581,r027,R&D and R&D plant -> Advanced Research Projects Agency-Health<sup>b</sup>,R&D and R&D plant,Advanced Research Projects Agency-Health<sup>b</sup>,,2,1500,1500,1500,0.0,0.0
12581,r028,R&D and R&D plant -> Buildings and facilities,R&D and R&D plant,Buildings and facilities,,2,350,350,350,0.0,0.0
12581,r029,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,46304,45688,48054,-1.3,5.2
12581,r030,R&D and R&D plant -> R&D -> National Cancer Institute,R&D and R&D plant,R&D,National Cancer Institute,3,7161,6929,9088,-3.2,31.2
12581,r031,R&D and R&D plant -> R&D -> National Institute of Allergy and Infectious Diseases,R&D and R&D plant,R&D,National Institute of Allergy and Infectious Diseases,3,6452,6449,6468,-0.1,0.3
12581,r032,R&D and R&D plant -> R&D -> National Institute on Aging,R&D and R&D plant,R&D,National Institute on Aging,3,4340,4332,4349,-0.2,0.4
12581,r033,"R&D and R&D plant -> R&D -> National Heart, Lung, and Blood Institute",R&D and R&D plant,R&D,"National Heart, Lung, and Blood Institute",3,3849,3843,3856,-0.2,0.3
12581,r034,R&D and R&D plant -> R&D -> National Institute of Neurological Disorders and Stroke,R&D and R&D plant,R&D,National Institute of Neurological Disorders and Stroke,3,2759,2622,2781,-5.0,6.1
12581,r035,R&D and R&D plant -> R&D -> National Institute of Diabetes and Digestive and Kidney Diseases,R&D and R&D plant,R&D,National Institute of Diabetes and Digestive and Kidney Diseases,3,2365,2470,2488,4.4,0.8
12581,r036,R&D and R&D plant -> R&D -> National Institute of Mental Health,R&D and R&D plant,R&D,National Institute of Mental Health,3,2278,2137,2485,-6.2,16.3
12581,r037,R&D and R&D plant -> R&D -> Office of the Director,R&D and R&D plant,R&D,Office of the Director,3,3050,2874,3033,-5.8,5.5
12581,r038,R&D and R&D plant -> R&D -> National Institute of General Medical Sciences,R&D and R&D plant,R&D,National Institute of General Medical Sciences,3,1758,1760,1160,0.1,-34.0
12581,r039,R&D and R&D plant -> R&D -> National Institute of Child Health and Human Development,R&D and R&D plant,R&D,National Institute of Child Health and Human Development,3,1697,1698,1715,0.0,1.0
12581,r040,R&D and R&D plant -> R&D -> National Institute on Drug Abuse,R&D and R&D plant,R&D,National Institute on Drug Abuse,3,1626,1625,1630,-0.1,0.4
12581,r041,R&D and R&D plant -> R&D -> National Center for Advancing Translational Sciences,R&D and R&D plant,R&D,National Center for Advancing Translational Sciences,3,888,888,888,-0.1,0.0
12581,r042,R&D and R&D plant -> R&D -> National Eye Institute,R&D and R&D plant,R&D,National Eye Institute,3,878,878,880,-0.1,0.3
12581,r043,R&D and R&D plant -> R&D -> National Institute of Environmental Health Sciences,R&D and R&D plant,R&D,National Institute of Environmental Health Sciences,3,968,967,970,-0.1,0.3
12581,r044,R&D and R&D plant -> R&D -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,R&D and R&D plant,R&D,National Institute of Arthritis and Musculoskeletal and Skin Diseases,3,663,660,664,-0.4,0.6
12581,r045,R&D and R&D plant -> R&D -> National Human Genome Research Institute,R&D and R&D plant,R&D,National Human Genome Research Institute,3,647,646,647,-0.1,0.1
12581,r046,R&D and R&D plant -> R&D -> National Institute on Alcohol Abuse and Alcoholism,R&D and R&D plant,R&D,National Institute on Alcohol Abuse and Alcoholism,3,576,575,578,-0.3,0.6
12581,r047,R&D and R&D plant -> R&D -> National Institute on Deafness and Other Communication Disorders,R&D and R&D plant,R&D,National Institute on Deafness and Other Communication Disorders,3,516,516,517,0.0,0.3
12581,r048,R&D and R&D plant -> R&D -> National Institute of Dental and Craniofacial Research,R&D and R&D plant,R&D,National Institute of Dental and Craniofacial Research,3,503,503,504,-0.2,0.3
12581,r049,R&D and R&D plant -> R&D -> National Library of Medicine,R&D and R&D plant,R&D,National Library of Medicine,3,493,494,524,0.4,5.9
12581,r050,R&D and R&D plant -> R&D -> National Institute on Minority Health and Health Disparities,R&D and R&D plant,R&D,National Institute on Minority Health and Health Disparities,3,520,520,522,0.1,0.4
12581,r051,R&D and R&D plant -> R&D -> National Institute of Biomedical Imaging and Bioengineering,R&D and R&D plant,R&D,National Institute of Biomedical Imaging and Bioengineering,3,397,387,388,-2.4,0.2
12581,r052,R&D and R&D plant -> R&D -> National Institute of Nursing Research,R&D and R&D plant,R&D,National Institute of Nursing Research,3,187,187,187,-0.1,0.2
12581,r053,R&D and R&D plant -> R&D -> National Center for Complementary and Integrative Health,R&D and R&D plant,R&D,National Center for Complementary and Integrative Health,3,160,158,158,-0.9,0.1
12581,r054,R&D and R&D plant -> R&D -> John E. Fogarty International Center,R&D and R&D plant,R&D,John E. Fogarty International Center,3,72,71,71,-0.8,-0.6
12581,r055,R&D and R&D plant -> R&D -> Advanced Research Projects Agency-Health<sup>b</sup>,R&D and R&D plant,R&D,Advanced Research Projects Agency-Health<sup>b</sup>,3,1500,1500,1500,0.0,0.0
