table_id,row_id,institution_type_and_field_full_path,institution_type_and_field_level_1,institution_type_and_field_level_2,institution_type_and_field_level_3,institution_type_and_field_level_4,institution_type_and_field_level_5,institution_type_and_field_level_6,institution_type_and_field_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1153,r020,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Agricultural sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Agricultural sciences,6,20,11,11,11,15,17,23,31,30,32,17
1153,r021,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Biological sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Biological sciences,6,0,0,0,0,0,0,0,2,0,3,0
1153,r022,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Computer sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Computer sciences,6,2,2,5,5,5,1,6,4,12,12,5
1153,r023,"All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Earth, atmospheric, and ocean sciences",All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,"Earth, atmospheric, and ocean sciences",6,0,0,0,0,0,0,0,0,1,1,1
1153,r024,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Mathematical sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Mathematical sciences,6,0,0,0,0,0,0,0,0,0,0,0
1153,r025,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Physical sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Physical sciences,6,0,0,0,0,0,0,0,0,0,0,0
1153,r026,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Psychology,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Psychology,6,0,0,0,0,0,2,1,1,3,3,2
1153,r027,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Social sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Social sciences,6,36,43,45,36,22,42,45,58,45,68,64
1153,r028,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Engineering ,All institutions,Tribal colleges and universities,All fields                       ,S&E,Engineering ,,5,0,0,0,0,0,0,0,0,0,0,3
1153,r029,All institutions -> Tribal colleges and universities -> All fields                        -> Non-S&E,All institutions,Tribal colleges and universities,All fields                       ,Non-S&E,,,4,128,88,112,108,135,138,178,188,204,202,209
1153,r030,Percent,Percent,,,,,,1,,,,,,,,,,,
1153,r031,Tribal colleges and universities,Tribal colleges and universities,,,,,,1,,,,,,,,,,,
1153,r032,Tribal colleges and universities -> All fields                       ,Tribal colleges and universities,All fields                       ,,,,,2,1.8,1.3,1.6,1.4,1.5,1.8,2.4,2.6,2.9,3.3,3.2
1153,r033,Tribal colleges and universities -> All fields                        -> S&E,Tribal colleges and universities,All fields                       ,S&E,,,,3,1.7,1.7,1.8,1.5,1.2,1.8,2.2,2.8,2.9,4.0,3.1
1153,r034,Tribal colleges and universities -> All fields                        -> S&E -> Science ,Tribal colleges and universities,All fields                       ,S&E,Science ,,,4,1.9,1.9,2.0,1.6,1.3,2.0,2.4,3.1,3.2,4.5,3.4
1153,r035,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Agricultural sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Agricultural sciences,,5,10.8,6.7,6.4,5.3,8.6,9.3,10.8,13.8,15.5,15.5,9.3
1153,r036,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Biological sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Biological sciences,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.7,0.0
1153,r037,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Computer sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Computer sciences,,5,0.7,0.8,2.3,2.4,2.0,0.4,2.6,1.5,4.3,4.3,2.2
1153,r038,"Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Earth, atmospheric, and ocean sciences",Tribal colleges and universities,All fields                       ,S&E,Science ,"Earth, atmospheric, and ocean sciences",,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,2.8
1153,r039,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Mathematical sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Mathematical sciences,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1153,r040,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Physical sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Physical sciences,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1153,r041,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Psychology,Tribal colleges and universities,All fields                       ,S&E,Science ,Psychology,,5,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.5,0.5,0.3
1153,r042,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Social sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Social sciences,,5,2.9,3.4,3.5,2.7,1.7,3.2,3.8,4.9,4.3,7.2,6.9
1153,r043,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Engineering ,Tribal colleges and universities,All fields                       ,S&E,Science ,Engineering ,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1153,r044,Tribal colleges and universities -> All fields                        -> Non-S&E,Tribal colleges and universities,All fields                       ,Non-S&E,,,,3,1.8,1.2,1.5,1.4,1.7,1.8,2.4,2.6,2.9,3.0,3.3
