table_id,row_id,broad_field,gss_code_collected_,detailed_field_collected_,gss_code_reported_,gss_field_name_in_data_and_tables_,exclusions
8278,r101,,711,Pediatrics,711,Pediatrics,Postdocs and NFRs only
8278,r102,,712,Public health,712,Public health,
8278,r103,,713,Psychiatry,713,Psychiatry,Postdocs and NFRs only
8278,r104,,714,Pulmonary disease,714,Pulmonary disease,Postdocs and NFRs only
8278,r105,,715,Radiological sciences,715,Radiological sciences,Postdocs and NFRs only
8278,r106,,716,Surgery,716,Surgery,Postdocs and NFRs only
8278,r107,,717,Clinical medicine nec,717,Clinical medicine nec,Postdocs and NFRs only
8278,r108,Other health,723,Communication disorders sciences,723,Communication disorders sciences,Exclude AuD
8278,r109,,718,Dental sciences,718,Dental sciences,Exclude DDS
8278,r110,,724,Kinesiology and exercise science,724,Kinesiology and exercise science,"Exclude DPT, DScPT, and OTD"
8278,r111,,719,Nursing science,719,Nursing science,"PhD, postdocs, and NFRs only"
8278,r112,,720,Pharmaceutical sciences,720,Pharmaceutical sciences,Exclude PharmD
8278,r113,,722,Other health nec,722,"Health-related, not elsewhere classified","Exclude DPT, DScPT and OTD"
