table_id,row_id,type_of_position_and_degree_field_full_path,type_of_position_and_degree_field_level_1,type_of_position_and_degree_field_level_2,type_of_position_and_degree_field_level_3,type_of_position_and_degree_field_level_4,type_of_position_and_degree_field_level_5,type_of_position_and_degree_field_hierarchy_depth,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019,field_2021
9328,r044,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields -> Social sciences,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,Social sciences,5,8.9,9.9,10.1,10.4,10.5,10.7,11.8,11.4,10.9
9328,r045,All positions -> All full-time faculty -> Full-time junior faculty<sup>a</sup> -> All fields -> Engineering,All positions,All full-time faculty,Full-time junior faculty<sup>a</sup>,All fields,Engineering,5,5.1,5.9,5.1,5.7,6.5,7.4,7.7,8.8,9.3
9328,r046,All positions -> All full-time faculty -> Other full-time positions<sup>b</sup>,All positions,All full-time faculty,Other full-time positions<sup>b</sup>,,,3,,,,,,,,,
9328,r047,All positions -> All full-time faculty -> Other full-time positions<sup>b</sup> -> All fields,All positions,All full-time faculty,Other full-time positions<sup>b</sup>,All fields,,4,39.9,40.6,43.9,48.2,55.8,62.6,64.2,65.7,65.8
9328,r048,All positions -> All full-time faculty -> Other full-time positions<sup>b</sup> -> All fields -> Physical sciences,All positions,All full-time faculty,Other full-time positions<sup>b</sup>,All fields,Physical sciences,5,8.4,7.2,7.4,7.9,8.8,11.1,11.1,11.0,10.5
9328,r049,All positions -> All full-time faculty -> Other full-time positions<sup>b</sup> -> All fields -> Mathematics and statistics,All positions,All full-time faculty,Other full-time positions<sup>b</sup>,All fields,Mathematics and statistics,5,1.4,1.3,1.7,1.8,2.1,2.5,2.2,2.2,2.5
9328,r050,All positions -> All full-time faculty -> Other full-time positions<sup>b</sup> -> All fields -> Computer and information sciences,All positions,All full-time faculty,Other full-time positions<sup>b</sup>,All fields,Computer and information sciences,5,0.6,0.6,0.9,1.0,1.5,1.4,1.3,1.6,1.6
9328,r051,All positions -> All full-time faculty -> Other full-time positions<sup>b</sup> -> All fields -> Life sciences,All positions,All full-time faculty,Other full-time positions<sup>b</sup>,All fields,Life sciences,5,14.2,15.5,16.2,18.4,22.2,25.0,26.6,26.4,27.1
9328,r052,All positions -> All full-time faculty -> Other full-time positions<sup>b</sup> -> All fields -> Psychology,All positions,All full-time faculty,Other full-time positions<sup>b</sup>,All fields,Psychology,5,6.3,6.5,6.8,7.1,6.9,7.9,7.4,7.8,7.0
9328,r053,All positions -> All full-time faculty -> Other full-time positions<sup>b</sup> -> All fields -> Social sciences,All positions,All full-time faculty,Other full-time positions<sup>b</sup>,All fields,Social sciences,5,5.0,6.1,6.2,6.9,7.7,8.3,8.0,9.2,9.7
9328,r054,All positions -> All full-time faculty -> Other full-time positions<sup>b</sup> -> All fields -> Engineering,All positions,All full-time faculty,Other full-time positions<sup>b</sup>,All fields,Engineering,5,3.9,3.3,4.7,5.1,6.3,6.5,7.6,7.6,7.3
9328,r055,All positions -> Postdoctorates,All positions,Postdoctorates,,,,2,,,,,,,,,
9328,r056,All positions -> Postdoctorates -> All fields,All positions,Postdoctorates,All fields,,,3,15.7,23.3,17.8,22.8,20.2,19.2,18.4,18.6,19.7
9328,r057,All positions -> Postdoctorates -> All fields -> Physical sciences,All positions,Postdoctorates,All fields,Physical sciences,,4,2.6,3.9,3.3,4.6,4.0,3.3,3.4,3.6,4.1
9328,r058,All positions -> Postdoctorates -> All fields -> Mathematics and statistics,All positions,Postdoctorates,All fields,Mathematics and statistics,,4,0.5,1.0,0.5,0.7,0.4,0.5,0.5,0.7,0.6
9328,r059,All positions -> Postdoctorates -> All fields -> Computer and information sciences,All positions,Postdoctorates,All fields,Computer and information sciences,,4,0.1,0.1,0.2,0.3,0.2,0.3,0.1,0.2,0.2
9328,r060,All positions -> Postdoctorates -> All fields -> Life sciences,All positions,Postdoctorates,All fields,Life sciences,,4,10.0,12.8,10.3,12.2,11.9,11.7,10.5,10.5,10.4
9328,r061,All positions -> Postdoctorates -> All fields -> Psychology,All positions,Postdoctorates,All fields,Psychology,,4,0.9,1.7,1.0,1.1,1.0,0.8,0.7,0.8,0.7
9328,r062,All positions -> Postdoctorates -> All fields -> Social sciences,All positions,Postdoctorates,All fields,Social sciences,,4,0.5,0.9,0.3,0.8,0.4,0.4,0.5,0.5,0.8
9328,r063,All positions -> Postdoctorates -> All fields -> Engineering,All positions,Postdoctorates,All fields,Engineering,,4,1.1,3.0,2.1,3.1,2.4,2.2,2.6,2.3,2.9
9328,r064,All positions -> Part-time positions<sup>c</sup>,All positions,Part-time positions<sup>c</sup>,,,,2,,,,,,,,,
9328,r065,All positions -> Part-time positions<sup>c</sup> -> All fields,All positions,Part-time positions<sup>c</sup>,All fields,,,3,13.3,15.7,15.6,17.0,18.5,19.8,20.5,19.3,18.3
9328,r066,All positions -> Part-time positions<sup>c</sup> -> All fields -> Physical sciences,All positions,Part-time positions<sup>c</sup>,All fields,Physical sciences,,4,1.1,1.5,1.6,2.0,2.5,2.8,2.6,2.2,2.1
9328,r067,All positions -> Part-time positions<sup>c</sup> -> All fields -> Mathematics and statistics,All positions,Part-time positions<sup>c</sup>,All fields,Mathematics and statistics,,4,0.9,1.2,1.0,1.1,1.1,1.2,1.5,1.4,1.2
9328,r068,All positions -> Part-time positions<sup>c</sup> -> All fields -> Computer and information sciences,All positions,Part-time positions<sup>c</sup>,All fields,Computer and information sciences,,4,0.2,0.1,0.1,0.3,0.3,0.3,0.3,0.4,0.4
9328,r069,All positions -> Part-time positions<sup>c</sup> -> All fields -> Life sciences,All positions,Part-time positions<sup>c</sup>,All fields,Life sciences,,4,4.0,4.4,4.3,4.6,5.2,5.2,5.7,5.7,5.3
9328,r070,All positions -> Part-time positions<sup>c</sup> -> All fields -> Psychology,All positions,Part-time positions<sup>c</sup>,All fields,Psychology,,4,3.2,3.6,3.7,3.8,4.2,4.1,3.6,3.2,3.4
9328,r071,All positions -> Part-time positions<sup>c</sup> -> All fields -> Social sciences,All positions,Part-time positions<sup>c</sup>,All fields,Social sciences,,4,3.1,3.7,4.0,4.0,4.2,4.4,5.4,4.6,4.5
9328,r072,All positions -> Part-time positions<sup>c</sup> -> All fields -> Engineering,All positions,Part-time positions<sup>c</sup>,All fields,Engineering,,4,0.8,1.1,0.9,1.2,1.1,1.8,1.6,1.7,1.3
