table_id,row_id,state_or_location_full_path,state_or_location_level_1,state_or_location_level_2,state_or_location_hierarchy_depth,field_totala_male,field_totala_female,field_life_sciencesb_male,field_life_sciencesb_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherc_male,field_otherc_female
1732,r023,United States<sup>d</sup> -> Massachusetts,United States<sup>d</sup>,Massachusetts,2,1616,1330,293,428,258,139,161,38,212,248,428,178,45,83,149,145,70,71
1732,r024,United States<sup>d</sup> -> Michigan,United States<sup>d</sup>,Michigan,2,1090,863,184,218,147,76,115,34,137,173,325,97,72,147,66,77,44,41
1732,r025,United States<sup>d</sup> -> Minnesota,United States<sup>d</sup>,Minnesota,2,642,795,146,236,51,27,32,10,147,241,114,41,42,112,13,17,97,111
1732,r026,United States<sup>d</sup> -> Mississippi,United States<sup>d</sup>,Mississippi,2,245,226,73,63,29,14,13,7,31,38,37,6,36,72,13,7,13,19
1732,r027,United States<sup>d</sup> -> Missouri,United States<sup>d</sup>,Missouri,2,546,430,103,113,70,21,40,15,62,91,159,43,32,62,48,42,32,43
1732,r028,United States<sup>d</sup> -> Montana,United States<sup>d</sup>,Montana,2,56,56,24,14,10,6,,,,,,,10,21,,,,
1732,r029,United States<sup>d</sup> -> Nebraska,United States<sup>d</sup>,Nebraska,2,177,164,62,69,25,8,18,10,23,25,27,7,,,14,20,,
1732,r030,United States<sup>d</sup> -> Nevada,United States<sup>d</sup>,Nevada,2,115,125,18,16,24,17,,,24,36,25,9,,,,,,
1732,r031,United States<sup>d</sup> -> New Hampshire,United States<sup>d</sup>,New Hampshire,2,92,73,22,26,21,12,,,5,9,25,15,5,5,,,,
1732,r032,United States<sup>d</sup> -> New Jersey,United States<sup>d</sup>,New Jersey,2,595,529,70,118,89,38,82,19,70,106,153,57,18,50,71,100,42,41
1732,r033,United States<sup>d</sup> -> New Mexico,United States<sup>d</sup>,New Mexico,2,161,161,15,32,40,15,,,13,32,42,15,17,36,11,19,,
1732,r034,United States<sup>d</sup> -> New York,United States<sup>d</sup>,New York,2,2207,2051,408,516,301,150,266,72,338,542,447,153,74,201,284,305,89,112
1732,r035,United States<sup>d</sup> -> North Carolina,United States<sup>d</sup>,North Carolina,2,890,843,208,332,111,67,113,44,81,128,235,74,36,94,66,63,40,41
1732,r036,United States<sup>d</sup> -> North Dakota,United States<sup>d</sup>,North Dakota,2,89,104,29,45,14,7,,,6,18,18,8,8,19,,,,
1732,r037,United States<sup>d</sup> -> Ohio,United States<sup>d</sup>,Ohio,2,1094,957,201,254,178,84,98,27,97,165,299,92,66,181,99,93,56,61
1732,r038,United States<sup>d</sup> -> Oklahoma,United States<sup>d</sup>,Oklahoma,2,269,235,45,60,36,11,,,34,46,67,15,36,54,,,17,26
1732,r039,United States<sup>d</sup> -> Oregon,United States<sup>d</sup>,Oregon,2,300,237,73,85,62,28,32,8,35,59,70,20,13,17,8,14,7,6
1732,r040,United States<sup>d</sup> -> Pennsylvania,United States<sup>d</sup>,Pennsylvania,2,1457,1165,234,313,165,70,172,53,129,202,456,144,67,154,156,133,78,96
1732,r041,United States<sup>d</sup> -> Puerto Rico,United States<sup>d</sup>,Puerto Rico,2,59,88,11,20,,,,,13,48,,,,,7,7,,
1732,r042,United States<sup>d</sup> -> Rhode Island,United States<sup>d</sup>,Rhode Island,2,186,140,35,37,33,20,26,9,20,25,30,9,,,35,34,,
1732,r043,United States<sup>d</sup> -> South Carolina,United States<sup>d</sup>,South Carolina,2,306,262,52,105,40,16,25,11,26,27,103,36,14,32,22,11,24,24
1732,r044,United States<sup>d</sup> -> South Dakota,United States<sup>d</sup>,South Dakota,2,63,51,18,24,,,,,8,6,16,8,,,,,,
1732,r045,United States<sup>d</sup> -> Tennessee,United States<sup>d</sup>,Tennessee,2,488,467,98,128,57,17,39,11,53,78,134,58,41,97,39,56,27,22
1732,r046,United States<sup>d</sup> -> Texas,United States<sup>d</sup>,Texas,2,2297,1771,414,460,325,132,213,76,215,318,702,193,113,300,178,176,137,116
1732,r047,United States<sup>d</sup> -> Utah,United States<sup>d</sup>,Utah,2,311,200,82,55,38,23,27,15,29,47,92,18,24,23,8,8,11,11
1732,r048,United States<sup>d</sup> -> Vermont,United States<sup>d</sup>,Vermont,2,31,32,14,15,,,,,5,10,,,,,,,0,0
1732,r049,United States<sup>d</sup> -> Virginia,United States<sup>d</sup>,Virginia,2,826,687,115,153,103,48,92,26,120,141,236,79,70,152,44,53,46,35
1732,r050,United States<sup>d</sup> -> Washington,United States<sup>d</sup>,Washington,2,501,463,139,162,68,50,51,21,66,102,104,31,24,42,21,30,28,25
1732,r051,United States<sup>d</sup> -> West Virginia,United States<sup>d</sup>,West Virginia,2,123,96,28,18,14,6,5,6,13,20,32,6,12,24,10,8,9,8
1732,r052,United States<sup>d</sup> -> Wisconsin,United States<sup>d</sup>,Wisconsin,2,575,506,134,163,74,51,57,13,78,80,115,39,27,74,63,59,27,27
1732,r053,United States<sup>d</sup> -> Wyoming,United States<sup>d</sup>,Wyoming,2,66,36,13,12,,,,,,,16,6,6,10,0,0,,
