table_id,row_id,state_or_location_full_path,state_or_location_level_1,state_or_location_level_2,state_or_location_hierarchy_depth,field_totala_male,field_totala_female,field_life_sciencesb_male,field_life_sciencesb_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherc_male,field_otherc_female
2802,r038,United States<sup>d</sup> -> Oklahoma,United States<sup>d</sup>,Oklahoma,2,279,203,46,45,45,25,13,9,29,34,82,16,29,41,14,14,21,19
2802,r039,United States<sup>d</sup> -> Oregon,United States<sup>d</sup>,Oregon,2,310,262,73,79,51,33,30,13,46,65,76,21,12,19,7,23,15,9
2802,r040,United States<sup>d</sup> -> Pennsylvania,United States<sup>d</sup>,Pennsylvania,2,1430,1169,229,331,175,72,193,54,152,225,387,127,61,140,135,135,98,85
2802,r041,United States<sup>d</sup> -> Puerto Rico,United States<sup>d</sup>,Puerto Rico,2,65,68,17,23,7,6,,,15,33,,,,,,,,
2802,r042,United States<sup>d</sup> -> Rhode Island,United States<sup>d</sup>,Rhode Island,2,193,145,31,34,39,15,30,10,28,33,33,9,,,27,35,,
2802,r043,United States<sup>d</sup> -> South Carolina,United States<sup>d</sup>,South Carolina,2,296,251,52,78,41,19,30,18,31,37,92,29,18,28,18,18,14,24
2802,r044,United States<sup>d</sup> -> South Dakota,United States<sup>d</sup>,South Dakota,2,71,31,32,12,,,,,,,13,5,,,,,0,0
2802,r045,United States<sup>d</sup> -> Tennessee,United States<sup>d</sup>,Tennessee,2,496,453,116,148,54,31,37,18,66,75,134,39,34,81,44,43,11,18
2802,r046,United States<sup>d</sup> -> Texas,United States<sup>d</sup>,Texas,2,2326,1839,419,494,321,150,197,80,198,310,747,217,120,285,161,171,163,132
2802,r047,United States<sup>d</sup> -> Utah,United States<sup>d</sup>,Utah,2,331,217,55,48,52,33,34,8,33,51,112,25,22,31,8,7,15,14
2802,r048,United States<sup>d</sup> -> Vermont,United States<sup>d</sup>,Vermont,2,35,45,17,22,,,,,,,,,,,,,0,0
2802,r049,United States<sup>d</sup> -> Virginia,United States<sup>d</sup>,Virginia,2,761,671,130,143,91,46,76,30,87,130,224,71,54,149,47,46,52,56
2802,r050,United States<sup>d</sup> -> Washington,United States<sup>d</sup>,Washington,2,506,495,119,174,60,38,69,32,56,85,130,58,20,50,25,26,27,32
2802,r051,United States<sup>d</sup> -> West Virginia,United States<sup>d</sup>,West Virginia,2,115,110,29,33,21,5,5,5,16,19,,,10,21,10,12,,
2802,r052,United States<sup>d</sup> -> Wisconsin,United States<sup>d</sup>,Wisconsin,2,590,477,149,156,83,30,60,19,67,82,133,35,30,65,57,60,11,30
2802,r053,United States<sup>d</sup> -> Wyoming,United States<sup>d</sup>,Wyoming,2,42,36,13,11,,,,,,,11,7,,,0,0,0,0
