table_id,row_id,sex_and_institution_full_path,sex_and_institution_level_1,sex_and_institution_level_2,sex_and_institution_level_3,sex_and_institution_level_4,sex_and_institution_hierarchy_depth,field_bachelor_s_degrees
1164,r031,"Female -> All institutions -> Top 50 institutions -> North Carolina State U., Raleigh",Female,All institutions,Top 50 institutions,"North Carolina State U., Raleigh",4,7425
1164,r032,Female -> All institutions -> Top 50 institutions -> U. Colorado Boulder,Female,All institutions,Top 50 institutions,U. Colorado Boulder,4,7417
1164,r033,"Female -> All institutions -> Top 50 institutions -> U. California, Riverside",Female,All institutions,Top 50 institutions,"U. California, Riverside",4,7336
1164,r034,Female -> All institutions -> Top 50 institutions -> U. Arizona,Female,All institutions,Top 50 institutions,U. Arizona,4,7264
1164,r035,"Female -> All institutions -> Top 50 institutions -> U. California, Santa Cruz",Female,All institutions,Top 50 institutions,"U. California, Santa Cruz",4,7218
1164,r036,"Female -> All institutions -> Top 50 institutions -> California State U., Northridge",Female,All institutions,Top 50 institutions,"California State U., Northridge",4,6534
1164,r037,"Female -> All institutions -> Top 50 institutions -> U. North Carolina, Chapel Hill",Female,All institutions,Top 50 institutions,"U. North Carolina, Chapel Hill",4,6509
1164,r038,Female -> All institutions -> Top 50 institutions -> U. Georgia,Female,All institutions,Top 50 institutions,U. Georgia,4,6508
1164,r039,Female -> All institutions -> Top 50 institutions -> Virginia Polytechnic Institute and State U.,Female,All institutions,Top 50 institutions,Virginia Polytechnic Institute and State U.,4,6398
1164,r040,Female -> All institutions -> Top 50 institutions -> Purdue U.,Female,All institutions,Top 50 institutions,Purdue U.,4,6219
1164,r041,"Female -> All institutions -> Top 50 institutions -> U. Massachusetts, Amherst",Female,All institutions,Top 50 institutions,"U. Massachusetts, Amherst",4,6074
1164,r042,"Female -> All institutions -> Top 50 institutions -> SUNY, U. Buffalo									",Female,All institutions,Top 50 institutions,"SUNY, U. Buffalo									",4,6005
1164,r043,Female -> All institutions -> Top 50 institutions -> U. Oregon,Female,All institutions,Top 50 institutions,U. Oregon,4,5910
1164,r044,Female -> All institutions -> Top 50 institutions -> Cornell U.,Female,All institutions,Top 50 institutions,Cornell U.,4,5876
1164,r045,"Female -> All institutions -> Top 50 institutions -> California State U., Fullerton",Female,All institutions,Top 50 institutions,"California State U., Fullerton",4,5777
1164,r046,Female -> All institutions -> Top 50 institutions -> San Diego State U.,Female,All institutions,Top 50 institutions,San Diego State U.,4,5729
1164,r047,"Female -> All institutions -> Top 50 institutions -> Indiana U., Bloomington",Female,All institutions,Top 50 institutions,"Indiana U., Bloomington",4,5696
1164,r048,Female -> All institutions -> Top 50 institutions -> Liberty U.,Female,All institutions,Top 50 institutions,Liberty U.,4,5504
1164,r049,"Female -> All institutions -> Top 50 institutions -> California State U., Long Beach",Female,All institutions,Top 50 institutions,"California State U., Long Beach",4,5428
1164,r050,Female -> All institutions -> Top 50 institutions -> Washington State U.,Female,All institutions,Top 50 institutions,Washington State U.,4,5374
1164,r051,Female -> All institutions -> Top 50 institutions -> U. Connecticut,Female,All institutions,Top 50 institutions,U. Connecticut,4,5373
1164,r052,"Female -> All institutions -> Top 50 institutions -> CUNY, Hunter C.",Female,All institutions,Top 50 institutions,"CUNY, Hunter C.",4,5173
1164,r053,Female -> All institutions -> Top 50 institutions -> Georgia State U.,Female,All institutions,Top 50 institutions,Georgia State U.,4,5168
1164,r054,Female -> All institutions -> Other institutions,Female,All institutions,Other institutions,,3,1165851
1164,r055,Male,Male,,,,1,
1164,r056,Male -> All institutions,Male,All institutions,,,2,1578078
1164,r057,Male -> All institutions -> Top 50 institutions,Male,All institutions,Top 50 institutions,,3,464561
1164,r058,Male -> All institutions -> Top 50 institutions -> Pennsylvania State U. ,Male,All institutions,Top 50 institutions,Pennsylvania State U. ,4,15877
1164,r059,"Male -> All institutions -> Top 50 institutions -> U. Illinois, Urbana-Champaign",Male,All institutions,Top 50 institutions,"U. Illinois, Urbana-Champaign",4,14273
1164,r060,Male -> All institutions -> Top 50 institutions -> Ohio State U.									,Male,All institutions,Top 50 institutions,Ohio State U.									,4,14222
1164,r061,"Male -> All institutions -> Top 50 institutions -> U. Texas, Austin",Male,All institutions,Top 50 institutions,"U. Texas, Austin",4,13483
1164,r062,"Male -> All institutions -> Top 50 institutions -> U. California, Berkeley",Male,All institutions,Top 50 institutions,"U. California, Berkeley",4,13058
1164,r063,"Male -> All institutions -> Top 50 institutions -> Texas A&M U., College Station and Health Science Center								",Male,All institutions,Top 50 institutions,"Texas A&M U., College Station and Health Science Center								",4,12995
1164,r064,"Male -> All institutions -> Top 50 institutions -> U. California, Los Angeles",Male,All institutions,Top 50 institutions,"U. California, Los Angeles",4,12802
1164,r065,"Male -> All institutions -> Top 50 institutions -> U. Michigan, Ann Arbor",Male,All institutions,Top 50 institutions,"U. Michigan, Ann Arbor",4,12441
1164,r066,"Male -> All institutions -> Top 50 institutions -> U. California, San Diego",Male,All institutions,Top 50 institutions,"U. California, San Diego",4,12378
1164,r067,"Male -> All institutions -> Top 50 institutions -> U. California, Davis",Male,All institutions,Top 50 institutions,"U. California, Davis",4,12043
1164,r068,"Male -> All institutions -> Top 50 institutions -> U. Washington, Seattle								",Male,All institutions,Top 50 institutions,"U. Washington, Seattle								",4,11947
1164,r069,"Male -> All institutions -> Top 50 institutions -> U. Maryland, College Park",Male,All institutions,Top 50 institutions,"U. Maryland, College Park",4,11893
1164,r070,"Male -> All institutions -> Top 50 institutions -> U. Minnesota, Twin Cities",Male,All institutions,Top 50 institutions,"U. Minnesota, Twin Cities",4,11504
1164,r071,Male -> All institutions -> Top 50 institutions -> Purdue U.,Male,All institutions,Top 50 institutions,Purdue U.,4,11493
1164,r072,"Male -> All institutions -> Top 50 institutions -> Arizona State U., Tempe",Male,All institutions,Top 50 institutions,"Arizona State U., Tempe",4,11362
1164,r073,Male -> All institutions -> Top 50 institutions -> U. Florida,Male,All institutions,Top 50 institutions,U. Florida,4,11130
1164,r074,"Male -> All institutions -> Top 50 institutions -> Rutgers U., New Brunswick",Male,All institutions,Top 50 institutions,"Rutgers U., New Brunswick",4,10515
1164,r075,Male -> All institutions -> Top 50 institutions -> U. Wisconsin-Madison,Male,All institutions,Top 50 institutions,U. Wisconsin-Madison,4,10475
1164,r076,Male -> All institutions -> Top 50 institutions -> Virginia Polytechnic Institute and State U.,Male,All institutions,Top 50 institutions,Virginia Polytechnic Institute and State U.,4,10468
1164,r077,"Male -> All institutions -> Top 50 institutions -> U. California, Irvine",Male,All institutions,Top 50 institutions,"U. California, Irvine",4,9947
1164,r078,"Male -> All institutions -> Top 50 institutions -> North Carolina State U., Raleigh",Male,All institutions,Top 50 institutions,"North Carolina State U., Raleigh",4,9609
1164,r079,Male -> All institutions -> Top 50 institutions -> U. Central Florida,Male,All institutions,Top 50 institutions,U. Central Florida,4,9437
1164,r080,Male -> All institutions -> Top 50 institutions -> Georgia Institute of Technology,Male,All institutions,Top 50 institutions,Georgia Institute of Technology,4,9245
1164,r081,"Male -> All institutions -> Top 50 institutions -> Brigham Young U., Provo",Male,All institutions,Top 50 institutions,"Brigham Young U., Provo",4,9137
1164,r082,"Male -> All institutions -> Top 50 institutions -> U. California, Santa Barbara",Male,All institutions,Top 50 institutions,"U. California, Santa Barbara",4,9054
1164,r083,Male -> All institutions -> Top 50 institutions -> Michigan State U.,Male,All institutions,Top 50 institutions,Michigan State U.,4,8996
1164,r084,Male -> All institutions -> Top 50 institutions -> U. Colorado Boulder,Male,All institutions,Top 50 institutions,U. Colorado Boulder,4,8921
1164,r085,Male -> All institutions -> Top 50 institutions -> Florida State U.,Male,All institutions,Top 50 institutions,Florida State U.,4,8499
1164,r086,Male -> All institutions -> Top 50 institutions -> U. South Florida Polytechnic									,Male,All institutions,Top 50 institutions,U. South Florida Polytechnic									,4,8080
1164,r087,Male -> All institutions -> Top 50 institutions -> Iowa State U.,Male,All institutions,Top 50 institutions,Iowa State U.,4,7651
1164,r088,Male -> All institutions -> Top 50 institutions -> U. Arizona,Male,All institutions,Top 50 institutions,U. Arizona,4,7649
1164,r089,"Male -> All institutions -> Top 50 institutions -> U. Massachusetts, Amherst",Male,All institutions,Top 50 institutions,"U. Massachusetts, Amherst",4,7434
1164,r090,"Male -> All institutions -> Top 50 institutions -> Indiana U., Bloomington",Male,All institutions,Top 50 institutions,"Indiana U., Bloomington",4,7165
1164,r091,Male -> All institutions -> Top 50 institutions -> U. Connecticut,Male,All institutions,Top 50 institutions,U. Connecticut,4,7055
1164,r092,"Male -> All institutions -> Top 50 institutions -> California Polytechnic State U., San Luis Obispo",Male,All institutions,Top 50 institutions,"California Polytechnic State U., San Luis Obispo",4,7024
1164,r093,Male -> All institutions -> Top 50 institutions -> Oregon State U.,Male,All institutions,Top 50 institutions,Oregon State U.,4,7009
1164,r094,Male -> All institutions -> Top 50 institutions -> Florida International U.,Male,All institutions,Top 50 institutions,Florida International U.,4,6954
1164,r095,Male -> All institutions -> Top 50 institutions -> U. Utah,Male,All institutions,Top 50 institutions,U. Utah,4,6918
1164,r096,"Male -> All institutions -> Top 50 institutions -> SUNY, U. Buffalo									",Male,All institutions,Top 50 institutions,"SUNY, U. Buffalo									",4,6879
1164,r097,"Male -> All institutions -> Top 50 institutions -> U. California, Riverside",Male,All institutions,Top 50 institutions,"U. California, Riverside",4,6601
1164,r098,Male -> All institutions -> Top 50 institutions -> Cornell U.,Male,All institutions,Top 50 institutions,Cornell U.,4,6472
1164,r099,"Male -> All institutions -> Top 50 institutions -> U. California, Santa Cruz",Male,All institutions,Top 50 institutions,"U. California, Santa Cruz",4,6369
1164,r100,"Male -> All institutions -> Top 50 institutions -> U. Phoenix, Arizona",Male,All institutions,Top 50 institutions,"U. Phoenix, Arizona",4,6247
1164,r101,"Male -> All institutions -> Top 50 institutions -> U. Phoenix, Online",Male,All institutions,Top 50 institutions,"U. Phoenix, Online",4,6065
1164,r102,Male -> All institutions -> Top 50 institutions -> Stony Brook U.,Male,All institutions,Top 50 institutions,Stony Brook U.,4,6053
1164,r103,Male -> All institutions -> Top 50 institutions -> San Diego State U.,Male,All institutions,Top 50 institutions,San Diego State U.,4,6037
1164,r104,Male -> All institutions -> Top 50 institutions -> Texas Tech U.,Male,All institutions,Top 50 institutions,Texas Tech U.,4,6035
1164,r105,Male -> All institutions -> Top 50 institutions -> Washington State U.,Male,All institutions,Top 50 institutions,Washington State U.,4,5924
1164,r106,Male -> All institutions -> Top 50 institutions -> U. Pittsburgh,Male,All institutions,Top 50 institutions,U. Pittsburgh,4,5904
1164,r107,Male -> All institutions -> Top 50 institutions -> Auburn U.,Male,All institutions,Top 50 institutions,Auburn U.,4,5832
1164,r108,Male -> All institutions -> Other institutions,Male,All institutions,Other institutions,,3,1113517
