table_id,row_id,field_of_highest_degree_and_employment_sector_full_path,field_of_highest_degree_and_employment_sector_level_1,field_of_highest_degree_and_employment_sector_level_2,field_of_highest_degree_and_employment_sector_level_3,field_of_highest_degree_and_employment_sector_level_4,field_of_highest_degree_and_employment_sector_hierarchy_depth,field_number,field_salary,field_primary_work_activity_computer_applications_number,field_primary_work_activity_computer_applications_salary,field_primary_work_activity_management_and_administrationa_number,field_primary_work_activity_management_and_administrationa_salary,field_primary_work_activity_research_and_developmentb_number,field_primary_work_activity_research_and_developmentb_salary,field_primary_work_activity_teaching_number,field_primary_work_activity_teaching_salary,field_primary_work_activity_otherc_number,field_primary_work_activity_otherc_salary
6852,r028,All fields -> S&E fields -> Social and related sciences -> 4-year educational institution,All fields,S&E fields,Social and related sciences,4-year educational institution,4,117000,71000,S,S,10000,78000,44000,65000,52000,71000,10000,65000
6852,r029,All fields -> S&E fields -> Social and related sciences -> 2-year college or precollege educational institution,All fields,S&E fields,Social and related sciences,2-year college or precollege educational institution,4,53000,70000,,,6000,44000,4000,53000,7000,63000,36000,70000
6852,r030,All fields -> S&E fields -> Social and related sciences -> Government,All fields,S&E fields,Social and related sciences,Government,4,86000,82000,10000,88000,20000,100000,33000,62000,,,23000,83000
6852,r031,All fields -> S&E fields -> Engineering,All fields,S&E fields,Engineering,,3,1853000,100000,420000,105000,453000,104000,737000,94000,30000,92000,214000,95000
6852,r032,All fields -> S&E fields -> Engineering -> Business or industry,All fields,S&E fields,Engineering,Business or industry,4,1532000,100000,386000,107000,346000,105000,608000,97000,5000,S,186000,95000
6852,r033,All fields -> S&E fields -> Engineering -> 4-year educational institution,All fields,S&E fields,Engineering,4-year educational institution,4,103000,76000,13000,76000,9000,111000,59000,42000,20000,90000,2000,67000
6852,r034,All fields -> S&E fields -> Engineering -> 2-year college or precollege educational institution,All fields,S&E fields,Engineering,2-year college or precollege educational institution,4,8000,60000,,,,,S,S,2000,47000,,
6852,r035,All fields -> S&E fields -> Engineering -> Government,All fields,S&E fields,Engineering,Government,4,210000,97000,18000,91000,97000,98000,68000,92000,,,25000,95000
6852,r036,All fields -> S&E-related fields,All fields,S&E-related fields,,,2,338000,90000,88000,100000,71000,90000,124000,84000,13000,59000,42000,75000
6852,r037,All fields -> S&E-related fields -> Business or industry,All fields,S&E-related fields,Business or industry,,3,260000,94000,84000,100000,59000,90000,83000,89000,S,S,33000,80000
6852,r038,All fields -> S&E-related fields -> 4-year educational institution,All fields,S&E-related fields,4-year educational institution,,3,32000,63000,2000,94000,2000,,20000,61000,5000,71000,S,S
6852,r039,All fields -> S&E-related fields -> 2-year college or precollege educational institution,All fields,S&E-related fields,2-year college or precollege educational institution,,3,11000,50000,,,,,,,7000,S,S,S
6852,r040,All fields -> S&E-related fields -> Government,All fields,S&E-related fields,Government,,3,36000,80000,2000,69000,9000,84000,19000,78000,,,6000,81000
6852,r041,All fields -> Non-S&E fields,All fields,Non-S&E fields,,,2,1189000,80000,304000,90000,381000,82000,284000,80000,63000,63000,156000,70000
6852,r042,All fields -> Non-S&E fields -> Business or industry,All fields,Non-S&E fields,Business or industry,,3,898000,82000,243000,94000,304000,80000,219000,81000,25000,61000,106000,79000
6852,r043,All fields -> Non-S&E fields -> 4-year educational institution,All fields,Non-S&E fields,4-year educational institution,,3,96000,64000,13000,60000,17000,74000,27000,58000,30000,66000,8000,54000
6852,r044,All fields -> Non-S&E fields -> 2-year college or precollege educational institution,All fields,Non-S&E fields,2-year college or precollege educational institution,,3,33000,65000,10000,55000,,,S,S,7000,57000,10000,62000
6852,r045,All fields -> Non-S&E fields -> Government,All fields,Non-S&E fields,Government,,3,161000,79000,39000,71000,55000,98000,34000,80000,S,S,32000,58000
