table_id,row_id,_span_ng_bind_html_hcol_content_b_field_and_2018_carnegie_classification_b_span_full_path,_span_ng_bind_html_hcol_content_b_field_and_2018_carnegie_classification_b_span_level_1,_span_ng_bind_html_hcol_content_b_field_and_2018_carnegie_classification_b_span_level_2,_span_ng_bind_html_hcol_content_b_field_and_2018_carnegie_classification_b_span_level_3,_span_ng_bind_html_hcol_content_b_field_and_2018_carnegie_classification_b_span_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7528,r020,All doctorate recipients -> Mathematics and computer sciences -> Other universities,All doctorate recipients,Mathematics and computer sciences,Other universities,3,16,21,27,18,23,24,27,19,30,31,32
7528,r021,All doctorate recipients -> Psychology and social sciences ,All doctorate recipients,Psychology and social sciences ,,2,8220,8498,8580,8748,9073,9037,9034,8876,9043,8932,8675
7528,r022,All doctorate recipients -> Psychology and social sciences  -> R1: doctoral universities - very high research,All doctorate recipients,Psychology and social sciences ,R1: doctoral universities - very high research,3,6182,6365,6413,6367,6664,6603,6612,6510,6535,6441,6243
7528,r023,All doctorate recipients -> Psychology and social sciences  -> R2: doctoral universities - high research,All doctorate recipients,Psychology and social sciences ,R2: doctoral universities - high research,3,1230,1242,1275,1383,1423,1409,1474,1330,1379,1346,1294
7528,r024,All doctorate recipients -> Psychology and social sciences  -> Doctoral/ professional universities,All doctorate recipients,Psychology and social sciences ,Doctoral/ professional universities,3,510,582,591,708,666,694,664,733,764,778,792
7528,r025,All doctorate recipients -> Psychology and social sciences  -> Other universities,All doctorate recipients,Psychology and social sciences ,Other universities,3,298,309,301,290,320,331,284,303,365,367,346
7528,r026,All doctorate recipients -> Engineering,All doctorate recipients,Engineering,,2,8032,8469,9000,9626,9875,9459,9776,10164,10298,10471,10240
7528,r027,All doctorate recipients -> Engineering -> R1: doctoral universities - very high research,All doctorate recipients,Engineering,R1: doctoral universities - very high research,3,7152,7531,7930,8546,8604,8230,8521,8746,8893,8986,8800
7528,r028,All doctorate recipients -> Engineering -> R2: doctoral universities - high research,All doctorate recipients,Engineering,R2: doctoral universities - high research,3,771,845,967,996,1176,1140,1135,1293,1279,1361,1302
7528,r029,All doctorate recipients -> Engineering -> Doctoral/ professional universities,All doctorate recipients,Engineering,Doctoral/ professional universities,3,27,22,20,27,27,27,38,33,30,25,31
7528,r030,All doctorate recipients -> Engineering -> Other universities,All doctorate recipients,Engineering,Other universities,3,82,71,83,57,68,62,82,92,96,99,107
7528,r031,All doctorate recipients -> Education,All doctorate recipients,Education,,2,4670,4802,4934,4789,5098,5146,4826,4818,4633,4715,4252
7528,r032,All doctorate recipients -> Education -> R1: doctoral universities - very high research,All doctorate recipients,Education,R1: doctoral universities - very high research,3,3269,3372,3406,3274,3334,3339,3129,3128,2998,3022,2661
7528,r033,All doctorate recipients -> Education -> R2: doctoral universities - high research,All doctorate recipients,Education,R2: doctoral universities - high research,3,986,1043,1098,1093,1291,1277,1299,1214,1198,1191,1095
7528,r034,All doctorate recipients -> Education -> Doctoral/ professional universities,All doctorate recipients,Education,Doctoral/ professional universities,3,305,282,306,339,374,420,325,373,345,396,402
7528,r035,All doctorate recipients -> Education -> Other universities,All doctorate recipients,Education,Other universities,3,110,105,124,83,99,110,73,103,92,106,94
7528,r036,All doctorate recipients -> Humanities and arts,All doctorate recipients,Humanities and arts,,2,5225,5561,5715,5524,5594,5482,5286,5139,5051,4924,4137
7528,r037,All doctorate recipients -> Humanities and arts -> R1: doctoral universities - very high research,All doctorate recipients,Humanities and arts,R1: doctoral universities - very high research,3,4327,4554,4774,4596,4628,4480,4329,4215,4143,3979,3319
7528,r038,All doctorate recipients -> Humanities and arts -> R2: doctoral universities - high research,All doctorate recipients,Humanities and arts,R2: doctoral universities - high research,3,529,569,520,535,549,615,550,526,498,515,426
7528,r039,All doctorate recipients -> Humanities and arts -> Doctoral/ professional universities,All doctorate recipients,Humanities and arts,Doctoral/ professional universities,3,101,152,123,117,108,132,115,109,104,111,105
7528,r040,All doctorate recipients -> Humanities and arts -> Other universities,All doctorate recipients,Humanities and arts,Other universities,3,268,286,298,276,309,255,292,289,306,319,287
7528,r041,All doctorate recipients -> Other<sup>b</sup>,All doctorate recipients,Other<sup>b</sup>,,2,2683,2734,3023,3043,3019,2941,3152,2977,3027,3005,3002
7528,r042,All doctorate recipients -> Other<sup>b</sup> -> R1: doctoral universities - very high research,All doctorate recipients,Other<sup>b</sup>,R1: doctoral universities - very high research,3,2145,2212,2406,2350,2370,2282,2337,2211,2245,2199,2142
7528,r043,All doctorate recipients -> Other<sup>b</sup> -> R2: doctoral universities - high research,All doctorate recipients,Other<sup>b</sup>,R2: doctoral universities - high research,3,349,299,344,389,352,368,433,406,403,424,431
7528,r044,All doctorate recipients -> Other<sup>b</sup> -> Doctoral/ professional universities,All doctorate recipients,Other<sup>b</sup>,Doctoral/ professional universities,3,154,165,217,256,239,224,329,301,313,318,371
7528,r045,All doctorate recipients -> Other<sup>b</sup> -> Other universities,All doctorate recipients,Other<sup>b</sup>,Other universities,3,35,58,56,48,58,67,53,59,66,64,58
