table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
3708,r011,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Other biological, agricultural, life scientist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Other biological, agricultural, life scientist",4,22250,725,1000,125,,,7500,450,750,125,12500,550,450,125
3708,r012,All occupations -> Science occupations&#160; -> Computer and information scientist&#160;,All occupations,Science occupations&#160;,Computer and information scientist&#160;,,3,71350,1075,1850,150,,,31250,900,1150,125,36450,750,650,100
3708,r013,All occupations -> Science occupations&#160; -> Computer and information scientist&#160; -> Computer and information scientist,All occupations,Science occupations&#160;,Computer and information scientist&#160;,Computer and information scientist,4,60650,1075,1550,150,,,27600,875,800,100,30150,750,500,75
3708,r014,"All occupations -> Science occupations&#160; -> Computer and information scientist&#160; -> Postsecondary teachers, computer science",All occupations,Science occupations&#160;,Computer and information scientist&#160;,"Postsecondary teachers, computer science",4,10700,525,300,75,,,3600,375,350,75,6300,350,S,S
3708,r015,All occupations -> Science occupations&#160; -> Mathematical scientist&#160;,All occupations,Science occupations&#160;,Mathematical scientist&#160;,,3,47850,825,1850,150,,,15650,575,1250,125,28550,650,550,75
3708,r016,All occupations -> Science occupations&#160; -> Mathematical scientist&#160; -> Mathematical scientist,All occupations,Science occupations&#160;,Mathematical scientist&#160;,Mathematical scientist,4,24750,700,800,125,,,10200,550,650,100,12700,525,400,75
3708,r017,"All occupations -> Science occupations&#160; -> Mathematical scientist&#160; -> Postsecondary teachers, mathematics, statistics",All occupations,Science occupations&#160;,Mathematical scientist&#160;,"Postsecondary teachers, mathematics, statistics",4,23050,600,1000,125,,,5450,425,600,100,15850,475,150,50
3708,r018,All occupations -> Science occupations&#160; -> Physical scientist&#160;,All occupations,Science occupations&#160;,Physical scientist&#160;,,3,101350,1325,3600,200,100,50,19550,725,2500,225,74450,1125,1150,125
3708,r019,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Chemists, except biochemist",All occupations,Science occupations&#160;,Physical scientist&#160;,"Chemists, except biochemist",4,27250,800,900,125,50,25,7100,450,850,125,18050,650,300,75
3708,r020,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Earth, atmospheric, ocean scientist",All occupations,Science occupations&#160;,Physical scientist&#160;,"Earth, atmospheric, ocean scientist",4,14550,400,400,75,,,2600,200,150,50,11150,375,200,50
3708,r021,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Physicists, astronomers",All occupations,Science occupations&#160;,Physical scientist&#160;,"Physicists, astronomers",4,14700,700,500,100,,,3000,325,250,100,10750,550,200,75
3708,r022,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, chemistry",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, chemistry",4,19500,675,850,100,,,2800,325,800,100,14900,625,150,50
3708,r023,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, physics",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, physics",4,12350,600,500,100,,,2150,275,200,50,9300,550,150,75
3708,r024,"All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Postsecondary teachers, other physical science",All occupations,Science occupations&#160;,Physical scientist&#160;,"Postsecondary teachers, other physical science",4,8400,300,250,50,,,900,150,150,50,6950,275,100,50
3708,r025,All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Other physical scientist,All occupations,Science occupations&#160;,Physical scientist&#160;,Other physical scientist,4,4550,325,150,50,,,950,175,100,50,3350,300,50,25
3708,r026,All occupations -> Science occupations&#160; -> Psychologist&#160;,All occupations,Science occupations&#160;,Psychologist&#160;,,3,91600,975,4950,225,250,75,5000,350,3850,225,76200,950,1350,150
3708,r027,All occupations -> Science occupations&#160; -> Psychologist&#160; -> Psychologist,All occupations,Science occupations&#160;,Psychologist&#160;,Psychologist,4,67850,1025,3750,225,200,75,3100,300,2450,200,57400,950,950,150
3708,r028,"All occupations -> Science occupations&#160; -> Psychologist&#160; -> Postsecondary teachers, psychology",All occupations,Science occupations&#160;,Psychologist&#160;,"Postsecondary teachers, psychology",4,23750,675,1200,150,50,50,1900,275,1350,150,18800,625,350,75
3708,r029,All occupations -> Science occupations&#160; -> Social scientist&#160;,All occupations,Science occupations&#160;,Social scientist&#160;,,3,82850,1050,4750,250,300,75,9450,450,4600,275,62500,975,1250,150
3708,r030,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Economist,All occupations,Science occupations&#160;,Social scientist&#160;,Economist,4,11300,575,650,100,,,2550,300,300,75,7700,450,150,75
3708,r031,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Political scientist,All occupations,Science occupations&#160;,Social scientist&#160;,Political scientist,4,2450,300,100,50,,,S,S,100,50,2000,250,,
3708,r032,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, economics",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, economics",4,12800,550,650,100,,,1850,200,550,100,9700,450,S,S
3708,r033,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, political science",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, political science",4,12600,475,600,125,,,1050,150,1000,200,9650,450,250,100
3708,r034,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, sociology",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, sociology",4,9450,375,700,100,,,700,125,750,125,7000,350,250,75
3708,r035,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Postsecondary teachers, other social sciences",All occupations,Science occupations&#160;,Social scientist&#160;,"Postsecondary teachers, other social sciences",4,19200,600,1350,150,150,50,1600,200,900,100,14900,550,300,75
3708,r036,"All occupations -> Science occupations&#160; -> Social scientist&#160; -> Sociologist, anthropologist",All occupations,Science occupations&#160;,Social scientist&#160;,"Sociologist, anthropologist",4,4500,325,300,75,,,250,100,200,50,3650,275,100,25
3708,r037,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Other social scientist,All occupations,Science occupations&#160;,Social scientist&#160;,Other social scientist,4,10500,525,450,75,50,25,1300,175,800,125,7800,425,150,50
3708,r038,All occupations -> Engineering occupations&#160;&#160;,All occupations,Engineering occupations&#160;&#160;,,,2,136750,1375,5300,275,100,50,54300,1125,3200,175,72300,1125,1550,200
3708,r039,"All occupations -> Engineering occupations&#160;&#160; -> Aerospace, aeronautical, astronautical engineer",All occupations,Engineering occupations&#160;&#160;,"Aerospace, aeronautical, astronautical engineer",,3,8250,475,300,100,,,2100,250,100,50,5700,375,50,25
3708,r040,All occupations -> Engineering occupations&#160;&#160; -> Chemical engineer,All occupations,Engineering occupations&#160;&#160;,Chemical engineer,,3,10950,525,400,100,,,4800,425,200,75,5450,350,150,50
3708,r041,"All occupations -> Engineering occupations&#160;&#160; -> Civil, architectural, sanitary engineer",All occupations,Engineering occupations&#160;&#160;,"Civil, architectural, sanitary engineer",,3,7750,475,450,125,,,2700,300,350,100,4200,350,S,S
3708,r042,All occupations -> Engineering occupations&#160;&#160; -> Electrical engineer,All occupations,Engineering occupations&#160;&#160;,Electrical engineer,,3,30700,825,900,100,,,14850,700,600,100,14050,575,300,75
3708,r043,All occupations -> Engineering occupations&#160;&#160; -> Industrial engineers,All occupations,Engineering occupations&#160;&#160;,Industrial engineers,,3,2100,275,150,50,,,750,200,100,50,1100,175,,
3708,r044,All occupations -> Engineering occupations&#160;&#160; -> Mechanical engineer,All occupations,Engineering occupations&#160;&#160;,Mechanical engineer,,3,15000,575,450,100,0.05,0.05,7050,425,200,50,7000,325,250,125
3708,r045,"All occupations -> Engineering occupations&#160;&#160; -> Postsecondary teacher, engineering",All occupations,Engineering occupations&#160;&#160;,"Postsecondary teacher, engineering",,3,25750,800,1250,150,,,8550,550,800,125,14850,625,250,75
3708,r046,All occupations -> Engineering occupations&#160;&#160; -> Other engineer,All occupations,Engineering occupations&#160;&#160;,Other engineer,,3,36200,725,1400,150,0.05,0.05,13450,600,800,100,20000,600,550,100
3708,r047,All occupations -> S&E-related occupations&#160;,All occupations,S&E-related occupations&#160;,,,2,108900,1600,4000,225,250,50,24350,850,4600,250,74250,1325,1400,150
3708,r048,"All occupations -> S&E-related occupations&#160; -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations&#160;,"Health occupations, except postsecondary teachers and managers",,3,36200,875,1500,150,50,25,8950,550,1900,175,23300,725,500,75
3708,r049,"All occupations -> S&E-related occupations&#160; -> Postsecondary teacher, health and related science",All occupations,S&E-related occupations&#160;,"Postsecondary teacher, health and related science",,3,27600,700,950,125,100,50,4200,325,1550,125,20500,625,300,75
3708,r050,"All occupations -> S&E-related occupations&#160; -> S&E managers, including health",All occupations,S&E-related occupations&#160;,"S&E managers, including health",,3,28900,925,1050,125,50,25,6550,500,750,125,20100,700,350,75
3708,r051,All occupations -> S&E-related occupations&#160; -> S&E precollege teachers,All occupations,S&E-related occupations&#160;,S&E precollege teachers,,3,6850,450,300,50,,,550,175,400,75,5500,400,100,50
3708,r052,All occupations -> S&E-related occupations&#160; -> S&E technicians/ technologists,All occupations,S&E-related occupations&#160;,S&E technicians/ technologists,,3,8300,475,200,50,,,3550,375,50,25,4400,325,100,50
3708,r053,All occupations -> S&E-related occupations&#160; -> Other S&E-related occupation,All occupations,S&E-related occupations&#160;,Other S&E-related occupation,,3,1100,175,S,S,,,550,125,,,500,125,,
3708,r054,All occupations -> Non-S&E occupations&#160;,All occupations,Non-S&E occupations&#160;,,,2,185050,1900,6950,300,400,75,32150,950,8850,350,134050,1775,2650,175
3708,r055,"All occupations -> Non-S&E occupations&#160; -> Arts, humanities-related occupation",All occupations,Non-S&E occupations&#160;,"Arts, humanities-related occupation",,3,11100,450,250,75,,,1300,175,300,75,8950,450,200,50
3708,r056,All occupations -> Non-S&E occupations&#160; -> Management-related occupation,All occupations,Non-S&E occupations&#160;,Management-related occupation,,3,42000,1275,1900,175,50,25,9000,550,2150,200,28250,950,700,100
3708,r057,All occupations -> Non-S&E occupations&#160; -> Non-S&E managers,All occupations,Non-S&E occupations&#160;,Non-S&E managers,,3,64350,1175,2000,150,150,50,11200,625,2850,225,47500,975,700,100
3708,r058,All occupations -> Non-S&E occupations&#160; -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations&#160;,Non-S&E postsecondary teachers,,3,23750,725,1150,100,50,50,3400,325,1300,150,17550,650,300,75
3708,r059,All occupations -> Non-S&E occupations&#160; -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations&#160;,Non-S&E precollege/ other teachers,,3,6950,450,350,75,,,850,175,350,75,5200,400,150,50
3708,r060,"All occupations -> Non-S&E occupations&#160; -> Sales, marketing occupation",All occupations,Non-S&E occupations&#160;,"Sales, marketing occupation",,3,11350,550,400,75,,,3050,325,350,75,7300,450,250,125
3708,r061,All occupations -> Non-S&E occupations&#160; -> Social service-related occupation,All occupations,Non-S&E occupations&#160;,Social service-related occupation,,3,8150,450,450,100,S,S,750,150,900,150,5900,400,100,50
3708,r062,All occupations -> Non-S&E occupations&#160; -> Other non-S&E occupation,All occupations,Non-S&E occupations&#160;,Other non-S&E occupation,,3,17400,700,500,75,,,2600,325,650,125,13350,650,300,100
