table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10855,r044,All locations -> Tennessee,All locations,Tennessee,,2,967095,63490,812805,78120,12680,0,0
10855,r045,All locations -> Texas,All locations,Texas,,2,40716,805,0,15031,23952,0,928
10855,r046,All locations -> Utah,All locations,Utah,,2,5416,0,0,2899,2517,0,0
10855,r047,All locations -> Vermont,All locations,Vermont,,2,0,0,0,0,0,0,0
10855,r048,All locations -> Virginia,All locations,Virginia,,2,187885,51611,104183,18411,9818,3863,0
10855,r049,All locations -> Washington,All locations,Washington,,2,55761,23179,28958,0,2189,1435,0
10855,r050,All locations -> West Virginia,All locations,West Virginia,,2,90,0,0,50,0,40,0
10855,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,47999,40175,0,0,7824,0,0
10855,r052,All locations -> Wyoming,All locations,Wyoming,,2,0,0,0,0,0,0,0
10855,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,7027,5704,179,0,1145,0,0
10855,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,6008,5704,0,0,304,0,0
10855,r055,All locations -> Outlying areas -> Other areas<sup>c</sup>,All locations,Outlying areas,Other areas<sup>c</sup>,3,1019,0,179,0,841,0,0
10855,r056,All locations -> Offices abroad<sup>d</sup>,All locations,Offices abroad<sup>d</sup>,,2,0,0,0,0,0,0,0
10855,r057,All locations -> Undistributed<sup>e</sup>,All locations,Undistributed<sup>e</sup>,,2,1486,0,0,1486,0,0,0
