table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal,field_paid_for_by_others_
1459,r023,All states -> Massachusetts,All states,Massachusetts,2,"['21,560', '  ']","['18,084', '  ']","['3,476', '  ']","['633', '  ']",2843,
1459,r024,All states -> Michigan,All states,Michigan,2,"['18,847', '  ']","['17,454', '  ']","['1,393', '  ']","['205', '  ']",1188,
1459,r025,All states -> Minnesota,All states,Minnesota,2,"['7,084', '  ']","['6,601', '  ']","['483', '  ']","['219', '  ']",265,
1459,r026,All states -> Mississippi,All states,Mississippi,2,"['222', '  ']","['198', '  ']","['24', '  ']","['12', '  ']",12,e 
1459,r027,All states -> Missouri,All states,Missouri,2,"['5,958', 'i ']","['3,466', '  ']","['2,492', 'i ']","['D', '&nbsp;']",,
1459,r028,All states -> Montana,All states,Montana,2,"['140', '  ']","['121', '  ']","['19', '  ']","['5', 'i ']",14,
1459,r029,All states -> Nebraska,All states,Nebraska,2,"['604', '  ']","['491', '  ']","['114', '  ']","['71', '  ']",43,
1459,r030,All states -> Nevada,All states,Nevada,2,"['574', '  ']","['412', '  ']","['162', '  ']","['21', '  ']",141,
1459,r031,All states -> New Hampshire,All states,New Hampshire,2,"['1,919', '  ']","['767', '  ']","['1,151', '  ']","['886', '  ']",265,
1459,r032,All states -> New Jersey,All states,New Jersey,2,"['15,715', '  ']","['12,902', '  ']","['2,813', '  ']","['266', '  ']",2547,
1459,r033,All states -> New Mexico,All states,New Mexico,2,"['487', '  ']","['323', '  ']","['164', '  ']","['140', '  ']",24,
1459,r034,All states -> New York,All states,New York,2,"['15,714', '  ']","['13,454', '  ']","['2,260', '  ']","['1,049', '  ']",1211,
1459,r035,All states -> North Carolina,All states,North Carolina,2,"['10,064', '  ']","['7,226', '  ']","['2,838', 'i ']","['194', '  ']",2644,i 
1459,r036,All states -> North Dakota,All states,North Dakota,2,"['254', '  ']","['237', '  ']","['17', '  ']","['2', 'i ']",15,
1459,r037,All states -> Ohio,All states,Ohio,2,"['8,892', '  ']","['6,366', '  ']","['2,526', '  ']","['497', 'i ']",2029,
1459,r038,All states -> Oklahoma,All states,Oklahoma,2,"['692', '  ']","['642', '  ']","['50', 'i ']","['9', 'e ']",41,i 
1459,r039,All states -> Oregon,All states,Oregon,2,"['6,523', '  ']","['6,316', '  ']","['207', '  ']","['87', '  ']",120,
1459,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['12,300', '  ']","['11,161', '  ']","['1,138', '  ']","['178', '  ']",961,
1459,r041,All states -> Rhode Island,All states,Rhode Island,2,"['875', 'i ']","['822', 'i ']","['53', '  ']","['36', '  ']",17,
1459,r042,All states -> South Carolina,All states,South Carolina,2,"['1,301', '  ']","['1,146', '  ']","['155', '  ']","['63', '  ']",92,
1459,r043,All states -> South Dakota,All states,South Dakota,2,"['151', '  ']","['135', '  ']","['16', 'i ']","['5', 'i ']",11,i 
1459,r044,All states -> Tennessee,All states,Tennessee,2,"['1,610', '  ']","['1,383', '  ']","['226', '  ']","['37', '  ']",189,
1459,r045,All states -> Texas,All states,Texas,2,"['17,353', '  ']","['14,913', '  ']","['2,440', '  ']","['698', '  ']",1742,
1459,r046,All states -> Utah,All states,Utah,2,"['3,453', '  ']","['2,876', '  ']","['577', '  ']","['408', '  ']",169,
1459,r047,All states -> Vermont,All states,Vermont,2,"['248', '  ']","['230', '  ']","['17', '  ']","['7', '  ']",10,i 
1459,r048,All states -> Virginia,All states,Virginia,2,"['3,773', '  ']","['2,240', '  ']","['1,532', '  ']","['1,202', 'i ']",330,
1459,r049,All states -> Washington,All states,Washington,2,"['19,673', '  ']","['19,001', '  ']","['671', '  ']","['183', '  ']",488,
1459,r050,All states -> West Virginia,All states,West Virginia,2,"['182', '  ']","['157', '  ']","['25', '  ']","['19', '  ']",6,e 
1459,r051,All states -> Wisconsin,All states,Wisconsin,2,"['4,972', '  ']","['4,387', '  ']","['585', '  ']","['71', '  ']",514,
1459,r052,All states -> Wyoming,All states,Wyoming,2,"['172', '  ']","['164', '  ']","['8', 'i ']","['2', '  ']",5,i 
1459,r053,All states -> Undistributed<sup>a</sup>,All states,Undistributed<sup>a</sup>,2,"['7,173', '  ']","['5,664', '  ']","['1,509', '  ']","['D', '  ']",,
