table_id,row_id,time_period,broad_occupation_level_1,broad_occupation_level_2,broad_occupation_hierarchy_depth,value
7789,r114_7,,Detailed occupation,Label,2,Lawyers and judges
7789,r115_6,,Detailed occupation,Code,2,781300
7789,r115_7,,Detailed occupation,Label,2,"Librarians, archivists, and curators"
7789,r116_6,,Detailed occupation,Code,2,782210
7789,r116_7,,Detailed occupation,Label,2,Food preparation and service occupations
7789,r117_6,,Detailed occupation,Code,2,782220
7789,r117_7,,Detailed occupation,Label,2,Protective services
7789,r118_6,,Detailed occupation,Code,2,782230
7789,r118_7,,Detailed occupation,Label,2,"Other service occupations, except health"
7789,r119_6,,Detailed occupation,Code,2,783000
7789,r119_7,,Detailed occupation,Label,2,Other teachers and instructors
7789,r120_6,,Detailed occupation,Code,2,784010
7789,r120_7,,Detailed occupation,Label,2,Construction and extraction occupations
7789,r121_6,,Detailed occupation,Code,2,784020
7789,r121_7,,Detailed occupation,Label,2,"Installation, maintenance, and repair occupations"
7789,r122_6,,Detailed occupation,Code,2,784030
7789,r122_7,,Detailed occupation,Label,2,Precision/ production occupations
7789,r123_6,,Detailed occupation,Code,2,784050
7789,r123_7,,Detailed occupation,Label,2,Transportation and material moving occupations
7789,r124_6,,Detailed occupation,Code,2,785000
7789,r124_7,,Detailed occupation,Label,2,Other occupations
