table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_full_professor_number,field_full_professor_se,field_associate_professor_number,field_associate_professor_se,field_assistant_professor_number,field_assistant_professor_se,field_instructor_or_lecturer_number,field_instructor_or_lecturer_se,field_all_other_faculty_number,field_all_other_faculty_se,field_rank_not_applicable_number,field_rank_not_applicable_se
3687,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,White,5,34600,825,12450,500,6700,375,5950,400,2550,250,150,50,6750,375
3687,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,500,100,100,50,100,25,150,75,50,25,,,150,50
3687,r049,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,39150,775,12750,575,9150,450,7750,400,2650,225,50,50,6800,475
3687,r050,All fields -> Science -> Psychology -> Hispanic or Latino<sup>a</sup>,All fields,Science,Psychology,Hispanic or Latino<sup>a</sup>,,4,2100,150,500,100,500,100,500,75,200,50,,,400,75
3687,r051,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
3687,r052,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,50,25,,,,,,,,,,,,
3687,r053,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Asian,5,3400,325,950,225,750,125,700,125,200,75,,,750,175
3687,r054,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,2200,175,550,100,600,100,450,100,100,50,,,450,100
3687,r055,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,White,5,30700,775,10500,500,7250,450,5850,375,2050,200,S,S,5000,425
3687,r056,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,700,100,150,50,100,50,200,75,50,50,,,150,50
3687,r057,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,64150,975,23950,650,17300,600,12150,475,4750,350,300,75,5700,350
3687,r058,All fields -> Science -> Social sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Social sciences,Hispanic or Latino<sup>a</sup>,,4,3750,200,1100,125,1000,125,900,100,400,75,,,300,75
3687,r059,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,,,,,
3687,r060,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,300,75,50,50,150,75,50,25,,,,,,
3687,r061,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,7550,450,2300,250,2000,225,2200,225,350,100,,,600,175
3687,r062,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,4000,250,1050,150,1250,175,900,125,350,125,,,450,75
3687,r063,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,White,5,47650,875,19250,575,12600,525,7850,400,3550,325,200,75,4200,275
3687,r064,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,900,125,250,75,250,50,250,75,50,25,,,100,50
3687,r065,All fields -> Engineering,All fields,Engineering,,,,2,45250,925,16650,675,9150,475,9500,525,2400,275,350,125,7200,425
3687,r066,All fields -> Engineering -> Hispanic or Latino<sup>a</sup>,All fields,Engineering,Hispanic or Latino<sup>a</sup>,,,3,1950,175,750,125,500,100,350,75,100,50,,,300,50
3687,r067,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,,,,,
3687,r068,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,50,25,S,S,,,,,,,,,,
3687,r069,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Asian,,4,16150,750,5850,575,2850,275,3800,375,600,175,200,100,2900,275
3687,r070,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,1400,150,450,75,350,100,250,75,100,50,,,250,50
3687,r071,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,White,,4,25250,700,9500,475,5400,375,5000,350,1600,225,100,75,3650,300
3687,r072,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,450,75,50,50,100,50,100,50,50,25,,,150,50
3687,r073,All fields -> Health,All fields,Health,,,,2,21250,550,5550,325,6050,350,6200,350,850,125,100,50,2550,200
3687,r074,All fields -> Health -> Hispanic or Latino<sup>a</sup>,All fields,Health,Hispanic or Latino<sup>a</sup>,,,3,800,100,150,50,200,50,300,75,S,S,,,100,50
3687,r075,All fields -> Health -> Not Hispanic or Latino<sup>b</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,,,,,
3687,r076,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Health,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,50,25,,,,,,,,,,,,
3687,r077,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Asian,,4,3350,275,650,150,750,150,1000,150,100,50,,,850,175
3687,r078,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,1600,125,300,75,350,75,650,100,50,25,,,250,50
3687,r079,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Health,Not Hispanic or Latino<sup>b</sup>,White,,4,15050,475,4400,275,4550,300,4100,325,600,100,S,S,1350,175
3687,r080,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,300,75,S,S,100,50,100,50,,,,,50,25
