table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount_thousands_,field_1_4_employees_companies_number_,field_1_4_employees_amount_thousands_,field_5_9_employees_companies_number_,field_5_9_employees_amount_thousands_
12485,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['107', '&nbsp;']","['43,090', '&nbsp;']","['60', '&nbsp;']","['19,909', '&nbsp;']","['47', '&nbsp;']","['23,181', '&nbsp;']"
12485,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['73', '&nbsp;']","['14,467', '&nbsp;']","['45', '&nbsp;']","['6,321', '&nbsp;']","['28', '&nbsp;']","['8,145', 'r']"
12485,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['13', '&nbsp;']","['3,608', '&nbsp;']","['3', '&nbsp;']","['183', '&nbsp;']","['10', '&nbsp;']","['3,425', '&nbsp;']"
12485,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['8', '&nbsp;']","['3,214', '&nbsp;']","['6', 'r']","['2,249', '&nbsp;']","['3', '&nbsp;']","['965', '&nbsp;']"
12485,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['99', '&nbsp;']","['44,875', '&nbsp;']","['51', 'r']","['10,043', 'r']","['47', 'r']","['34,832', 'r']"
12485,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['110', '&nbsp;']","['44,334', '&nbsp;']","['69', '&nbsp;']","['16,382', '&nbsp;']","['42', '&nbsp;']","['27,952', 'r']"
12485,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['614', '&nbsp;']","['171,928', '&nbsp;']","['318', '&nbsp;']","['60,842', '&nbsp;']","['296', '&nbsp;']","['111,087', '&nbsp;']"
12485,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['131', '&nbsp;']","['46,427', '&nbsp;']","['79', '&nbsp;']","['20,910', '&nbsp;']","['52', '&nbsp;']","['25,517', '&nbsp;']"
12485,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['402', '&nbsp;']","['94,814', '&nbsp;']","['190', '&nbsp;']","['30,032', '&nbsp;']","['212', '&nbsp;']","['64,783', '&nbsp;']"
12485,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['81', '&nbsp;']","['30,686', '&nbsp;']","['49', '&nbsp;']","['9,899', '&nbsp;']","['32', '&nbsp;']","['20,787', '&nbsp;']"
12485,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['88', '&nbsp;']","['14,597', '&nbsp;']","['40', '&nbsp;']","['5,395', '&nbsp;']","['48', '&nbsp;']","['9,201', '&nbsp;']"
12485,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['65', '&nbsp;']","['36,738', '&nbsp;']","['25', '&nbsp;']","['9,792', '&nbsp;']","['41', '&nbsp;']","['26,946', '&nbsp;']"
12485,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['37', '&nbsp;']","['19,882', '&nbsp;']","['16', 'r']","['5,825', 'r']","['22', '&nbsp;']","['14,057', 'r']"
12485,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['28', '&nbsp;']","['16,856', '&nbsp;']","['9', 'r']","['3,967', '&nbsp;']","['19', '&nbsp;']","['12,889', 'r']"
12485,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['3', '&nbsp;']","['212', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['212', '&nbsp;']"
12485,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['224', '&nbsp;']","['163,959', '&nbsp;']","['107', '&nbsp;']","['32,699', '&nbsp;']","['116', '&nbsp;']","['131,260', '&nbsp;']"
12485,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['12,249', '&nbsp;']","['5,016,323', '&nbsp;']","['7,857', '&nbsp;']","['2,301,833', '&nbsp;']","['4,392', '&nbsp;']","['2,714,490', '&nbsp;']"
12485,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['652', '&nbsp;']","['305,962', '&nbsp;']","['397', '&nbsp;']","['151,428', '&nbsp;']","['255', '&nbsp;']","['154,534', '&nbsp;']"
12485,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['1,972', '&nbsp;']","['653,665', '&nbsp;']","['1,046', '&nbsp;']","['271,111', '&nbsp;']","['926', '&nbsp;']","['382,554', '&nbsp;']"
12485,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['1,446', '&nbsp;']","['478,466', '&nbsp;']","['727', '&nbsp;']","['176,852', '&nbsp;']","['718', '&nbsp;']","['301,614', '&nbsp;']"
12485,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['527', '&nbsp;']","['175,199', '&nbsp;']","['319', '&nbsp;']","['94,259', '&nbsp;']","['207', '&nbsp;']","['80,940', '&nbsp;']"
12485,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['1,162', '&nbsp;']","['388,846', '&nbsp;']","['784', '&nbsp;']","['172,649', '&nbsp;']","['378', '&nbsp;']","['216,197', '&nbsp;']"
12485,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['5,082', '&nbsp;']","['1,414,970', '&nbsp;']","['3,447', '&nbsp;']","['672,996', '&nbsp;']","['1,635', '&nbsp;']","['741,974', '&nbsp;']"
12485,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['3,380', '&nbsp;']","['2,252,879', '&nbsp;']","['2,182', '&nbsp;']","['1,033,648', '&nbsp;']","['1,198', '&nbsp;']","['1,219,231', '&nbsp;']"
12485,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['301', '&nbsp;']","['137,272', '&nbsp;']","['200', '&nbsp;']","['59,966', '&nbsp;']","['101', '&nbsp;']","['77,306', '&nbsp;']"
12485,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['1,138', '&nbsp;']","['1,010,361', '&nbsp;']","['753', '&nbsp;']","['483,401', '&nbsp;']","['385', '&nbsp;']","['526,960', '&nbsp;']"
12485,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['1,863', '&nbsp;']","['1,085,263', '&nbsp;']","['1,174', '&nbsp;']","['479,979', '&nbsp;']","['689', '&nbsp;']","['605,284', '&nbsp;']"
12485,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['78', '&nbsp;']","['19,984', '&nbsp;']","['55', '&nbsp;']","['10,303', '&nbsp;']","['23', '&nbsp;']","['9,682', '&nbsp;']"
