table_id,row_id,_b_debt_level_b_full_path,_b_debt_level_b_level_1,_b_debt_level_b_level_2,_b_debt_level_b_level_3,_b_debt_level_b_hierarchy_depth,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
4855,r011,"Cumulative debt -> $60,001&#8211;$70,000",Cumulative debt,"$60,001&#8211;$70,000",,2,"['409', '1.5']","['459', '2.0']","['761', '2.3']","['102', '0.6']","['71', '2.6']","['5', '6.0']","['28', '0.9']","['72', '3.1']","['543', '2.3']","['34', '3.0']","['5', '1.9']","['3', '2.1']"
4855,r012,"Cumulative debt -> $70,001&#8211;$80,000",Cumulative debt,"$70,001&#8211;$80,000",,2,"['341', '1.2']","['410', '1.8']","['682', '2.1']","['67', '0.4']","['73', '2.7']","['D', 'D']","['25', '0.8']","['72', '3.1']","['473', '2.0']","['D', 'D']","['5', '1.9']","['3', '2.1']"
4855,r013,"Cumulative debt -> $80,001&#8211;$90,000",Cumulative debt,"$80,001&#8211;$90,000",,2,"['331', '1.2']","['401', '1.7']","['670', '2.0']","['60', '0.3']","['53', '2.0']","['D', 'D']","['33', '1.1']","['93', '4.0']","['445', '1.9']","['D', 'D']","['6', '2.3']","['4', '2.9']"
4855,r014,"Cumulative debt -> $90,001&#8211;$100,000",Cumulative debt,"$90,001&#8211;$100,000",,2,"['372', '1.4']","['445', '1.9']","['752', '2.3']","['61', '0.3']","['72', '2.7']","['D', 'D']","['31', '1.0']","['109', '4.7']","['502', '2.2']","['D', 'D']","['6', '2.3']","['7', '5.0']"
4855,r015,"Cumulative debt -> $100,001&#8211;$120,000",Cumulative debt,"$100,001&#8211;$120,000",,2,"['431', '1.6']","['571', '2.5']","['910', '2.8']","['91', '0.5']","['112', '4.1']","['D', 'D']","['43', '1.4']","['122', '5.3']","['587', '2.5']","['D', 'D']","['7', '2.7']","['5', '3.6']"
4855,r016,"Cumulative debt -> $120,001&#8211;$140,000",Cumulative debt,"$120,001&#8211;$140,000",,2,"['327', '1.2']","['415', '1.8']","['692', '2.1']","['49', '0.3']","['77', '2.8']","['D', 'D']","['29', '0.9']","['123', '5.3']","['436', '1.9']","['D', 'D']","['7', '2.7']","['2', '1.4']"
4855,r017,"Cumulative debt -> $140,001&#8211;$160,000",Cumulative debt,"$140,001&#8211;$160,000",,2,"['312', '1.1']","['388', '1.7']","['618', '1.9']","['79', '0.5']","['60', '2.2']","['D', 'D']","['22', '0.7']","['106', '4.6']","['393', '1.7']","['D', 'D']","['5', '1.9']","['3', '2.1']"
4855,r018,"Cumulative debt -> $160,001 or more",Cumulative debt,"$160,001 or more",,2,"['868', '3.2']","['1,274', '5.5']","['1,994', '6.1']","['141', '0.8']","['192', '7.1']","['9', '10.7']","['61', '2.0']","['535', '23.2']","['1,080', '4.7']","['80', '7.1']","['19', '7.2']","['18', '12.9']"
4855,r019,Cumulative debt -> Total,Cumulative debt,Total,,2,"['27,355', '100.0']","['23,121', '100.0']","['32,841', '100.0']","['17,458', '100.0']","['2,713', '100.0']","['84', '100.0']","['3,102', '100.0']","['2,302', '100.0']","['23,111', '100.0']","['1,125', '100.0']","['264', '100.0']","['140', '100.0']"
4855,r020,Cumulative debt -> Graduate debt,Cumulative debt,Graduate debt,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
4855,r021,Cumulative debt -> Graduate debt -> Mean,Cumulative debt,Graduate debt,Mean,3,"['$13,920', '']","['$21,462', '']","['$23,569', '']","['$5,736', '']","['$29,133', '']","['$37,500', '']","['$10,636', '']","['$63,087', '']","['$20,451', '']","['$25,695', '']","['$26,794', '']","['$37,482', '']"
4855,r022,Cumulative debt -> Graduate debt -> ,Cumulative debt,Graduate debt,,3,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
4855,r023,Cumulative debt -> Graduate debt -> No debt,Cumulative debt,Graduate debt,No debt,3,"['19,969', '73.1']","['15,145', '65.6']","['20,659', '63.0']","['14,338', '82.3']","['1,470', '54.3']","['32', '38.1']","['2,427', '78.3']","['681', '29.7']","['15,112', '65.4']","['704', '62.7']","['155', '59.2']","['78', '56.1']"
4855,r024,"Cumulative debt -> Graduate debt -> $10,000 or less",Cumulative debt,Graduate debt,"$10,000 or less",3,"['1,891', '6.9']","['1,511', '6.5']","['2,111', '6.4']","['1,278', '7.3']","['217', '8.0']","['7', '8.3']","['165', '5.3']","['142', '6.2']","['1,497', '6.5']","['60', '5.3']","['16', '6.1']","['7', '5.0']"
4855,r025,"Cumulative debt -> Graduate debt -> $10,001&#8211;$20,000",Cumulative debt,Graduate debt,"$10,001&#8211;$20,000",3,"['1,007', '3.7']","['917', '4.0']","['1,368', '4.2']","['551', '3.2']","['133', '4.9']","['6', '7.1']","['92', '3.0']","['97', '4.2']","['979', '4.2']","['47', '4.2']","['12', '4.6']","['2', '1.4']"
4855,r026,"Cumulative debt -> Graduate debt -> $20,001&#8211;$30,000",Cumulative debt,Graduate debt,"$20,001&#8211;$30,000",3,"['742', '2.7']","['746', '3.2']","['1,135', '3.5']","['343', '2.0']","['112', '4.1']","['8', '9.5']","['81', '2.6']","['93', '4.1']","['783', '3.4']","['40', '3.6']","['13', '5.0']","['5', '3.6']"
4855,r027,"Cumulative debt -> Graduate debt -> $30,001&#8211;$40,000",Cumulative debt,Graduate debt,"$30,001&#8211;$40,000",3,"['514', '1.9']","['546', '2.4']","['878', '2.7']","['177', '1.0']","['77', '2.8']","['6', '7.1']","['47', '1.5']","['91', '4.0']","['625', '2.7']","['24', '2.1']","['6', '2.3']","['2', '1.4']"
4855,r028,"Cumulative debt -> Graduate debt -> $40,001&#8211;$50,000",Cumulative debt,Graduate debt,"$40,001&#8211;$50,000",3,"['431', '1.6']","['484', '2.1']","['779', '2.4']","['132', '0.8']","['85', '3.1']","['5', '6.0']","['40', '1.3']","['88', '3.8']","['516', '2.2']","['34', '3.0']","['7', '2.7']","['4', '2.9']"
4855,r029,"Cumulative debt -> Graduate debt -> $50,001&#8211;$60,000",Cumulative debt,Graduate debt,"$50,001&#8211;$60,000",3,"['358', '1.3']","['455', '2.0']","['712', '2.2']","['100', '0.6']","['79', '2.9']","['D', 'D']","['42', '1.4']","['96', '4.2']","['463', '2.0']","['D', 'D']","['5', '1.9']","['1', '0.7']"
4855,r030,"Cumulative debt -> Graduate debt -> $60,001&#8211;$70,000",Cumulative debt,Graduate debt,"$60,001&#8211;$70,000",3,"['310', '1.1']","['387', '1.7']","['618', '1.9']","['76', '0.4']","['61', '2.3']","['D', 'D']","['30', '1.0']","['90', '3.9']","['402', '1.7']","['D', 'D']","['5', '1.9']","['5', '3.6']"
4855,r031,"Cumulative debt -> Graduate debt -> $70,001&#8211;$80,000",Cumulative debt,Graduate debt,"$70,001&#8211;$80,000",3,"['250', '0.9']","['329', '1.4']","['527', '1.6']","['52', '0.3']","['56', '2.1']","['D', 'D']","['29', '0.9']","['79', '3.4']","['334', '1.4']","['D', 'D']","['5', '1.9']","['4', '2.9']"
4855,r032,"Cumulative debt -> Graduate debt -> $80,001&#8211;$90,000",Cumulative debt,Graduate debt,"$80,001&#8211;$90,000",3,"['209', '0.8']","['297', '1.3']","['462', '1.4']","['D', 'D']","['47', '1.7']","['0', '0.0']","['20', '0.6']","['74', '3.2']","['300', '1.3']","['16', '1.4']","['3', '1.1']","['2', '1.4']"
4855,r033,"Cumulative debt -> Graduate debt -> $90,001&#8211;$100,000",Cumulative debt,Graduate debt,"$90,001&#8211;$100,000",3,"['235', '0.9']","['324', '1.4']","['508', '1.5']","['D', 'D']","['56', '2.1']","['D', 'D']","['22', '0.7']","['89', '3.9']","['308', '1.3']","['D', 'D']","['6', '2.3']","['6', '4.3']"
4855,r034,"Cumulative debt -> Graduate debt -> $100,001&#8211;$120,000",Cumulative debt,Graduate debt,"$100,001&#8211;$120,000",3,"['354', '1.3']","['451', '2.0']","['717', '2.2']","['85', '0.5']","['85', '3.1']","['D', 'D']","['22', '0.7']","['113', '4.9']","['465', '2.0']","['D', 'D']","['11', '4.2']","['5', '3.6']"
4855,r035,"Cumulative debt -> Graduate debt -> $120,001&#8211;$140,000",Cumulative debt,Graduate debt,"$120,001&#8211;$140,000",3,"['246', '0.9']","['336', '1.5']","['552', '1.7']","['29', '0.2']","['55', '2.0']","['D', 'D']","['24', '0.8']","['100', '4.4']","['341', '1.5']","['D', 'D']","['1', '0.4']","['4', '2.9']"
4855,r036,"Cumulative debt -> Graduate debt -> $140,001&#8211;$160,000",Cumulative debt,Graduate debt,"$140,001&#8211;$160,000",3,"['293', '1.1']","['343', '1.5']","['560', '1.7']","['D', 'D']","['65', '2.4']","['D', 'D']","['17', '0.5']","['131', '5.7']","['315', '1.4']","['18', '1.6']","['D', 'D']","['5', '3.6']"
4855,r037,"Cumulative debt -> Graduate debt -> $160,001 or more",Cumulative debt,Graduate debt,"$160,001 or more",3,"['507', '1.9']","['818', '3.5']","['1,217', '3.7']","['D', 'D']","['108', '4.0']","['D', 'D']","['41', '1.3']","['331', '14.4']","['655', '2.8']","['56', '5.0']","['D', 'D']","['9', '6.5']"
4855,r038,Cumulative debt -> Graduate debt -> Total,Cumulative debt,Graduate debt,Total,3,"['27,316', '100.0']","['23,089', '100.0']","['32,803', '100.0']","['17,432', '100.0']","['2,706', '100.0']","['84', '100.0']","['3,099', '100.0']","['2,295', '100.0']","['23,095', '100.0']","['1,123', '100.0']","['262', '100.0']","['139', '100.0']"
4855,r039,Cumulative debt -> Undergraduate debt,Cumulative debt,Undergraduate debt,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
4855,r040,Cumulative debt -> Undergraduate debt -> Mean,Cumulative debt,Undergraduate debt,Mean,3,"['$7,718', '']","['$9,546', '']","['$12,093', '']","['$1,896', '']","['$13,288', '']","['$18,750', '']","['$5,303', '']","['$25,399', '']","['$11,451', '']","['$13,277', '']","['$12,299', '']","['$13,417', '']"
4855,r041,Cumulative debt -> Undergraduate debt -> ,Cumulative debt,Undergraduate debt,,3,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
4855,r042,Cumulative debt -> Undergraduate debt -> No debt,Cumulative debt,Undergraduate debt,No debt,3,"['20,403', '74.7']","['16,360', '70.8']","['20,785', '63.4']","['15,844', '90.9']","['1,538', '56.7']","['43', '51.2']","['2,466', '79.5']","['931', '40.6']","['14,889', '64.5']","['663', '59.0']","['165', '63.2']","['90', '64.7']"
4855,r043,"Cumulative debt -> Undergraduate debt -> $10,000 or less",Cumulative debt,Undergraduate debt,"$10,000 or less",3,"['1,648', '6.0']","['1,460', '6.3']","['2,387', '7.3']","['715', '4.1']","['288', '10.6']","['6', '7.1']","['168', '5.4']","['216', '9.4']","['1,585', '6.9']","['97', '8.6']","['21', '8.0']","['6', '4.3']"
4855,r044,"Cumulative debt -> Undergraduate debt -> $10,001&#8211;$20,000",Cumulative debt,Undergraduate debt,"$10,001&#8211;$20,000",3,"['1,320', '4.8']","['1,276', '5.5']","['2,313', '7.1']","['276', '1.6']","['234', '8.6']","['6', '7.1']","['170', '5.5']","['182', '7.9']","['1,607', '7.0']","['85', '7.6']","['20', '7.7']","['9', '6.5']"
4855,r045,"Cumulative debt -> Undergraduate debt -> $20,001&#8211;$30,000",Cumulative debt,Undergraduate debt,"$20,001&#8211;$30,000",3,"['1,233', '4.5']","['1,160', '5.0']","['2,139', '6.5']","['248', '1.4']","['194', '7.2']","['D', 'D']","['108', '3.5']","['186', '8.1']","['1,530', '6.6']","['D', 'D']","['19', '7.3']","['10', '7.2']"
4855,r046,"Cumulative debt -> Undergraduate debt -> $30,001&#8211;$40,000",Cumulative debt,Undergraduate debt,"$30,001&#8211;$40,000",3,"['873', '3.2']","['806', '3.5']","['1,551', '4.7']","['124', '0.7']","['127', '4.7']","['5', '6.0']","['72', '2.3']","['154', '6.7']","['1,120', '4.9']","['53', '4.7']","['9', '3.4']","['11', '7.9']"
4855,r047,"Cumulative debt -> Undergraduate debt -> $40,001&#8211;$50,000",Cumulative debt,Undergraduate debt,"$40,001&#8211;$50,000",3,"['517', '1.9']","['532', '2.3']","['970', '3.0']","['74', '0.4']","['97', '3.6']","['10', '11.9']","['31', '1.0']","['124', '5.4']","['665', '2.9']","['35', '3.1']","['7', '2.7']","['1', '0.7']"
4855,r048,"Cumulative debt -> Undergraduate debt -> $50,001&#8211;$60,000",Cumulative debt,Undergraduate debt,"$50,001&#8211;$60,000",3,"['408', '1.5']","['403', '1.7']","['758', '2.3']","['51', '0.3']","['67', '2.5']","['D', 'D']","['26', '0.8']","['117', '5.1']","['514', '2.2']","['D', 'D']","['4', '1.5']","['1', '0.7']"
4855,r049,"Cumulative debt -> Undergraduate debt -> $60,001&#8211;$70,000",Cumulative debt,Undergraduate debt,"$60,001&#8211;$70,000",3,"['220', '0.8']","['253', '1.1']","['451', '1.4']","['20', '0.1']","['40', '1.5']","['D', 'D']","['10', '0.3']","['80', '3.5']","['293', '1.3']","['D', 'D']","['0', '0.0']","['1', '0.7']"
4855,r050,"Cumulative debt -> Undergraduate debt -> $70,001&#8211;$80,000",Cumulative debt,Undergraduate debt,"$70,001&#8211;$80,000",3,"['146', '0.5']","['202', '0.9']","['331', '1.0']","['16', '0.1']","['26', '1.0']","['D', 'D']","['5', '0.2']","['59', '2.6']","['226', '1.0']","['D', 'D']","['1', '0.4']","['2', '1.4']"
4855,r051,"Cumulative debt -> Undergraduate debt -> $80,001&#8211;$90,000",Cumulative debt,Undergraduate debt,"$80,001&#8211;$90,000",3,"['186', '0.7']","['181', '0.8']","['338', '1.0']","['29', '0.2']","['32', '1.2']","['D', 'D']","['20', '0.6']","['50', '2.2']","['215', '0.9']","['D', 'D']","['2', '0.8']","['1', '0.7']"
4855,r052,"Cumulative debt -> Undergraduate debt -> $90,001 or more",Cumulative debt,Undergraduate debt,"$90,001 or more",3,"['365', '1.3']","['460', '2.0']","['780', '2.4']","['39', '0.2']","['68', '2.5']","['D', 'D']","['24', '0.8']","['195', '8.5']","['447', '1.9']","['D', 'D']","['13', '5.0']","['7', '5.0']"
4855,r053,Cumulative debt -> Undergraduate debt -> Total,Cumulative debt,Undergraduate debt,Total,3,"['27,319', '100.0']","['23,093', '100.0']","['32,803', '100.0']","['17,436', '100.0']","['2,711', '100.0']","['84', '100.0']","['3,100', '100.0']","['2,294', '100.0']","['23,091', '100.0']","['1,123', '100.0']","['261', '100.0']","['139', '100.0']"
