table_id,row_id,sex_ethnicity_race_disability_status_and_field_full_path,sex_ethnicity_race_disability_status_and_field_level_1,sex_ethnicity_race_disability_status_and_field_level_2,sex_ethnicity_race_disability_status_and_field_level_3,sex_ethnicity_race_disability_status_and_field_level_4,sex_ethnicity_race_disability_status_and_field_hierarchy_depth,field_total_number_,field_all_institutions,field_doctoral_highest_research,field_doctoral_higher_research,field_doctoral_moderate_research,field_medical_schools_and_centers,field_other_or_unknown_carnegie_group
3286,r024,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,More than one race,4,747,100.0,74.97,,,,
3286,r025,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported,4,230,100.0,,9.57,,4.78,2.17
3286,r026,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Ethnicity not reported,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Ethnicity not reported,,3,362,100.0,60.5,24.59,,2.49,
3286,r027,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Without disability,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Without disability,,3,17972,100.0,74.71,14.33,4.79,4.16,2.02
3286,r028,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> With disability,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,With disability,,3,1945,100.0,74.04,14.45,,,1.95
3286,r029,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup>,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,,,2,4253,100.0,82.51,13.9,2.09,0.38,1.13
3286,r030,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Male,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Male,,3,3120,100.0,82.02,14.17,2.31,0.32,1.19
3286,r031,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Female,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Female,,3,1133,100.0,83.85,13.15,1.5,0.53,0.97
3286,r032,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Hispanic or Latino<sup>b</sup>,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Hispanic or Latino<sup>b</sup>,,3,306,100.0,83.33,13.73,,,
3286,r033,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,,3,,,,,,,
3286,r034,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaskan Native,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaskan Native,4,9,100.0,,,0.0,0.0,0.0
3286,r035,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> Asian,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,Asian,4,718,100.0,85.65,10.45,1.53,1.11,1.25
3286,r036,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,178,100.0,72.47,19.66,6.18,0.0,1.69
3286,r037,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> White,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,White,4,2800,100.0,82.21,14.54,2.11,0.18,0.96
3286,r038,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,More than one race,4,124,100.0,85.48,,,,
3286,r039,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported,4,50,100.0,,10,,0.0,0.0
3286,r040,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Ethnicity not reported,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Ethnicity not reported,,3,68,100.0,75,17.65,,0.0,
3286,r041,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Without disability,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Without disability,,3,3641,100.0,82.39,14.23,2.03,0.36,0.99
3286,r042,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> With disability,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,With disability,,3,289,100.0,87.54,10.03,,,0.35
