table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_epa,field_hhs_,field_nasa,field_nsf,field_usda,field_othera
10856,r042,All locations -> South Carolina,All locations,South Carolina,,2,1162399,4751,13484,686757,91455,1580,4787,415,241852,5078,36860,33368,42010
10856,r043,All locations -> South Dakota,All locations,South Dakota,,2,134466,0,91,15588,28945,15,1749,0,35677,16861,21254,13703,583
10856,r044,All locations -> Tennessee,All locations,Tennessee,,2,3385285,8719,736,516876,1508675,8609,8195,41412,679140,402392,80405,49050,81074
10856,r045,All locations -> Texas,All locations,Texas,,2,5475314,16410,12415,2032364,141202,15670,36520,4637,1769766,807147,393900,145542,99741
10856,r046,All locations -> Utah,All locations,Utah,,2,3196264,318,1000,2580287,61765,12715,2666,181,292838,88512,74185,31708,50089
10856,r047,All locations -> Vermont,All locations,Vermont,,2,161740,2320,3118,18986,3921,2094,2453,0,81841,839,12064,26326,7777
10856,r048,All locations -> Virginia,All locations,Virginia,,2,10144002,194762,14816,7356864,341095,109301,171822,27128,704826,879323,156981,42558,144525
10856,r049,All locations -> Washington,All locations,Washington,,2,3576461,3600,50195,951429,608056,22476,15466,2077,1517651,81507,168276,75796,79933
10856,r050,All locations -> West Virginia,All locations,West Virginia,,2,212282,720,3223,38603,17831,5803,2599,550,81150,3748,13261,42415,2378
10856,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,1115331,0,7884,212637,88003,15084,2865,2647,558459,23659,112578,81451,10064
10856,r052,All locations -> Wyoming,All locations,Wyoming,,2,80466,259,0,1179,9751,29094,2164,0,13550,1732,19495,3242,0
10856,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,142474,577,3363,4650,0,6524,0,0,54529,63,28762,21833,22173
10856,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,101838,575,2115,1997,0,1413,0,0,45895,0,16092,11828,21923
10856,r055,All locations -> Outlying areas -> Other areas<sup>b</sup>,All locations,Outlying areas,Other areas<sup>b</sup>,3,40636,2,1248,2653,0,5111,0,0,8634,63,12670,10005,250
10856,r056,All locations -> Offices abroad<sup>c</sup>,All locations,Offices abroad<sup>c</sup>,,2,20507,1068,0,4192,900,1226,0,0,5558,495,0,0,7068
10856,r057,All locations -> Undistributed<sup>d</sup>,All locations,Undistributed<sup>d</sup>,,2,4972632,NA,NA,4972632,NA,NA,NA,NA,NA,NA,NA,NA,NA
