table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_total_sales,field_all_companies_r_d_as_a_percentage_of_sales,field_1_4_employees_total_sales,field_1_4_employees_r_d_as_a_percentage_of_sales,field_5_9_employees_total_sales,field_5_9_employees_r_d_as_a_percentage_of_sales
5621,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['    156,812 ', '&nbsp;']","['    20 ', 'r']","['    68,502 ', '&nbsp;']","['    36 ', 'r']","['    88,310 ', '&nbsp;']","['    8 ', '&nbsp;']"
5621,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5621,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    6,087 ', 'r']","['    85 ', 'r']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5621,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5621,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5621,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    32,095 ', '&nbsp;']","['    132 ', 'r']","['    11,132 ', '&nbsp;']","['    171 ', 'r']","['    20,963 ', '&nbsp;']","['    112 ', 'r']"
5621,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    967,367 ', '&nbsp;']","['    31 ', '&nbsp;']","['    259,051 ', '&nbsp;']","['    34 ', '&nbsp;']","['    708,315 ', '&nbsp;']","['    30 ', '&nbsp;']"
5621,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['    185,176 ', '&nbsp;']","['    31 ', '&nbsp;']","['    52,804 ', '&nbsp;']","['    32 ', 'r']","['    132,372 ', '&nbsp;']","['    30 ', '&nbsp;']"
5621,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['    528,298 ', '&nbsp;']","['    38 ', '&nbsp;']","['    149,199 ', '&nbsp;']","['    37 ', '&nbsp;']","['    379,099 ', '&nbsp;']","['    38 ', 'r']"
5621,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['    253,893 ', '&nbsp;']","['    18 ', '&nbsp;']","['    57,048 ', '&nbsp;']","['    27 ', 'r']","['    196,844 ', '&nbsp;']","['    16 ', '&nbsp;']"
5621,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    257,278 ', '&nbsp;']","['    11 ', 'r']","['    157,058 ', 'r']","['    8 ', 'r']","['    100,220 ', '&nbsp;']","['    16 ', 'r']"
5621,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    14,759 ', '&nbsp;']","['    88 ', 'r']","['    7,593 ', 'r']","['    82 ', 'r']","['    7,166 ', '&nbsp;']","['    95 ', 'r']"
5621,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['    9,550 ', '&nbsp;']","['    107 ', 'r']","['    3,320 ', '&nbsp;']","['    116 ', 'r']","['    6,230 ', '&nbsp;']","['    102 ', 'r']"
5621,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5621,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5621,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    102,468 ', '&nbsp;']","['    68 ', 'r']","['    64,371 ', 'r']","['    84 ', 'r']","['    38,097 ', '&nbsp;']","['    41 ', 'r']"
5621,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    8,647,536 ', '&nbsp;']","['    46 ', '&nbsp;']","['    3,368,531 ', '&nbsp;']","['    49 ', '&nbsp;']","['    5,279,005 ', '&nbsp;']","['    44 ', '&nbsp;']"
5621,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    353,446 ', '&nbsp;']","['    52 ', '&nbsp;']","['    74,552 ', '&nbsp;']","['    97 ', 'r']","['    278,894 ', '&nbsp;']","['    40 ', '&nbsp;']"
5621,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    1,766,962 ', '&nbsp;']","['    29 ', '&nbsp;']","['    564,000 ', '&nbsp;']","['    29 ', '&nbsp;']","['    1,202,962 ', '&nbsp;']","['    29 ', '&nbsp;']"
5621,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    1,188,994 ', '&nbsp;']","['    31 ', '&nbsp;']","['    224,713 ', '&nbsp;']","['    52 ', '&nbsp;']","['    964,281 ', '&nbsp;']","['    26 ', '&nbsp;']"
5621,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,"51, excluding 5112","['    577,968 ', '&nbsp;']","['    26 ', '&nbsp;']","['    339,287 ', '&nbsp;']","['    14 ', 'r']","['    238,681 ', '&nbsp;']","['    42 ', '&nbsp;']"
5621,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    1,629,615 ', '&nbsp;']","['    25 ', 'r']","['    485,345 ', '&nbsp;']","['    47 ', '&nbsp;']","['    1,144,270 ', 'r']","['    16 ', 'r']"
5621,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    3,302,812 ', '&nbsp;']","['    31 ', '&nbsp;']","['    1,467,300 ', '&nbsp;']","['    30 ', '&nbsp;']","['    1,835,512 ', '&nbsp;']","['    32 ', '&nbsp;']"
5621,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    1,594,700 ', '&nbsp;']","['    114 ', '&nbsp;']","['    777,333 ', '&nbsp;']","['    96 ', '&nbsp;']","['    817,367 ', '&nbsp;']","['    131 ', '&nbsp;']"
5621,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['    318,659 ', '&nbsp;']","['    92 ', '&nbsp;']","['    139,497 ', '&nbsp;']","['    86 ', '&nbsp;']","['    179,162 ', '&nbsp;']","['    97 ', '&nbsp;']"
5621,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['    424,684 ', '&nbsp;']","['    155 ', '&nbsp;']","['    212,223 ', '&nbsp;']","['    126 ', '&nbsp;']","['    212,461 ', '&nbsp;']","['    184 ', '&nbsp;']"
5621,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['    811,455 ', '&nbsp;']","['    104 ', '&nbsp;']","['    406,056 ', '&nbsp;']","['    87 ', '&nbsp;']","['    405,399 ', '&nbsp;']","['    120 ', '&nbsp;']"
5621,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['    11,031 ', '&nbsp;']","['    109 ', '&nbsp;']","['    4,113 ', '&nbsp;']","['    70 ', '&nbsp;']","['    6,918 ', '&nbsp;']","['    132 ', 'r']"
