table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3123,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1096560,1222539,1192918,1224078,1204247,1240292,700698,631981,628002,641022
3123,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,417775,458966,490534,464608,441414,424550,444294,437036,456808,466937
3123,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,3384275,3527330,3474586,3311037,3155549,3111705,3285958,3378325,3466556,3691334
3123,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,405954,408963,535180,400440,380907,403053,417939,441548,454491,514432
3123,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1200120,1243767,1213495,1134945,1080365,1095125,1097382,1097782,1129877,1182806
3123,r019,All R&D fields -> Science -> Physical sciences -> Materials science<sup>a</sup>,All R&D fields,Science,Physical sciences,Materials science<sup>a</sup>,4,na,na,na,na,na,na,111806,142472,162048,165880
3123,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,1557421,1660377,1532612,1567937,1509986,1463153,1523550,1543180,1564853,1657419
3123,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,220780,214223,193299,207715,184291,150374,135281,153343,155287,170797
3123,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,758520,835448,859500,776402,752567,763689,764266,762377,756683,786985
3123,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,901009,947176,915874,897604,917748,921819,899220,932481,937744,936238
3123,r024,All R&D fields -> Science -> Social sciences -> Anthropology<sup>a</sup>,All R&D fields,Science,Social sciences,Anthropology<sup>a</sup>,4,na,na,na,na,na,na,39602,38715,43464,42816
3123,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,127858,148737,144446,137236,138823,149580,112347,110606,102034,91072
3123,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,152547,148643,141267,143375,145673,136493,103661,103880,98309,86244
3123,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,226462,232834,247739,237479,251832,262275,268772,280548,285154,289433
3123,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,394142,416962,382422,379514,381420,373471,374838,398732,408783,426673
3123,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,438778,465233,439085,440907,422441,445844,465174,394968,348674,364331
3123,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,5718852,6275548,6442986,6499507,6424577,6458952,6582290,6828226,7092526,7667373
3123,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,466991,504536,501722,513134,474623,516051,623571,659840,678087,820512
3123,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,470432,515611,552555,556651,606943,606696,651401,725035,791607,879674
3123,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,421269,490918,504753,478542,471824,463033,467663,471877,461626,498380
3123,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,460880,544992,570303,578390,577964,570426,591735,557559,590837,620862
3123,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,1373311,1511458,1601917,1642771,1742336,1771589,1742704,1891256,1980852,2049254
3123,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering<sup>a</sup>,All R&D fields,Engineering,Industrial and manufacturing engineering<sup>a</sup>,,3,na,na,na,na,na,na,146848,186246,306696,366535
3123,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,953244,1032641,1035551,1061270,946802,957354,860885,937850,993236,1055725
3123,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,429412,455722,462246,465657,494405,501195,442377,440746,464475,483774
3123,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,1143313,1219670,1213939,1203092,1109680,1072608,1055106,957817,825110,892657
3123,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,967151,1119656,1202227,1181597,1136909,1071239,1106312,1207166,1240092,1236233
3123,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,86440,99661,96659,95227,77257,69818,68286,69071,71623,73296
3123,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,41339,53266,53337,51060,54337,42463,36765,61292,34244,35467
3123,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,535744,632117,689060,666586,663592,644138,620166,646320,673096,662423
3123,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,57510,61420,67692,76804,75116,59964,57172,59052,50002,49747
3123,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,19338,27388,24575,22522,23734,24416,26082,33023,51121,31585
3123,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,94422,105661,109359,111693,109184,101669,95303,110686,114302,133080
3123,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,4843,6521,10435,7039,9050,8603,8585,8334,10798,9091
3123,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,127515,133622,151110,150666,124639,120168,193953,219388,234906,241544
