table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_computer_applications_median_salary,field_computer_applications_se,field_design_median_salary,field_design_se,field_management_sales_or_administrationa_median_salary,field_management_sales_or_administrationa_se,field_professional_services_median_salary,field_professional_services_se,field_any_r_db_median_salary,field_any_r_db_se,field_teaching_median_salary,field_teaching_se,field_otherc_median_salary,field_otherc_se
8164,r013,All occupations -> Science occupations -> Computer and information scientists -> Computer and information scientists,All occupations,Science occupations,Computer and information scientists,Computer and information scientists,4,160000,500,159000,3000,159000,3500,168000,5000,129000,13000,162000,4000,129000,6000,143000,8500
8164,r014,"All occupations -> Science occupations -> Computer and information scientists -> Postsecondary teachers, computer science",All occupations,Science occupations,Computer and information scientists,"Postsecondary teachers, computer science",4,101000,3500,90000,8000,,,111000,6500,S,S,109000,5000,100000,500,100000,17500
8164,r015,All occupations -> Science occupations -> Mathematical scientists,All occupations,Science occupations,Mathematical scientists,,3,120000,1500,139000,5000,156000,4500,139000,7000,139000,14000,125000,3000,90000,2500,115000,11000
8164,r016,All occupations -> Science occupations -> Mathematical scientists -> Mathematical scientists,All occupations,Science occupations,Mathematical scientists,Mathematical scientists,4,150000,1000,145000,6500,159000,5000,164000,5000,140000,20500,150000,1000,121000,12000,146000,21000
8164,r017,"All occupations -> Science occupations -> Mathematical scientists -> Postsecondary teachers, mathematics, statistics",All occupations,Science occupations,Mathematical scientists,"Postsecondary teachers, mathematics, statistics",4,90000,500,88000,12500,91000,11000,92000,5500,,,96000,2000,88000,2500,80000,3500
8164,r018,All occupations -> Science occupations -> Physical scientists,All occupations,Science occupations,Physical scientists,,3,108000,2500,110000,6000,125000,5000,120000,1000,121000,10000,114000,3500,85000,1000,100000,6500
8164,r019,"All occupations -> Science occupations -> Physical scientists -> Chemists, except biochemists",All occupations,Science occupations,Physical scientists,"Chemists, except biochemists",4,124000,4000,119000,20500,124000,5500,138000,3500,107000,8500,125000,2500,98000,7500,109000,6500
8164,r020,"All occupations -> Science occupations -> Physical scientists -> Earth, atmospheric, ocean scientists",All occupations,Science occupations,Physical scientists,"Earth, atmospheric, ocean scientists",4,116000,4500,100000,6000,107000,4500,129000,4000,113000,7500,116000,4500,101000,5500,115000,23000
8164,r021,"All occupations -> Science occupations -> Physical scientists -> Physicists, astronomers",All occupations,Science occupations,Physical scientists,"Physicists, astronomers",4,138000,5000,123000,6000,138000,7500,156000,6000,196000,22500,135000,5500,123000,12000,120000,11500
8164,r022,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, chemistry",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, chemistry",4,80000,2000,,,45000,11000,80000,3000,,,88000,3000,77000,2500,70000,6000
8164,r023,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, physics",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, physics",4,96000,3500,89000,13500,,,100000,5500,S,S,105000,4500,93000,3000,65000,2500
8164,r024,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, other physical science",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, other physical science",4,91000,3000,108000,15000,,,97000,4500,,,92000,4500,89000,2500,90000,18000
8164,r025,All occupations -> Science occupations -> Physical scientists -> Other physical scientists,All occupations,Science occupations,Physical scientists,Other physical scientists,4,131000,4000,135000,18000,138000,23000,125000,12500,158000,15000,134000,4500,131000,13500,126000,15000
8164,r026,All occupations -> Science occupations -> Psychologists,All occupations,Science occupations,Psychologists,,3,101000,1500,87000,9500,120000,4500,104000,2000,109000,2000,100000,1000,90000,1500,90000,9500
8164,r027,All occupations -> Science occupations -> Psychologists -> Psychologists,All occupations,Science occupations,Psychologists,Psychologists,4,109000,1000,87000,10000,120000,5500,109000,2500,109000,1000,107000,3000,115000,3500,99000,12000
8164,r028,"All occupations -> Science occupations -> Psychologists -> Postsecondary teachers, psychology",All occupations,Science occupations,Psychologists,"Postsecondary teachers, psychology",4,88000,1500,S,S,,,88000,4000,85000,7000,94000,2500,85000,1500,87000,4500
8164,r029,All occupations -> Science occupations -> Social scientists,All occupations,Science occupations,Social scientists,,3,100000,2000,124000,5000,121000,6000,115000,4500,126000,9000,105000,2500,91000,1500,99000,7500
8164,r030,All occupations -> Science occupations -> Social scientists -> Economists,All occupations,Science occupations,Social scientists,Economists,4,154000,7500,139000,9000,137000,13000,165000,6500,170000,11500,150000,4500,191000,35500,154000,30000
8164,r031,All occupations -> Science occupations -> Social scientists -> Political scientists,All occupations,Science occupations,Social scientists,Political scientists,4,129000,16000,,,,,148000,13000,123000,21000,131000,18500,S,S,123000,10500
8164,r032,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, economics",All occupations,Science occupations,Social scientists,"Postsecondary teachers, economics",4,118000,2500,120000,24500,,,128000,15000,,,119000,2500,115000,4500,87000,9000
8164,r033,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, political science",All occupations,Science occupations,Social scientists,"Postsecondary teachers, political science",4,92000,2500,,,,,106000,11500,,,90000,2000,90000,2500,76000,10000
8164,r034,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, sociology",All occupations,Science occupations,Social scientists,"Postsecondary teachers, sociology",4,83000,3500,,,,,100000,2500,S,S,87000,5000,80000,2000,68000,5000
8164,r035,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, other social sciences",All occupations,Science occupations,Social scientists,"Postsecondary teachers, other social sciences",4,87000,1500,,,,,90000,3500,111000,20500,89000,1500,85000,1500,79000,8000
8164,r036,"All occupations -> Science occupations -> Social scientists -> Sociologists, anthropologists",All occupations,Science occupations,Social scientists,"Sociologists, anthropologists",4,98000,3500,91000,11000,120000,7000,98000,7500,105000,11500,98000,7000,62000,17000,100000,20500
8164,r037,All occupations -> Science occupations -> Social scientists -> Other social scientists,All occupations,Science occupations,Social scientists,Other social scientists,4,110000,3000,99000,8000,108000,6000,113000,4500,118000,14000,112000,3500,112000,10000,104000,19000
8164,r038,All occupations -> Engineering occupations,All occupations,Engineering occupations,,,2,137000,2500,140000,2000,144000,3500,150000,2000,130000,8500,139000,2500,109000,2500,130000,2000
8164,r039,"All occupations -> Engineering occupations -> Aerospace, aeronautical, astronautical engineers",All occupations,Engineering occupations,"Aerospace, aeronautical, astronautical engineers",,3,155000,5500,143000,6000,148000,9500,169000,4000,,,152000,6500,119000,20000,128000,12000
8164,r040,All occupations -> Engineering occupations -> Chemical engineers,All occupations,Engineering occupations,Chemical engineers,,3,139000,4500,140000,14500,147000,5000,150000,6000,,,138000,4000,104000,25000,134000,7000
8164,r041,"All occupations -> Engineering occupations -> Civil, architectural, sanitary engineers",All occupations,Engineering occupations,"Civil, architectural, sanitary engineers",,3,115000,6000,108000,16500,110000,10500,125000,3500,120000,9000,100000,6500,104000,17500,97000,15500
8164,r042,All occupations -> Engineering occupations -> Electrical engineers,All occupations,Engineering occupations,Electrical engineers,,3,159000,2000,150000,2000,160000,4500,170000,4500,171000,19500,159000,2000,116000,11500,149000,3500
8164,r043,All occupations -> Engineering occupations -> Industrial engineers,All occupations,Engineering occupations,Industrial engineers,,3,125000,11000,,,141000,8500,132000,9500,,,138000,10000,127000,20000,121000,8500
8164,r044,All occupations -> Engineering occupations -> Mechanical engineers,All occupations,Engineering occupations,Mechanical engineers,,3,132000,5000,138000,16500,130000,5000,149000,4500,138000,20500,130000,5500,109000,12000,120000,9500
8164,r045,"All occupations -> Engineering occupations -> Postsecondary teachers, engineering",All occupations,Engineering occupations,"Postsecondary teachers, engineering",,3,110000,2000,98000,10500,109000,4500,118000,3000,98000,5000,114000,4000,107000,3000,98000,5000
8164,r046,All occupations -> Engineering occupations -> Other engineers,All occupations,Engineering occupations,Other engineers,,3,135000,3000,130000,4000,139000,6000,142000,3500,144000,8000,135000,1500,133000,16000,129000,3000
8164,r047,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,2,140000,1000,145000,6500,170000,8000,160000,2000,151000,10000,140000,3500,100000,3000,119000,9500
8164,r048,"All occupations -> S&E-related occupations -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations,"Health occupations, except postsecondary teachers and managers",,3,140000,4000,121000,15500,148000,23000,141000,6500,150000,9500,132000,6000,149000,6500,122000,15500
8164,r049,"All occupations -> S&E-related occupations -> Postsecondary teachers, health and related science",All occupations,S&E-related occupations,"Postsecondary teachers, health and related science",,3,109000,2000,125000,6500,110000,20000,114000,3500,169000,22500,110000,2500,101000,3000,88000,11000
8164,r050,"All occupations -> S&E-related occupations -> S&E managers, including health",All occupations,S&E-related occupations,"S&E managers, including health",,3,175000,4000,194000,12500,189000,16500,175000,4000,151000,22000,180000,5000,148000,26500,159000,10000
8164,r051,All occupations -> S&E-related occupations -> S&E precollege teachers,All occupations,S&E-related occupations,S&E precollege teachers,,3,69000,1500,69000,6000,65000,7000,74000,2500,S,S,71000,4500,69000,1500,64000,2500
8164,r052,All occupations -> S&E-related occupations -> S&E technicians/ technologists,All occupations,S&E-related occupations,S&E technicians/ technologists,,3,140000,3000,138000,5500,155000,22000,151000,11000,155000,45000,140000,6000,114000,17500,129000,19500
8164,r053,All occupations -> S&E-related occupations -> Other S&E-related occupations,All occupations,S&E-related occupations,Other S&E-related occupations,,3,139000,18500,119000,23000,140000,30000,133000,7500,131000,10500,173000,11500,,,,
8164,r054,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,150000,500,163000,13500,160000,10500,160000,500,149000,2500,150000,1500,95000,4000,121000,6000
8164,r055,"All occupations -> Non-S&E occupations -> Arts, humanities-related occupations",All occupations,Non-S&E occupations,"Arts, humanities-related occupations",,3,100000,5000,S,S,125000,9000,105000,3000,95000,6000,103000,6000,58000,10500,98000,16000
8164,r056,All occupations -> Non-S&E occupations -> Management-related occupations,All occupations,Non-S&E occupations,Management-related occupations,,3,147000,4000,170000,29000,156000,13000,149000,4500,164000,13000,148000,4000,116000,22000,134000,5500
8164,r057,All occupations -> Non-S&E occupations -> Non-S&E managers,All occupations,Non-S&E occupations,Non-S&E managers,,3,190000,3500,195000,20000,183000,9500,190000,5500,199000,6000,200000,4000,129000,22000,169000,10000
8164,r058,All occupations -> Non-S&E occupations -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations,Non-S&E postsecondary teachers,,3,100000,1500,,,74000,18500,93000,5000,106000,11500,104000,2500,99000,2500,83000,6500
8164,r059,All occupations -> Non-S&E occupations -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations,Non-S&E precollege/ other teachers,,3,69000,7000,S,S,,,90000,11500,,,61000,22500,64000,5000,59000,23000
8164,r060,"All occupations -> Non-S&E occupations -> Sales, marketing occupations",All occupations,Non-S&E occupations,"Sales, marketing occupations",,3,144000,4000,143000,15500,147000,21000,144000,3500,156000,24000,143000,8500,138000,26000,127000,18500
8164,r061,All occupations -> Non-S&E occupations -> Social service-related occupations,All occupations,Non-S&E occupations,Social service-related occupations,,3,71000,4500,,,,,70000,4500,74000,3500,75000,4500,69000,11500,50000,6500
8164,r062,All occupations -> Non-S&E occupations -> Other non-S&E occupations,All occupations,Non-S&E occupations,Other non-S&E occupations,,3,137000,10500,93000,19500,94000,26000,134000,15000,184000,12500,104000,7000,62000,17000,54000,6000
