table_id,row_id,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_full_path,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_1,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_2,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_3,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_4,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_5,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_6,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10109,r020,All institutions -> Doctorate -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Doctorate,All R&D,Direct costs,Software,Capitalized software,6,17179,17477,9512,11865,11704,23565,18097,10644,10922,15400,13931,14120,14662
10109,r021,All institutions -> Doctorate -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Doctorate,All R&D,Direct costs,Capitalized equipment,,5,2086956,2192296,1995345,2219549,2011006,2095655,2039239,2166648,2124728,2418345,2565758,2634376,2667942
10109,r022,All institutions -> Doctorate -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Doctorate,All R&D,Direct costs,Passed through to subrecipients,,5,4901412,5371178,5469627,5647933,5663448,5609183,5659155,5883733,6285962,6688436,7022404,7546959,8486741
10109,r023,All institutions -> Doctorate -> All R&D -> Direct costs -> Other direct costs,All institutions,Doctorate,All R&D,Direct costs,Other direct costs,,5,12684948,13251095,13555338,13956656,14354087,14611926,15440347,16242799,17300502,18256115,17773914,18213270,20668158
10109,r024,All institutions -> Doctorate -> All R&D -> Indirect costs,All institutions,Doctorate,All R&D,Indirect costs,,,4,15000535,15781634,15677354,15819100,15532355,15849072,16355163,17127783,18160212,19048704,19678135,20440712,22164519
10109,r025,All institutions -> Doctorate -> All R&D -> Indirect costs -> Recovered,All institutions,Doctorate,All R&D,Indirect costs,Recovered,,5,10382463,11236113,11125166,11147825,10808902,11040966,11384161,11966405,12686045,13547482,13974266,14596935,16029029
10109,r026,All institutions -> Doctorate -> All R&D -> Indirect costs -> Unrecovered,All institutions,Doctorate,All R&D,Indirect costs,Unrecovered,,5,4618072,4545521,4552188,4671275,4723453,4808106,4971002,5161378,5474167,5501222,5703869,5843777,6135490
10109,r027,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,,,2,,,,,,,,,,,,,
10109,r028,All institutions -> Nondoctorate -> All R&D,All institutions,Nondoctorate,All R&D,,,,3,1019919,1210260,1028806,795421,751236,659676,1049695,706832,669087,684940,689901,675650,775996
10109,r029,All institutions -> Nondoctorate -> All R&D -> Direct costs,All institutions,Nondoctorate,All R&D,Direct costs,,,4,893493,1029068,875007,690846,649140,571140,917956,622258,581698,591601,593252,579855,659850
10109,r030,"All institutions -> Nondoctorate -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Nondoctorate,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,435078,502965,432160,340021,333567,290752,349813,318067,311494,309399,311832,321876,348516
10109,r031,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software,All institutions,Nondoctorate,All R&D,Direct costs,Software,,5,7851,6137,7829,5162,5176,5366,4887,2424,1894,1740,2345,3860,4119
10109,r032,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Nondoctorate,All R&D,Direct costs,Software,Noncapitalized software,6,7516,5630,7135,4994,4638,5128,4596,2043,1753,1586,2018,3496,4021
10109,r033,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Nondoctorate,All R&D,Direct costs,Software,Capitalized software,6,335,507,694,168,538,238,291,381,141,154,327,364,98
10109,r034,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Nondoctorate,All R&D,Direct costs,Capitalized equipment,,5,61465,63729,45189,34880,25401,24222,130203,27261,23908,21480,23210,28260,32710
10109,r035,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Nondoctorate,All R&D,Direct costs,Passed through to subrecipients,,5,55517,65672,61794,41154,39482,24620,37578,31326,29502,28146,27551,28069,34453
10109,r036,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Other direct costs,All institutions,Nondoctorate,All R&D,Direct costs,Other direct costs,,5,333582,390565,328035,269629,245514,226180,395475,243180,214900,230836,228314,197790,240052
10109,r037,All institutions -> Nondoctorate -> All R&D -> Indirect costs,All institutions,Nondoctorate,All R&D,Indirect costs,,,4,126426,181192,153799,104575,102096,88536,131739,84574,87389,93339,96649,95795,116146
10109,r038,All institutions -> Nondoctorate -> All R&D -> Indirect costs -> Recovered,All institutions,Nondoctorate,All R&D,Indirect costs,Recovered,,5,83430,116226,96458,72352,65011,59935,68671,55825,59630,60857,62582,63737,77800
10109,r039,All institutions -> Nondoctorate -> All R&D -> Indirect costs -> Unrecovered,All institutions,Nondoctorate,All R&D,Indirect costs,Unrecovered,,5,42996,64966,57341,32223,37085,28601,63068,28749,27759,32482,34067,32058,38346
10109,r040,All institutions -> Public,All institutions,Public,,,,,2,,,,,,,,,,,,,
10109,r041,All institutions -> Public -> All R&D,All institutions,Public,All R&D,,,,3,41266626,43915960,44162595,44814125,44640610,45382410,47074583,49257662,51890982,54655748,56635979,58649721,63712945
10109,r042,All institutions -> Public -> All R&D -> Direct costs,All institutions,Public,All R&D,Direct costs,,,4,31705979,33922562,34339324,34970423,34982571,35611429,36936818,38696275,40643826,42882690,44471946,45998532,49992597
10109,r043,"All institutions -> Public -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Public,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,18317189,19636095,19949722,20205730,20413042,20779313,21724959,22901546,23752695,25069371,26482248,27543343,29241340
10109,r044,All institutions -> Public -> All R&D -> Direct costs -> Software,All institutions,Public,All R&D,Direct costs,Software,,5,82340,96499,83509,85149,74459,92877,89420,81618,94259,103470,121019,139455,149318
10109,r045,All institutions -> Public -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Public,All R&D,Direct costs,Software,Noncapitalized software,6,69454,80693,74897,76518,65040,74445,74083,73831,85049,92390,111925,127416,138924
10109,r046,All institutions -> Public -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Public,All R&D,Direct costs,Software,Capitalized software,6,12886,15806,8612,8631,9419,18432,15337,7787,9210,11080,9094,12039,10394
10109,r047,All institutions -> Public -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Public,All R&D,Direct costs,Capitalized equipment,,5,1457694,1555049,1476328,1655640,1468659,1508998,1578490,1554190,1522210,1744709,1924757,1939067,1980284
10109,r048,All institutions -> Public -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Public,All R&D,Direct costs,Passed through to subrecipients,,5,3065688,3418705,3502384,3608137,3558959,3541642,3520318,3662377,3917036,4149921,4385098,4598205,5143769
10109,r049,All institutions -> Public -> All R&D -> Direct costs -> Other direct costs,All institutions,Public,All R&D,Direct costs,Other direct costs,,5,8783068,9216214,9327381,9415767,9467452,9688599,10023631,10496544,11357626,11815219,11558824,11778462,13477886
10109,r050,All institutions -> Public -> All R&D -> Indirect costs,All institutions,Public,All R&D,Indirect costs,,,4,9560647,9993398,9823271,9843702,9658039,9770981,10137765,10561387,11247156,11773058,12164033,12651189,13720348
10109,r051,All institutions -> Public -> All R&D -> Indirect costs -> Recovered,All institutions,Public,All R&D,Indirect costs,Recovered,,5,6175654,6585483,6554816,6539581,6339755,6409794,6622242,6946564,7365362,7916768,8106698,8507761,9337481
10109,r052,All institutions -> Public -> All R&D -> Indirect costs -> Unrecovered,All institutions,Public,All R&D,Indirect costs,Unrecovered,,5,3384993,3407915,3268455,3304121,3318284,3361187,3515523,3614823,3881794,3856290,4057335,4143428,4382867
10109,r053,All institutions -> Private,All institutions,Private,,,,,2,,,,,,,,,,,,,
10109,r054,All institutions -> Private -> All R&D,All institutions,Private,All R&D,,,,3,20019984,21358433,21566412,22163441,22520818,23137552,24662088,25890639,27133280,28832372,29666283,31045116,33967583
10109,r055,All institutions -> Private -> All R&D -> Direct costs,All institutions,Private,All R&D,Direct costs,,,4,14453670,15389005,15558530,16083468,16544406,16970925,18312951,19239669,20132835,21463387,22055532,23159798,25407266
10109,r056,"All institutions -> Private -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Private,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,7612610,8224515,8389348,8570675,8678480,9094248,9709263,10329806,10922609,11496858,12245529,12793237,13835648
10109,r057,All institutions -> Private -> All R&D -> Direct costs -> Software,All institutions,Private,All R&D,Direct costs,Software,,5,23630,19923,19947,22536,22058,24130,24130,28027,27596,33020,37531,33571,43501
10109,r058,All institutions -> Private -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Private,All R&D,Direct costs,Software,Noncapitalized software,6,19002,17745,18353,19134,19235,18759,21079,24789,25743,28546,32367,31126,39135
10109,r059,All institutions -> Private -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Private,All R&D,Direct costs,Software,Capitalized software,6,4628,2178,1594,3402,2823,5371,3051,3238,1853,4474,5164,2445,4366
10109,r060,All institutions -> Private -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Private,All R&D,Direct costs,Capitalized equipment,,5,690727,700976,564206,598789,567748,610879,590952,639719,626426,695116,664211,723569,720368
10109,r061,All institutions -> Private -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Private,All R&D,Direct costs,Passed through to subrecipients,,5,1891241,2018145,2029037,2080950,2143971,2092161,2176415,2252682,2398428,2566661,2664857,2976823,3377425
10109,r062,All institutions -> Private -> All R&D -> Direct costs -> Other direct costs,All institutions,Private,All R&D,Direct costs,Other direct costs,,5,4235462,4425446,4555992,4810518,5132149,5149507,5812191,5989435,6157776,6671732,6443404,6632598,7430324
10109,r063,All institutions -> Private -> All R&D -> Indirect costs,All institutions,Private,All R&D,Indirect costs,,,4,5566314,5969428,6007882,6079973,5976412,6166627,6349137,6650970,7000445,7368985,7610751,7885318,8560317
10109,r064,All institutions -> Private -> All R&D -> Indirect costs -> Recovered,All institutions,Private,All R&D,Indirect costs,Recovered,,5,4290239,4766856,4666808,4680596,4534158,4691107,4830590,5075666,5380313,5691571,5930150,6152911,6769348
10109,r065,All institutions -> Private -> All R&D -> Indirect costs -> Unrecovered,All institutions,Private,All R&D,Indirect costs,Unrecovered,,5,1276075,1202572,1341074,1399377,1442254,1475520,1518547,1575304,1620132,1677414,1680601,1732407,1790969
