table_id,row_id,field_research_activity_and_position_full_path,field_research_activity_and_position_level_1,field_research_activity_and_position_level_2,field_research_activity_and_position_hierarchy_depth,field_1973,field_1975,field_1977,field_1979,field_1981,field_1983,field_1985,field_1987,field_1989,field_1991,field_1993,field_1995,field_1997,field_1999,field_2001,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019
4394,r012,Mathematics and statistics -> Research as primary or secondary activity,Mathematics and statistics,Research as primary or secondary activity,2,32.4,23.6,25.0,27.0,27.0,41.3,26.4,36.9,40.8,40.6,24.8,27.0,26.9,35.3,41.7,38.6,43.4,38.5,42.2,40.7,36.6,36.7,32.0
4394,r013,Mathematics and statistics -> Full-time faculty,Mathematics and statistics,Full-time faculty,2,26.8,18.8,18.0,20.4,21.0,29.9,21.4,30.4,32.8,34.0,18.3,21.1,19.3,27.7,30.1,31.9,34.8,31.8,35.3,30.8,28.1,30.7,25.6
4394,r014,Mathematics and statistics -> Other full-time positions,Mathematics and statistics,Other full-time positions,2,33.6,33.5,46.9,54.6,30.1,43.4,29.1,47.8,52.8,67.2,40.6,34.6,40.0,37.5,54.5,23.1,25.0,29.4,25.0,25.0,23.8,21.4,20.4
4394,r015,Mathematics and statistics -> Postdoctorates,Mathematics and statistics,Postdoctorates,2,48.8,35.8,55.1,43.2,56.3,66.3,48.5,34.4,53.4,80.4,s,45.3,35.6,54.7,61.9,65.9,64.2,60.0,57.1,75.0,60.0,60.0,41.6
4394,r016,Computer and information sciences,Computer and information sciences,,1,NA,NA,NA,34.8,29.7,44.6,45.0,61.7,52.4,49.4,39.9,43.2,41.1,55.6,47.2,48.9,44.0,43.5,50.7,51.2,45.1,45.5,41.8
4394,r017,Computer and information sciences -> Research as primary or secondary activity,Computer and information sciences,Research as primary or secondary activity,2,NA,NA,NA,34.8,26.9,44.9,36.1,55.6,52.8,54.3,41.1,46.0,46.3,59.3,57.9,54.9,53.8,54.2,61.4,59.6,54.7,55.6,51.9
4394,r018,Computer and information sciences -> Full-time faculty,Computer and information sciences,Full-time faculty,2,NA,NA,NA,25.0,26.6,38.1,38.0,58.1,52.8,48.2,37.7,40.7,37.9,54.5,48.5,50.0,44.9,44.6,51.7,51.5,46.6,48.6,42.5
4394,r019,Computer and information sciences -> Other full-time positions,Computer and information sciences,Other full-time positions,2,NA,NA,NA,s,25.0,67.9,80.6,79.7,47.1,67.7,59.1,62.9,50.0,66.7,33.3,50.0,42.9,44.4,50.0,42.9,36.4,36.0,37.2
4394,r020,Computer and information sciences -> Postdoctorates,Computer and information sciences,Postdoctorates,2,NA,NA,NA,57.1,100.0,100.0,s,88.2,100.0,s,100.0,78.0,97.2,100.0,100.0,95.8,97.9,50.0,66.7,50.0,66.7,66.7,94.3
4394,r021,Life sciences,Life sciences,,1,59.3,58.9,58.1,55.3,59.6,60.0,53.5,65.3,65.1,65.5,52.2,52.5,51.0,57.9,56.6,57.2,58.0,56.6,56.6,54.9,51.1,50.3,49.6
4394,r022,Life sciences -> Research as primary or secondary activity,Life sciences,Research as primary or secondary activity,2,65.8,64.2,66.8,65.2,63.3,68.3,57.8,72.3,73.1,72.0,62.7,63.6,61.6,69.5,67.9,68.0,69.4,69.3,68.7,68.7,63.6,62.1,61.9
4394,r023,Life sciences -> Full-time faculty,Life sciences,Full-time faculty,2,57.1,56.4,54.9,51.4,55.6,57.8,50.5,63.4,62.1,63.7,48.6,49.0,47.8,55.2,56.3,57.0,58.4,56.1,56.1,54.5,50.5,50.0,50.5
4394,r024,Life sciences -> Other full-time positions,Life sciences,Other full-time positions,2,68.1,70.9,72.1,64.8,68.5,68.5,58.4,71.0,74.1,67.2,45.8,46.3,47.4,50.0,46.3,46.9,50.0,51.2,50.3,49.5,47.1,45.9,43.2
4394,r025,Life sciences -> Postdoctorates,Life sciences,Postdoctorates,2,88.8,87.7,88.4,84.6,86.0,82.6,78.3,82.1,86.8,84.4,84.1,81.9,77.7,82.6,77.6,81.3,71.5,77.7,78.7,80.7,75.2,76.8,73.8
4394,r026,Psychology,Psychology,,1,37.5,36.1,33.2,32.6,32.7,30.1,25.9,31.2,35.5,34.7,25.7,27.6,27.4,32.9,34.3,34.7,36.5,31.9,33.3,31.7,27.1,28.2,28.0
4394,r027,Psychology -> Research as primary or secondary activity,Psychology,Research as primary or secondary activity,2,45.4,41.7,41.9,42.7,41.9,42.6,36.6,39.8,46.6,43.5,37.0,39.5,40.5,46.5,48.1,48.2,52.2,43.2,46.6,44.6,39.3,39.0,41.4
4394,r028,Psychology -> Full-time faculty,Psychology,Full-time faculty,2,36.4,34.1,30.6,28.3,27.5,27.3,23.6,28.3,34.0,32.9,25.2,25.1,25.3,31.6,33.6,34.5,37.5,33.9,36.5,34.8,27.8,30.3,30.2
4394,r029,Psychology -> Other full-time positions,Psychology,Other full-time positions,2,48.1,41.6,65.4,46.3,52.3,40.3,32.7,37.1,39.6,36.3,23.8,30.7,30.2,32.6,38.8,35.2,29.8,25.0,23.0,22.2,25.0,20.5,20.4
4394,r030,Psychology -> Postdoctorates,Psychology,Postdoctorates,2,84.9,86.4,82.5,86.8,92.0,84.2,70.8,88.1,66.3,95.8,71.7,71.4,71.8,71.8,59.2,69.0,69.4,60.0,81.8,80.0,62.5,84.6,78.8
4394,r031,Social sciences,Social sciences,,1,25.5,23.7,23.3,20.4,21.8,23.7,17.2,27.2,27.7,28.4,14.2,16.1,15.2,22.9,21.5,21.8,23.1,20.6,19.7,19.7,17.3,17.4,16.5
4394,r032,Social sciences -> Research as primary or secondary activity,Social sciences,Research as primary or secondary activity,2,29.5,26.8,30.6,29.4,25.5,31.4,20.4,30.0,31.1,31.2,17.3,20.9,17.7,27.2,26.5,27.1,28.9,25.7,24.4,24.2,20.9,20.3,20.2
4394,r033,Social sciences -> Full-time faculty,Social sciences,Full-time faculty,2,25.2,23.7,22.6,19.0,21.2,22.5,16.2,27.1,27.4,27.8,13.4,15.4,14.6,22.5,21.1,22.1,23.9,20.0,20.6,20.0,17.2,17.9,16.6
4394,r034,Social sciences -> Other full-time positions,Social sciences,Other full-time positions,2,36.3,31.6,35.3,37.3,32.7,34.0,26.6,36.2,33.8,32.7,22.1,22.6,22.5,27.3,26.1,25.6,24.5,22.6,20.3,21.9,20.5,19.4,18.4
4394,r035,Social sciences -> Postdoctorates,Social sciences,Postdoctorates,2,57.6,54.6,54.7,84.9,47.9,64.6,54.7,27.4,57.6,52.5,88.1,68.5,33.9,65.0,35.8,42.9,22.9,33.3,25.0,50.0,50.0,45.5,40.6
4394,r036,Engineering,Engineering,,1,53.5,50.6,51.1,49.1,51.0,54.7,43.0,57.1,56.3,63.2,42.6,49.9,49.7,56.9,56.8,57.4,58.7,58.6,58.2,57.6,54.7,51.3,50.6
4394,r037,Engineering -> Research as primary or secondary activity,Engineering,Research as primary or secondary activity,2,58.4,57.3,60.5,57.5,59.2,61.5,45.0,63.1,63.8,68.3,49.5,57.9,55.4,62.5,64.1,64.7,67.3,67.3,66.7,66.8,62.0,57.8,58.5
4394,r038,Engineering -> Full-time faculty,Engineering,Full-time faculty,2,52.5,49.9,49.3,49.5,49.8,54.7,42.2,56.0,55.2,62.9,40.9,48.4,47.2,55.1,56.7,56.8,58.6,57.7,59.5,57.3,56.5,52.2,51.2
4394,r039,Engineering -> Other full-time positions,Engineering,Other full-time positions,2,65.5,67.3,86.6,53.0,60.7,63.1,44.3,76.4,71.2,66.8,59.5,56.7,65.6,63.3,58.3,62.2,51.9,61.7,55.8,59.6,54.2,50.8,50.5
4394,r040,Engineering -> Postdoctorates,Engineering,Postdoctorates,2,84.7,84.3,74.7,51.1,98.9,82.7,91.4,74.8,76.0,90.0,65.7,72.7,62.1,80.4,56.8,73.8,76.8,71.4,61.3,66.7,54.5,56.9,59.8
