table_id,row_id,funders_business_activity_sup_a_sup_full_path,funders_business_activity_sup_a_sup_level_1,funders_business_activity_sup_a_sup_level_2,funders_business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
6583,r084,All business activities -> Finance: banking and credit intermediation,All business activities,Finance: banking and credit intermediation,2,52200,"['*', '&nbsp;']"
6583,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['35', '&nbsp;']"
6583,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['0', '&nbsp;']"
6583,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['0', '&nbsp;']"
6583,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['2', '&nbsp;']"
6583,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['0', '&nbsp;']"
6583,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['0', '&nbsp;']"
6583,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['269', '&nbsp;']"
6583,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['7', '&nbsp;']"
6583,r093,All business activities -> Computer systems design and related services,All business activities,Computer systems design and related services,2,54150,"['1,608', '&nbsp;']"
6583,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['1', '&nbsp;']"
6583,r095,All business activities -> Research and development services in social sciences and humanities,All business activities,Research and development services in social sciences and humanities,2,54172,"['2', '&nbsp;']"
6583,r096,All business activities -> Research and development services in biotechnology,All business activities,Research and development services in biotechnology,2,54173,"['104', 'i']"
6583,r097,"All business activities -> Research and development services in physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in physical, engineering, and life sciences (except biotechnology)",2,54174,"['2,088', 'i']"
6583,r098,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['0', '&nbsp;']"
6583,r099,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['269', '&nbsp;']"
6583,r100,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['11', '&nbsp;']"
6583,r101,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['0', '&nbsp;']"
6583,r102,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['2', '&nbsp;']"
6583,r103,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['5', '&nbsp;']"
6583,r104,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['0', '&nbsp;']"
6583,r105,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['0', '&nbsp;']"
6583,r106,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['1', '&nbsp;']"
6583,r107,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['0', '&nbsp;']"
6583,r108,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['*', '&nbsp;']"
6583,r109,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['5', '&nbsp;']"
6583,r110,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['53', '&nbsp;']"
6583,r111,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['603', 'i']"
