table_id,row_id,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,ethnicity_race_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_female,field_bachelor_s_male,field_master_s_female,field_master_s_male,field_doctorate_female,field_doctorate_male
1279,r011,All ethnicities and races -> S&E-related occupations<sup>c</sup>&#160;,All ethnicities and races,S&E-related occupations<sup>c</sup>&#160;,,,,,2,4764000,3507000,2654000,1685000,1405000,857000,126000,140000
1279,r012,All ethnicities and races -> Non-S&E occupations&#160;,All ethnicities and races,Non-S&E occupations&#160;,,,,,2,6271000,5962000,3564000,3450000,2170000,1734000,184000,266000
1279,r013,All ethnicities and races -> Hispanic or Latino<sup>d</sup>,All ethnicities and races,Hispanic or Latino<sup>d</sup>,,,,,2,1237000,1092000,726000,712000,357000,253000,46000,42000
1279,r014,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> S&E occupations<sup>b</sup>,All ethnicities and races,Hispanic or Latino<sup>d</sup>,S&E occupations<sup>b</sup>,,,,3,154000,351000,77000,254000,49000,70000,20000,24000
1279,r015,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations&#160;,All ethnicities and races,Hispanic or Latino<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations&#160;,,,4,128000,233000,60000,177000,41000,36000,19000,17000
1279,r016,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Biological/life scientist,All ethnicities and races,Hispanic or Latino<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations&#160;,Biological/life scientist,,5,24000,14000,12000,5000,5000,3000,6000,6000
1279,r017,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Computer and information scientist,All ethnicities and races,Hispanic or Latino<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations&#160;,Computer and information scientist,,5,44000,142000,29000,116000,11000,23000,S,2000
1279,r018,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Mathematical scientist,All ethnicities and races,Hispanic or Latino<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations&#160;,Mathematical scientist,,5,5000,10000,S,6000,2000,2000,1000,1000
1279,r019,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Physical scientist,All ethnicities and races,Hispanic or Latino<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations&#160;,Physical scientist,,5,10000,19000,3000,14000,5000,2000,1000,3000
1279,r020,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Psychologist,All ethnicities and races,Hispanic or Latino<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations&#160;,Psychologist,,5,26000,6000,2000,,16000,2000,6000,S
1279,r021,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Social scientist,All ethnicities and races,Hispanic or Latino<sup>d</sup>,S&E occupations<sup>b</sup>,Science occupations&#160;,Social scientist,,5,20000,S,11000,S,3000,3000,1000,3000
1279,r022,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> S&E occupations<sup>b</sup> -> Engineering occupations&#160;,All ethnicities and races,Hispanic or Latino<sup>d</sup>,S&E occupations<sup>b</sup>,Engineering occupations&#160;,,,4,26000,118000,17000,77000,8000,34000,1000,6000
1279,r023,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> S&E-related occupations<sup>c</sup>&#160;,All ethnicities and races,Hispanic or Latino<sup>d</sup>,S&E-related occupations<sup>c</sup>&#160;,,,,3,427000,275000,256000,159000,96000,58000,15000,7000
1279,r024,All ethnicities and races -> Hispanic or Latino<sup>d</sup> -> Non-S&E occupations&#160;,All ethnicities and races,Hispanic or Latino<sup>d</sup>,Non-S&E occupations&#160;,,,,3,655000,466000,393000,299000,212000,126000,11000,11000
1279,r025,All ethnicities and races -> Not Hispanic or Latino&#160;&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,,,,,2,,,,,,,,
1279,r026,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,,,,3,37000,42000,29000,23000,4000,9000,S,S
1279,r027,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> S&E occupations<sup>b</sup>,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,S&E occupations<sup>b</sup>,,,4,5000,9000,3000,7000,0.05,2000,S,
1279,r028,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,,5,3000,6000,1000,S,0.05,S,S,
1279,r029,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Biological/life scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Biological/life scientist,6,,0.05,,,,,,
1279,r030,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Computer and information scientist,6,,S,,S,,,,
1279,r031,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Mathematical scientist,6,,,,,,,,
1279,r032,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Physical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Physical scientist,6,,S,,,,,,
1279,r033,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Psychologist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Psychologist,6,0.05,,,,,,,
1279,r034,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Social scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Social scientist,6,0.05,,,,,,,
1279,r035,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> S&E occupations<sup>b</sup> -> Engineering occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,S&E occupations<sup>b</sup>,Engineering occupations&#160;,,5,,3000,,S,,0.05,,
1279,r036,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> S&E-related occupations<sup>c</sup>&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,S&E-related occupations<sup>c</sup>&#160;,,,4,16000,12000,15000,2000,S,S,,
1279,r037,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> American Indian or Alaska Native&#160; -> Non-S&E occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,American Indian or Alaska Native&#160;,Non-S&E occupations&#160;,,,4,16000,21000,11000,14000,3000,5000,,
1279,r038,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,,,,3,1547000,1999000,797000,859000,503000,770000,109000,213000
1279,r039,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> S&E occupations<sup>b</sup>,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,S&E occupations<sup>b</sup>,,,4,409000,929000,158000,364000,184000,423000,62000,136000
1279,r040,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,,5,355000,701000,139000,275000,154000,321000,57000,99000
1279,r041,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Biological/life scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Biological/life scientist,6,55000,70000,14000,10000,15000,19000,24000,38000
1279,r042,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Computer and information scientist,6,235000,553000,111000,248000,110000,275000,12000,30000
1279,r043,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Mathematical scientist,6,22000,30000,4000,6000,11000,16000,7000,9000
1279,r044,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Physical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Physical scientist,6,16000,35000,6000,11000,5000,8000,5000,16000
1279,r045,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Psychologist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Psychologist,6,11000,4000,,,6000,0.05,3000,S
1279,r046,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Social scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Social scientist,6,16000,9000,2000,1000,8000,4000,6000,4000
1279,r047,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> S&E occupations<sup>b</sup> -> Engineering occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,S&E occupations<sup>b</sup>,Engineering occupations&#160;,,5,54000,228000,19000,89000,30000,102000,5000,37000
1279,r048,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> S&E-related occupations<sup>c</sup>&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,S&E-related occupations<sup>c</sup>&#160;,,,4,537000,505000,276000,202000,128000,142000,29000,33000
1279,r049,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Asian&#160;&#160; -> Non-S&E occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Asian&#160;&#160;,Non-S&E occupations&#160;,,,4,601000,565000,362000,292000,191000,205000,19000,43000
1279,r050,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,,,,3,1167000,841000,661000,485000,419000,244000,29000,40000
1279,r051,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> S&E occupations<sup>b</sup>&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,S&E occupations<sup>b</sup>&#160;,,,4,168000,214000,115000,137000,41000,57000,11000,19000
1279,r052,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,,5,157000,163000,109000,105000,36000,39000,11000,18000
1279,r053,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Biological/life scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Biological/life scientist,6,9000,10000,4000,S,4000,S,1000,4000
1279,r054,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Computer and information scientist,6,106000,119000,93000,97000,12000,20000,,2000
1279,r055,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Mathematical scientist,6,3000,14000,2000,S,1000,S,1000,2000
1279,r056,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Physical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Physical scientist,6,5000,6000,4000,2000,1000,2000,,2000
1279,r057,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Psychologist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Psychologist,6,9000,3000,2000,,3000,,4000,1000
1279,r058,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Social scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Social scientist,6,25000,12000,5000,0.05,15000,3000,5000,8000
1279,r059,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Engineering occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Engineering occupations&#160;,,5,11000,51000,6000,32000,5000,17000,,2000
1279,r060,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> S&E-related occupations<sup>c</sup>&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,S&E-related occupations<sup>c</sup>&#160;,,,4,362000,248000,220000,131000,107000,61000,3000,3000
1279,r061,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Black or African American&#160;&#160; -> Non-S&E occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Black or African American&#160;&#160;,Non-S&E occupations&#160;,,,4,637000,379000,327000,217000,271000,127000,15000,18000
1279,r062,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,,,,3,29000,37000,15000,32000,8000,5000,1000,0.05
1279,r063,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> S&E occupations<sup>b</sup>&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,S&E occupations<sup>b</sup>&#160;,,,4,5000,19000,S,17000,2000,2000,,
1279,r064,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,,5,5000,11000,S,10000,2000,S,,
1279,r065,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Biological/life scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Biological/life scientist,6,S,0.05,,0.05,,,,
1279,r066,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Computer and information scientist,6,S,9000,S,8000,,,,
1279,r067,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Mathematical scientist,6,,,,,,,,
1279,r068,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Physical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Physical scientist,6,0.05,,,,,,,
1279,r069,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Psychologist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Psychologist,6,,,,,,,,
1279,r070,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Science occupations&#160; -> Social scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Science occupations&#160;,Social scientist,6,,,,,,,,
1279,r071,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> S&E occupations<sup>b</sup>&#160; -> Engineering occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,S&E occupations<sup>b</sup>&#160;,Engineering occupations&#160;,,5,,8000,,7000,,0.05,,
1279,r072,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> S&E-related occupations<sup>c</sup>&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,S&E-related occupations<sup>c</sup>&#160;,,,4,9000,7000,S,5000,S,S,,
1279,r073,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> Native Hawaiian or Other Pacific Islander&#160;&#160; -> Non-S&E occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,Native Hawaiian or Other Pacific Islander&#160;&#160;,Non-S&E occupations&#160;,,,4,15000,12000,9000,10000,3000,1000,,
1279,r074,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,,,,3,8711000,10039000,4802000,5748000,2878000,2656000,392000,607000
1279,r075,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> S&E occupations<sup>b</sup>,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,S&E occupations<sup>b</sup>,,,4,1188000,3209000,601000,2040000,385000,826000,181000,322000
1279,r076,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160;,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,,5,1020000,2181000,501000,1350000,326000,543000,172000,268000
1279,r077,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Biological/life scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Biological/life scientist,6,196000,218000,86000,89000,49000,49000,57000,78000
1279,r078,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Computer and information scientist,6,395000,1471000,267000,1087000,118000,341000,8000,38000
1279,r079,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Mathematical scientist,6,91000,113000,46000,50000,31000,43000,14000,20000
1279,r080,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Physical scientist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Physical scientist,6,72000,194000,34000,85000,27000,46000,11000,61000
1279,r081,All ethnicities and races -> Not Hispanic or Latino&#160;&#160; -> White&#160;&#160; -> S&E occupations<sup>b</sup> -> Science occupations&#160; -> Psychologist,All ethnicities and races,Not Hispanic or Latino&#160;&#160;,White&#160;&#160;,S&E occupations<sup>b</sup>,Science occupations&#160;,Psychologist,6,125000,62000,21000,5000,52000,20000,41000,31000
