table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
7696,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,10370488,8177199,1721061,453312,0,18916,0
7696,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,878718,654603,224115,0,0,0,0
7696,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,1208652,446541,562111,200000,0,0,0
7696,r024,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,237018,0,237018,0,0,0,0
7696,r025,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,2458490,1071612,1386878,0,0,0,0
7696,r026,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,2005582,864505,896516,244561,0,0,0
7696,r027,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,6455476,1681282,4774194,0,0,0,0
7696,r028,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,2846129,2092027,674111,0,79991,0,0
7696,r029,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,2,2128727,1353742,774985,0,0,0,0
7696,r030,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,2,237064,177064,60000,0,0,0,0
7696,r031,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,2,27186,21749,5437,0,0,0,0
7696,r032,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,2,3006539,510793,2495746,0,0,0,0
7696,r033,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,2,1535533,1040233,387247,0,108053,0,0
7696,r034,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,2,259432614,140797896,94234010,720272,9706329,12124449,1849658
7696,r035,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,2,17422714,1368548,16054166,0,0,0,0
7696,r036,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,2,294748,116830,177918,0,0,0,0
7696,r037,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,2,1808996,1311922,497074,0,0,0,0
7696,r038,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,2,2575950,1965050,590900,20000,0,0,0
7696,r039,United States<sup>a</sup> -> Oregon,United States<sup>a</sup>,Oregon,2,16083800,10906808,4764289,412703,0,0,0
7696,r040,United States<sup>a</sup> -> Pennsylvania,United States<sup>a</sup>,Pennsylvania,2,8172000,5445889,2685937,35000,3240,0,1934
7696,r041,United States<sup>a</sup> -> Rhode Island,United States<sup>a</sup>,Rhode Island,2,8118721,5668950,2449771,0,0,0,0
7696,r042,United States<sup>a</sup> -> South Carolina,United States<sup>a</sup>,South Carolina,2,27709617,19454775,8123246,0,58824,0,72772
7696,r043,United States<sup>a</sup> -> South Dakota,United States<sup>a</sup>,South Dakota,2,359853,179763,180090,0,0,0,0
7696,r044,United States<sup>a</sup> -> Tennessee,United States<sup>a</sup>,Tennessee,2,1289255,857781,420746,0,10728,0,0
7696,r045,United States<sup>a</sup> -> Texas,United States<sup>a</sup>,Texas,2,2686856,1366339,1320517,0,0,0,0
7696,r046,United States<sup>a</sup> -> Utah,United States<sup>a</sup>,Utah,2,5326711,211570,5115141,0,0,0,0
7696,r047,United States<sup>a</sup> -> Vermont,United States<sup>a</sup>,Vermont,2,596129,546844,49285,0,0,0,0
7696,r048,United States<sup>a</sup> -> Virginia,United States<sup>a</sup>,Virginia,2,16624998,6150929,10325664,41405,20000,30000,57000
7696,r049,United States<sup>a</sup> -> Washington,United States<sup>a</sup>,Washington,2,21349303,9409743,9868765,225836,1830559,0,14400
7696,r050,United States<sup>a</sup> -> West Virginia,United States<sup>a</sup>,West Virginia,2,3378070,1919073,1458997,0,0,0,0
7696,r051,United States<sup>a</sup> -> Wisconsin,United States<sup>a</sup>,Wisconsin,2,4401850,2748540,1653310,0,0,0,0
7696,r052,United States<sup>a</sup> -> Wyoming,United States<sup>a</sup>,Wyoming,2,2753475,1437139,1211604,104732,0,0,0
