table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal
9652,r030,All states -> Nevada,All states,Nevada,2,"['1,033', '  ']","['757', '  ']","['276', '  ']","['20', '  ']","['256', '  ']"
9652,r031,All states -> New Hampshire,All states,New Hampshire,2,"['3,183', '  ']","['1,461', '  ']","['1,723', '  ']","['1,391', '  ']","['332', '  ']"
9652,r032,All states -> New Jersey,All states,New Jersey,2,"['25,049', '  ']","['20,091', '  ']","['4,958', '  ']","['95', '  ']","['4,863', '  ']"
9652,r033,All states -> New Mexico,All states,New Mexico,2,"['1,693', '  ']","['1,351', '  ']","['342', '  ']","['314', '  ']","['28', '  ']"
9652,r034,All states -> New York,All states,New York,2,"['26,319', '  ']","['23,939', '  ']","['2,379', '  ']","['634', '  ']","['1,746', '  ']"
9652,r035,All states -> North Carolina,All states,North Carolina,2,"['15,490', '  ']","['9,812', '  ']","['5,678', 'i ']","['140', '  ']","['5,537', 'i ']"
9652,r036,All states -> North Dakota,All states,North Dakota,2,"['343', '  ']","['330', '  ']","['12', '  ']","['2', 'e ']","['10', '  ']"
9652,r037,All states -> Ohio,All states,Ohio,2,"['11,545', '  ']","['7,814', '  ']","['3,730', '  ']","['820', '  ']","['2,911', '  ']"
9652,r038,All states -> Oklahoma,All states,Oklahoma,2,"['1,056', '  ']","['969', '  ']","['87', '  ']","['54', 'i ']","['33', '  ']"
9652,r039,All states -> Oregon,All states,Oregon,2,"['11,292', '  ']","['10,954', '  ']","['338', '  ']","['107', '  ']","['230', '  ']"
9652,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['17,555', '  ']","['14,541', '  ']","['3,014', 'i ']","['290', '  ']","['2,725', 'i ']"
9652,r041,All states -> Rhode Island,All states,Rhode Island,2,"['837', '  ']","['689', '  ']","['149', 'i ']","['121', 'i ']","['28', 'i ']"
9652,r042,All states -> South Carolina,All states,South Carolina,2,"['1,857', '  ']","['1,601', '  ']","['256', '  ']","['125', '  ']","['131', '  ']"
9652,r043,All states -> South Dakota,All states,South Dakota,2,"['221', '  ']","['213', '  ']","['8', '  ']","['1', 'e ']","['7', '  ']"
9652,r044,All states -> Tennessee,All states,Tennessee,2,"['2,776', 'i ']","['1,802', '  ']","['974', 'i ']","['72', '  ']","['902', 'i ']"
9652,r045,All states -> Texas,All states,Texas,2,"['28,264', '  ']","['24,495', '  ']","['3,770', 'i ']","['1,035', '  ']","['2,735', 'i ']"
9652,r046,All states -> Utah,All states,Utah,2,"['3,962', '  ']","['3,730', '  ']","['232', '  ']","['62', '  ']","['170', '  ']"
9652,r047,All states -> Vermont,All states,Vermont,2,"['456', '  ']","['434', '  ']","['22', '  ']","['0 - 23', '  ']","['0 - 23', '  ']"
9652,r048,All states -> Virginia,All states,Virginia,2,"['8,179', '  ']","['6,330', '  ']","['1,849', '  ']","['1,342', '  ']","['506', '  ']"
9652,r049,All states -> Washington,All states,Washington,2,"['49,083', '  ']","['47,644', '  ']","['1,440', '  ']","['190', '  ']","['1,250', '  ']"
9652,r050,All states -> West Virginia,All states,West Virginia,2,"['522', 'i ']","['435', 'i ']","['86', '  ']","['74', '  ']","['12', '  ']"
9652,r051,All states -> Wisconsin,All states,Wisconsin,2,"['6,781', '  ']","['5,723', '  ']","['1,058', '  ']","['61', '  ']","['997', '  ']"
9652,r052,All states -> Wyoming,All states,Wyoming,2,"['93', '  ']","['88', '  ']","['5', 'i ']","['2', 'i ']","['2', 'e ']"
9652,r053,All states -> Undistributed<sup>a</sup>,All states,Undistributed<sup>a</sup>,2,"['780', '  ']","['712', '  ']","['67', '  ']","['0 - 68', '  ']","['0 - 68', '  ']"
